Date,BFINVEST
2012-01-02,46.75
2012-01-03,48.0
2012-01-04,47.65
2012-01-05,48.0
2012-01-06,46.75
2012-01-07,48.0
2012-01-09,47.2
2012-01-10,47.5
2012-01-11,48.75
2012-01-12,47.95
2012-01-13,47.9
2012-01-16,47.35
2012-01-17,47.15
2012-01-18,46.55
2012-01-19,48.3
2012-01-20,49.3
2012-01-23,48.85
2012-01-24,51.05
2012-01-25,50.05
2012-01-27,49.5
2012-01-30,49.05
2012-01-31,49.05
2012-02-01,49.0
2012-02-02,48.05
2012-02-03,48.95
2012-02-06,49.45
2012-02-07,50.3
2012-02-08,51.5
2012-02-09,51.3
2012-02-10,49.75
2012-02-13,50.3
2012-02-14,50.45
2012-02-15,54.85
2012-02-16,54.4
2012-02-17,52.95
2012-02-21,53.45
2012-02-22,52.0
2012-02-23,51.05
2012-02-24,50.8
2012-02-27,47.4
2012-02-28,48.7
2012-02-29,48.25
2012-03-01,48.8
2012-03-02,48.05
2012-03-03,47.55
2012-03-05,46.55
2012-03-06,46.65
2012-03-07,46.55
2012-03-09,47.2
2012-03-12,48.7
2012-03-13,48.2
2012-03-14,47.7
2012-03-15,46.2
2012-03-16,46.3
2012-03-19,45.1
2012-03-20,45.6
2012-03-21,47.0
2012-03-22,45.55
2012-03-23,45.15
2012-03-26,44.2
2012-03-27,43.8
2012-03-28,42.65
2012-03-29,42.2
2012-03-30,44.95
2012-04-02,45.4
2012-04-03,46.55
2012-04-04,45.8
2012-04-09,45.5
2012-04-10,44.85
2012-04-11,44.45
2012-04-12,44.35
2012-04-13,45.55
2012-04-16,45.6
2012-04-17,45.6
2012-04-18,47.5
2012-04-19,48.25
2012-04-20,47.15
2012-04-23,46.2
2012-04-24,47.6
2012-04-25,48.6
2012-04-26,46.2
2012-04-27,45.75
2012-04-28,44.9
2012-04-30,45.5
2012-05-02,45.6
2012-05-03,44.15
2012-05-04,44.25
2012-05-07,44.0
2012-05-08,43.1
2012-05-09,43.4
2012-05-10,42.6
2012-05-11,42.2
2012-05-14,43.25
2012-05-15,43.6
2012-05-16,41.55
2012-05-17,41.75
2012-05-18,41.8
2012-05-21,43.05
2012-05-22,42.45
2012-05-23,40.55
2012-05-24,40.8
2012-05-25,40.95
2012-05-28,40.95
2012-05-29,40.65
2012-05-30,40.45
2012-05-31,40.0
2012-06-01,40.15
2012-06-04,39.95
2012-06-05,40.75
2012-06-06,41.2
2012-06-07,40.85
2012-06-08,41.2
2012-06-11,41.15
2012-06-12,40.9
2012-06-13,40.75
2012-06-14,41.05
2012-06-15,41.35
2012-06-18,40.5
2012-06-19,40.8
2012-06-20,40.95
2012-06-21,40.6
2012-06-22,43.05
2012-06-25,43.7
2012-06-26,43.0
2012-06-27,45.0
2012-06-28,43.35
2012-06-29,44.3
2012-07-02,45.6
2012-07-03,46.1
2012-07-04,45.95
2012-07-05,48.55
2012-07-06,48.4
2012-07-09,47.9
2012-07-09,47.9
2012-07-10,47.45
2012-07-11,46.65
2012-07-12,45.6
2012-07-13,45.6
2012-07-16,45.5
2012-07-17,44.55
2012-07-18,43.95
2012-07-19,44.0
2012-07-20,43.6
2012-07-23,43.1
2012-07-24,43.0
2012-07-25,42.25
2012-07-26,41.7
2012-07-27,40.15
2012-07-30,40.9
2012-07-31,41.55
2012-08-01,41.0
2012-08-02,41.7
2012-08-03,41.95
2012-08-06,42.85
2012-08-07,43.65
2012-08-08,43.9
2012-08-09,42.75
2012-08-10,43.25
2012-08-13,42.7
2012-08-14,42.75
2012-08-16,42.55
2012-08-17,42.45
2012-08-21,42.5
2012-08-22,42.6
2012-08-23,43.9
2012-08-24,42.8
2012-08-27,42.4
2012-08-28,40.6
2012-08-29,40.25
2012-08-30,40.8
2012-08-31,40.1
2012-09-03,40.65
2012-09-04,40.55
2012-09-05,40.95
2012-09-06,40.65
2012-09-07,40.3
2012-09-08,41.0
2012-09-10,40.75
2012-09-11,40.75
2012-09-12,40.7
2012-09-13,41.25
2012-09-14,41.15
2012-09-17,41.15
2012-09-18,41.8
2012-09-20,41.3
2012-09-21,41.6
2012-09-24,42.75
2012-09-25,43.75
2012-09-26,44.15
2012-09-27,44.0
2012-09-28,44.1
2012-10-01,42.95
2012-10-03,43.25
2012-10-04,43.2
2012-10-05,42.95
2012-10-08,43.5
2012-10-09,45.9
2012-10-10,45.25
2012-10-11,44.5
2012-10-12,44.7
2012-10-15,44.0
2012-10-16,44.3
2012-10-17,44.25
2012-10-18,44.1
2012-10-19,43.65
2012-10-22,43.25
2012-10-23,43.85
2012-10-25,42.1
2012-10-26,42.25
2012-10-29,41.1
2012-10-30,40.5
2012-10-31,39.4
2012-11-01,39.5
2012-11-02,39.35
2012-11-05,39.4
2012-11-06,38.9
2012-11-07,39.25
2012-11-08,38.75
2012-11-09,39.2
2012-11-12,39.05
2012-11-13,40.0
2012-11-15,39.6
2012-11-16,39.0
2012-11-19,38.75
2012-11-20,37.6
2012-11-21,38.3
2012-11-22,38.4
2012-11-23,38.8
2012-11-26,39.25
2012-11-27,38.45
2012-11-29,38.2
2012-11-30,38.4
2012-12-03,38.0
2012-12-04,38.9
2012-12-05,39.05
2012-12-06,38.85
2012-12-07,38.85
2012-12-10,45.6
2012-12-11,44.1
2012-12-12,43.4
2012-12-13,42.25
2012-12-14,41.9
2012-12-17,42.05
2012-12-18,42.45
2012-12-19,43.05
2012-12-20,43.9
2012-12-21,44.15
2012-12-24,43.1
2012-12-26,42.35
2012-12-27,43.15
2012-12-28,42.95
2012-12-31,43.5
