Date,VTL
2012-01-02,175.0
2012-01-03,178.3
2012-01-04,166.45
2012-01-05,169.8
2012-01-06,166.55
2012-01-07,167.0
2012-01-09,170.15
2012-01-10,172.2
2012-01-11,173.2
2012-01-12,177.5
2012-01-13,187.05
2012-01-16,191.2
2012-01-17,196.0
2012-01-18,192.95
2012-01-19,198.3
2012-01-20,194.9
2012-01-23,193.3
2012-01-24,190.65
2012-01-25,190.9
2012-01-27,193.7
2012-01-30,195.05
2012-01-31,196.25
2012-02-01,198.05
2012-02-02,197.65
2012-02-03,197.5
2012-02-06,195.25
2012-02-07,199.1
2012-02-08,198.35
2012-02-09,198.5
2012-02-10,201.05
2012-02-13,201.85
2012-02-14,203.25
2012-02-15,204.65
2012-02-16,205.0
2012-02-17,214.2
2012-02-21,215.2
2012-02-22,215.0
2012-02-23,206.2
2012-02-24,201.4
2012-02-27,199.1
2012-02-28,200.15
2012-02-29,198.3
2012-03-01,196.95
2012-03-02,189.75
2012-03-03,190.05
2012-03-05,202.7
2012-03-06,199.75
2012-03-07,198.6
2012-03-09,194.3
2012-03-12,194.15
2012-03-13,200.1
2012-03-14,201.3
2012-03-15,200.0
2012-03-16,200.0
2012-03-19,200.0
2012-03-20,199.0
2012-03-21,195.9
2012-03-22,195.75
2012-03-23,199.05
2012-03-26,199.75
2012-03-27,199.35
2012-03-28,199.7
2012-03-29,202.95
2012-03-30,201.15
2012-04-02,200.95
2012-04-03,199.0
2012-04-04,202.4
2012-04-09,205.55
2012-04-10,209.45
2012-04-11,206.4
2012-04-12,210.3
2012-04-13,210.25
2012-04-16,212.5
2012-04-17,213.05
2012-04-18,213.95
2012-04-19,215.5
2012-04-20,213.05
2012-04-23,207.45
2012-04-24,207.9
2012-04-25,210.3
2012-04-26,212.0
2012-04-27,213.35
2012-04-28,212.15
2012-04-30,215.25
2012-05-02,215.0
2012-05-03,217.3
2012-05-04,211.7
2012-05-07,210.1
2012-05-08,211.1
2012-05-09,213.0
2012-05-10,215.05
2012-05-11,215.0
2012-05-14,216.2
2012-05-15,218.2
2012-05-16,214.8
2012-05-17,217.0
2012-05-18,217.45
2012-05-21,214.2
2012-05-22,212.55
2012-05-23,210.0
2012-05-24,210.5
2012-05-25,210.0
2012-05-28,210.0
2012-05-29,212.0
2012-05-30,210.0
2012-05-31,233.45
2012-06-01,217.55
2012-06-04,214.6
2012-06-05,211.0
2012-06-06,210.2
2012-06-07,210.6
2012-06-08,212.05
2012-06-11,213.15
2012-06-12,214.1
2012-06-13,216.65
2012-06-14,220.85
2012-06-15,224.0
2012-06-18,220.3
2012-06-19,215.1
2012-06-20,214.45
2012-06-21,216.6
2012-06-22,215.9
2012-06-25,216.95
2012-06-26,219.3
2012-06-27,220.15
2012-06-28,221.5
2012-06-29,225.05
2012-07-02,224.25
2012-07-03,220.9
2012-07-04,222.0
2012-07-05,225.25
2012-07-06,226.9
2012-07-09,225.7
2012-07-10,230.15
2012-07-11,233.2
2012-07-12,240.4
2012-07-13,255.9
2012-07-16,259.85
2012-07-17,251.75
2012-07-18,245.2
2012-07-19,246.95
2012-07-20,251.65
2012-07-23,243.05
2012-07-24,235.8
2012-07-25,240.2
2012-07-26,239.45
2012-07-27,240.55
2012-07-30,234.25
2012-07-31,237.3
2012-08-01,230.95
2012-08-02,236.6
2012-08-03,240.65
2012-08-06,241.0
2012-08-07,243.4
2012-08-08,249.4
2012-08-09,250.8
2012-08-10,240.55
2012-08-13,233.55
2012-08-14,231.75
2012-08-16,230.7
2012-08-17,228.25
2012-08-21,230.5
2012-08-22,231.8
2012-08-23,235.65
2012-08-24,235.25
2012-08-27,231.5
2012-08-28,228.0
2012-08-29,222.05
2012-08-30,220.15
2012-08-31,217.2
2012-09-03,217.35
2012-09-04,214.05
2012-09-05,212.5
2012-09-06,212.05
2012-09-07,221.2
2012-09-08,228.35
2012-09-10,243.95
2012-09-11,236.5
2012-09-12,233.4
2012-09-13,228.95
2012-09-14,228.0
2012-09-17,227.05
2012-09-18,224.95
2012-09-20,225.8
2012-09-21,226.6
2012-09-24,227.4
2012-09-25,228.0
2012-09-26,237.8
2012-09-27,240.5
2012-09-28,239.95
2012-10-01,242.85
2012-10-03,241.3
2012-10-04,240.0
2012-10-05,233.6
2012-10-08,231.6
2012-10-09,232.5
2012-10-10,221.9
2012-10-11,222.9
2012-10-12,220.95
2012-10-15,220.4
2012-10-16,225.0
2012-10-17,225.25
2012-10-18,227.7
2012-10-19,229.05
2012-10-22,230.05
2012-10-23,229.1
2012-10-25,228.9
2012-10-26,235.15
2012-10-29,238.45
2012-10-30,238.6
2012-10-31,245.6
2012-11-01,241.6
2012-11-02,240.8
2012-11-05,245.95
2012-11-06,256.55
2012-11-07,248.65
2012-11-08,248.9
2012-11-09,248.8
2012-11-12,250.45
2012-11-13,253.1
2012-11-15,247.5
2012-11-16,243.5
2012-11-19,236.2
2012-11-20,231.9
2012-11-21,234.65
2012-11-22,247.2
2012-11-23,249.8
2012-11-26,247.15
2012-11-27,248.05
2012-11-29,250.0
2012-11-30,250.95
2012-12-03,244.95
2012-12-04,250.7
2012-12-05,246.4
2012-12-06,250.0
2012-12-07,249.7
2012-12-10,251.5
2012-12-11,247.9
2012-12-12,246.35
2012-12-13,246.15
2012-12-14,246.0
2012-12-17,249.5
2012-12-18,250.05
2012-12-19,251.0
2012-12-20,250.0
2012-12-21,247.3
2012-12-24,248.1
2012-12-26,248.15
2012-12-27,245.25
2012-12-28,246.95
2012-12-31,246.0
