Date,GAEL
2012-01-02,18.95
2012-01-03,19.1
2012-01-04,19.0
2012-01-05,18.8
2012-01-06,19.25
2012-01-07,19.5
2012-01-09,19.45
2012-01-10,21.25
2012-01-11,22.2
2012-01-12,21.1
2012-01-13,20.7
2012-01-16,20.75
2012-01-17,20.9
2012-01-18,21.15
2012-01-19,20.9
2012-01-20,20.6
2012-01-23,20.85
2012-01-24,22.45
2012-01-25,22.35
2012-01-27,22.55
2012-01-30,22.55
2012-01-31,22.25
2012-02-01,22.8
2012-02-02,22.55
2012-02-03,22.85
2012-02-06,23.35
2012-02-07,22.75
2012-02-08,24.3
2012-02-09,25.45
2012-02-10,24.95
2012-02-13,24.3
2012-02-14,24.4
2012-02-15,24.45
2012-02-16,24.55
2012-02-17,24.25
2012-02-21,24.6
2012-02-22,23.0
2012-02-23,22.7
2012-02-24,23.75
2012-02-27,21.85
2012-02-28,21.85
2012-02-29,21.25
2012-03-01,22.05
2012-03-02,21.65
2012-03-03,22.0
2012-03-05,22.0
2012-03-06,22.5
2012-03-07,21.75
2012-03-09,22.15
2012-03-12,22.75
2012-03-13,23.0
2012-03-14,22.55
2012-03-15,23.1
2012-03-16,22.4
2012-03-19,21.9
2012-03-20,21.5
2012-03-21,22.15
2012-03-22,21.55
2012-03-23,21.65
2012-03-26,21.4
2012-03-27,20.5
2012-03-28,20.65
2012-03-29,21.85
2012-03-30,22.8
2012-04-02,22.5
2012-04-03,22.55
2012-04-04,22.4
2012-04-09,23.45
2012-04-10,22.7
2012-04-11,22.4
2012-04-12,22.5
2012-04-13,22.25
2012-04-16,21.9
2012-04-17,21.7
2012-04-18,21.9
2012-04-19,21.65
2012-04-20,21.35
2012-04-23,21.1
2012-04-24,20.75
2012-04-25,20.3
2012-04-26,20.65
2012-04-27,20.8
2012-04-28,20.95
2012-04-30,22.2
2012-05-02,21.9
2012-05-03,21.45
2012-05-04,21.05
2012-05-07,20.6
2012-05-08,20.3
2012-05-09,19.95
2012-05-10,19.7
2012-05-11,19.3
2012-05-14,18.9
2012-05-15,19.0
2012-05-16,18.85
2012-05-17,18.5
2012-05-18,18.35
2012-05-21,19.1
2012-05-22,19.1
2012-05-23,19.05
2012-05-24,19.3
2012-05-25,18.75
2012-05-28,19.2
2012-05-29,19.2
2012-05-30,18.6
2012-05-31,18.45
2012-06-01,18.1
2012-06-04,18.5
2012-06-05,18.75
2012-06-06,19.05
2012-06-07,18.85
2012-06-08,18.55
2012-06-11,19.05
2012-06-12,19.2
2012-06-13,18.95
2012-06-14,18.7
2012-06-15,19.0
2012-06-18,18.45
2012-06-19,18.35
2012-06-20,18.3
2012-06-21,18.5
2012-06-22,18.35
2012-06-25,18.85
2012-06-26,19.75
2012-06-27,20.95
2012-06-28,20.45
2012-06-29,19.85
2012-07-02,20.0
2012-07-03,19.55
2012-07-04,18.8
2012-07-05,21.65
2012-07-06,20.35
2012-07-09,20.55
2012-07-09,20.55
2012-07-10,20.85
2012-07-11,20.95
2012-07-12,20.3
2012-07-13,20.05
2012-07-16,21.5
2012-07-17,21.2
2012-07-18,20.9
2012-07-19,20.8
2012-07-20,20.4
2012-07-23,21.45
2012-07-24,22.7
2012-07-25,23.1
2012-07-26,21.4
2012-07-27,20.95
2012-07-30,21.0
2012-07-31,20.95
2012-08-01,22.45
2012-08-02,21.6
2012-08-03,21.6
2012-08-06,21.75
2012-08-07,21.6
2012-08-08,21.7
2012-08-09,21.45
2012-08-10,21.4
2012-08-13,21.2
2012-08-14,23.15
2012-08-16,23.9
2012-08-17,23.0
2012-08-21,23.05
2012-08-22,22.55
2012-08-23,22.1
2012-08-24,21.7
2012-08-27,21.45
2012-08-28,21.2
2012-08-29,20.55
2012-08-30,20.35
2012-08-31,20.4
2012-09-03,20.35
2012-09-04,21.55
2012-09-05,21.7
2012-09-06,21.75
2012-09-07,21.7
2012-09-08,21.4
2012-09-10,21.5
2012-09-11,21.4
2012-09-12,22.3
2012-09-13,21.65
2012-09-14,21.95
2012-09-17,21.7
2012-09-18,21.85
2012-09-20,21.5
2012-09-21,21.8
2012-09-24,21.95
2012-09-25,21.75
2012-09-26,21.75
2012-09-27,22.15
2012-09-28,22.0
2012-10-01,23.75
2012-10-03,23.25
2012-10-04,23.0
2012-10-05,23.1
2012-10-08,22.5
2012-10-09,22.65
2012-10-10,22.2
2012-10-11,22.2
2012-10-12,22.15
2012-10-15,22.45
2012-10-16,22.5
2012-10-17,22.35
2012-10-18,22.85
2012-10-19,23.85
2012-10-22,23.35
2012-10-23,23.05
2012-10-25,22.8
2012-10-26,22.55
2012-10-29,22.5
2012-10-30,22.25
2012-10-31,22.2
2012-11-01,22.5
2012-11-02,22.35
2012-11-05,24.15
2012-11-06,24.75
2012-11-07,24.45
2012-11-08,25.0
2012-11-09,24.5
2012-11-12,24.85
2012-11-13,25.1
2012-11-15,25.15
2012-11-16,24.65
2012-11-19,24.65
2012-11-20,24.25
2012-11-21,24.2
2012-11-22,24.3
2012-11-23,23.95
2012-11-26,23.9
2012-11-27,25.15
2012-11-29,26.55
2012-11-30,25.95
2012-12-03,25.45
2012-12-04,25.05
2012-12-05,25.2
2012-12-06,25.45
2012-12-07,26.8
2012-12-10,26.55
2012-12-11,26.8
2012-12-12,26.5
2012-12-13,26.05
2012-12-14,25.75
2012-12-17,25.5
2012-12-18,25.65
2012-12-19,25.8
2012-12-20,25.7
2012-12-21,25.5
2012-12-24,25.3
2012-12-26,25.65
2012-12-27,25.9
2012-12-28,25.75
2012-12-31,25.8
