Date,INDSWFTLTD
2012-01-02,23.3
2012-01-03,23.9
2012-01-04,25.35
2012-01-05,25.45
2012-01-06,25.1
2012-01-07,25.6
2012-01-09,26.1
2012-01-10,27.35
2012-01-11,28.4
2012-01-12,27.7
2012-01-13,28.65
2012-01-16,29.6
2012-01-17,29.85
2012-01-18,29.15
2012-01-19,29.45
2012-01-20,28.85
2012-01-23,28.85
2012-01-24,28.85
2012-01-25,28.75
2012-01-27,28.7
2012-01-30,28.6
2012-01-31,30.0
2012-02-01,29.55
2012-02-02,29.8
2012-02-03,29.7
2012-02-06,31.0
2012-02-07,31.05
2012-02-08,32.35
2012-02-09,32.3
2012-02-10,31.15
2012-02-13,31.3
2012-02-14,30.8
2012-02-15,30.85
2012-02-16,31.95
2012-02-17,31.0
2012-02-21,31.0
2012-02-22,29.75
2012-02-23,29.05
2012-02-24,28.7
2012-02-27,27.5
2012-02-28,28.5
2012-02-29,28.3
2012-03-01,28.0
2012-03-02,28.15
2012-03-03,28.4
2012-03-05,27.55
2012-03-06,26.9
2012-03-07,26.65
2012-03-09,27.2
2012-03-12,27.55
2012-03-13,27.6
2012-03-14,27.55
2012-03-15,27.45
2012-03-16,27.1
2012-03-19,27.0
2012-03-20,26.85
2012-03-21,27.15
2012-03-22,27.3
2012-03-23,27.25
2012-03-26,26.55
2012-03-27,26.2
2012-03-28,26.1
2012-03-29,26.65
2012-03-30,26.7
2012-04-02,26.75
2012-04-03,26.95
2012-04-04,26.95
2012-04-09,26.9
2012-04-10,27.1
2012-04-11,27.15
2012-04-12,28.0
2012-04-13,29.15
2012-04-16,28.55
2012-04-17,28.7
2012-04-18,28.9
2012-04-19,29.15
2012-04-20,28.7
2012-04-23,28.3
2012-04-24,28.0
2012-04-25,27.75
2012-04-26,27.15
2012-04-27,27.0
2012-04-28,26.8
2012-04-30,27.3
2012-05-02,27.15
2012-05-03,26.9
2012-05-04,27.05
2012-05-07,27.35
2012-05-08,27.75
2012-05-09,27.5
2012-05-10,27.55
2012-05-11,27.5
2012-05-14,26.65
2012-05-15,26.65
2012-05-16,25.75
2012-05-17,25.7
2012-05-18,24.8
2012-05-21,24.85
2012-05-22,24.05
2012-05-23,23.15
2012-05-24,23.7
2012-05-25,23.95
2012-05-28,24.1
2012-05-29,24.25
2012-05-30,23.8
2012-05-31,23.9
2012-06-01,23.7
2012-06-04,23.05
2012-06-05,23.35
2012-06-06,23.45
2012-06-07,23.4
2012-06-08,23.4
2012-06-11,22.4
2012-06-12,22.3
2012-06-13,22.65
2012-06-14,20.6
2012-06-15,18.95
2012-06-18,19.3
2012-06-19,19.25
2012-06-20,19.05
2012-06-21,19.4
2012-06-22,19.35
2012-06-25,19.7
2012-06-26,19.85
2012-06-27,19.75
2012-06-28,19.65
2012-06-29,19.95
2012-07-02,20.65
2012-07-03,21.35
2012-07-04,21.65
2012-07-05,21.8
2012-07-06,22.4
2012-07-09,21.75
2012-07-09,21.75
2012-07-10,21.8
2012-07-11,21.1
2012-07-12,20.7
2012-07-13,20.45
2012-07-16,19.05
2012-07-17,18.35
2012-07-18,18.25
2012-07-19,18.75
2012-07-20,18.8
2012-07-23,18.1
2012-07-24,18.45
2012-07-25,18.65
2012-07-26,18.05
2012-07-27,18.0
2012-07-30,17.8
2012-07-31,17.75
2012-08-01,18.4
2012-08-02,18.0
2012-08-03,18.2
2012-08-06,18.8
2012-08-07,18.5
2012-08-08,18.05
2012-08-09,18.3
2012-08-10,18.2
2012-08-13,18.5
2012-08-14,18.15
2012-08-16,18.4
2012-08-17,18.5
2012-08-21,18.25
2012-08-22,18.05
2012-08-23,18.65
2012-08-24,19.75
2012-08-27,19.35
2012-08-28,17.9
2012-08-29,16.95
2012-08-30,17.3
2012-08-31,17.0
2012-09-03,19.35
2012-09-04,20.45
2012-09-05,18.35
2012-09-06,18.8
2012-09-07,18.55
2012-09-08,18.65
2012-09-10,18.75
2012-09-11,19.25
2012-09-12,19.15
2012-09-13,18.8
2012-09-14,18.55
2012-09-17,18.15
2012-09-18,18.15
2012-09-20,17.9
2012-09-21,18.1
2012-09-24,18.1
2012-09-25,18.35
2012-09-26,18.05
2012-09-27,18.15
2012-09-28,17.85
2012-10-01,17.8
2012-10-03,18.0
2012-10-04,18.25
2012-10-05,17.9
2012-10-08,18.0
2012-10-09,17.8
2012-10-10,17.65
2012-10-11,17.85
2012-10-12,17.75
2012-10-15,17.8
2012-10-16,17.7
2012-10-17,17.6
2012-10-18,17.7
2012-10-19,17.75
2012-10-22,17.9
2012-10-23,17.7
2012-10-25,17.65
2012-10-26,17.55
2012-10-29,17.35
2012-10-30,16.95
2012-10-31,17.55
2012-11-01,17.35
2012-11-02,17.3
2012-11-05,17.1
2012-11-06,16.65
2012-11-07,16.65
2012-11-08,15.55
2012-11-09,13.85
2012-11-12,13.55
2012-11-13,13.6
2012-11-15,13.6
2012-11-16,13.35
2012-11-19,12.8
2012-11-20,12.8
2012-11-21,12.8
2012-11-22,13.05
2012-11-23,12.85
2012-11-26,12.85
2012-11-27,12.75
2012-11-29,12.25
2012-11-30,12.7
2012-12-03,13.3
2012-12-04,13.25
2012-12-05,13.3
2012-12-06,13.25
2012-12-07,13.05
2012-12-10,13.3
2012-12-11,13.05
2012-12-12,12.7
2012-12-13,12.65
2012-12-14,12.65
2012-12-17,12.7
2012-12-18,12.8
2012-12-19,12.85
2012-12-20,12.85
2012-12-21,12.75
2012-12-24,13.25
2012-12-26,13.15
2012-12-27,12.85
2012-12-28,13.0
2012-12-31,12.9
