Date,CANTABIL
2012-01-02,14.85
2012-01-03,14.85
2012-01-04,14.95
2012-01-05,15.55
2012-01-06,15.85
2012-01-07,17.4
2012-01-09,16.55
2012-01-10,17.1
2012-01-11,17.8
2012-01-12,17.75
2012-01-13,17.55
2012-01-16,17.55
2012-01-17,17.6
2012-01-18,17.2
2012-01-19,17.45
2012-01-20,17.25
2012-01-23,17.95
2012-01-24,18.0
2012-01-25,18.0
2012-01-27,17.9
2012-01-30,17.55
2012-01-31,17.8
2012-02-01,17.95
2012-02-02,17.75
2012-02-03,17.3
2012-02-06,17.6
2012-02-07,18.5
2012-02-08,18.25
2012-02-09,18.45
2012-02-10,18.6
2012-02-13,18.35
2012-02-14,18.15
2012-02-15,19.4
2012-02-16,23.25
2012-02-17,23.6
2012-02-21,24.1
2012-02-22,23.7
2012-02-23,22.8
2012-02-24,21.9
2012-02-27,20.3
2012-02-28,20.45
2012-02-29,20.5
2012-03-01,20.45
2012-03-02,20.35
2012-03-03,20.35
2012-03-05,20.1
2012-03-06,19.85
2012-03-07,19.2
2012-03-09,19.05
2012-03-12,19.3
2012-03-13,19.05
2012-03-14,18.7
2012-03-15,18.85
2012-03-16,18.45
2012-03-19,18.0
2012-03-20,18.05
2012-03-21,18.4
2012-03-22,18.1
2012-03-23,17.55
2012-03-26,17.7
2012-03-27,17.25
2012-03-28,16.8
2012-03-29,16.55
2012-03-30,16.4
2012-04-02,17.0
2012-04-03,17.45
2012-04-04,17.55
2012-04-09,17.15
2012-04-10,17.25
2012-04-11,16.95
2012-04-12,16.9
2012-04-13,16.9
2012-04-16,17.0
2012-04-17,16.85
2012-04-18,16.9
2012-04-19,16.85
2012-04-20,16.85
2012-04-23,16.25
2012-04-24,16.5
2012-04-25,16.2
2012-04-26,16.15
2012-04-27,16.05
2012-04-28,16.35
2012-04-30,16.6
2012-05-02,16.35
2012-05-03,15.95
2012-05-04,15.7
2012-05-07,15.85
2012-05-08,15.75
2012-05-09,15.65
2012-05-10,15.5
2012-05-11,15.35
2012-05-14,15.15
2012-05-15,15.5
2012-05-16,15.1
2012-05-17,15.15
2012-05-18,15.1
2012-05-21,14.75
2012-05-22,15.0
2012-05-23,15.0
2012-05-24,15.3
2012-05-25,15.25
2012-05-28,15.35
2012-05-29,15.0
2012-05-30,15.0
2012-05-31,15.5
2012-06-01,15.5
2012-06-04,15.6
2012-06-05,15.65
2012-06-06,16.0
2012-06-07,16.1
2012-06-08,16.35
2012-06-11,16.05
2012-06-12,16.25
2012-06-13,16.45
2012-06-14,16.25
2012-06-15,16.65
2012-06-18,16.85
2012-06-19,16.95
2012-06-20,17.05
2012-06-21,17.35
2012-06-22,17.0
2012-06-25,16.95
2012-06-26,17.1
2012-06-27,17.35
2012-06-28,18.6
2012-06-29,18.95
2012-07-02,19.0
2012-07-03,19.85
2012-07-04,19.75
2012-07-05,21.55
2012-07-06,22.6
2012-07-09,22.6
2012-07-09,22.6
2012-07-10,22.35
2012-07-11,22.0
2012-07-12,22.15
2012-07-13,21.85
2012-07-16,21.9
2012-07-17,21.65
2012-07-18,21.65
2012-07-19,21.95
2012-07-20,21.85
2012-07-23,21.15
2012-07-24,20.85
2012-07-25,20.7
2012-07-26,20.4
2012-07-27,20.45
2012-07-30,20.5
2012-07-31,20.9
2012-08-01,20.45
2012-08-02,20.25
2012-08-03,20.25
2012-08-06,21.35
2012-08-07,21.3
2012-08-08,21.0
2012-08-09,20.25
2012-08-10,20.1
2012-08-13,20.25
2012-08-14,20.6
2012-08-16,20.95
2012-08-17,20.35
2012-08-21,20.25
2012-08-22,19.85
2012-08-23,19.75
2012-08-24,19.75
2012-08-27,19.4
2012-08-28,18.8
2012-08-29,18.75
2012-08-30,18.3
2012-08-31,18.4
2012-09-03,18.35
2012-09-04,18.35
2012-09-05,18.3
2012-09-06,17.7
2012-09-07,18.1
2012-09-08,18.05
2012-09-10,18.2
2012-09-11,18.4
2012-09-12,18.15
2012-09-13,17.8
2012-09-14,18.05
2012-09-17,19.0
2012-09-18,19.05
2012-09-20,18.6
2012-09-21,19.05
2012-09-24,18.9
2012-09-25,19.45
2012-09-26,19.45
2012-09-27,19.15
2012-09-28,19.25
2012-10-01,19.55
2012-10-03,19.55
2012-10-04,19.7
2012-10-05,19.0
2012-10-08,19.2
2012-10-09,19.0
2012-10-10,18.75
2012-10-11,19.25
2012-10-12,18.85
2012-10-15,19.3
2012-10-16,18.7
2012-10-17,18.5
2012-10-18,18.6
2012-10-19,18.65
2012-10-22,18.4
2012-10-23,18.3
2012-10-25,18.95
2012-10-26,19.15
2012-10-29,18.9
2012-10-30,19.1
2012-10-31,18.45
2012-11-01,18.9
2012-11-02,19.0
2012-11-05,18.95
2012-11-06,19.9
2012-11-07,19.8
2012-11-08,19.4
2012-11-09,19.25
2012-11-12,18.95
2012-11-13,19.0
2012-11-15,18.55
2012-11-16,18.9
2012-11-19,18.25
2012-11-20,18.2
2012-11-21,18.3
2012-11-22,18.85
2012-11-23,18.95
2012-11-26,18.95
2012-11-27,19.0
2012-11-29,19.25
2012-11-30,19.0
2012-12-03,19.85
2012-12-04,20.2
2012-12-05,21.3
2012-12-06,22.55
2012-12-07,22.95
2012-12-10,21.1
2012-12-11,20.25
2012-12-12,19.7
2012-12-13,19.8
2012-12-14,20.25
2012-12-17,19.7
2012-12-18,19.5
2012-12-19,19.2
2012-12-20,19.55
2012-12-21,19.2
2012-12-24,18.85
2012-12-26,19.25
2012-12-27,19.2
2012-12-28,19.0
2012-12-31,18.9
