Date,ADANIPOWER
2012-01-02,62.65
2012-01-03,66.55
2012-01-04,65.4
2012-01-05,64.45
2012-01-06,64.45
2012-01-07,64.55
2012-01-09,65.25
2012-01-10,69.2
2012-01-11,77.25
2012-01-12,81.1
2012-01-13,80.6
2012-01-16,80.25
2012-01-17,83.45
2012-01-18,82.5
2012-01-19,87.95
2012-01-20,87.6
2012-01-23,88.4
2012-01-24,89.3
2012-01-25,88.3
2012-01-27,83.95
2012-01-30,78.85
2012-01-31,80.05
2012-02-01,82.85
2012-02-02,82.5
2012-02-03,80.45
2012-02-06,82.05
2012-02-07,74.25
2012-02-08,72.95
2012-02-09,70.55
2012-02-10,72.0
2012-02-13,69.45
2012-02-14,69.3
2012-02-15,78.85
2012-02-16,81.35
2012-02-17,85.0
2012-02-21,92.25
2012-02-22,83.1
2012-02-23,83.35
2012-02-24,81.4
2012-02-27,72.9
2012-02-28,77.4
2012-02-29,75.85
2012-03-01,78.2
2012-03-02,76.5
2012-03-03,77.95
2012-03-05,75.9
2012-03-06,72.85
2012-03-07,74.3
2012-03-09,75.55
2012-03-12,75.1
2012-03-13,74.9
2012-03-14,75.0
2012-03-15,75.65
2012-03-16,72.9
2012-03-19,69.3
2012-03-20,66.5
2012-03-21,67.75
2012-03-22,64.45
2012-03-23,68.15
2012-03-26,66.65
2012-03-27,68.2
2012-03-28,67.7
2012-03-29,67.1
2012-03-30,68.5
2012-04-02,68.6
2012-04-03,70.5
2012-04-04,72.5
2012-04-09,71.55
2012-04-10,72.6
2012-04-11,70.95
2012-04-12,71.45
2012-04-13,69.8
2012-04-16,70.2
2012-04-17,71.55
2012-04-18,71.95
2012-04-19,71.0
2012-04-20,69.25
2012-04-23,67.25
2012-04-24,66.45
2012-04-25,65.65
2012-04-26,63.45
2012-04-27,62.85
2012-04-28,63.6
2012-04-30,64.15
2012-05-02,63.35
2012-05-03,62.3
2012-05-04,60.35
2012-05-07,58.75
2012-05-08,56.35
2012-05-09,54.5
2012-05-10,53.85
2012-05-11,52.1
2012-05-14,50.15
2012-05-15,51.5
2012-05-16,51.75
2012-05-17,50.35
2012-05-18,51.05
2012-05-21,51.6
2012-05-22,50.25
2012-05-23,49.6
2012-05-24,50.45
2012-05-25,50.85
2012-05-28,51.1
2012-05-29,50.65
2012-05-30,49.15
2012-05-31,47.3
2012-06-01,45.65
2012-06-04,45.75
2012-06-05,45.55
2012-06-06,47.4
2012-06-07,47.85
2012-06-08,47.0
2012-06-11,48.1
2012-06-12,48.05
2012-06-13,47.55
2012-06-14,47.1
2012-06-15,48.2
2012-06-18,46.05
2012-06-19,45.75
2012-06-20,46.35
2012-06-21,46.45
2012-06-22,47.2
2012-06-25,46.75
2012-06-26,46.55
2012-06-27,47.7
2012-06-28,47.5
2012-06-29,49.95
2012-07-02,51.15
2012-07-03,51.9
2012-07-04,52.55
2012-07-05,52.8
2012-07-06,51.45
2012-07-09,49.05
2012-07-09,49.05
2012-07-10,50.3
2012-07-11,51.35
2012-07-12,51.25
2012-07-13,50.25
2012-07-16,48.75
2012-07-17,46.4
2012-07-18,45.9
2012-07-19,45.7
2012-07-20,45.45
2012-07-23,45.05
2012-07-24,45.1
2012-07-25,44.5
2012-07-26,42.3
2012-07-27,41.75
2012-07-30,43.0
2012-07-31,43.7
2012-08-01,43.3
2012-08-02,43.25
2012-08-03,42.85
2012-08-06,42.9
2012-08-07,43.15
2012-08-08,42.7
2012-08-09,41.8
2012-08-10,41.55
2012-08-13,42.3
2012-08-14,43.2
2012-08-16,43.5
2012-08-17,42.1
2012-08-21,42.1
2012-08-22,41.9
2012-08-23,40.85
2012-08-24,40.4
2012-08-27,38.9
2012-08-28,38.4
2012-08-29,37.7
2012-08-30,37.7
2012-08-31,39.8
2012-09-03,40.25
2012-09-04,41.45
2012-09-05,41.55
2012-09-06,42.05
2012-09-07,42.05
2012-09-08,41.05
2012-09-10,42.4
2012-09-11,42.7
2012-09-12,42.2
2012-09-13,41.1
2012-09-14,43.15
2012-09-17,45.45
2012-09-18,46.1
2012-09-20,44.65
2012-09-21,46.85
2012-09-24,50.75
2012-09-25,51.15
2012-09-26,50.95
2012-09-27,52.8
2012-09-28,52.95
2012-10-01,51.85
2012-10-03,52.7
2012-10-04,55.2
2012-10-05,53.45
2012-10-08,52.3
2012-10-09,51.6
2012-10-10,49.45
2012-10-11,50.45
2012-10-12,50.45
2012-10-15,51.55
2012-10-16,49.55
2012-10-17,49.2
2012-10-18,50.15
2012-10-19,48.95
2012-10-22,48.2
2012-10-23,47.9
2012-10-25,47.75
2012-10-26,47.4
2012-10-29,47.85
2012-10-30,48.0
2012-10-31,48.2
2012-11-01,49.4
2012-11-02,49.45
2012-11-05,48.75
2012-11-06,49.65
2012-11-07,50.0
2012-11-08,49.3
2012-11-09,48.7
2012-11-12,47.95
2012-11-13,48.1
2012-11-15,48.4
2012-11-16,47.5
2012-11-19,47.5
2012-11-20,46.8
2012-11-21,46.9
2012-11-22,46.9
2012-11-23,46.75
2012-11-26,47.0
2012-11-27,49.85
2012-11-29,50.8
2012-11-30,53.1
2012-12-03,54.45
2012-12-04,55.1
2012-12-05,53.85
2012-12-06,57.6
2012-12-07,58.05
2012-12-10,60.8
2012-12-11,63.4
2012-12-12,63.25
2012-12-13,61.2
2012-12-14,61.4
2012-12-17,63.3
2012-12-18,64.15
2012-12-19,68.6
2012-12-20,65.2
2012-12-21,61.1
2012-12-24,61.1
2012-12-26,62.05
2012-12-27,62.5
2012-12-28,61.85
2012-12-31,61.7
