Date,ALCHEM
2012-01-02,96.55
2012-01-03,91.75
2012-01-04,87.2
2012-01-05,82.85
2012-01-06,78.75
2012-01-07,74.85
2012-01-09,71.15
2012-01-10,67.6
2012-01-11,64.25
2012-01-12,61.05
2012-01-13,58.0
2012-01-16,55.1
2012-01-17,57.85
2012-01-18,60.7
2012-01-19,63.7
2012-01-20,66.85
2012-01-23,70.15
2012-01-24,73.65
2012-01-25,77.3
2012-01-27,81.15
2012-01-30,77.1
2012-01-31,73.25
2012-02-01,69.6
2012-02-02,73.05
2012-02-03,72.7
2012-02-06,69.25
2012-02-07,66.85
2012-02-08,65.65
2012-02-09,66.1
2012-02-10,68.8
2012-02-13,68.4
2012-02-14,69.6
2012-02-15,73.05
2012-02-16,76.7
2012-02-17,80.5
2012-02-21,78.2
2012-02-22,74.65
2012-02-23,73.55
2012-02-24,74.15
2012-02-27,70.5
2012-02-28,73.05
2012-02-29,72.85
2012-03-01,71.35
2012-03-02,72.3
2012-03-03,72.65
2012-03-05,69.65
2012-03-06,69.55
2012-03-07,68.45
2012-03-09,67.75
2012-03-12,67.25
2012-03-13,67.65
2012-03-14,67.2
2012-03-15,67.45
2012-03-16,66.45
2012-03-19,64.85
2012-03-20,61.15
2012-03-21,61.2
2012-03-22,64.5
2012-03-23,63.65
2012-03-26,62.4
2012-03-27,61.6
2012-03-28,58.0
2012-03-29,63.8
2012-03-30,70.15
2012-04-02,75.1
2012-04-03,72.05
2012-04-04,72.05
2012-04-09,70.35
2012-04-10,68.45
2012-04-11,66.7
2012-04-12,67.15
2012-04-13,67.95
2012-04-16,68.6
2012-04-17,68.35
2012-04-18,68.0
2012-04-19,67.95
2012-04-20,66.8
2012-04-23,67.25
2012-04-24,66.8
2012-04-25,64.85
2012-04-26,64.4
2012-04-27,62.7
2012-04-28,65.05
2012-04-30,66.65
2012-05-02,67.45
2012-05-03,66.35
2012-05-04,64.35
2012-05-07,62.25
2012-05-08,62.55
2012-05-09,60.05
2012-05-10,59.25
2012-05-11,57.65
2012-05-14,58.4
2012-05-15,59.55
2012-05-16,58.9
2012-05-17,59.1
2012-05-18,60.45
2012-05-21,61.0
2012-05-22,62.0
2012-05-23,60.25
2012-05-24,61.25
2012-05-25,62.0
2012-05-28,61.95
2012-05-29,61.9
2012-05-30,61.35
2012-05-31,60.8
2012-06-01,60.4
2012-06-04,60.55
2012-06-05,59.15
2012-06-06,60.75
2012-06-07,61.05
2012-06-08,61.7
2012-06-11,60.05
2012-06-12,59.85
2012-06-13,59.8
2012-06-14,58.9
2012-06-15,59.15
2012-06-18,59.4
2012-06-19,59.2
2012-06-20,58.65
2012-06-21,58.6
2012-06-22,58.45
2012-06-25,59.25
2012-06-26,59.35
2012-06-27,59.35
2012-06-28,60.75
2012-06-29,60.95
2012-07-02,60.75
2012-07-03,60.05
2012-07-04,60.0
2012-07-05,60.1
2012-07-06,60.0
2012-07-09,60.2
2012-07-09,60.2
2012-07-10,59.9
2012-07-11,59.25
2012-07-12,58.55
2012-07-13,59.35
2012-07-16,58.8
2012-07-17,58.75
2012-07-18,59.6
2012-07-19,59.75
2012-07-20,59.8
2012-07-23,59.15
2012-07-24,58.7
2012-07-25,58.2
2012-07-26,58.2
2012-07-27,50.95
2012-07-30,53.55
2012-07-31,52.5
2012-08-01,53.85
2012-08-02,51.75
2012-08-03,52.05
2012-08-06,52.8
2012-08-07,51.2
2012-08-08,51.95
2012-08-09,51.0
2012-08-10,50.1
2012-08-13,50.7
2012-08-14,50.45
2012-08-16,59.8
2012-08-17,62.2
2012-08-21,60.95
2012-08-22,59.75
2012-08-23,60.15
2012-08-24,57.95
2012-08-27,57.05
2012-08-28,61.4
2012-08-29,58.6
2012-08-30,57.7
2012-08-31,57.1
2012-09-03,53.15
2012-09-04,53.15
2012-09-05,52.1
2012-09-06,52.3
2012-09-07,51.15
2012-09-08,51.7
2012-09-10,50.75
2012-09-11,51.6
2012-09-12,51.8
2012-09-13,53.9
2012-09-14,53.65
2012-09-17,54.15
2012-09-18,52.85
2012-09-20,53.1
2012-09-21,53.75
2012-09-24,54.55
2012-09-25,53.15
2012-09-26,53.35
2012-09-27,53.1
2012-09-28,53.3
2012-10-01,53.05
2012-10-03,53.7
2012-10-04,54.15
2012-10-05,53.7
2012-10-08,54.05
2012-10-09,55.1
2012-10-10,53.95
2012-10-11,54.9
2012-10-12,53.95
2012-10-15,54.25
2012-10-16,53.35
2012-10-17,52.65
2012-10-18,53.0
2012-10-19,51.9
2012-10-22,53.05
2012-10-23,52.6
2012-10-25,52.9
2012-10-26,51.85
2012-10-29,51.55
2012-10-30,51.65
2012-10-31,51.3
2012-11-01,52.6
2012-11-02,51.75
2012-11-05,52.1
2012-11-06,51.9
2012-11-07,52.1
2012-11-08,52.75
2012-11-09,55.15
2012-11-12,53.8
2012-11-13,54.05
2012-11-15,53.5
2012-11-16,53.35
2012-11-19,53.8
2012-11-20,52.85
2012-11-21,53.8
2012-11-22,52.6
2012-11-23,52.0
2012-11-26,52.3
2012-11-27,52.75
2012-11-29,53.7
2012-11-30,52.65
2012-12-03,53.55
2012-12-04,53.45
2012-12-05,55.45
2012-12-06,65.1
2012-12-07,62.2
2012-12-10,61.75
2012-12-11,59.45
2012-12-12,58.2
2012-12-13,56.65
2012-12-14,57.55
2012-12-17,64.3
2012-12-18,71.75
2012-12-19,73.55
2012-12-20,71.45
2012-12-21,69.65
2012-12-24,70.85
2012-12-26,69.8
2012-12-27,69.2
2012-12-28,70.2
2012-12-31,72.95
