Date,TANLA
2012-01-02,5.95
2012-01-03,6.15
2012-01-04,6.25
2012-01-05,6.05
2012-01-06,6.05
2012-01-07,6.25
2012-01-09,6.7
2012-01-10,7.25
2012-01-11,7.3
2012-01-12,7.0
2012-01-13,7.1
2012-01-16,7.1
2012-01-17,7.05
2012-01-18,6.85
2012-01-19,7.1
2012-01-20,6.95
2012-01-23,7.05
2012-01-24,6.95
2012-01-25,7.1
2012-01-27,7.25
2012-01-30,7.0
2012-01-31,7.1
2012-02-01,7.15
2012-02-02,7.2
2012-02-03,7.35
2012-02-06,7.5
2012-02-07,7.2
2012-02-08,7.4
2012-02-09,7.5
2012-02-10,7.45
2012-02-13,7.35
2012-02-14,7.4
2012-02-15,7.55
2012-02-16,8.3
2012-02-17,9.1
2012-02-21,10.0
2012-02-22,9.5
2012-02-23,9.05
2012-02-24,8.6
2012-02-27,8.2
2012-02-28,8.5
2012-02-29,8.35
2012-03-01,8.2
2012-03-02,8.15
2012-03-03,8.2
2012-03-05,8.05
2012-03-06,7.85
2012-03-07,7.75
2012-03-09,7.8
2012-03-12,7.85
2012-03-13,8.05
2012-03-14,7.9
2012-03-15,7.65
2012-03-16,7.65
2012-03-19,7.35
2012-03-20,7.25
2012-03-21,7.6
2012-03-22,7.35
2012-03-23,7.1
2012-03-26,7.0
2012-03-27,7.05
2012-03-28,6.75
2012-03-29,6.6
2012-03-30,6.85
2012-04-02,7.15
2012-04-03,7.2
2012-04-04,7.3
2012-04-09,7.1
2012-04-10,7.1
2012-04-11,6.9
2012-04-12,7.05
2012-04-13,6.9
2012-04-16,7.0
2012-04-17,7.0
2012-04-18,7.05
2012-04-19,7.0
2012-04-20,7.0
2012-04-23,6.65
2012-04-24,6.6
2012-04-25,6.65
2012-04-26,6.5
2012-04-27,6.4
2012-04-28,6.5
2012-04-30,6.35
2012-05-02,6.4
2012-05-03,6.3
2012-05-04,6.15
2012-05-07,6.1
2012-05-08,6.1
2012-05-09,5.9
2012-05-10,6.05
2012-05-11,5.95
2012-05-14,5.6
2012-05-15,5.55
2012-05-16,5.9
2012-05-17,5.8
2012-05-18,5.75
2012-05-21,5.95
2012-05-22,5.8
2012-05-23,5.8
2012-05-24,5.9
2012-05-25,5.85
2012-05-28,5.95
2012-05-29,5.95
2012-05-30,5.75
2012-05-31,5.9
2012-06-01,5.75
2012-06-04,5.45
2012-06-05,5.5
2012-06-06,5.7
2012-06-07,5.7
2012-06-08,5.65
2012-06-11,5.6
2012-06-12,5.7
2012-06-13,5.55
2012-06-14,5.55
2012-06-15,5.65
2012-06-18,5.6
2012-06-19,5.55
2012-06-20,5.55
2012-06-21,5.7
2012-06-22,5.7
2012-06-25,5.85
2012-06-26,5.8
2012-06-27,5.75
2012-06-28,5.85
2012-06-29,5.8
2012-07-02,5.95
2012-07-03,6.05
2012-07-04,6.65
2012-07-05,7.3
2012-07-06,7.65
2012-07-09,7.25
2012-07-10,7.1
2012-07-11,7.15
2012-07-12,6.95
2012-07-13,6.9
2012-07-16,6.6
2012-07-17,6.25
2012-07-18,6.35
2012-07-19,6.65
2012-07-20,6.5
2012-07-23,6.35
2012-07-24,6.3
2012-07-25,6.2
2012-07-26,6.05
2012-07-27,5.95
2012-07-30,6.1
2012-07-31,6.05
2012-08-01,6.05
2012-08-02,5.95
2012-08-03,6.0
2012-08-06,6.05
2012-08-07,6.1
2012-08-08,6.1
2012-08-09,5.95
2012-08-10,5.9
2012-08-13,5.85
2012-08-14,5.8
2012-08-16,5.8
2012-08-17,5.8
2012-08-21,5.8
2012-08-22,5.8
2012-08-23,5.75
2012-08-24,5.5
2012-08-27,5.45
2012-08-28,5.35
2012-08-29,5.4
2012-08-30,5.45
2012-08-31,5.5
2012-09-03,5.55
2012-09-04,5.5
2012-09-05,5.35
2012-09-06,5.35
2012-09-07,5.4
2012-09-08,5.6
2012-09-10,5.6
2012-09-11,5.5
2012-09-12,5.65
2012-09-13,5.55
2012-09-14,5.55
2012-09-17,5.75
2012-09-18,6.9
2012-09-20,6.5
2012-09-21,6.6
2012-09-24,6.6
2012-09-25,6.85
2012-09-26,7.15
2012-09-27,7.25
2012-09-28,7.35
2012-10-01,7.35
2012-10-03,7.35
2012-10-04,7.15
2012-10-05,7.0
2012-10-08,6.9
2012-10-09,6.75
2012-10-10,6.55
2012-10-11,6.75
2012-10-12,6.7
2012-10-15,6.6
2012-10-16,6.45
2012-10-17,6.8
2012-10-18,6.7
2012-10-19,6.8
2012-10-22,6.6
2012-10-23,6.45
2012-10-25,6.3
2012-10-26,6.1
2012-10-29,6.45
2012-10-30,6.1
2012-10-31,6.1
2012-11-01,6.1
2012-11-02,5.75
2012-11-05,5.85
2012-11-06,5.85
2012-11-07,5.8
2012-11-08,5.65
2012-11-09,5.65
2012-11-12,5.7
2012-11-13,5.85
2012-11-15,5.8
2012-11-16,5.7
2012-11-19,5.5
2012-11-20,5.45
2012-11-21,5.4
2012-11-22,5.45
2012-11-23,5.45
2012-11-26,5.55
2012-11-27,5.6
2012-11-29,5.75
2012-11-30,5.75
2012-12-03,5.75
2012-12-04,5.8
2012-12-05,6.05
2012-12-06,6.15
2012-12-07,6.0
2012-12-10,6.1
2012-12-11,6.0
2012-12-12,6.05
2012-12-13,5.9
2012-12-14,5.8
2012-12-17,5.8
2012-12-18,5.7
2012-12-19,6.15
2012-12-20,6.15
2012-12-21,5.95
2012-12-24,5.85
2012-12-26,5.75
2012-12-27,5.75
2012-12-28,5.7
2012-12-31,5.7
