Date,BALLARPUR
2012-01-02,18.45
2012-01-03,18.5
2012-01-04,18.6
2012-01-05,18.6
2012-01-06,18.55
2012-01-07,18.65
2012-01-09,18.85
2012-01-10,19.75
2012-01-11,20.25
2012-01-12,20.15
2012-01-13,21.85
2012-01-16,21.4
2012-01-17,22.6
2012-01-18,22.3
2012-01-19,22.5
2012-01-20,22.5
2012-01-23,22.4
2012-01-24,22.75
2012-01-25,23.25
2012-01-27,23.65
2012-01-30,22.7
2012-01-31,23.25
2012-02-01,24.0
2012-02-02,24.15
2012-02-03,24.3
2012-02-06,24.8
2012-02-07,24.4
2012-02-08,24.45
2012-02-09,24.85
2012-02-10,24.85
2012-02-13,24.55
2012-02-14,25.35
2012-02-15,25.25
2012-02-16,25.55
2012-02-17,24.6
2012-02-21,25.1
2012-02-22,24.1
2012-02-23,24.2
2012-02-24,23.95
2012-02-27,23.25
2012-02-28,24.2
2012-02-29,24.6
2012-03-01,25.05
2012-03-02,25.05
2012-03-03,24.8
2012-03-05,24.1
2012-03-06,23.9
2012-03-07,23.65
2012-03-09,24.0
2012-03-12,24.3
2012-03-13,24.3
2012-03-14,24.05
2012-03-15,23.85
2012-03-16,23.5
2012-03-19,23.2
2012-03-20,23.5
2012-03-21,23.5
2012-03-22,22.55
2012-03-23,22.65
2012-03-26,23.85
2012-03-27,22.8
2012-03-28,22.85
2012-03-29,23.95
2012-03-30,25.65
2012-04-02,25.35
2012-04-03,25.4
2012-04-04,25.25
2012-04-09,24.3
2012-04-10,24.8
2012-04-11,24.6
2012-04-12,24.25
2012-04-13,24.05
2012-04-16,24.1
2012-04-17,25.35
2012-04-18,24.8
2012-04-19,24.7
2012-04-20,24.25
2012-04-23,25.4
2012-04-24,24.35
2012-04-25,24.55
2012-04-26,24.25
2012-04-27,24.25
2012-04-28,24.3
2012-04-30,24.7
2012-05-02,24.55
2012-05-03,24.25
2012-05-04,23.4
2012-05-07,23.15
2012-05-08,22.6
2012-05-09,22.25
2012-05-10,22.55
2012-05-11,22.25
2012-05-14,22.5
2012-05-15,22.2
2012-05-16,21.8
2012-05-17,21.75
2012-05-18,21.7
2012-05-21,21.85
2012-05-22,22.0
2012-05-23,21.65
2012-05-24,21.95
2012-05-25,22.0
2012-05-28,22.0
2012-05-29,22.55
2012-05-30,22.5
2012-05-31,22.8
2012-06-01,22.45
2012-06-04,22.5
2012-06-05,22.0
2012-06-06,22.2
2012-06-07,22.3
2012-06-08,22.0
2012-06-11,22.0
2012-06-12,22.1
2012-06-13,21.8
2012-06-14,21.7
2012-06-15,21.6
2012-06-18,20.65
2012-06-19,20.65
2012-06-20,20.6
2012-06-21,20.5
2012-06-22,20.5
2012-06-25,20.65
2012-06-26,20.45
2012-06-27,20.45
2012-06-28,20.45
2012-06-29,20.65
2012-07-02,20.95
2012-07-03,21.4
2012-07-04,21.45
2012-07-05,21.5
2012-07-06,21.5
2012-07-09,20.9
2012-07-09,20.9
2012-07-10,20.8
2012-07-11,20.75
2012-07-12,20.35
2012-07-13,20.15
2012-07-16,19.85
2012-07-17,19.55
2012-07-18,19.6
2012-07-19,19.65
2012-07-20,19.65
2012-07-23,19.05
2012-07-24,19.45
2012-07-25,19.15
2012-07-26,18.6
2012-07-27,18.25
2012-07-30,19.45
2012-07-31,19.2
2012-08-01,18.75
2012-08-02,18.8
2012-08-03,19.0
2012-08-06,18.85
2012-08-07,18.95
2012-08-08,18.5
2012-08-09,18.5
2012-08-10,18.3
2012-08-13,18.45
2012-08-14,18.65
2012-08-16,18.75
2012-08-17,18.7
2012-08-21,18.45
2012-08-22,18.7
2012-08-23,18.2
2012-08-24,17.9
2012-08-27,17.8
2012-08-28,17.7
2012-08-29,17.65
2012-08-30,17.85
2012-08-31,17.6
2012-09-03,17.8
2012-09-04,18.15
2012-09-05,18.65
2012-09-06,19.35
2012-09-07,20.1
2012-09-08,20.45
2012-09-10,20.05
2012-09-11,20.35
2012-09-12,19.6
2012-09-13,19.6
2012-09-14,19.4
2012-09-17,19.65
2012-09-18,19.8
2012-09-20,19.7
2012-09-21,19.45
2012-09-24,19.35
2012-09-25,19.8
2012-09-26,19.5
2012-09-27,19.45
2012-09-28,19.8
2012-10-01,20.5
2012-10-03,20.95
2012-10-04,20.65
2012-10-05,21.85
2012-10-08,22.3
2012-10-09,22.1
2012-10-10,22.0
2012-10-11,22.5
2012-10-12,22.3
2012-10-15,22.6
2012-10-16,22.25
2012-10-17,22.7
2012-10-18,23.0
2012-10-19,22.55
2012-10-22,22.9
2012-10-23,22.9
2012-10-25,23.05
2012-10-26,22.5
2012-10-29,22.5
2012-10-30,22.0
2012-10-31,22.05
2012-11-01,22.0
2012-11-02,22.6
2012-11-05,22.45
2012-11-06,22.4
2012-11-07,22.8
2012-11-08,22.25
2012-11-09,22.35
2012-11-12,22.1
2012-11-13,22.45
2012-11-15,22.2
2012-11-16,22.1
2012-11-19,21.8
2012-11-20,21.6
2012-11-21,21.45
2012-11-22,21.65
2012-11-23,22.45
2012-11-26,24.05
2012-11-27,23.5
2012-11-29,23.9
2012-11-30,23.6
2012-12-03,23.55
2012-12-04,22.8
2012-12-05,23.0
2012-12-06,23.2
2012-12-07,23.25
2012-12-10,23.05
2012-12-11,22.65
2012-12-12,22.55
2012-12-13,22.3
2012-12-14,22.3
2012-12-17,22.1
2012-12-18,23.05
2012-12-19,23.2
2012-12-20,22.75
2012-12-21,22.25
2012-12-24,22.25
2012-12-26,22.4
2012-12-27,22.2
2012-12-28,22.15
2012-12-31,23.1
