Date,INDOTHAI
2012-01-02,10.5
2012-01-03,10.55
2012-01-04,10.4
2012-01-05,10.5
2012-01-06,10.5
2012-01-07,10.85
2012-01-09,10.75
2012-01-10,11.0
2012-01-11,11.3
2012-01-12,11.4
2012-01-13,11.6
2012-01-16,11.85
2012-01-17,11.75
2012-01-18,12.0
2012-01-19,12.9
2012-01-20,12.85
2012-01-23,12.95
2012-01-24,12.7
2012-01-25,12.6
2012-01-27,12.8
2012-01-30,12.85
2012-01-31,12.95
2012-02-01,13.0
2012-02-02,12.8
2012-02-03,12.8
2012-02-06,12.95
2012-02-07,12.55
2012-02-08,12.55
2012-02-09,12.9
2012-02-10,12.9
2012-02-13,13.05
2012-02-14,13.85
2012-02-15,14.35
2012-02-16,13.85
2012-02-17,13.85
2012-02-21,13.6
2012-02-22,12.85
2012-02-23,12.5
2012-02-24,12.35
2012-02-27,12.05
2012-02-28,12.2
2012-02-29,12.1
2012-03-01,12.2
2012-03-02,12.15
2012-03-03,12.05
2012-03-05,12.15
2012-03-06,12.05
2012-03-07,11.55
2012-03-09,11.85
2012-03-12,11.8
2012-03-13,12.0
2012-03-14,12.0
2012-03-15,11.75
2012-03-16,11.55
2012-03-19,11.35
2012-03-20,11.4
2012-03-21,11.4
2012-03-22,11.25
2012-03-23,11.0
2012-03-26,11.0
2012-03-27,11.0
2012-03-28,10.4
2012-03-29,10.5
2012-03-30,10.3
2012-04-02,10.55
2012-04-03,10.9
2012-04-04,10.75
2012-04-09,10.5
2012-04-10,10.9
2012-04-11,10.5
2012-04-12,10.6
2012-04-13,10.45
2012-04-16,10.5
2012-04-17,10.6
2012-04-18,10.5
2012-04-19,10.55
2012-04-20,10.3
2012-04-23,10.35
2012-04-24,10.6
2012-04-25,10.4
2012-04-26,10.3
2012-04-27,10.5
2012-04-28,10.75
2012-04-30,10.7
2012-05-02,10.75
2012-05-03,10.3
2012-05-04,10.3
2012-05-07,10.35
2012-05-08,10.5
2012-05-09,10.6
2012-05-10,10.25
2012-05-11,10.25
2012-05-14,10.3
2012-05-15,10.55
2012-05-16,10.2
2012-05-17,10.3
2012-05-18,10.4
2012-05-21,10.5
2012-05-22,10.05
2012-05-23,10.0
2012-05-24,10.1
2012-05-25,10.05
2012-05-28,10.25
2012-05-29,10.4
2012-05-30,10.25
2012-05-31,10.45
2012-06-01,10.0
2012-06-04,10.0
2012-06-05,10.0
2012-06-06,10.25
2012-06-07,10.25
2012-06-08,10.05
2012-06-11,10.15
2012-06-12,10.2
2012-06-13,10.3
2012-06-14,10.1
2012-06-15,10.2
2012-06-18,10.15
2012-06-19,10.1
2012-06-20,10.05
2012-06-21,10.1
2012-06-22,10.1
2012-06-25,10.2
2012-06-26,10.3
2012-06-27,10.1
2012-06-28,10.2
2012-06-29,10.25
2012-07-02,10.4
2012-07-03,10.55
2012-07-04,10.75
2012-07-05,11.0
2012-07-06,10.85
2012-07-09,10.3
2012-07-09,10.3
2012-07-10,10.3
2012-07-11,10.25
2012-07-12,10.3
2012-07-13,10.35
2012-07-16,10.35
2012-07-17,10.4
2012-07-18,10.25
2012-07-19,10.15
2012-07-20,10.15
2012-07-23,10.15
2012-07-24,10.2
2012-07-25,10.05
2012-07-26,9.95
2012-07-27,10.05
2012-07-30,9.9
2012-07-31,9.9
2012-08-01,9.8
2012-08-02,9.8
2012-08-03,9.8
2012-08-06,10.1
2012-08-07,9.75
2012-08-08,9.9
2012-08-09,9.9
2012-08-10,9.75
2012-08-13,10.05
2012-08-14,10.0
2012-08-16,9.95
2012-08-17,9.75
2012-08-21,9.8
2012-08-22,9.9
2012-08-23,9.8
2012-08-24,9.9
2012-08-27,9.7
2012-08-28,9.95
2012-08-29,9.65
2012-08-30,9.85
2012-08-31,9.95
2012-09-03,9.75
2012-09-04,9.9
2012-09-05,9.7
2012-09-06,9.85
2012-09-07,9.8
2012-09-08,10.1
2012-09-10,10.1
2012-09-11,9.9
2012-09-12,9.95
2012-09-13,9.85
2012-09-14,9.9
2012-09-17,9.95
2012-09-18,10.2
2012-09-20,10.25
2012-09-21,10.3
2012-09-24,9.95
2012-09-25,10.25
2012-09-26,10.55
2012-09-27,11.1
2012-09-28,12.8
2012-10-01,14.35
2012-10-03,13.4
2012-10-04,12.55
2012-10-05,12.1
2012-10-08,11.2
2012-10-09,11.55
2012-10-10,11.05
2012-10-11,10.95
2012-10-12,10.75
2012-10-15,11.1
2012-10-16,10.9
2012-10-17,10.9
2012-10-18,11.2
2012-10-19,11.15
2012-10-22,11.4
2012-10-23,11.15
2012-10-25,11.15
2012-10-26,11.3
2012-10-29,11.25
2012-10-30,10.95
2012-10-31,11.0
2012-11-01,11.45
2012-11-02,11.95
2012-11-05,11.55
2012-11-06,11.15
2012-11-07,11.1
2012-11-08,11.15
2012-11-09,11.1
2012-11-12,11.0
2012-11-13,11.2
2012-11-15,11.05
2012-11-16,11.2
2012-11-19,10.8
2012-11-20,10.6
2012-11-21,10.65
2012-11-22,10.5
2012-11-23,10.5
2012-11-26,10.75
2012-11-27,10.85
2012-11-29,10.85
2012-11-30,11.05
2012-12-03,11.3
2012-12-04,11.05
2012-12-05,11.5
2012-12-06,11.25
2012-12-07,11.15
2012-12-10,11.7
2012-12-11,11.35
2012-12-12,11.45
2012-12-13,11.2
2012-12-14,11.1
2012-12-17,11.05
2012-12-18,11.1
2012-12-19,10.95
2012-12-20,11.0
2012-12-21,10.9
2012-12-24,10.8
2012-12-26,11.0
2012-12-27,10.85
2012-12-28,11.05
2012-12-31,11.0
