Date,HCL-INSYS
2012-01-02,39.15
2012-01-03,41.05
2012-01-04,41.2
2012-01-05,41.3
2012-01-06,41.5
2012-01-07,42.7
2012-01-09,44.75
2012-01-10,46.2
2012-01-11,47.85
2012-01-12,47.95
2012-01-13,47.15
2012-01-16,47.05
2012-01-17,47.7
2012-01-18,46.05
2012-01-19,46.0
2012-01-20,44.95
2012-01-23,45.1
2012-01-24,45.5
2012-01-25,46.15
2012-01-27,46.65
2012-01-30,46.85
2012-01-31,46.45
2012-02-01,45.9
2012-02-02,45.65
2012-02-03,45.85
2012-02-06,45.55
2012-02-07,44.95
2012-02-08,44.85
2012-02-09,45.4
2012-02-10,45.45
2012-02-13,45.4
2012-02-14,45.2
2012-02-15,45.45
2012-02-16,47.0
2012-02-17,48.3
2012-02-21,49.3
2012-02-22,46.95
2012-02-23,46.2
2012-02-24,45.3
2012-02-27,43.2
2012-02-28,44.0
2012-02-29,44.15
2012-03-01,43.75
2012-03-02,48.95
2012-03-03,48.55
2012-03-05,48.6
2012-03-06,47.85
2012-03-07,47.15
2012-03-09,47.6
2012-03-12,47.0
2012-03-13,47.4
2012-03-14,47.0
2012-03-15,47.4
2012-03-16,46.75
2012-03-19,45.85
2012-03-20,45.6
2012-03-21,46.05
2012-03-22,45.05
2012-03-23,45.25
2012-03-26,44.4
2012-03-27,44.15
2012-03-28,43.55
2012-03-29,43.75
2012-03-30,45.35
2012-04-02,45.15
2012-04-03,46.25
2012-04-04,46.25
2012-04-09,45.35
2012-04-10,45.5
2012-04-11,45.2
2012-04-12,46.65
2012-04-13,45.6
2012-04-16,46.05
2012-04-17,46.6
2012-04-18,47.1
2012-04-19,47.1
2012-04-20,47.0
2012-04-23,45.9
2012-04-24,45.75
2012-04-25,44.6
2012-04-26,43.85
2012-04-27,43.5
2012-04-28,43.7
2012-04-30,44.6
2012-05-02,45.6
2012-05-03,44.45
2012-05-04,43.4
2012-05-07,43.9
2012-05-08,43.7
2012-05-09,43.15
2012-05-10,43.05
2012-05-11,42.9
2012-05-14,42.85
2012-05-15,42.75
2012-05-16,42.7
2012-05-17,42.5
2012-05-18,42.45
2012-05-21,43.1
2012-05-22,42.85
2012-05-23,42.75
2012-05-24,42.95
2012-05-25,43.0
2012-05-28,44.15
2012-05-29,44.65
2012-05-30,44.0
2012-05-31,43.75
2012-06-01,43.0
2012-06-04,42.75
2012-06-05,42.85
2012-06-06,43.35
2012-06-07,42.5
2012-06-08,42.0
2012-06-11,41.85
2012-06-12,41.7
2012-06-13,41.5
2012-06-14,39.75
2012-06-15,40.4
2012-06-18,40.75
2012-06-19,40.95
2012-06-20,41.5
2012-06-21,41.7
2012-06-22,41.4
2012-06-25,41.55
2012-06-26,41.3
2012-06-27,41.25
2012-06-28,40.75
2012-06-29,41.45
2012-07-02,41.35
2012-07-03,41.6
2012-07-04,41.7
2012-07-05,43.85
2012-07-06,43.1
2012-07-09,42.6
2012-07-09,42.6
2012-07-10,41.55
2012-07-11,43.05
2012-07-12,42.25
2012-07-13,42.2
2012-07-16,41.9
2012-07-17,41.75
2012-07-18,41.45
2012-07-19,42.05
2012-07-20,41.45
2012-07-23,41.15
2012-07-24,41.0
2012-07-25,40.5
2012-07-26,40.35
2012-07-27,39.65
2012-07-30,39.6
2012-07-31,37.4
2012-08-01,38.45
2012-08-02,39.0
2012-08-03,39.0
2012-08-06,39.2
2012-08-07,39.05
2012-08-08,38.85
2012-08-09,38.6
2012-08-10,40.65
2012-08-13,39.9
2012-08-14,40.85
2012-08-16,40.55
2012-08-17,40.4
2012-08-21,40.15
2012-08-22,40.0
2012-08-23,39.0
2012-08-24,38.95
2012-08-27,36.15
2012-08-28,43.85
2012-08-29,39.35
2012-08-30,39.5
2012-08-31,39.1
2012-09-03,38.6
2012-09-04,38.15
2012-09-05,38.05
2012-09-06,38.0
2012-09-07,38.25
2012-09-08,38.35
2012-09-10,39.2
2012-09-11,39.1
2012-09-12,40.8
2012-09-13,41.05
2012-09-14,40.35
2012-09-17,40.7
2012-09-18,41.0
2012-09-20,40.65
2012-09-21,40.7
2012-09-24,40.6
2012-09-25,42.05
2012-09-26,43.75
2012-09-27,43.25
2012-09-28,43.35
2012-10-01,46.25
2012-10-03,44.65
2012-10-04,44.65
2012-10-05,43.5
2012-10-08,43.55
2012-10-09,44.0
2012-10-10,43.3
2012-10-11,43.85
2012-10-12,44.9
2012-10-15,43.95
2012-10-16,44.7
2012-10-17,44.3
2012-10-18,45.4
2012-10-19,45.1
2012-10-22,44.45
2012-10-23,44.8
2012-10-25,45.2
2012-10-26,44.45
2012-10-29,46.05
2012-10-30,43.35
2012-10-31,42.5
2012-11-01,43.4
2012-11-02,40.35
2012-11-05,39.15
2012-11-06,39.2
2012-11-07,39.2
2012-11-08,39.65
2012-11-09,38.7
2012-11-12,38.25
2012-11-13,38.85
2012-11-15,38.5
2012-11-16,38.1
2012-11-19,37.9
2012-11-20,37.0
2012-11-21,36.95
2012-11-22,36.75
2012-11-23,36.8
2012-11-26,36.7
2012-11-27,38.35
2012-11-29,37.65
2012-11-30,38.6
2012-12-03,38.75
2012-12-04,38.7
2012-12-05,38.55
2012-12-06,37.9
2012-12-07,38.2
2012-12-10,38.05
2012-12-11,37.3
2012-12-12,37.5
2012-12-13,37.2
2012-12-14,37.1
2012-12-17,37.2
2012-12-18,37.4
2012-12-19,38.15
2012-12-20,37.95
2012-12-21,37.65
2012-12-24,38.5
2012-12-26,38.1
2012-12-27,37.85
2012-12-28,37.85
2012-12-31,37.9
