Date,TRIDENT
2012-01-02,9.95
2012-01-03,10.3
2012-01-04,10.0
2012-01-05,9.95
2012-01-06,10.15
2012-01-07,10.3
2012-01-09,10.15
2012-01-10,10.75
2012-01-11,11.0
2012-01-12,10.8
2012-01-13,11.1
2012-01-16,11.2
2012-01-17,11.0
2012-01-18,10.9
2012-01-19,11.0
2012-01-20,10.9
2012-01-23,10.95
2012-01-24,10.9
2012-01-25,11.0
2012-01-27,11.25
2012-01-30,11.1
2012-01-31,11.1
2012-02-01,11.1
2012-02-02,11.3
2012-02-03,11.2
2012-02-06,11.55
2012-02-07,11.35
2012-02-08,11.4
2012-02-09,11.55
2012-02-10,11.55
2012-02-13,11.8
2012-02-14,11.6
2012-02-15,11.75
2012-02-16,11.8
2012-02-17,11.75
2012-02-21,11.65
2012-02-22,11.35
2012-02-23,11.45
2012-02-24,11.0
2012-02-27,10.65
2012-02-28,11.25
2012-02-29,11.2
2012-03-01,11.0
2012-03-02,11.15
2012-03-03,11.1
2012-03-05,10.9
2012-03-06,10.8
2012-03-07,10.85
2012-03-09,10.75
2012-03-12,10.75
2012-03-13,10.8
2012-03-14,10.9
2012-03-15,10.55
2012-03-16,10.6
2012-03-19,10.6
2012-03-20,10.5
2012-03-21,10.45
2012-03-22,10.35
2012-03-23,10.45
2012-03-26,10.45
2012-03-27,10.4
2012-03-28,10.0
2012-03-29,10.05
2012-03-30,10.75
2012-04-02,11.1
2012-04-03,11.1
2012-04-04,10.95
2012-04-09,11.1
2012-04-10,11.2
2012-04-11,11.15
2012-04-12,11.0
2012-04-13,10.8
2012-04-16,10.85
2012-04-17,10.85
2012-04-18,10.9
2012-04-19,10.8
2012-04-20,10.65
2012-04-23,10.75
2012-04-24,10.75
2012-04-25,10.7
2012-04-26,10.6
2012-04-27,10.6
2012-04-28,10.4
2012-04-30,10.6
2012-05-02,10.95
2012-05-03,10.3
2012-05-04,10.25
2012-05-07,10.45
2012-05-08,10.15
2012-05-09,10.1
2012-05-10,10.1
2012-05-11,9.95
2012-05-14,9.95
2012-05-15,10.0
2012-05-16,10.05
2012-05-17,10.05
2012-05-18,10.0
2012-05-21,10.55
2012-05-22,10.3
2012-05-23,10.35
2012-05-24,10.55
2012-05-25,10.45
2012-05-28,10.15
2012-05-29,9.85
2012-05-30,9.8
2012-05-31,9.85
2012-06-01,9.6
2012-06-04,9.55
2012-06-05,9.5
2012-06-06,9.7
2012-06-07,9.5
2012-06-08,9.65
2012-06-11,9.6
2012-06-12,9.5
2012-06-13,9.55
2012-06-14,9.6
2012-06-15,9.6
2012-06-18,9.55
2012-06-19,9.6
2012-06-20,9.45
2012-06-21,9.4
2012-06-22,9.6
2012-06-25,9.8
2012-06-26,9.7
2012-06-27,9.7
2012-06-28,9.7
2012-06-29,9.8
2012-07-02,10.0
2012-07-03,10.0
2012-07-04,10.05
2012-07-05,10.25
2012-07-06,10.1
2012-07-09,9.85
2012-07-10,10.0
2012-07-11,9.75
2012-07-12,9.7
2012-07-13,9.7
2012-07-16,9.6
2012-07-17,9.45
2012-07-18,9.45
2012-07-19,9.5
2012-07-20,9.4
2012-07-23,9.3
2012-07-24,9.35
2012-07-25,9.45
2012-07-26,9.4
2012-07-27,9.2
2012-07-30,9.15
2012-07-31,9.3
2012-08-01,9.25
2012-08-02,9.3
2012-08-03,9.15
2012-08-06,9.25
2012-08-07,9.15
2012-08-08,9.2
2012-08-09,9.05
2012-08-10,9.2
2012-08-13,9.2
2012-08-14,9.2
2012-08-16,9.05
2012-08-17,9.0
2012-08-21,8.85
2012-08-22,8.8
2012-08-23,9.15
2012-08-24,9.15
2012-08-27,8.9
2012-08-28,8.9
2012-08-29,8.9
2012-08-30,8.8
2012-08-31,8.75
2012-09-03,8.65
2012-09-04,8.5
2012-09-05,8.75
2012-09-06,8.6
2012-09-07,8.8
2012-09-08,8.65
2012-09-10,8.65
2012-09-11,8.65
2012-09-12,8.8
2012-09-13,8.8
2012-09-14,8.6
2012-09-17,8.8
2012-09-18,8.95
2012-09-20,8.7
2012-09-21,9.25
2012-09-24,9.15
2012-09-25,9.0
2012-09-26,9.0
2012-09-27,8.9
2012-09-28,8.85
2012-10-01,9.05
2012-10-03,9.45
2012-10-04,9.4
2012-10-05,9.1
2012-10-08,8.65
2012-10-09,8.85
2012-10-10,8.95
2012-10-11,8.8
2012-10-12,8.9
2012-10-15,8.9
2012-10-16,8.8
2012-10-17,8.9
2012-10-18,8.9
2012-10-19,8.95
2012-10-22,8.8
2012-10-23,8.75
2012-10-25,8.95
2012-10-26,8.85
2012-10-29,9.0
2012-10-30,8.85
2012-10-31,8.75
2012-11-01,8.95
2012-11-02,8.8
2012-11-05,8.9
2012-11-06,8.9
2012-11-07,8.9
2012-11-08,8.85
2012-11-09,8.8
2012-11-12,9.6
2012-11-13,10.15
2012-11-15,9.7
2012-11-16,9.45
2012-11-19,9.2
2012-11-20,9.15
2012-11-21,9.0
2012-11-22,8.9
2012-11-23,8.9
2012-11-26,8.85
2012-11-27,9.0
2012-11-29,9.3
2012-11-30,9.25
2012-12-03,9.2
2012-12-04,9.2
2012-12-05,9.2
2012-12-06,9.3
2012-12-07,9.25
2012-12-10,9.65
2012-12-11,9.75
2012-12-12,9.6
2012-12-13,9.5
2012-12-14,9.3
2012-12-17,9.05
2012-12-18,9.25
2012-12-19,9.3
2012-12-20,9.25
2012-12-21,9.15
2012-12-24,9.1
2012-12-26,9.2
2012-12-27,9.15
2012-12-28,9.0
2012-12-31,9.05
