Date,ANDHRABANK
2012-01-02,80.55
2012-01-03,84.05
2012-01-04,85.1
2012-01-05,84.5
2012-01-06,84.3
2012-01-07,85.3
2012-01-09,86.25
2012-01-10,90.7
2012-01-11,92.45
2012-01-12,93.85
2012-01-13,94.85
2012-01-16,94.9
2012-01-17,98.4
2012-01-18,97.75
2012-01-19,96.55
2012-01-20,100.2
2012-01-23,99.9
2012-01-24,102.65
2012-01-25,103.7
2012-01-27,102.85
2012-01-30,99.8
2012-01-31,101.9
2012-02-01,101.9
2012-02-02,108.05
2012-02-03,110.7
2012-02-06,112.9
2012-02-07,114.2
2012-02-08,114.25
2012-02-09,115.6
2012-02-10,117.25
2012-02-13,120.7
2012-02-14,128.4
2012-02-15,127.85
2012-02-16,128.85
2012-02-17,131.45
2012-02-21,130.75
2012-02-22,124.35
2012-02-23,121.65
2012-02-24,123.5
2012-02-27,117.0
2012-02-28,120.65
2012-02-29,130.9
2012-03-01,128.05
2012-03-02,126.9
2012-03-03,126.5
2012-03-05,123.45
2012-03-06,125.05
2012-03-07,123.15
2012-03-09,129.05
2012-03-12,135.75
2012-03-13,135.4
2012-03-14,135.85
2012-03-15,128.1
2012-03-16,126.25
2012-03-19,122.6
2012-03-20,123.1
2012-03-21,127.55
2012-03-22,122.55
2012-03-23,126.05
2012-03-26,120.1
2012-03-27,119.4
2012-03-28,115.8
2012-03-29,116.9
2012-03-30,119.15
2012-04-02,121.1
2012-04-03,121.55
2012-04-04,122.2
2012-04-09,119.5
2012-04-10,121.6
2012-04-11,122.2
2012-04-12,123.05
2012-04-13,122.45
2012-04-16,124.75
2012-04-17,124.95
2012-04-18,123.35
2012-04-19,124.3
2012-04-20,124.0
2012-04-23,119.95
2012-04-24,120.9
2012-04-25,118.0
2012-04-26,115.3
2012-04-27,112.95
2012-04-28,115.05
2012-04-30,116.5
2012-05-02,119.2
2012-05-03,116.15
2012-05-04,114.1
2012-05-07,118.3
2012-05-08,116.4
2012-05-09,109.1
2012-05-10,104.25
2012-05-11,104.4
2012-05-14,104.4
2012-05-15,106.2
2012-05-16,104.85
2012-05-17,104.95
2012-05-18,105.9
2012-05-21,106.35
2012-05-22,103.7
2012-05-23,102.15
2012-05-24,105.0
2012-05-25,104.2
2012-05-28,106.95
2012-05-29,107.85
2012-05-30,104.55
2012-05-31,108.7
2012-06-01,105.55
2012-06-04,107.7
2012-06-05,108.55
2012-06-06,112.9
2012-06-07,112.1
2012-06-08,114.75
2012-06-11,116.25
2012-06-12,117.3
2012-06-13,115.85
2012-06-14,113.4
2012-06-15,115.4
2012-06-18,112.8
2012-06-19,114.4
2012-06-20,115.15
2012-06-21,117.6
2012-06-22,119.7
2012-06-25,122.85
2012-06-26,124.25
2012-06-27,115.25
2012-06-28,116.1
2012-06-29,118.4
2012-07-02,118.2
2012-07-03,118.9
2012-07-04,118.25
2012-07-05,119.25
2012-07-06,117.95
2012-07-09,115.35
2012-07-09,115.35
2012-07-10,117.0
2012-07-11,116.0
2012-07-12,114.85
2012-07-13,115.2
2012-07-16,113.2
2012-07-17,112.65
2012-07-18,112.4
2012-07-19,112.3
2012-07-20,111.75
2012-07-23,107.95
2012-07-24,107.9
2012-07-25,105.95
2012-07-26,104.85
2012-07-27,100.3
2012-07-30,101.6
2012-07-31,101.65
2012-08-01,102.8
2012-08-02,101.75
2012-08-03,100.8
2012-08-06,99.55
2012-08-07,99.15
2012-08-08,99.6
2012-08-09,95.65
2012-08-10,96.25
2012-08-13,95.05
2012-08-14,96.6
2012-08-16,98.45
2012-08-17,98.05
2012-08-21,98.4
2012-08-22,97.4
2012-08-23,96.65
2012-08-24,95.5
2012-08-27,92.9
2012-08-28,91.5
2012-08-29,90.6
2012-08-30,90.1
2012-08-31,90.2
2012-09-03,91.2
2012-09-04,92.65
2012-09-05,90.4
2012-09-06,90.05
2012-09-07,91.8
2012-09-08,92.65
2012-09-10,91.8
2012-09-11,91.9
2012-09-12,91.2
2012-09-13,90.1
2012-09-14,92.7
2012-09-17,98.45
2012-09-18,105.0
2012-09-20,108.2
2012-09-21,110.9
2012-09-24,111.7
2012-09-25,111.1
2012-09-26,110.7
2012-09-27,110.0
2012-09-28,112.55
2012-10-01,113.9
2012-10-03,111.95
2012-10-04,112.9
2012-10-05,111.15
2012-10-08,109.15
2012-10-09,109.35
2012-10-10,107.65
2012-10-11,109.35
2012-10-12,109.7
2012-10-15,109.55
2012-10-16,107.25
2012-10-17,107.05
2012-10-18,112.35
2012-10-19,114.4
2012-10-22,114.65
2012-10-23,113.35
2012-10-25,112.8
2012-10-26,107.25
2012-10-29,106.05
2012-10-30,103.65
2012-10-31,103.25
2012-11-01,104.9
2012-11-02,107.1
2012-11-05,102.7
2012-11-06,104.45
2012-11-07,106.25
2012-11-08,108.8
2012-11-09,104.45
2012-11-12,105.6
2012-11-13,105.35
2012-11-15,106.3
2012-11-16,103.5
2012-11-19,102.7
2012-11-20,100.0
2012-11-21,101.8
2012-11-22,102.75
2012-11-23,103.6
2012-11-26,103.1
2012-11-27,104.65
2012-11-29,108.35
2012-11-30,110.1
2012-12-03,111.5
2012-12-04,111.7
2012-12-05,113.55
2012-12-06,115.35
2012-12-07,117.75
2012-12-10,120.35
2012-12-11,116.3
2012-12-12,117.7
2012-12-13,114.15
2012-12-14,116.1
2012-12-17,115.9
2012-12-18,117.6
2012-12-19,116.7
2012-12-20,117.0
2012-12-21,113.8
2012-12-24,114.65
2012-12-26,115.75
2012-12-27,116.05
2012-12-28,117.45
2012-12-31,117.85
