Date,KERNEX
2012-01-02,62.75
2012-01-03,64.05
2012-01-04,63.85
2012-01-05,63.1
2012-01-06,63.2
2012-01-07,63.75
2012-01-09,75.7
2012-01-10,77.6
2012-01-11,74.55
2012-01-12,75.45
2012-01-13,76.4
2012-01-16,76.2
2012-01-17,78.2
2012-01-18,79.0
2012-01-19,78.7
2012-01-20,78.7
2012-01-23,80.05
2012-01-24,79.35
2012-01-25,81.65
2012-01-27,79.95
2012-01-30,76.9
2012-01-31,78.9
2012-02-01,86.75
2012-02-02,84.45
2012-02-03,85.2
2012-02-06,90.95
2012-02-07,88.2
2012-02-08,90.2
2012-02-09,90.05
2012-02-10,89.1
2012-02-13,91.85
2012-02-14,91.55
2012-02-15,93.8
2012-02-16,95.2
2012-02-17,92.1
2012-02-21,91.35
2012-02-22,85.25
2012-02-23,82.0
2012-02-24,81.85
2012-02-27,77.85
2012-02-28,93.4
2012-02-29,91.45
2012-03-01,92.85
2012-03-02,92.8
2012-03-03,94.1
2012-03-05,91.55
2012-03-06,84.3
2012-03-07,85.8
2012-03-09,88.4
2012-03-12,91.85
2012-03-13,92.5
2012-03-14,87.9
2012-03-15,79.85
2012-03-16,75.15
2012-03-19,68.55
2012-03-20,64.85
2012-03-21,65.45
2012-03-22,63.9
2012-03-23,62.45
2012-03-26,59.35
2012-03-27,57.35
2012-03-28,56.95
2012-03-29,57.6
2012-03-30,58.65
2012-04-02,61.3
2012-04-03,60.8
2012-04-04,60.7
2012-04-09,58.8
2012-04-10,58.55
2012-04-11,57.9
2012-04-12,58.05
2012-04-13,57.6
2012-04-16,56.95
2012-04-17,56.8
2012-04-18,59.0
2012-04-19,58.65
2012-04-20,58.05
2012-04-23,55.95
2012-04-24,55.25
2012-04-25,54.15
2012-04-26,53.8
2012-04-27,53.4
2012-04-28,53.5
2012-04-30,54.35
2012-05-02,54.35
2012-05-03,53.15
2012-05-04,50.7
2012-05-07,50.05
2012-05-08,49.0
2012-05-09,47.5
2012-05-10,46.9
2012-05-11,45.8
2012-05-14,44.55
2012-05-15,44.35
2012-05-16,42.9
2012-05-17,42.9
2012-05-18,42.15
2012-05-21,43.4
2012-05-22,44.05
2012-05-23,45.7
2012-05-24,45.15
2012-05-25,45.85
2012-05-28,47.35
2012-05-29,50.05
2012-05-30,46.65
2012-05-31,47.75
2012-06-01,46.55
2012-06-04,46.45
2012-06-05,48.95
2012-06-06,49.05
2012-06-07,49.95
2012-06-08,50.85
2012-06-11,50.7
2012-06-12,50.5
2012-06-13,49.9
2012-06-14,48.55
2012-06-15,48.25
2012-06-18,46.9
2012-06-19,47.25
2012-06-20,48.45
2012-06-21,49.1
2012-06-22,48.25
2012-06-25,47.5
2012-06-26,47.7
2012-06-27,48.55
2012-06-28,48.85
2012-06-29,49.65
2012-07-02,49.8
2012-07-03,50.6
2012-07-04,52.1
2012-07-05,56.25
2012-07-06,55.85
2012-07-09,53.85
2012-07-09,53.85
2012-07-10,53.8
2012-07-11,52.6
2012-07-12,52.0
2012-07-13,51.3
2012-07-16,50.95
2012-07-17,50.5
2012-07-18,50.35
2012-07-19,51.55
2012-07-20,50.5
2012-07-23,49.6
2012-07-24,49.7
2012-07-25,49.45
2012-07-26,48.45
2012-07-27,47.05
2012-07-30,47.3
2012-07-31,47.85
2012-08-01,48.65
2012-08-02,50.15
2012-08-03,49.75
2012-08-06,50.65
2012-08-07,50.0
2012-08-08,50.1
2012-08-09,50.05
2012-08-10,48.7
2012-08-13,49.0
2012-08-14,49.6
2012-08-16,50.65
2012-08-17,49.65
2012-08-21,49.6
2012-08-22,49.75
2012-08-23,49.25
2012-08-24,48.5
2012-08-27,47.9
2012-08-28,46.85
2012-08-29,46.85
2012-08-30,46.6
2012-08-31,45.9
2012-09-03,47.2
2012-09-04,46.9
2012-09-05,46.75
2012-09-06,46.5
2012-09-07,46.8
2012-09-08,46.65
2012-09-10,46.55
2012-09-11,47.8
2012-09-12,49.7
2012-09-13,51.95
2012-09-14,51.1
2012-09-17,50.85
2012-09-18,52.4
2012-09-20,51.55
2012-09-21,55.95
2012-09-24,57.5
2012-09-25,55.95
2012-09-26,55.7
2012-09-27,55.2
2012-09-28,55.85
2012-10-01,57.1
2012-10-03,57.6
2012-10-04,58.55
2012-10-05,57.25
2012-10-08,60.7
2012-10-09,60.8
2012-10-10,59.4
2012-10-11,59.45
2012-10-12,59.5
2012-10-15,60.55
2012-10-16,64.75
2012-10-17,62.55
2012-10-18,63.6
2012-10-19,62.25
2012-10-22,62.1
2012-10-23,61.35
2012-10-25,62.55
2012-10-26,63.35
2012-10-29,62.95
2012-10-30,61.75
2012-10-31,61.95
2012-11-01,63.0
2012-11-02,62.95
2012-11-05,63.85
2012-11-06,63.95
2012-11-07,63.75
2012-11-08,66.95
2012-11-09,65.35
2012-11-12,65.25
2012-11-13,64.05
2012-11-15,64.85
2012-11-16,64.2
2012-11-19,63.3
2012-11-20,62.55
2012-11-21,63.0
2012-11-22,63.4
2012-11-23,63.3
2012-11-26,65.6
2012-11-27,66.6
2012-11-29,66.65
2012-11-30,68.85
2012-12-03,70.45
2012-12-04,70.3
2012-12-05,69.9
2012-12-06,70.1
2012-12-07,71.75
2012-12-10,74.65
2012-12-11,76.7
2012-12-12,80.65
2012-12-13,78.35
2012-12-14,76.4
2012-12-17,78.0
2012-12-18,77.6
2012-12-19,77.4
2012-12-20,75.7
2012-12-21,71.7
2012-12-24,73.1
2012-12-26,76.05
2012-12-27,76.1
2012-12-28,75.4
2012-12-31,76.0
