Date,NATNLSTEEL
2012-01-02,13.0
2012-01-03,12.9
2012-01-04,13.1
2012-01-05,12.7
2012-01-06,12.9
2012-01-07,13.05
2012-01-09,14.1
2012-01-10,14.5
2012-01-11,14.95
2012-01-12,15.35
2012-01-13,15.8
2012-01-16,15.7
2012-01-17,15.7
2012-01-18,15.0
2012-01-19,15.05
2012-01-20,14.55
2012-01-23,14.7
2012-01-24,14.8
2012-01-25,14.6
2012-01-27,15.1
2012-01-30,15.15
2012-01-31,15.3
2012-02-01,16.1
2012-02-02,16.55
2012-02-03,16.1
2012-02-06,16.2
2012-02-07,15.7
2012-02-08,15.2
2012-02-09,15.9
2012-02-10,16.0
2012-02-13,16.2
2012-02-14,16.25
2012-02-15,16.95
2012-02-16,16.75
2012-02-17,17.05
2012-02-21,17.1
2012-02-22,16.85
2012-02-23,16.4
2012-02-24,15.45
2012-02-27,14.5
2012-02-28,15.65
2012-02-29,15.45
2012-03-01,15.6
2012-03-02,15.4
2012-03-03,15.5
2012-03-05,15.3
2012-03-06,14.9
2012-03-07,15.1
2012-03-09,14.8
2012-03-12,15.0
2012-03-13,15.0
2012-03-14,15.0
2012-03-15,14.65
2012-03-16,14.8
2012-03-19,14.1
2012-03-20,14.7
2012-03-21,15.1
2012-03-22,14.7
2012-03-23,14.7
2012-03-26,14.25
2012-03-27,13.9
2012-03-28,12.5
2012-03-29,14.45
2012-03-30,14.45
2012-04-02,15.15
2012-04-03,14.7
2012-04-04,14.95
2012-04-09,14.85
2012-04-10,15.1
2012-04-11,15.0
2012-04-12,15.1
2012-04-13,15.1
2012-04-16,15.05
2012-04-17,14.75
2012-04-18,15.8
2012-04-19,16.8
2012-04-20,16.1
2012-04-23,15.55
2012-04-24,15.3
2012-04-25,14.8
2012-04-26,14.85
2012-04-27,14.6
2012-04-28,15.0
2012-04-30,14.8
2012-05-02,14.8
2012-05-03,14.5
2012-05-04,14.0
2012-05-07,14.3
2012-05-08,14.05
2012-05-09,14.2
2012-05-10,14.0
2012-05-11,13.65
2012-05-14,16.05
2012-05-15,16.0
2012-05-16,15.75
2012-05-17,16.0
2012-05-18,15.25
2012-05-21,15.5
2012-05-22,15.6
2012-05-23,15.55
2012-05-24,14.95
2012-05-25,14.95
2012-05-28,15.0
2012-05-29,15.0
2012-05-30,14.85
2012-05-31,14.5
2012-06-01,14.25
2012-06-04,13.9
2012-06-05,13.95
2012-06-06,14.0
2012-06-07,14.35
2012-06-08,14.05
2012-06-11,14.1
2012-06-12,14.7
2012-06-13,14.6
2012-06-14,14.3
2012-06-15,14.65
2012-06-18,14.5
2012-06-19,14.25
2012-06-20,14.2
2012-06-21,14.4
2012-06-22,14.7
2012-06-25,14.65
2012-06-26,14.2
2012-06-27,14.35
2012-06-28,14.15
2012-06-29,14.35
2012-07-02,14.4
2012-07-03,14.7
2012-07-04,15.0
2012-07-05,15.25
2012-07-06,15.1
2012-07-09,14.45
2012-07-09,14.45
2012-07-10,14.95
2012-07-11,14.45
2012-07-12,14.7
2012-07-13,15.7
2012-07-16,17.15
2012-07-17,17.15
2012-07-18,16.85
2012-07-19,16.9
2012-07-20,16.15
2012-07-23,16.25
2012-07-24,15.9
2012-07-25,16.0
2012-07-26,15.05
2012-07-27,14.6
2012-07-30,14.75
2012-07-31,14.6
2012-08-01,14.55
2012-08-02,14.6
2012-08-03,14.7
2012-08-06,14.7
2012-08-07,14.7
2012-08-08,14.45
2012-08-09,14.55
2012-08-10,14.85
2012-08-13,14.8
2012-08-14,14.8
2012-08-16,14.8
2012-08-17,14.5
2012-08-21,14.75
2012-08-22,14.85
2012-08-23,14.5
2012-08-24,14.4
2012-08-27,14.3
2012-08-28,13.85
2012-08-29,14.1
2012-08-30,13.9
2012-08-31,13.55
2012-09-03,13.5
2012-09-04,13.7
2012-09-05,13.6
2012-09-06,13.85
2012-09-07,13.95
2012-09-08,13.95
2012-09-10,13.75
2012-09-11,14.0
2012-09-12,13.9
2012-09-13,14.1
2012-09-14,14.15
2012-09-17,14.4
2012-09-18,14.5
2012-09-20,14.2
2012-09-21,14.35
2012-09-24,14.25
2012-09-25,14.2
2012-09-26,14.25
2012-09-27,14.8
2012-09-28,14.65
2012-10-01,14.5
2012-10-03,14.95
2012-10-04,15.05
2012-10-05,14.75
2012-10-08,14.85
2012-10-09,14.9
2012-10-10,14.55
2012-10-11,14.55
2012-10-12,14.45
2012-10-15,14.35
2012-10-16,14.45
2012-10-17,14.35
2012-10-18,14.6
2012-10-19,14.4
2012-10-22,14.3
2012-10-23,14.2
2012-10-25,14.2
2012-10-26,14.0
2012-10-29,13.85
2012-10-30,13.8
2012-10-31,13.8
2012-11-01,14.2
2012-11-02,14.35
2012-11-05,14.5
2012-11-06,15.3
2012-11-07,14.9
2012-11-08,15.45
2012-11-09,15.55
2012-11-12,15.75
2012-11-13,15.6
2012-11-15,15.5
2012-11-16,15.3
2012-11-19,15.15
2012-11-20,14.8
2012-11-21,14.7
2012-11-22,14.8
2012-11-23,14.9
2012-11-26,14.55
2012-11-27,14.65
2012-11-29,14.7
2012-11-30,15.3
2012-12-03,14.9
2012-12-04,15.1
2012-12-05,15.4
2012-12-06,15.35
2012-12-07,15.8
2012-12-10,15.7
2012-12-11,15.95
2012-12-12,15.75
2012-12-13,15.65
2012-12-14,15.85
2012-12-17,16.35
2012-12-18,17.55
2012-12-19,17.1
2012-12-20,17.1
2012-12-21,16.65
2012-12-24,16.85
2012-12-26,16.7
2012-12-27,16.55
2012-12-28,16.4
2012-12-31,16.05
