Date,MBLINFRA
2012-01-02,112.9
2012-01-03,115.65
2012-01-04,116.4
2012-01-05,116.05
2012-01-06,112.0
2012-01-07,115.9
2012-01-09,119.3
2012-01-10,122.35
2012-01-11,124.3
2012-01-12,125.65
2012-01-13,130.35
2012-01-16,148.9
2012-01-17,145.8
2012-01-18,148.0
2012-01-19,147.5
2012-01-20,145.85
2012-01-23,147.15
2012-01-24,147.45
2012-01-25,146.05
2012-01-27,146.9
2012-01-30,145.2
2012-01-31,144.0
2012-02-01,145.45
2012-02-02,147.45
2012-02-03,147.4
2012-02-06,147.35
2012-02-07,146.55
2012-02-08,150.0
2012-02-09,165.0
2012-02-10,161.4
2012-02-13,168.15
2012-02-14,167.35
2012-02-15,163.95
2012-02-16,162.75
2012-02-17,168.4
2012-02-21,176.85
2012-02-22,173.25
2012-02-23,172.6
2012-02-24,170.1
2012-02-27,163.8
2012-02-28,166.2
2012-02-29,170.9
2012-03-01,172.15
2012-03-02,171.85
2012-03-03,169.7
2012-03-05,164.0
2012-03-06,162.9
2012-03-07,162.45
2012-03-09,175.05
2012-03-12,180.0
2012-03-13,187.75
2012-03-14,197.9
2012-03-15,193.15
2012-03-16,189.55
2012-03-19,183.3
2012-03-20,184.95
2012-03-21,188.35
2012-03-22,183.55
2012-03-23,183.6
2012-03-26,182.0
2012-03-27,179.95
2012-03-28,176.9
2012-03-29,178.0
2012-03-30,179.7
2012-04-02,178.8
2012-04-03,179.95
2012-04-04,178.2
2012-04-09,179.45
2012-04-10,182.3
2012-04-11,184.25
2012-04-12,185.65
2012-04-13,184.2
2012-04-16,180.0
2012-04-17,181.3
2012-04-18,190.25
2012-04-19,193.85
2012-04-20,190.5
2012-04-23,192.0
2012-04-24,192.8
2012-04-25,189.75
2012-04-26,186.6
2012-04-27,182.85
2012-04-28,181.6
2012-04-30,179.9
2012-05-02,180.0
2012-05-03,176.9
2012-05-04,176.6
2012-05-07,168.1
2012-05-08,167.95
2012-05-09,165.0
2012-05-10,169.0
2012-05-11,169.15
2012-05-14,173.65
2012-05-15,172.55
2012-05-16,171.15
2012-05-17,176.2
2012-05-18,175.85
2012-05-21,181.85
2012-05-22,183.4
2012-05-23,179.85
2012-05-24,183.55
2012-05-25,183.1
2012-05-28,183.0
2012-05-29,182.35
2012-05-30,178.4
2012-05-31,180.5
2012-06-01,181.15
2012-06-04,181.25
2012-06-05,182.65
2012-06-06,185.25
2012-06-07,187.3
2012-06-08,187.15
2012-06-11,187.05
2012-06-12,186.3
2012-06-13,179.6
2012-06-14,176.9
2012-06-15,181.55
2012-06-18,176.1
2012-06-19,179.3
2012-06-20,177.4
2012-06-21,179.55
2012-06-22,178.8
2012-06-25,178.6
2012-06-26,178.15
2012-06-27,179.0
2012-06-28,175.6
2012-06-29,174.2
2012-07-02,177.55
2012-07-03,175.8
2012-07-04,174.15
2012-07-05,174.9
2012-07-06,174.75
2012-07-09,172.1
2012-07-09,172.1
2012-07-10,170.75
2012-07-11,171.4
2012-07-12,173.05
2012-07-13,172.6
2012-07-16,171.15
2012-07-17,173.0
2012-07-18,173.25
2012-07-19,172.2
2012-07-20,179.1
2012-07-23,173.0
2012-07-24,167.65
2012-07-25,167.7
2012-07-26,162.1
2012-07-27,161.8
2012-07-30,159.8
2012-07-31,162.3
2012-08-01,162.25
2012-08-02,162.8
2012-08-03,163.7
2012-08-06,167.15
2012-08-07,166.15
2012-08-08,163.3
2012-08-09,162.55
2012-08-10,163.95
2012-08-13,165.85
2012-08-14,163.85
2012-08-16,161.9
2012-08-17,162.0
2012-08-21,163.2
2012-08-22,162.5
2012-08-23,163.1
2012-08-24,158.1
2012-08-27,157.25
2012-08-28,152.95
2012-08-29,143.0
2012-08-30,149.1
2012-08-31,154.6
2012-09-03,159.05
2012-09-04,161.4
2012-09-05,162.55
2012-09-06,160.05
2012-09-07,158.35
2012-09-08,160.25
2012-09-10,163.55
2012-09-11,164.65
2012-09-12,164.85
2012-09-13,163.4
2012-09-14,164.45
2012-09-17,165.05
2012-09-18,161.4
2012-09-20,162.8
2012-09-21,162.35
2012-09-24,165.7
2012-09-25,163.65
2012-09-26,164.1
2012-09-27,161.85
2012-09-28,164.9
2012-10-01,167.2
2012-10-03,172.05
2012-10-04,170.85
2012-10-05,162.75
2012-10-08,167.75
2012-10-09,171.75
2012-10-10,171.7
2012-10-11,169.45
2012-10-12,165.75
2012-10-15,163.25
2012-10-16,161.3
2012-10-17,161.3
2012-10-18,160.15
2012-10-19,159.8
2012-10-22,158.1
2012-10-23,160.05
2012-10-25,160.0
2012-10-26,162.4
2012-10-29,159.9
2012-10-30,159.15
2012-10-31,161.3
2012-11-01,163.55
2012-11-02,165.05
2012-11-05,166.85
2012-11-06,171.85
2012-11-07,174.75
2012-11-08,175.4
2012-11-09,174.65
2012-11-12,178.65
2012-11-13,179.95
2012-11-15,173.25
2012-11-16,171.4
2012-11-19,170.95
2012-11-20,167.15
2012-11-21,168.95
2012-11-22,170.0
2012-11-23,170.0
2012-11-26,168.1
2012-11-27,168.5
2012-11-29,168.0
2012-11-30,168.1
2012-12-03,168.1
2012-12-04,167.1
2012-12-05,170.3
2012-12-06,171.4
2012-12-07,171.7
2012-12-10,169.5
2012-12-11,166.55
2012-12-12,167.1
2012-12-13,167.1
2012-12-14,168.1
2012-12-17,167.45
2012-12-18,168.0
2012-12-19,169.9
2012-12-20,166.35
2012-12-21,164.3
2012-12-24,165.0
2012-12-26,163.75
2012-12-27,167.85
2012-12-28,166.0
2012-12-31,165.1
