Date,ALEMBICLTD
2012-01-02,14.1
2012-01-03,14.3
2012-01-04,14.5
2012-01-05,14.15
2012-01-06,14.05
2012-01-07,14.25
2012-01-09,14.25
2012-01-10,14.8
2012-01-11,15.75
2012-01-12,16.0
2012-01-13,19.2
2012-01-16,20.65
2012-01-17,20.8
2012-01-18,19.85
2012-01-19,19.15
2012-01-20,18.95
2012-01-23,18.45
2012-01-24,18.75
2012-01-25,18.9
2012-01-27,18.85
2012-01-30,18.2
2012-01-31,18.2
2012-02-01,18.25
2012-02-02,18.3
2012-02-03,18.3
2012-02-06,19.1
2012-02-07,18.85
2012-02-08,19.3
2012-02-09,19.75
2012-02-10,19.25
2012-02-13,18.85
2012-02-14,19.05
2012-02-15,19.1
2012-02-16,19.25
2012-02-17,18.75
2012-02-21,18.85
2012-02-22,18.15
2012-02-23,18.2
2012-02-24,19.1
2012-02-27,18.1
2012-02-28,18.35
2012-02-29,18.15
2012-03-01,18.25
2012-03-02,18.15
2012-03-03,18.35
2012-03-05,17.6
2012-03-06,17.3
2012-03-07,17.05
2012-03-09,17.1
2012-03-12,17.2
2012-03-13,17.7
2012-03-14,17.3
2012-03-15,17.6
2012-03-16,17.35
2012-03-19,16.85
2012-03-20,17.35
2012-03-21,17.45
2012-03-22,17.4
2012-03-23,17.3
2012-03-26,16.3
2012-03-27,16.35
2012-03-28,16.05
2012-03-29,16.1
2012-03-30,16.15
2012-04-02,16.3
2012-04-03,16.9
2012-04-04,17.6
2012-04-09,17.3
2012-04-10,17.05
2012-04-11,17.2
2012-04-12,17.2
2012-04-13,16.75
2012-04-16,17.1
2012-04-17,17.1
2012-04-18,16.9
2012-04-19,16.85
2012-04-20,16.85
2012-04-23,16.15
2012-04-24,16.3
2012-04-25,19.35
2012-04-26,17.5
2012-04-27,16.9
2012-04-28,16.9
2012-04-30,16.95
2012-05-02,17.05
2012-05-03,16.6
2012-05-04,16.25
2012-05-07,16.35
2012-05-08,16.45
2012-05-09,16.1
2012-05-10,16.05
2012-05-11,15.9
2012-05-14,15.75
2012-05-15,15.8
2012-05-16,15.6
2012-05-17,15.2
2012-05-18,15.35
2012-05-21,15.4
2012-05-22,15.35
2012-05-23,15.5
2012-05-24,15.55
2012-05-25,15.8
2012-05-28,15.65
2012-05-29,15.75
2012-05-30,15.6
2012-05-31,15.55
2012-06-01,15.3
2012-06-04,15.25
2012-06-05,15.2
2012-06-06,15.6
2012-06-07,15.4
2012-06-08,15.4
2012-06-11,15.5
2012-06-12,15.4
2012-06-13,15.3
2012-06-14,15.15
2012-06-15,15.55
2012-06-18,15.5
2012-06-19,15.25
2012-06-20,15.8
2012-06-21,16.1
2012-06-22,15.85
2012-06-25,15.7
2012-06-26,15.5
2012-06-27,15.45
2012-06-28,15.5
2012-06-29,15.5
2012-07-02,15.65
2012-07-03,15.65
2012-07-04,15.75
2012-07-05,16.85
2012-07-06,16.5
2012-07-09,16.0
2012-07-09,16.0
2012-07-10,15.9
2012-07-11,15.95
2012-07-12,15.7
2012-07-13,15.65
2012-07-16,15.3
2012-07-17,15.35
2012-07-18,15.15
2012-07-19,15.5
2012-07-20,15.3
2012-07-23,15.0
2012-07-24,15.05
2012-07-25,15.05
2012-07-26,14.8
2012-07-27,14.8
2012-07-30,14.9
2012-07-31,15.15
2012-08-01,15.25
2012-08-02,15.95
2012-08-03,16.9
2012-08-06,16.35
2012-08-07,16.1
2012-08-08,15.8
2012-08-09,15.4
2012-08-10,15.25
2012-08-13,15.05
2012-08-14,15.0
2012-08-16,15.1
2012-08-17,14.95
2012-08-21,15.95
2012-08-22,15.7
2012-08-23,16.4
2012-08-24,16.55
2012-08-27,16.05
2012-08-28,15.65
2012-08-29,15.8
2012-08-30,15.75
2012-08-31,15.75
2012-09-03,15.65
2012-09-04,15.75
2012-09-05,15.45
2012-09-06,15.55
2012-09-07,15.5
2012-09-08,15.5
2012-09-10,15.4
2012-09-11,16.75
2012-09-12,16.15
2012-09-13,15.9
2012-09-14,16.05
2012-09-17,15.85
2012-09-18,15.85
2012-09-20,15.9
2012-09-21,16.1
2012-09-24,15.8
2012-09-25,16.05
2012-09-26,16.0
2012-09-27,16.0
2012-09-28,15.7
2012-10-01,16.1
2012-10-03,16.25
2012-10-04,16.85
2012-10-05,16.3
2012-10-08,16.05
2012-10-09,16.05
2012-10-10,16.0
2012-10-11,16.15
2012-10-12,16.1
2012-10-15,16.05
2012-10-16,15.95
2012-10-17,15.8
2012-10-18,15.95
2012-10-19,15.75
2012-10-22,15.75
2012-10-23,15.7
2012-10-25,15.65
2012-10-26,15.45
2012-10-29,15.4
2012-10-30,15.3
2012-10-31,15.5
2012-11-01,15.55
2012-11-02,15.45
2012-11-05,15.5
2012-11-06,15.25
2012-11-07,15.25
2012-11-08,15.6
2012-11-09,15.7
2012-11-12,15.8
2012-11-13,15.7
2012-11-15,15.65
2012-11-16,15.6
2012-11-19,15.7
2012-11-20,15.75
2012-11-21,15.85
2012-11-22,15.8
2012-11-23,15.65
2012-11-26,15.9
2012-11-27,15.85
2012-11-29,15.9
2012-11-30,15.75
2012-12-03,16.3
2012-12-04,16.2
2012-12-05,16.05
2012-12-06,16.3
2012-12-07,16.2
2012-12-10,16.25
2012-12-11,16.3
2012-12-12,16.0
2012-12-13,16.1
2012-12-14,16.05
2012-12-17,16.75
2012-12-18,16.5
2012-12-19,16.6
2012-12-20,16.5
2012-12-21,16.3
2012-12-24,16.55
2012-12-26,16.4
2012-12-27,16.3
2012-12-28,16.5
2012-12-31,16.85
