Date,SRTRANSFIN
2012-01-02,420.0
2012-01-03,438.15
2012-01-04,447.05
2012-01-05,489.6
2012-01-06,480.75
2012-01-07,482.3
2012-01-09,489.1
2012-01-10,498.55
2012-01-11,513.0
2012-01-12,520.2
2012-01-13,535.45
2012-01-16,563.9
2012-01-17,546.35
2012-01-18,531.3
2012-01-19,547.8
2012-01-20,563.55
2012-01-23,556.65
2012-01-24,569.35
2012-01-25,582.4
2012-01-27,597.7
2012-01-30,573.1
2012-01-31,582.95
2012-02-01,584.2
2012-02-02,596.95
2012-02-03,603.1
2012-02-06,600.7
2012-02-07,586.9
2012-02-08,586.55
2012-02-09,568.95
2012-02-10,573.95
2012-02-13,554.15
2012-02-14,550.3
2012-02-15,550.8
2012-02-16,573.3
2012-02-17,577.0
2012-02-21,593.1
2012-02-22,586.9
2012-02-23,585.8
2012-02-24,570.75
2012-02-27,544.15
2012-02-28,569.2
2012-02-29,547.5
2012-03-01,546.8
2012-03-02,540.5
2012-03-03,543.65
2012-03-05,533.7
2012-03-06,534.55
2012-03-07,544.65
2012-03-09,561.75
2012-03-12,580.2
2012-03-13,583.9
2012-03-14,588.65
2012-03-15,584.85
2012-03-16,585.75
2012-03-19,581.45
2012-03-20,594.2
2012-03-21,599.65
2012-03-22,588.85
2012-03-23,599.0
2012-03-26,571.75
2012-03-27,599.3
2012-03-28,585.75
2012-03-29,590.3
2012-03-30,600.75
2012-04-02,591.55
2012-04-03,603.25
2012-04-04,612.35
2012-04-09,597.35
2012-04-10,602.7
2012-04-11,598.95
2012-04-12,609.95
2012-04-13,603.95
2012-04-16,599.45
2012-04-17,599.05
2012-04-18,599.75
2012-04-19,594.7
2012-04-20,598.7
2012-04-23,593.4
2012-04-24,599.6
2012-04-25,596.25
2012-04-26,577.5
2012-04-27,579.8
2012-04-28,578.95
2012-04-30,572.7
2012-05-02,570.3
2012-05-03,557.65
2012-05-04,550.45
2012-05-07,544.7
2012-05-08,508.95
2012-05-09,514.9
2012-05-10,519.9
2012-05-11,508.6
2012-05-14,509.85
2012-05-15,507.7
2012-05-16,479.2
2012-05-17,500.3
2012-05-18,490.1
2012-05-21,498.05
2012-05-22,495.45
2012-05-23,490.1
2012-05-24,492.55
2012-05-25,504.0
2012-05-28,516.95
2012-05-29,516.4
2012-05-30,511.8
2012-05-31,527.05
2012-06-01,516.95
2012-06-04,509.7
2012-06-05,502.05
2012-06-06,518.85
2012-06-07,524.0
2012-06-08,513.75
2012-06-11,516.65
2012-06-12,516.2
2012-06-13,524.0
2012-06-14,521.15
2012-06-15,522.9
2012-06-18,504.1
2012-06-19,500.6
2012-06-20,503.45
2012-06-21,515.6
2012-06-22,513.4
2012-06-25,516.05
2012-06-26,524.25
2012-06-27,516.9
2012-06-28,516.4
2012-06-29,530.0
2012-07-02,535.3
2012-07-03,551.9
2012-07-04,573.4
2012-07-05,564.95
2012-07-06,557.9
2012-07-09,550.75
2012-07-10,566.85
2012-07-11,560.75
2012-07-12,552.3
2012-07-13,566.65
2012-07-16,561.9
2012-07-17,548.05
2012-07-18,541.6
2012-07-19,546.7
2012-07-20,537.65
2012-07-23,559.55
2012-07-24,562.5
2012-07-25,562.4
2012-07-26,564.6
2012-07-27,560.05
2012-07-30,575.85
2012-07-31,578.05
2012-08-01,574.35
2012-08-02,574.5
2012-08-03,573.25
2012-08-06,565.5
2012-08-07,569.25
2012-08-08,563.65
2012-08-09,562.7
2012-08-10,567.5
2012-08-13,567.9
2012-08-14,562.25
2012-08-16,566.7
2012-08-17,595.1
2012-08-21,603.9
2012-08-22,598.7
2012-08-23,600.45
2012-08-24,613.95
2012-08-27,605.6
2012-08-28,618.5
2012-08-29,616.05
2012-08-30,622.35
2012-08-31,635.15
2012-09-03,618.75
2012-09-04,624.6
2012-09-05,628.15
2012-09-06,634.85
2012-09-07,632.6
2012-09-08,631.15
2012-09-10,636.05
2012-09-11,627.25
2012-09-12,630.35
2012-09-13,627.9
2012-09-14,629.9
2012-09-17,621.4
2012-09-18,621.3
2012-09-20,618.65
2012-09-21,622.5
2012-09-24,623.85
2012-09-25,620.0
2012-09-26,624.55
2012-09-27,604.7
2012-09-28,619.85
2012-10-01,623.25
2012-10-03,634.0
2012-10-04,635.3
2012-10-05,646.5
2012-10-08,654.35
2012-10-09,658.6
2012-10-10,651.65
2012-10-11,652.45
2012-10-12,643.8
2012-10-15,651.0
2012-10-16,638.7
2012-10-17,634.6
2012-10-18,633.1
2012-10-19,635.1
2012-10-22,631.8
2012-10-23,621.55
2012-10-25,615.95
2012-10-26,603.6
2012-10-29,606.3
2012-10-30,615.8
2012-10-31,625.15
2012-11-01,632.95
2012-11-02,629.35
2012-11-05,628.25
2012-11-06,624.4
2012-11-07,624.4
2012-11-08,625.0
2012-11-09,620.6
2012-11-12,622.9
2012-11-13,619.7
2012-11-15,631.1
2012-11-16,626.1
2012-11-19,624.55
2012-11-20,620.9
2012-11-21,609.05
2012-11-22,621.8
2012-11-23,631.45
2012-11-26,628.4
2012-11-27,634.1
2012-11-29,651.35
2012-11-30,670.25
2012-12-03,673.95
2012-12-04,684.7
2012-12-05,690.0
2012-12-06,703.9
2012-12-07,708.1
2012-12-10,698.95
2012-12-11,706.2
2012-12-12,706.8
2012-12-13,716.3
2012-12-14,732.2
2012-12-17,731.7
2012-12-18,759.35
2012-12-19,765.55
2012-12-20,754.25
2012-12-21,749.5
2012-12-24,754.45
2012-12-26,749.9
2012-12-27,734.15
2012-12-28,750.75
2012-12-31,757.4
