Date,ALOKTEXT
2012-01-02,18.0
2012-01-03,18.15
2012-01-04,17.9
2012-01-05,17.95
2012-01-06,17.95
2012-01-07,18.05
2012-01-09,18.1
2012-01-10,18.6
2012-01-11,18.65
2012-01-12,18.7
2012-01-13,19.4
2012-01-16,19.25
2012-01-17,19.6
2012-01-18,19.1
2012-01-19,19.3
2012-01-20,18.75
2012-01-23,18.6
2012-01-24,19.35
2012-01-25,19.75
2012-01-27,20.1
2012-01-30,19.6
2012-01-31,20.05
2012-02-01,20.55
2012-02-02,20.2
2012-02-03,21.5
2012-02-06,21.6
2012-02-07,21.35
2012-02-08,21.6
2012-02-09,22.6
2012-02-10,23.4
2012-02-13,23.3
2012-02-14,23.25
2012-02-15,22.35
2012-02-16,22.2
2012-02-17,21.6
2012-02-21,21.4
2012-02-22,21.9
2012-02-23,22.35
2012-02-24,21.5
2012-02-27,20.2
2012-02-28,20.85
2012-02-29,20.65
2012-03-01,20.2
2012-03-02,21.1
2012-03-03,21.45
2012-03-05,20.95
2012-03-06,20.6
2012-03-07,20.15
2012-03-09,20.6
2012-03-12,20.4
2012-03-13,20.7
2012-03-14,20.7
2012-03-15,20.25
2012-03-16,19.95
2012-03-19,19.65
2012-03-20,19.8
2012-03-21,20.55
2012-03-22,19.55
2012-03-23,19.85
2012-03-26,19.45
2012-03-27,19.5
2012-03-28,19.1
2012-03-29,18.9
2012-03-30,19.65
2012-04-02,20.7
2012-04-03,20.6
2012-04-04,20.35
2012-04-09,20.2
2012-04-10,20.2
2012-04-11,20.0
2012-04-12,20.05
2012-04-13,19.6
2012-04-16,19.65
2012-04-17,19.8
2012-04-18,19.75
2012-04-19,19.7
2012-04-20,19.45
2012-04-23,19.15
2012-04-24,19.3
2012-04-25,19.0
2012-04-26,19.3
2012-04-27,19.2
2012-04-28,19.3
2012-04-30,19.5
2012-05-02,19.55
2012-05-03,19.55
2012-05-04,19.3
2012-05-07,19.4
2012-05-08,19.35
2012-05-09,18.85
2012-05-10,18.5
2012-05-11,18.3
2012-05-14,17.95
2012-05-15,18.3
2012-05-16,18.15
2012-05-17,18.2
2012-05-18,18.25
2012-05-21,18.85
2012-05-22,18.75
2012-05-23,18.55
2012-05-24,18.95
2012-05-25,18.8
2012-05-28,19.0
2012-05-29,18.9
2012-05-30,18.9
2012-05-31,18.7
2012-06-01,18.4
2012-06-04,18.3
2012-06-05,18.2
2012-06-06,18.7
2012-06-07,18.85
2012-06-08,18.75
2012-06-11,18.3
2012-06-12,18.35
2012-06-13,18.25
2012-06-14,18.2
2012-06-15,18.15
2012-06-18,17.9
2012-06-19,17.95
2012-06-20,17.95
2012-06-21,18.05
2012-06-22,18.1
2012-06-25,18.2
2012-06-26,17.95
2012-06-27,17.85
2012-06-28,17.3
2012-06-29,17.65
2012-07-02,18.0
2012-07-03,17.85
2012-07-04,18.0
2012-07-05,18.3
2012-07-06,18.3
2012-07-09,17.7
2012-07-09,17.7
2012-07-10,17.9
2012-07-11,17.65
2012-07-12,17.5
2012-07-13,17.45
2012-07-16,17.4
2012-07-17,17.3
2012-07-18,17.15
2012-07-19,17.1
2012-07-20,17.15
2012-07-23,16.95
2012-07-24,16.9
2012-07-25,16.8
2012-07-26,15.85
2012-07-27,15.5
2012-07-30,15.7
2012-07-31,15.75
2012-08-01,15.5
2012-08-02,15.75
2012-08-03,15.8
2012-08-06,15.65
2012-08-07,15.6
2012-08-08,15.85
2012-08-09,16.25
2012-08-10,16.1
2012-08-13,16.05
2012-08-14,15.9
2012-08-16,15.85
2012-08-17,15.9
2012-08-21,15.95
2012-08-22,15.55
2012-08-23,15.45
2012-08-24,15.55
2012-08-27,15.4
2012-08-28,12.55
2012-08-29,12.1
2012-08-30,11.5
2012-08-31,11.85
2012-09-03,11.85
2012-09-04,11.7
2012-09-05,11.75
2012-09-06,11.75
2012-09-07,11.65
2012-09-08,11.85
2012-09-10,11.6
2012-09-11,11.55
2012-09-12,11.5
2012-09-13,10.95
2012-09-14,11.35
2012-09-17,11.9
2012-09-18,12.25
2012-09-20,11.85
2012-09-21,11.8
2012-09-24,12.15
2012-09-25,12.55
2012-09-26,12.55
2012-09-27,12.4
2012-09-28,12.6
2012-10-01,12.85
2012-10-03,13.35
2012-10-04,13.25
2012-10-05,12.9
2012-10-08,12.95
2012-10-09,12.95
2012-10-10,12.55
2012-10-11,12.6
2012-10-12,12.4
2012-10-15,12.25
2012-10-16,12.1
2012-10-17,12.25
2012-10-18,12.1
2012-10-19,11.9
2012-10-22,11.7
2012-10-23,11.7
2012-10-25,11.45
2012-10-26,11.5
2012-10-29,11.3
2012-10-30,11.5
2012-10-31,11.5
2012-11-01,12.0
2012-11-02,12.2
2012-11-05,11.95
2012-11-06,11.85
2012-11-07,11.75
2012-11-08,11.75
2012-11-09,11.5
2012-11-12,11.85
2012-11-13,11.85
2012-11-15,11.6
2012-11-16,11.45
2012-11-19,11.4
2012-11-20,11.3
2012-11-21,11.4
2012-11-22,11.2
2012-11-23,11.15
2012-11-26,11.1
2012-11-27,11.2
2012-11-29,10.95
2012-11-30,11.25
2012-12-03,11.2
2012-12-04,11.1
2012-12-05,11.1
2012-12-06,11.1
2012-12-07,11.05
2012-12-10,10.9
2012-12-11,10.75
2012-12-12,10.7
2012-12-13,10.55
2012-12-14,10.55
2012-12-17,10.6
2012-12-18,10.5
2012-12-19,11.85
2012-12-20,11.6
2012-12-21,10.95
2012-12-24,11.3
2012-12-26,11.45
2012-12-27,11.2
2012-12-28,11.1
2012-12-31,11.1
