Date,OMAXAUTO
2012-01-02,34.1
2012-01-03,36.15
2012-01-04,35.4
2012-01-05,35.5
2012-01-06,35.0
2012-01-07,35.1
2012-01-09,35.45
2012-01-10,37.4
2012-01-11,37.0
2012-01-12,38.2
2012-01-13,38.8
2012-01-16,38.5
2012-01-17,38.35
2012-01-18,37.15
2012-01-19,37.1
2012-01-20,38.1
2012-01-23,38.0
2012-01-24,39.05
2012-01-25,38.2
2012-01-27,38.6
2012-01-30,38.85
2012-01-31,41.45
2012-02-01,42.3
2012-02-02,42.6
2012-02-03,42.25
2012-02-06,43.45
2012-02-07,43.4
2012-02-08,45.05
2012-02-09,45.7
2012-02-10,45.15
2012-02-13,45.55
2012-02-14,45.55
2012-02-15,45.75
2012-02-16,46.8
2012-02-17,46.25
2012-02-21,45.3
2012-02-22,44.55
2012-02-23,43.1
2012-02-24,44.0
2012-02-27,41.0
2012-02-28,42.9
2012-02-29,42.5
2012-03-01,42.15
2012-03-02,42.95
2012-03-03,43.0
2012-03-05,42.4
2012-03-06,41.7
2012-03-07,41.0
2012-03-09,41.15
2012-03-12,42.0
2012-03-13,42.0
2012-03-14,41.75
2012-03-15,41.6
2012-03-16,41.15
2012-03-19,40.65
2012-03-20,37.9
2012-03-21,39.3
2012-03-22,39.15
2012-03-23,39.3
2012-03-26,36.95
2012-03-27,36.7
2012-03-28,36.0
2012-03-29,35.0
2012-03-30,36.5
2012-04-02,37.7
2012-04-03,38.0
2012-04-04,38.45
2012-04-09,37.55
2012-04-10,38.25
2012-04-11,37.55
2012-04-12,37.55
2012-04-13,38.2
2012-04-16,38.6
2012-04-17,40.2
2012-04-18,41.7
2012-04-19,41.55
2012-04-20,43.2
2012-04-23,41.55
2012-04-24,42.4
2012-04-25,44.8
2012-04-26,44.4
2012-04-27,43.8
2012-04-28,43.5
2012-04-30,46.15
2012-05-02,51.15
2012-05-03,46.9
2012-05-04,45.6
2012-05-07,46.15
2012-05-08,46.35
2012-05-09,45.75
2012-05-10,46.5
2012-05-11,45.35
2012-05-14,45.1
2012-05-15,45.4
2012-05-16,44.85
2012-05-17,45.2
2012-05-18,44.55
2012-05-21,46.0
2012-05-22,45.35
2012-05-23,45.1
2012-05-24,44.95
2012-05-25,45.3
2012-05-28,45.9
2012-05-29,44.45
2012-05-30,44.1
2012-05-31,43.25
2012-06-01,44.05
2012-06-04,44.3
2012-06-05,43.95
2012-06-06,44.15
2012-06-07,45.25
2012-06-08,44.75
2012-06-11,45.45
2012-06-12,46.3
2012-06-13,43.35
2012-06-14,44.45
2012-06-15,44.55
2012-06-18,46.85
2012-06-19,47.1
2012-06-20,51.6
2012-06-21,52.4
2012-06-22,50.3
2012-06-25,49.95
2012-06-26,51.95
2012-06-27,50.85
2012-06-28,49.65
2012-06-29,49.35
2012-07-02,49.3
2012-07-03,49.1
2012-07-04,49.35
2012-07-05,49.5
2012-07-06,49.05
2012-07-09,49.75
2012-07-09,49.75
2012-07-10,50.7
2012-07-11,51.1
2012-07-12,50.25
2012-07-13,49.7
2012-07-16,49.55
2012-07-17,49.15
2012-07-18,49.25
2012-07-19,49.0
2012-07-20,48.25
2012-07-23,48.0
2012-07-24,47.85
2012-07-25,47.95
2012-07-26,46.55
2012-07-27,44.2
2012-07-30,47.75
2012-07-31,46.25
2012-08-01,46.2
2012-08-02,45.9
2012-08-03,47.05
2012-08-06,46.45
2012-08-07,47.85
2012-08-08,47.15
2012-08-09,46.15
2012-08-10,45.65
2012-08-13,45.75
2012-08-14,45.5
2012-08-16,45.95
2012-08-17,46.05
2012-08-21,49.5
2012-08-22,47.85
2012-08-23,47.85
2012-08-24,48.0
2012-08-27,47.4
2012-08-28,46.6
2012-08-29,46.95
2012-08-30,47.1
2012-08-31,44.85
2012-09-03,44.9
2012-09-04,45.35
2012-09-05,45.0
2012-09-06,44.95
2012-09-07,44.85
2012-09-08,45.35
2012-09-10,45.3
2012-09-11,44.5
2012-09-12,49.0
2012-09-13,52.55
2012-09-14,49.25
2012-09-17,47.95
2012-09-18,47.25
2012-09-20,46.75
2012-09-21,47.3
2012-09-24,47.95
2012-09-25,47.45
2012-09-26,46.15
2012-09-27,46.95
2012-09-28,47.3
2012-10-01,47.7
2012-10-03,49.55
2012-10-04,49.3
2012-10-05,48.95
2012-10-08,49.3
2012-10-09,49.6
2012-10-10,49.05
2012-10-11,48.7
2012-10-12,48.15
2012-10-15,49.55
2012-10-16,48.35
2012-10-17,48.35
2012-10-18,48.6
2012-10-19,48.25
2012-10-22,48.4
2012-10-23,45.55
2012-10-25,45.25
2012-10-26,45.25
2012-10-29,45.4
2012-10-30,45.3
2012-10-31,46.8
2012-11-01,46.8
2012-11-02,47.05
2012-11-05,46.95
2012-11-06,47.0
2012-11-07,47.1
2012-11-08,47.75
2012-11-09,48.0
2012-11-12,47.9
2012-11-13,47.7
2012-11-15,47.5
2012-11-16,48.0
2012-11-19,47.9
2012-11-20,47.8
2012-11-21,47.8
2012-11-22,48.3
2012-11-23,48.5
2012-11-26,50.55
2012-11-27,49.5
2012-11-29,49.2
2012-11-30,49.1
2012-12-03,49.75
2012-12-04,49.1
2012-12-05,49.15
2012-12-06,49.05
2012-12-07,49.1
2012-12-10,48.85
2012-12-11,48.95
2012-12-12,48.5
2012-12-13,48.75
2012-12-14,48.75
2012-12-17,48.5
2012-12-18,48.75
2012-12-19,48.75
2012-12-20,48.95
2012-12-21,48.7
2012-12-24,48.8
2012-12-26,48.6
2012-12-27,48.6
2012-12-28,47.65
2012-12-31,47.2
