Date,BAJFINANCE
2012-01-02,603.4
2012-01-03,612.95
2012-01-04,605.3
2012-01-05,607.05
2012-01-06,590.0
2012-01-07,601.2
2012-01-09,610.05
2012-01-10,627.25
2012-01-11,651.4
2012-01-12,649.55
2012-01-13,647.1
2012-01-16,649.9
2012-01-17,650.05
2012-01-18,677.25
2012-01-19,681.05
2012-01-20,684.8
2012-01-23,693.8
2012-01-24,720.85
2012-01-25,730.05
2012-01-27,726.9
2012-01-30,722.1
2012-01-31,750.65
2012-02-01,777.4
2012-02-02,773.8
2012-02-03,791.95
2012-02-06,787.4
2012-02-07,790.2
2012-02-08,822.6
2012-02-09,822.0
2012-02-10,811.7
2012-02-13,804.3
2012-02-14,797.95
2012-02-15,795.1
2012-02-16,785.5
2012-02-17,806.25
2012-02-21,818.75
2012-02-22,802.8
2012-02-23,784.05
2012-02-24,799.5
2012-02-27,761.5
2012-02-28,773.95
2012-02-29,790.5
2012-03-01,773.25
2012-03-02,781.65
2012-03-03,778.3
2012-03-05,762.3
2012-03-06,767.25
2012-03-07,770.05
2012-03-09,794.4
2012-03-12,802.2
2012-03-13,808.65
2012-03-14,819.05
2012-03-15,789.6
2012-03-16,780.7
2012-03-19,786.4
2012-03-20,791.15
2012-03-21,813.05
2012-03-22,815.05
2012-03-23,814.35
2012-03-26,810.05
2012-03-27,804.8
2012-03-28,799.75
2012-03-29,795.7
2012-03-30,814.35
2012-04-02,834.7
2012-04-03,864.1
2012-04-04,875.25
2012-04-09,865.55
2012-04-10,868.0
2012-04-11,845.15
2012-04-12,867.35
2012-04-13,878.15
2012-04-16,883.05
2012-04-17,884.75
2012-04-18,889.3
2012-04-19,892.3
2012-04-20,892.1
2012-04-23,869.1
2012-04-24,848.95
2012-04-25,849.5
2012-04-26,841.25
2012-04-27,863.25
2012-04-28,861.0
2012-04-30,873.8
2012-05-02,889.55
2012-05-03,874.65
2012-05-04,845.85
2012-05-07,893.8
2012-05-08,879.0
2012-05-09,855.85
2012-05-10,858.0
2012-05-11,859.15
2012-05-14,852.55
2012-05-15,876.1
2012-05-16,850.3
2012-05-17,860.25
2012-05-18,869.85
2012-05-21,859.45
