Date,VISASTEEL
2012-01-02,57.9
2012-01-03,57.9
2012-01-04,57.75
2012-01-05,57.7
2012-01-06,57.75
2012-01-07,57.7
2012-01-09,57.7
2012-01-10,57.7
2012-01-11,57.65
2012-01-12,57.55
2012-01-13,57.6
2012-01-16,57.7
2012-01-17,57.55
2012-01-18,57.55
2012-01-19,57.55
2012-01-20,57.55
2012-01-23,57.55
2012-01-24,57.55
2012-01-25,57.65
2012-01-27,57.55
2012-01-30,57.6
2012-01-31,57.7
2012-02-01,57.55
2012-02-02,57.65
2012-02-03,57.55
2012-02-06,57.4
2012-02-07,57.55
2012-02-08,57.55
2012-02-09,57.6
2012-02-10,57.9
2012-02-13,57.8
2012-02-14,57.45
2012-02-15,60.0
2012-02-16,59.6
2012-02-17,59.65
2012-02-21,59.65
2012-02-22,59.55
2012-02-23,59.0
2012-02-24,59.05
2012-02-27,58.95
2012-02-28,59.2
2012-02-29,59.05
2012-03-01,59.15
2012-03-02,59.95
2012-03-03,59.2
2012-03-05,58.95
2012-03-06,59.0
2012-03-07,59.0
2012-03-09,58.5
2012-03-12,59.0
2012-03-13,60.2
2012-03-14,59.5
2012-03-15,59.0
2012-03-16,59.15
2012-03-19,58.6
2012-03-20,58.5
2012-03-21,58.55
2012-03-22,57.6
2012-03-23,57.55
2012-03-26,56.95
2012-03-27,56.9
2012-03-28,56.7
2012-03-29,57.35
2012-03-30,57.0
2012-04-02,56.6
2012-04-03,57.0
2012-04-04,57.0
2012-04-09,56.75
2012-04-10,56.75
2012-04-11,56.45
2012-04-12,56.5
2012-04-13,56.05
2012-04-16,56.15
2012-04-17,56.0
2012-04-18,55.5
2012-04-19,54.9
2012-04-20,53.8
2012-04-23,53.5
2012-04-24,53.55
2012-04-25,53.05
2012-04-26,53.0
2012-04-27,53.05
2012-04-28,53.5
2012-04-30,53.5
2012-05-02,53.05
2012-05-03,53.1
2012-05-04,53.0
2012-05-07,53.05
2012-05-08,53.0
2012-05-09,53.05
2012-05-10,53.05
2012-05-11,53.0
2012-05-14,52.55
2012-05-15,52.45
2012-05-16,52.05
2012-05-17,52.3
2012-05-18,51.55
2012-05-21,50.75
2012-05-22,51.15
2012-05-23,50.8
2012-05-24,51.3
2012-05-25,51.4
2012-05-28,51.05
2012-05-29,51.05
2012-05-30,50.7
2012-05-31,49.45
2012-06-01,50.95
2012-06-04,51.0
2012-06-05,50.0
2012-06-06,51.35
2012-06-07,51.05
2012-06-08,50.3
2012-06-11,50.05
2012-06-12,50.85
2012-06-13,50.75
2012-06-14,50.8
2012-06-15,51.0
2012-06-18,50.75
2012-06-19,50.75
2012-06-20,50.7
2012-06-21,50.75
2012-06-22,50.75
2012-06-25,50.75
2012-06-26,50.55
2012-06-27,50.6
2012-06-28,50.25
2012-06-29,50.4
2012-07-02,50.2
2012-07-03,50.35
2012-07-04,50.65
2012-07-05,50.1
2012-07-06,50.05
2012-07-09,50.0
2012-07-10,50.1
2012-07-11,50.1
2012-07-12,50.1
2012-07-13,50.05
2012-07-16,50.0
2012-07-17,50.0
2012-07-18,50.0
2012-07-19,50.1
2012-07-20,50.05
2012-07-23,50.0
2012-07-24,49.85
2012-07-25,49.75
2012-07-26,49.45
2012-07-27,49.2
2012-07-30,50.25
2012-07-31,50.1
2012-08-01,50.0
2012-08-02,50.0
2012-08-03,50.3
2012-08-06,50.35
2012-08-07,49.25
2012-08-08,50.15
2012-08-09,49.75
2012-08-10,49.05
2012-08-13,49.0
2012-08-14,49.2
2012-08-16,49.5
2012-08-17,49.55
2012-08-21,49.25
2012-08-22,49.15
2012-08-23,49.25
2012-08-24,49.1
2012-08-27,49.0
2012-08-28,49.15
2012-08-29,49.0
2012-08-30,49.0
2012-08-31,49.0
2012-09-03,48.9
2012-09-04,49.0
2012-09-05,49.0
2012-09-06,49.0
2012-09-07,48.8
2012-09-08,48.85
2012-09-10,49.2
2012-09-11,49.0
2012-09-12,48.95
2012-09-13,48.8
2012-09-14,47.9
2012-09-17,48.05
2012-09-18,48.35
2012-09-20,48.0
2012-09-21,48.0
2012-09-24,48.0
2012-09-25,48.25
2012-09-26,48.0
2012-09-27,47.6
2012-09-28,47.3
2012-10-01,48.0
2012-10-03,48.2
2012-10-04,47.95
2012-10-05,47.1
2012-10-08,47.0
2012-10-09,46.9
2012-10-10,47.05
2012-10-11,48.0
2012-10-12,47.85
2012-10-15,47.8
2012-10-16,47.8
2012-10-17,47.5
2012-10-18,47.5
2012-10-19,47.7
2012-10-22,47.7
2012-10-23,47.55
2012-10-25,47.5
2012-10-26,47.75
2012-10-29,47.5
2012-10-30,47.5
2012-10-31,47.85
2012-11-01,47.55
2012-11-02,47.5
2012-11-05,47.5
2012-11-06,47.6
2012-11-07,47.55
2012-11-08,47.45
2012-11-09,47.5
2012-11-12,47.55
2012-11-13,47.9
2012-11-15,48.0
2012-11-16,48.0
2012-11-19,47.8
2012-11-20,52.7
2012-11-21,47.2
2012-11-22,47.65
2012-11-23,47.25
2012-11-26,47.25
2012-11-27,47.45
2012-11-29,47.35
2012-11-30,47.55
2012-12-03,47.4
2012-12-04,47.75
2012-12-05,47.5
2012-12-06,47.25
2012-12-07,49.0
2012-12-10,47.8
2012-12-11,47.25
2012-12-12,47.3
2012-12-13,47.4
2012-12-14,47.3
2012-12-17,47.1
2012-12-18,47.35
2012-12-19,47.5
2012-12-20,51.2
2012-12-21,48.55
2012-12-24,48.45
2012-12-26,47.7
2012-12-27,47.45
2012-12-28,47.55
2012-12-31,47.6
