Date,M100
2012-01-02,6.09
2012-01-03,6.15
2012-01-04,6.14
2012-01-05,6.2
2012-01-06,6.23
2012-01-07,6.33
2012-01-09,6.36
2012-01-10,6.36
2012-01-11,6.42
2012-01-12,6.54
2012-01-13,6.52
2012-01-16,6.5
2012-01-17,6.58
2012-01-18,6.61
2012-01-19,6.6
2012-01-20,6.71
2012-01-23,6.72
2012-01-24,6.81
2012-01-25,6.92
2012-01-27,6.97
2012-01-30,6.84
2012-01-31,6.96
2012-02-01,7.07
2012-02-02,7.07
2012-02-03,7.1
2012-02-06,7.25
2012-02-07,7.21
2012-02-08,7.27
2012-02-09,7.34
2012-02-10,7.35
2012-02-13,7.4
2012-02-14,7.57
2012-02-15,7.6
2012-02-16,7.66
2012-02-17,7.72
2012-02-21,7.77
2012-02-22,7.56
2012-02-23,7.5
2012-02-24,7.39
2012-02-27,7.31
2012-02-28,7.41
2012-02-29,7.51
2012-03-01,7.47
2012-03-02,7.48
2012-03-03,7.45
2012-03-05,7.36
2012-03-06,7.35
2012-03-07,7.38
2012-03-09,7.55
2012-03-12,7.58
2012-03-13,7.62
2012-03-14,7.76
2012-03-15,7.6
2012-03-16,7.5
2012-03-19,7.43
2012-03-20,7.43
2012-03-21,7.67
2012-03-22,7.56
2012-03-23,7.5
2012-03-26,7.51
2012-03-27,7.42
2012-03-28,7.39
2012-03-29,7.34
2012-03-30,7.42
2012-04-02,7.61
2012-04-03,7.74
2012-04-04,7.66
2012-04-09,7.69
2012-04-10,7.63
2012-04-11,7.44
2012-04-12,7.52
2012-04-13,7.48
2012-04-16,7.45
2012-04-17,7.52
2012-04-18,7.53
2012-04-19,7.59
2012-04-20,7.44
2012-04-23,7.45
2012-04-24,7.32
2012-04-25,7.34
2012-04-26,7.25
2012-04-27,7.3
2012-04-28,7.38
2012-04-30,7.27
2012-05-02,7.29
2012-05-03,7.24
2012-05-04,7.15
2012-05-07,7.39
2012-05-08,7.08
2012-05-09,7.0
2012-05-10,7.09
2012-05-11,6.95
2012-05-14,6.86
2012-05-15,6.92
2012-05-16,6.71
2012-05-17,6.8
2012-05-18,6.72
2012-05-21,6.73
2012-05-22,6.86
2012-05-23,6.74
2012-05-24,6.81
2012-05-25,6.92
2012-05-28,6.89
2012-05-29,6.93
2012-05-30,6.79
2012-05-31,6.72
2012-06-01,6.79
2012-06-04,6.58
2012-06-05,6.66
2012-06-06,6.74
2012-06-07,6.9
2012-06-08,6.88
2012-06-11,7.02
2012-06-12,6.91
2012-06-13,7.02
2012-06-14,6.93
2012-06-15,7.06
2012-06-18,6.9
2012-06-19,6.85
2012-06-20,6.86
2012-06-21,7.06
2012-06-22,7.01
2012-06-25,7.05
2012-06-26,7.04
2012-06-27,7.09
2012-06-28,7.14
2012-06-29,7.21
2012-07-02,7.29
2012-07-03,7.29
2012-07-04,7.29
2012-07-05,7.42
2012-07-06,7.38
2012-07-09,7.39
2012-07-09,7.39
2012-07-10,7.29
2012-07-11,7.38
2012-07-12,7.31
2012-07-13,7.35
2012-07-16,7.33
2012-07-17,7.25
2012-07-18,7.23
2012-07-19,7.33
2012-07-20,7.3
2012-07-23,7.16
2012-07-24,7.19
2012-07-25,7.15
2012-07-26,7.01
2012-07-27,6.98
2012-07-30,7.09
2012-07-31,7.08
2012-08-01,7.17
2012-08-02,7.21
2012-08-03,7.19
2012-08-06,7.23
2012-08-07,7.23
2012-08-08,7.22
2012-08-09,7.18
2012-08-10,7.17
2012-08-13,7.24
2012-08-14,7.25
2012-08-16,7.22
2012-08-17,7.29
2012-08-21,7.23
2012-08-22,7.21
2012-08-23,7.17
2012-08-24,7.14
2012-08-27,7.11
2012-08-28,7.09
2012-08-29,7.01
2012-08-30,6.99
2012-08-31,7.03
2012-09-03,7.01
2012-09-04,7.05
2012-09-05,7.11
2012-09-06,7.05
2012-09-07,7.19
2012-09-08,7.24
2012-09-10,7.15
2012-09-11,7.29
2012-09-12,7.25
2012-09-13,7.22
2012-09-14,7.25
2012-09-17,7.37
2012-09-18,7.48
2012-09-20,7.45
2012-09-21,7.55
2012-09-24,7.62
2012-09-25,7.61
2012-09-26,7.65
2012-09-27,7.76
2012-09-28,7.65
2012-10-01,7.98
2012-10-03,7.99
2012-10-04,7.95
2012-10-05,7.95
2012-10-08,7.86
2012-10-09,7.82
2012-10-10,7.76
2012-10-11,7.94
2012-10-12,7.95
2012-10-15,7.95
2012-10-16,7.9
2012-10-17,7.88
2012-10-18,7.98
2012-10-19,7.96
2012-10-22,7.91
2012-10-23,7.9
2012-10-25,7.86
2012-10-26,7.84
2012-10-29,7.8
2012-10-30,7.73
2012-10-31,7.76
2012-11-01,7.8
2012-11-02,7.77
2012-11-05,7.85
2012-11-06,7.9
2012-11-07,7.94
2012-11-08,7.97
2012-11-09,7.99
2012-11-12,7.94
2012-11-13,7.92
2012-11-15,7.94
2012-11-16,7.9
2012-11-19,7.78
2012-11-20,7.78
2012-11-21,7.73
2012-11-22,7.82
2012-11-23,7.91
2012-11-26,7.86
2012-11-27,7.99
2012-11-29,8.03
2012-11-30,8.09
2012-12-03,8.22
2012-12-04,8.25
2012-12-05,8.28
2012-12-06,8.39
2012-12-07,8.35
2012-12-10,8.4
2012-12-11,8.35
2012-12-12,8.35
2012-12-13,8.34
2012-12-14,8.34
2012-12-17,8.34
2012-12-18,8.39
2012-12-19,8.43
2012-12-20,8.44
2012-12-21,8.37
2012-12-24,8.41
2012-12-26,8.42
2012-12-27,8.4
2012-12-28,8.4
2012-12-31,8.48
