Date,JBFIND
2012-01-02,90.9
2012-01-03,93.75
2012-01-04,92.3
2012-01-05,93.25
2012-01-06,91.8
2012-01-07,93.2
2012-01-09,97.5
2012-01-10,100.05
2012-01-11,102.7
2012-01-12,100.6
2012-01-13,101.3
2012-01-16,100.05
2012-01-17,100.45
2012-01-18,100.8
2012-01-19,101.25
2012-01-20,101.7
2012-01-23,100.45
2012-01-24,99.55
2012-01-25,101.6
2012-01-27,107.5
2012-01-30,107.55
2012-01-31,109.4
2012-02-01,109.85
2012-02-02,110.65
2012-02-03,112.9
2012-02-06,109.85
2012-02-07,106.95
2012-02-08,111.3
2012-02-09,110.95
2012-02-10,111.0
2012-02-13,111.05
2012-02-14,113.4
2012-02-15,114.65
2012-02-16,115.55
2012-02-17,114.4
2012-02-21,114.15
2012-02-22,112.7
2012-02-23,111.15
2012-02-24,110.85
2012-02-27,108.45
2012-02-28,110.15
2012-02-29,111.55
2012-03-01,110.7
2012-03-02,112.1
2012-03-03,112.55
2012-03-05,112.75
2012-03-06,112.4
2012-03-07,111.35
2012-03-09,113.1
2012-03-12,113.0
2012-03-13,117.05
2012-03-14,118.35
2012-03-15,114.95
2012-03-16,113.65
2012-03-19,114.6
2012-03-20,113.05
2012-03-21,113.05
2012-03-22,112.8
2012-03-23,110.15
2012-03-26,108.5
2012-03-27,110.0
2012-03-28,109.45
2012-03-29,111.75
2012-03-30,111.05
2012-04-02,111.8
2012-04-03,111.8
2012-04-04,111.1
2012-04-09,109.5
2012-04-10,109.05
2012-04-11,106.05
2012-04-12,105.1
2012-04-13,102.1
2012-04-16,101.5
2012-04-17,100.0
2012-04-18,106.4
2012-04-19,106.75
2012-04-20,110.0
2012-04-23,108.6
2012-04-24,107.35
2012-04-25,107.5
2012-04-26,107.1
2012-04-27,110.55
2012-04-28,109.8
2012-04-30,113.05
2012-05-02,113.3
2012-05-03,112.1
2012-05-04,111.7
2012-05-07,112.25
2012-05-08,112.15
2012-05-09,108.9
2012-05-10,108.4
2012-05-11,107.3
2012-05-14,109.05
2012-05-15,110.85
2012-05-16,110.15
2012-05-17,114.0
2012-05-18,115.65
2012-05-21,114.1
2012-05-22,113.85
2012-05-23,113.85
2012-05-24,119.45
2012-05-25,119.2
2012-05-28,120.5
2012-05-29,117.0
2012-05-30,114.65
2012-05-31,111.6
2012-06-01,113.2
2012-06-04,114.25
2012-06-05,115.35
2012-06-06,118.4
2012-06-07,118.9
2012-06-08,118.7
2012-06-11,119.8
2012-06-12,118.65
2012-06-13,118.7
2012-06-14,118.4
2012-06-15,119.1
2012-06-18,119.75
2012-06-19,121.4
2012-06-20,122.95
2012-06-21,124.9
2012-06-22,127.0
2012-06-25,127.45
2012-06-26,130.9
2012-06-27,131.65
2012-06-28,131.15
2012-06-29,131.65
2012-07-02,131.55
2012-07-03,135.3
2012-07-04,134.5
2012-07-05,135.5
2012-07-06,139.7
2012-07-09,135.3
2012-07-09,135.3
2012-07-10,139.25
2012-07-11,139.1
2012-07-12,138.25
2012-07-13,139.65
2012-07-16,140.7
2012-07-17,139.15
2012-07-18,140.0
2012-07-19,140.05
2012-07-20,140.75
2012-07-23,139.7
2012-07-24,137.55
2012-07-25,139.35
2012-07-26,137.55
2012-07-27,133.6
2012-07-30,134.15
2012-07-31,133.3
2012-08-01,136.75
2012-08-02,137.55
2012-08-03,139.85
2012-08-06,146.15
2012-08-07,143.3
2012-08-08,140.75
2012-08-09,133.2
2012-08-10,132.5
2012-08-13,132.45
2012-08-14,136.15
2012-08-16,137.55
2012-08-17,138.1
2012-08-21,136.45
2012-08-22,140.2
2012-08-23,147.2
2012-08-24,147.0
2012-08-27,147.6
2012-08-28,143.25
2012-08-29,141.0
2012-08-30,139.9
2012-08-31,139.6
2012-09-03,140.3
2012-09-04,139.55
2012-09-05,138.8
2012-09-06,137.95
2012-09-07,138.7
2012-09-08,139.2
2012-09-10,139.1
2012-09-11,138.95
2012-09-12,140.4
2012-09-13,139.2
2012-09-14,141.9
2012-09-17,142.5
2012-09-18,141.95
2012-09-20,141.7
2012-09-21,140.15
2012-09-24,141.6
2012-09-25,142.0
2012-09-26,141.5
2012-09-27,141.35
2012-09-28,142.75
2012-10-01,147.0
2012-10-03,148.65
2012-10-04,147.15
2012-10-05,144.05
2012-10-08,145.4
2012-10-09,143.75
2012-10-10,140.65
2012-10-11,141.15
2012-10-12,142.1
2012-10-15,142.0
2012-10-16,138.95
2012-10-17,138.6
2012-10-18,138.65
2012-10-19,138.15
2012-10-22,138.7
2012-10-23,137.85
2012-10-25,138.0
2012-10-26,143.3
2012-10-29,143.85
2012-10-30,141.4
2012-10-31,141.8
2012-11-01,143.0
2012-11-02,141.2
2012-11-05,139.7
2012-11-06,139.9
2012-11-07,137.65
2012-11-08,139.85
2012-11-09,137.5
2012-11-12,135.3
2012-11-13,136.2
2012-11-15,134.3
2012-11-16,129.85
2012-11-19,127.6
2012-11-20,126.05
2012-11-21,126.15
2012-11-22,127.0
2012-11-23,127.25
2012-11-26,124.55
2012-11-27,126.0
2012-11-29,130.05
2012-11-30,127.85
2012-12-03,130.2
2012-12-04,132.25
2012-12-05,131.3
2012-12-06,130.3
2012-12-07,131.05
2012-12-10,129.0
2012-12-11,128.0
2012-12-12,127.75
2012-12-13,128.2
2012-12-14,127.65
2012-12-17,127.9
2012-12-18,126.85
2012-12-19,126.4
2012-12-20,124.95
2012-12-21,125.35
2012-12-24,126.3
2012-12-26,124.8
2012-12-27,125.8
2012-12-28,124.35
2012-12-31,124.95
