Date,ZENSARTECH
2012-01-02,142.65
2012-01-03,146.05
2012-01-04,141.95
2012-01-05,139.6
2012-01-06,137.35
2012-01-07,137.35
2012-01-09,138.7
2012-01-10,139.25
2012-01-11,138.15
2012-01-12,134.95
2012-01-13,135.8
2012-01-16,134.25
2012-01-17,136.5
2012-01-18,138.7
2012-01-19,136.35
2012-01-20,138.25
2012-01-23,140.1
2012-01-24,144.35
2012-01-25,169.4
2012-01-27,174.65
2012-01-30,166.75
2012-01-31,173.65
2012-02-01,172.8
2012-02-02,169.6
2012-02-03,168.35
2012-02-06,169.2
2012-02-07,168.15
2012-02-08,171.2
2012-02-09,171.3
2012-02-10,173.4
2012-02-13,179.2
2012-02-14,174.25
2012-02-15,179.4
2012-02-16,191.45
2012-02-17,186.1
2012-02-21,186.4
2012-02-22,180.6
2012-02-23,177.65
2012-02-24,182.05
2012-02-27,177.75
2012-02-28,177.35
2012-02-29,179.7
2012-03-01,183.85
2012-03-02,183.1
2012-03-03,185.1
2012-03-05,182.85
2012-03-06,184.15
2012-03-07,185.0
2012-03-09,185.2
2012-03-12,191.85
2012-03-13,191.0
2012-03-14,192.85
2012-03-15,190.45
2012-03-16,186.1
2012-03-19,182.7
2012-03-20,178.15
2012-03-21,183.7
2012-03-22,181.5
2012-03-23,183.2
2012-03-26,180.85
2012-03-27,181.15
2012-03-28,179.9
2012-03-29,179.95
2012-03-30,179.95
2012-04-02,180.15
2012-04-03,181.2
2012-04-04,183.7
2012-04-09,181.4
2012-04-10,184.4
2012-04-11,186.25
2012-04-12,188.65
2012-04-13,184.95
2012-04-16,187.2
2012-04-17,191.4
2012-04-18,194.95
2012-04-19,225.65
2012-04-20,219.35
2012-04-23,222.25
2012-04-24,233.15
2012-04-25,194.45
2012-04-26,203.1
2012-04-27,223.35
2012-04-28,223.95
2012-04-30,218.05
2012-05-02,212.85
2012-05-03,205.9
2012-05-04,201.9
2012-05-07,203.9
2012-05-08,203.1
2012-05-09,202.4
2012-05-10,205.15
2012-05-11,202.75
2012-05-14,203.5
2012-05-15,205.05
2012-05-16,200.0
2012-05-17,200.4
2012-05-18,207.2
2012-05-21,212.0
2012-05-22,216.75
2012-05-23,222.4
2012-05-24,224.05
2012-05-25,224.2
2012-05-28,218.3
2012-05-29,215.3
2012-05-30,216.25
2012-05-31,220.35
2012-06-01,221.9
2012-06-04,222.55
2012-06-05,220.35
2012-06-06,221.25
2012-06-07,222.9
2012-06-08,220.4
2012-06-11,228.4
2012-06-12,232.0
2012-06-13,231.95
2012-06-14,233.5
2012-06-15,232.7
2012-06-18,231.7
2012-06-19,231.8
2012-06-20,230.4
2012-06-21,232.75
2012-06-22,235.1
2012-06-25,236.0
2012-06-26,251.3
2012-06-27,260.85
2012-06-28,258.25
2012-06-29,260.15
2012-07-02,260.65
2012-07-03,266.2
2012-07-04,265.25
2012-07-05,274.65
2012-07-06,271.1
2012-07-09,264.55
2012-07-10,260.0
2012-07-11,259.85
2012-07-12,260.3
2012-07-13,260.1
2012-07-16,256.2
2012-07-17,254.95
2012-07-18,259.7
2012-07-19,266.3
2012-07-20,264.3
2012-07-23,268.1
2012-07-24,267.9
2012-07-25,276.55
2012-07-26,278.2
2012-07-27,270.2
2012-07-30,268.25
2012-07-31,268.9
2012-08-01,279.8
2012-08-02,274.9
2012-08-03,266.35
2012-08-06,262.2
2012-08-07,260.75
2012-08-08,267.15
2012-08-09,264.3
2012-08-10,264.4
2012-08-13,263.3
2012-08-14,263.45
2012-08-16,262.25
2012-08-17,262.35
2012-08-21,265.55
2012-08-22,263.0
2012-08-23,265.75
2012-08-24,266.55
2012-08-27,262.3
2012-08-28,256.1
2012-08-29,254.15
2012-08-30,250.7
2012-08-31,246.45
2012-09-03,247.45
2012-09-04,254.25
2012-09-05,249.35
2012-09-06,249.4
2012-09-07,254.95
2012-09-08,255.4
2012-09-10,263.1
2012-09-11,270.45
2012-09-12,275.0
2012-09-13,279.6
2012-09-14,284.75
2012-09-17,280.65
2012-09-18,279.2
2012-09-20,276.1
2012-09-21,283.25
2012-09-24,284.9
2012-09-25,283.35
2012-09-26,275.65
2012-09-27,276.75
2012-09-28,278.0
2012-10-01,290.7
2012-10-03,297.6
2012-10-04,291.9
2012-10-05,285.35
2012-10-08,279.9
2012-10-09,279.0
2012-10-10,277.05
2012-10-11,277.4
2012-10-12,278.4
2012-10-15,276.0
2012-10-16,266.8
2012-10-17,256.4
2012-10-18,253.55
2012-10-19,253.15
2012-10-22,249.3
2012-10-23,248.8
2012-10-25,243.7
2012-10-26,241.75
2012-10-29,230.35
2012-10-30,230.7
2012-10-31,230.25
2012-11-01,239.5
2012-11-02,244.25
2012-11-05,249.65
2012-11-06,251.2
2012-11-07,255.45
2012-11-08,256.9
2012-11-09,256.0
2012-11-12,256.15
2012-11-13,253.8
2012-11-15,257.9
2012-11-16,255.85
2012-11-19,253.35
2012-11-20,248.15
2012-11-21,252.25
2012-11-22,254.55
2012-11-23,253.3
2012-11-26,250.9
2012-11-27,252.65
2012-11-29,253.2
2012-11-30,260.65
2012-12-03,260.8
2012-12-04,264.0
2012-12-05,268.0
2012-12-06,268.35
2012-12-07,270.6
2012-12-10,270.25
2012-12-11,265.2
2012-12-12,267.0
2012-12-13,268.0
2012-12-14,268.5
2012-12-17,267.1
2012-12-18,268.75
2012-12-19,272.05
2012-12-20,273.85
2012-12-21,275.15
2012-12-24,278.05
2012-12-26,278.1
2012-12-27,278.05
2012-12-28,279.0
2012-12-31,281.0
