Date,MPHASIS
2012-01-02,301.45
2012-01-03,309.4
2012-01-04,306.6
2012-01-05,308.8
2012-01-06,306.5
2012-01-07,307.3
2012-01-09,316.35
2012-01-10,328.35
2012-01-11,335.0
2012-01-12,336.85
2012-01-13,334.8
2012-01-16,344.95
2012-01-17,362.2
2012-01-18,348.7
2012-01-19,346.95
2012-01-20,345.55
2012-01-23,345.35
2012-01-24,347.0
2012-01-25,365.1
2012-01-27,380.9
2012-01-30,375.35
2012-01-31,377.45
2012-02-01,374.25
2012-02-02,377.75
2012-02-03,374.5
2012-02-06,374.15
2012-02-07,370.65
2012-02-08,369.15
2012-02-09,373.15
2012-02-10,372.65
2012-02-13,380.25
2012-02-14,380.55
2012-02-15,382.0
2012-02-16,385.9
2012-02-17,398.75
2012-02-21,411.1
2012-02-22,408.55
2012-02-23,411.2
2012-02-24,410.85
2012-02-27,415.25
2012-02-28,421.0
2012-02-29,433.4
2012-03-01,433.6
2012-03-02,392.8
2012-03-03,390.8
2012-03-05,394.0
2012-03-06,389.1
2012-03-07,386.4
2012-03-09,405.2
2012-03-12,409.4
2012-03-13,410.25
2012-03-14,415.2
2012-03-15,416.65
2012-03-16,415.95
2012-03-19,421.3
2012-03-20,419.9
2012-03-21,422.15
2012-03-22,406.15
2012-03-23,420.95
2012-03-26,430.75
2012-03-27,418.95
2012-03-28,410.7
2012-03-29,399.65
2012-03-30,405.1
2012-04-02,414.05
2012-04-03,417.25
2012-04-04,412.55
2012-04-09,406.95
2012-04-10,399.8
2012-04-11,392.2
2012-04-12,397.5
2012-04-13,381.4
2012-04-16,381.6
2012-04-17,377.95
2012-04-18,380.05
2012-04-19,384.35
2012-04-20,385.85
2012-04-23,373.6
2012-04-24,368.15
2012-04-25,360.45
2012-04-26,362.3
2012-04-27,368.3
2012-04-28,366.7
2012-04-30,369.3
2012-05-02,376.5
2012-05-03,380.05
2012-05-04,379.95
2012-05-07,388.4
2012-05-08,380.15
2012-05-09,385.1
2012-05-10,388.3
2012-05-11,388.25
2012-05-14,404.15
2012-05-15,395.15
2012-05-16,394.0
2012-05-17,390.25
2012-05-18,384.9
2012-05-21,381.75
2012-05-22,376.35
2012-05-23,369.2
2012-05-24,373.05
2012-05-25,373.65
2012-05-28,380.55
2012-05-29,376.7
2012-05-30,375.3
2012-05-31,375.0
2012-06-01,369.25
2012-06-04,365.65
2012-06-05,344.95
2012-06-06,348.3
2012-06-07,350.15
2012-06-08,354.95
2012-06-11,345.5
2012-06-12,350.0
2012-06-13,348.05
2012-06-14,341.85
2012-06-15,339.35
2012-06-18,339.8
2012-06-19,341.15
2012-06-20,350.35
2012-06-21,351.4
2012-06-22,354.0
2012-06-25,356.0
2012-06-26,358.55
2012-06-27,362.35
2012-06-28,364.95
2012-06-29,370.0
2012-07-02,370.7
2012-07-03,382.0
2012-07-04,385.25
2012-07-05,391.6
2012-07-06,383.35
2012-07-09,381.35
2012-07-09,381.35
2012-07-10,384.0
2012-07-11,382.9
2012-07-12,380.4
2012-07-13,383.4
2012-07-16,383.15
2012-07-17,383.55
2012-07-18,384.0
2012-07-19,395.3
2012-07-20,399.35
2012-07-23,401.7
2012-07-24,399.0
2012-07-25,400.85
2012-07-26,390.35
2012-07-27,387.95
2012-07-30,391.5
2012-07-31,397.7
2012-08-01,406.05
2012-08-02,409.2
2012-08-03,409.55
2012-08-06,407.7
2012-08-07,403.5
2012-08-08,402.9
2012-08-09,401.3
2012-08-10,393.15
2012-08-13,399.25
2012-08-14,394.6
2012-08-16,387.65
2012-08-17,382.1
2012-08-21,387.75
2012-08-22,389.85
2012-08-23,385.1
2012-08-24,377.0
2012-08-27,373.1
2012-08-28,366.9
2012-08-29,368.15
2012-08-30,384.2
2012-08-31,384.6
2012-09-03,381.65
2012-09-04,379.85
2012-09-05,382.2
2012-09-06,385.45
2012-09-07,393.2
2012-09-08,400.7
2012-09-10,408.25
2012-09-11,405.25
2012-09-12,398.55
2012-09-13,392.7
2012-09-14,387.15
2012-09-17,386.0
2012-09-18,377.35
2012-09-20,389.7
2012-09-21,389.3
2012-09-24,391.9
2012-09-25,400.85
2012-09-26,393.95
2012-09-27,392.55
2012-09-28,402.4
2012-10-01,413.7
2012-10-03,420.25
2012-10-04,404.5
2012-10-05,401.7
2012-10-08,404.8
2012-10-09,413.65
2012-10-10,409.15
2012-10-11,409.6
2012-10-12,405.15
2012-10-15,394.05
2012-10-16,401.55
2012-10-17,405.85
2012-10-18,396.75
2012-10-19,400.35
2012-10-22,403.7
2012-10-23,404.3
2012-10-25,394.85
2012-10-26,384.65
2012-10-29,382.65
2012-10-30,382.75
2012-10-31,387.05
2012-11-01,388.1
2012-11-02,389.05
2012-11-05,392.35
2012-11-06,393.05
2012-11-07,395.6
2012-11-08,399.2
2012-11-09,397.35
2012-11-12,399.05
2012-11-13,393.7
2012-11-15,396.7
2012-11-16,396.95
2012-11-19,398.7
2012-11-20,400.0
2012-11-21,396.45
2012-11-22,395.1
2012-11-23,395.2
2012-11-26,400.65
2012-11-27,400.0
2012-11-29,384.7
2012-11-30,388.15
2012-12-03,402.55
2012-12-04,388.95
2012-12-05,388.4
2012-12-06,398.45
2012-12-07,391.35
2012-12-10,383.0
2012-12-11,382.2
2012-12-12,384.05
2012-12-13,382.9
2012-12-14,380.15
2012-12-17,375.9
2012-12-18,380.5
2012-12-19,382.7
2012-12-20,382.55
2012-12-21,383.15
2012-12-24,377.55
2012-12-26,376.75
2012-12-27,380.3
2012-12-28,385.0
2012-12-31,384.4
