Date,GTLINFRA
2012-01-02,9.05
2012-01-03,9.2
2012-01-04,9.3
2012-01-05,9.15
2012-01-06,9.05
2012-01-07,9.15
2012-01-09,9.25
2012-01-10,9.55
2012-01-11,10.0
2012-01-12,10.4
2012-01-13,10.75
2012-01-16,10.8
2012-01-17,10.8
2012-01-18,10.45
2012-01-19,12.5
2012-01-20,13.05
2012-01-23,12.15
2012-01-24,12.1
2012-01-25,12.35
2012-01-27,12.4
2012-01-30,11.7
2012-01-31,12.0
2012-02-01,12.3
2012-02-02,12.15
2012-02-03,11.85
2012-02-06,11.8
2012-02-07,11.6
2012-02-08,11.95
2012-02-09,12.1
2012-02-10,12.2
2012-02-13,11.95
2012-02-14,12.05
2012-02-15,12.35
2012-02-16,12.75
2012-02-17,13.3
2012-02-21,13.8
2012-02-22,12.75
2012-02-23,12.55
2012-02-24,12.25
2012-02-27,11.45
2012-02-28,12.05
2012-02-29,11.95
2012-03-01,12.1
2012-03-02,12.0
2012-03-03,12.0
2012-03-05,11.7
2012-03-06,11.45
2012-03-07,11.25
2012-03-09,11.6
2012-03-12,11.6
2012-03-13,11.95
2012-03-14,11.95
2012-03-15,11.5
2012-03-16,11.2
2012-03-19,10.95
2012-03-20,10.9
2012-03-21,11.05
2012-03-22,10.55
2012-03-23,10.55
2012-03-26,10.45
2012-03-27,10.15
2012-03-28,9.6
2012-03-29,9.65
2012-03-30,9.9
2012-04-02,10.3
2012-04-03,10.65
2012-04-04,10.45
2012-04-09,10.2
2012-04-10,10.2
2012-04-11,10.15
2012-04-12,10.2
2012-04-13,10.1
2012-04-16,10.1
2012-04-17,10.2
2012-04-18,10.15
2012-04-19,10.1
2012-04-20,9.95
2012-04-23,9.5
2012-04-24,9.45
2012-04-25,9.2
2012-04-26,9.0
2012-04-27,8.8
2012-04-28,8.95
2012-04-30,9.05
2012-05-02,8.95
2012-05-03,8.5
2012-05-04,8.45
2012-05-07,8.4
2012-05-08,8.4
2012-05-09,8.4
2012-05-10,8.65
2012-05-11,8.25
2012-05-14,8.2
2012-05-15,8.15
2012-05-16,8.0
2012-05-17,8.0
2012-05-18,7.9
2012-05-21,8.2
2012-05-22,8.05
2012-05-23,7.9
2012-05-24,8.2
2012-05-25,8.05
2012-05-28,8.0
2012-05-29,8.05
2012-05-30,8.0
2012-05-31,7.85
2012-06-01,7.8
2012-06-04,7.75
2012-06-05,7.8
2012-06-06,8.05
2012-06-07,8.05
2012-06-08,8.1
2012-06-11,8.25
2012-06-12,8.15
2012-06-13,8.1
2012-06-14,8.05
2012-06-15,8.05
2012-06-18,7.95
2012-06-19,7.85
2012-06-20,7.9
2012-06-21,7.9
2012-06-22,7.85
2012-06-25,7.8
2012-06-26,7.85
2012-06-27,7.85
2012-06-28,7.85
2012-06-29,8.1
2012-07-02,8.2
2012-07-03,9.4
2012-07-04,9.15
2012-07-05,9.15
2012-07-06,9.4
2012-07-09,9.05
2012-07-09,9.05
2012-07-10,9.15
2012-07-11,9.15
2012-07-12,8.95
2012-07-13,8.95
2012-07-16,8.75
2012-07-17,8.55
2012-07-18,9.15
2012-07-19,9.0
2012-07-20,8.9
2012-07-23,8.75
2012-07-24,8.8
2012-07-25,8.7
2012-07-26,8.25
2012-07-27,8.0
2012-07-30,8.2
2012-07-31,8.15
2012-08-01,8.15
2012-08-02,8.1
2012-08-03,8.05
2012-08-06,8.0
2012-08-07,7.95
2012-08-08,7.9
2012-08-09,7.8
2012-08-10,7.7
2012-08-13,7.75
2012-08-14,7.75
2012-08-16,7.75
2012-08-17,7.7
2012-08-21,7.75
2012-08-22,7.5
2012-08-23,7.35
2012-08-24,7.0
2012-08-27,6.95
2012-08-28,6.5
2012-08-29,6.35
2012-08-30,6.25
2012-08-31,6.55
2012-09-03,6.6
2012-09-04,6.55
2012-09-05,6.4
2012-09-06,6.35
2012-09-07,6.45
2012-09-08,6.45
2012-09-10,6.65
2012-09-11,6.65
2012-09-12,6.6
2012-09-13,6.9
2012-09-14,7.2
2012-09-17,7.4
2012-09-18,7.8
2012-09-20,7.75
2012-09-21,7.8
2012-09-24,8.4
2012-09-25,8.2
2012-09-26,8.3
2012-09-27,8.15
2012-09-28,8.85
2012-10-01,9.0
2012-10-03,9.0
2012-10-04,9.05
2012-10-05,8.65
2012-10-08,8.5
2012-10-09,8.9
2012-10-10,8.45
2012-10-11,8.6
2012-10-12,8.85
2012-10-15,8.8
2012-10-16,8.6
2012-10-17,8.55
2012-10-18,8.6
2012-10-19,8.55
2012-10-22,8.45
2012-10-23,8.35
2012-10-25,8.25
2012-10-26,7.9
2012-10-29,7.9
2012-10-30,7.7
2012-10-31,7.85
2012-11-01,8.0
2012-11-02,7.95
2012-11-05,7.8
2012-11-06,7.75
2012-11-07,7.85
2012-11-08,8.35
2012-11-09,8.2
2012-11-12,8.05
2012-11-13,8.15
2012-11-15,8.05
2012-11-16,8.0
2012-11-19,7.85
2012-11-20,7.75
2012-11-21,7.7
2012-11-22,7.65
2012-11-23,7.75
2012-11-26,7.75
2012-11-27,7.85
2012-11-29,7.9
2012-11-30,8.2
2012-12-03,8.55
2012-12-04,8.5
2012-12-05,8.9
2012-12-06,9.25
2012-12-07,9.25
2012-12-10,9.2
2012-12-11,8.7
2012-12-12,8.7
2012-12-13,7.0
2012-12-14,5.6
2012-12-17,5.05
2012-12-18,4.55
2012-12-19,4.1
2012-12-20,3.9
2012-12-21,4.05
2012-12-24,4.25
2012-12-26,4.15
2012-12-27,4.0
2012-12-28,4.0
2012-12-31,3.95
