Date,SREINFRA
2012-01-02,24.35
2012-01-03,26.65
2012-01-04,26.6
2012-01-05,26.75
2012-01-06,26.2
2012-01-07,26.1
2012-01-09,27.1
2012-01-10,28.7
2012-01-11,29.6
2012-01-12,29.9
2012-01-13,30.55
2012-01-16,30.65
2012-01-17,31.2
2012-01-18,29.25
2012-01-19,29.65
2012-01-20,29.15
2012-01-23,30.35
2012-01-24,30.8
2012-01-25,32.6
2012-01-27,33.7
2012-01-30,31.5
2012-01-31,32.65
2012-02-01,32.65
2012-02-02,31.55
2012-02-03,32.1
2012-02-06,32.45
2012-02-07,32.6
2012-02-08,33.2
2012-02-09,33.85
2012-02-10,32.9
2012-02-13,32.4
2012-02-14,31.2
2012-02-15,32.55
2012-02-16,32.3
2012-02-17,33.35
2012-02-21,36.05
2012-02-22,33.15
2012-02-23,32.65
2012-02-24,32.15
2012-02-27,29.75
2012-02-28,31.6
2012-02-29,31.85
2012-03-01,32.3
2012-03-02,31.9
2012-03-03,31.7
2012-03-05,30.55
2012-03-06,29.6
2012-03-07,29.5
2012-03-09,30.65
2012-03-12,31.1
2012-03-13,31.9
2012-03-14,32.3
2012-03-15,31.05
2012-03-16,30.2
2012-03-19,28.35
2012-03-20,29.0
2012-03-21,30.0
2012-03-22,28.2
2012-03-23,28.2
2012-03-26,26.9
2012-03-27,27.25
2012-03-28,25.95
2012-03-29,24.7
2012-03-30,26.0
2012-04-02,26.8
2012-04-03,27.4
2012-04-04,27.05
2012-04-09,25.7
2012-04-10,25.85
2012-04-11,25.85
2012-04-12,26.6
2012-04-13,25.7
2012-04-16,26.85
2012-04-17,27.65
2012-04-18,27.2
2012-04-19,27.0
2012-04-20,26.3
2012-04-23,25.35
2012-04-24,25.35
2012-04-25,24.95
2012-04-26,24.75
2012-04-27,24.75
2012-04-28,25.35
2012-04-30,25.75
2012-05-02,25.55
2012-05-03,25.15
2012-05-04,24.25
2012-05-07,25.15
2012-05-08,23.7
2012-05-09,23.5
2012-05-10,22.9
2012-05-11,22.35
2012-05-14,21.6
2012-05-15,21.65
2012-05-16,20.7
2012-05-17,20.45
2012-05-18,20.2
2012-05-21,20.3
2012-05-22,19.15
2012-05-23,19.15
2012-05-24,19.9
2012-05-25,20.3
2012-05-28,20.7
2012-05-29,20.65
2012-05-30,19.55
2012-05-31,19.5
2012-06-01,19.3
2012-06-04,19.5
2012-06-05,19.95
2012-06-06,20.65
2012-06-07,21.25
2012-06-08,21.2
2012-06-11,21.7
2012-06-12,22.1
2012-06-13,21.8
2012-06-14,20.75
2012-06-15,21.85
2012-06-18,21.25
2012-06-19,21.3
2012-06-20,21.55
2012-06-21,22.1
2012-06-22,21.8
2012-06-25,21.95
2012-06-26,23.15
2012-06-27,22.9
2012-06-28,23.35
2012-06-29,24.35
2012-07-02,24.9
2012-07-03,24.45
2012-07-04,24.7
2012-07-05,25.15
2012-07-06,24.45
2012-07-09,23.55
2012-07-10,24.05
2012-07-11,24.05
2012-07-12,23.75
2012-07-13,23.3
2012-07-16,22.75
2012-07-17,22.4
2012-07-18,22.7
2012-07-19,22.65
2012-07-20,22.35
2012-07-23,21.85
2012-07-24,21.55
2012-07-25,20.35
2012-07-26,19.75
2012-07-27,19.55
2012-07-30,21.1
2012-07-31,21.5
2012-08-01,21.55
2012-08-02,21.6
2012-08-03,20.75
2012-08-06,21.4
2012-08-07,21.65
2012-08-08,21.7
2012-08-09,21.45
2012-08-10,21.0
2012-08-13,22.8
2012-08-14,22.9
2012-08-16,22.65
2012-08-17,21.75
2012-08-21,22.85
2012-08-22,23.85
2012-08-23,24.0
2012-08-24,24.25
2012-08-27,24.25
2012-08-28,23.65
2012-08-29,23.7
2012-08-30,22.8
2012-08-31,22.85
2012-09-03,23.2
2012-09-04,23.3
2012-09-05,22.95
2012-09-06,22.8
2012-09-07,22.9
2012-09-08,22.95
2012-09-10,22.85
2012-09-11,22.95
2012-09-12,22.3
2012-09-13,22.55
2012-09-14,23.1
2012-09-17,24.25
2012-09-18,24.5
2012-09-20,23.35
2012-09-21,25.35
2012-09-24,25.3
2012-09-25,25.85
2012-09-26,25.4
2012-09-27,26.2
2012-09-28,27.35
2012-10-01,27.35
2012-10-03,27.05
2012-10-04,28.7
2012-10-05,27.3
2012-10-08,26.35
2012-10-09,28.55
2012-10-10,27.1
2012-10-11,27.7
2012-10-12,27.8
2012-10-15,27.4
2012-10-16,26.85
2012-10-17,26.8
2012-10-18,27.15
2012-10-19,26.6
2012-10-22,26.6
2012-10-23,26.3
2012-10-25,26.35
2012-10-26,25.9
2012-10-29,25.9
2012-10-30,23.7
2012-10-31,26.85
2012-11-01,26.4
2012-11-02,26.25
2012-11-05,26.0
2012-11-06,25.9
2012-11-07,26.15
2012-11-08,26.15
2012-11-09,27.55
2012-11-12,29.15
2012-11-13,29.8
2012-11-15,34.15
2012-11-16,34.85
2012-11-19,36.1
2012-11-20,34.05
2012-11-21,33.7
2012-11-22,34.4
2012-11-23,33.55
2012-11-26,33.75
2012-11-27,33.75
2012-11-29,34.45
2012-11-30,35.35
2012-12-03,36.25
2012-12-04,35.85
2012-12-05,35.3
2012-12-06,36.75
2012-12-07,37.25
2012-12-10,38.35
2012-12-11,37.75
2012-12-12,40.7
2012-12-13,42.0
2012-12-14,42.9
2012-12-17,43.7
2012-12-18,45.25
2012-12-19,46.35
2012-12-20,47.5
2012-12-21,47.75
2012-12-24,46.7
2012-12-26,44.9
2012-12-27,42.15
2012-12-28,42.35
2012-12-31,44.05
