Date,TTL
2016-01-01,56.6
2016-01-04,56.0
2016-01-05,55.15
2016-01-06,55.2
2016-01-07,53.2
2016-01-08,52.9
2016-01-11,52.95
2016-01-12,51.9
2016-01-13,50.75
2016-01-14,50.3
2016-01-15,48.9
2016-01-18,46.4
2016-01-19,46.5
2016-01-20,42.45
2016-01-21,43.15
2016-01-22,45.65
2016-01-25,47.05
2016-01-27,48.9
2016-01-28,49.2
2016-01-29,49.6
2016-02-01,50.45
2016-02-02,49.3
2016-02-03,47.75
2016-02-04,46.35
2016-02-05,47.4
2016-02-08,45.25
2016-02-09,43.65
2016-02-10,44.1
2016-02-11,41.5
2016-02-12,40.7
2016-02-15,44.45
2016-02-16,42.35
2016-02-17,41.1
2016-02-18,42.45
2016-02-19,43.5
2016-02-22,43.0
2016-02-23,43.4
2016-02-24,45.05
2016-02-25,45.05
2016-02-26,45.0
2016-02-29,45.05
2016-03-01,47.0
2016-03-02,46.8
2016-03-03,46.95
2016-03-04,46.9
2016-03-08,46.8
2016-03-09,49.7
2016-03-10,49.2
2016-03-11,48.55
2016-03-14,49.05
2016-03-15,48.2
2016-03-16,51.45
2016-03-17,49.85
2016-03-18,49.5
2016-03-21,50.95
2016-03-22,50.2
2016-03-23,48.75
2016-03-28,47.35
2016-03-29,46.8
2016-03-30,48.6
2016-03-31,48.7
2016-04-01,50.5
2016-04-04,52.05
2016-04-05,51.1
2016-04-06,50.55
2016-04-07,50.75
2016-04-08,51.15
2016-04-11,53.05
2016-04-12,54.3
2016-04-13,55.1
2016-04-18,53.6
2016-04-20,55.4
2016-04-21,55.6
2016-04-22,54.3
2016-04-25,52.75
2016-04-26,53.45
2016-04-27,53.2
2016-04-28,53.55
2016-04-29,52.35
2016-05-02,52.3
2016-05-03,52.9
2016-05-04,51.2
2016-05-05,52.5
2016-05-06,53.0
2016-05-09,54.75
2016-05-10,53.8
2016-05-11,52.45
2016-05-12,49.3
2016-05-13,48.25
2016-05-16,48.0
2016-05-17,48.3
2016-05-18,48.4
2016-05-19,48.1
2016-05-20,48.0
2016-05-23,47.75
2016-05-24,46.5
2016-05-25,45.25
2016-05-26,45.7
2016-05-27,46.9
2016-05-30,46.35
2016-05-31,46.0
2016-06-01,46.0
2016-06-02,46.1
2016-06-03,44.8
2016-06-06,45.0
2016-06-07,45.0
2016-06-08,45.2
2016-06-09,45.65
2016-06-10,45.5
2016-06-13,45.15
2016-06-14,46.0
2016-06-15,46.2
2016-06-16,48.8
2016-06-17,48.8
2016-06-20,47.45
2016-06-21,48.25
2016-06-22,50.55
2016-06-23,49.15
2016-06-24,47.85
2016-06-27,48.95
2016-06-28,50.65
2016-06-29,50.0
2016-06-30,49.2
2016-07-01,49.05
2016-07-04,49.6
2016-07-05,48.75
2016-07-07,49.1
2016-07-08,48.2
2016-07-11,48.25
2016-07-12,48.7
2016-07-13,48.3
2016-07-14,48.05
2016-07-15,51.2
2016-07-18,51.05
2016-07-19,53.25
2016-07-20,53.15
2016-07-21,53.2
2016-07-22,52.75
2016-07-25,52.9
2016-07-26,51.45
2016-07-27,51.55
2016-07-28,50.15
2016-07-29,49.9
2016-08-01,49.45
2016-08-02,50.25
2016-08-03,50.0
2016-08-04,49.25
2016-08-05,49.15
2016-08-08,48.95
2016-08-09,48.35
2016-08-10,47.95
2016-08-11,47.45
2016-08-12,46.95
2016-08-16,46.9
2016-08-17,46.85
2016-08-18,46.95
2016-08-19,46.5
2016-08-22,46.05
2016-08-23,46.3
2016-08-24,45.95
2016-08-25,46.25
2016-08-26,45.75
2016-08-29,45.65
2016-08-30,45.5
2016-08-31,45.1
2016-09-01,44.65
2016-09-02,45.15
2016-09-06,45.55
2016-09-07,44.85
2016-09-08,45.3
2016-09-09,45.85
2016-09-12,45.25
2016-09-14,45.6
2016-09-15,48.1
2016-09-16,48.7
2016-09-19,47.55
2016-09-20,47.65
2016-09-21,47.5
2016-09-22,47.45
2016-09-23,48.05
2016-09-26,47.4
2016-09-27,47.4
2016-09-28,46.7
2016-09-29,44.35
2016-09-30,46.15
2016-10-03,47.0
2016-10-04,46.2
2016-10-05,46.1
2016-10-06,46.05
2016-10-07,46.45
2016-10-10,47.2
2016-10-13,45.8
2016-10-14,45.45
2016-10-17,45.5
2016-10-18,47.9
2016-10-19,47.6
2016-10-20,48.95
2016-10-21,48.35
2016-10-24,48.8
2016-10-25,51.95
2016-10-26,53.15
2016-10-27,52.1
2016-10-28,53.9
2016-10-30,53.35
2016-11-01,53.3
2016-11-02,51.95
2016-11-03,54.1
2016-11-04,51.6
2016-11-07,51.8
2016-11-08,52.15
2016-11-09,50.0
2016-11-10,50.85
2016-11-11,47.15
2016-11-15,43.45
2016-11-16,42.7
2016-11-17,43.2
2016-11-18,43.9
2016-11-21,42.65
2016-11-22,41.15
2016-11-23,40.8
2016-11-24,41.1
2016-11-25,42.5
2016-11-28,42.4
2016-11-29,44.6
2016-11-30,44.2
2016-12-01,44.8
2016-12-02,45.2
2016-12-05,45.15
2016-12-06,45.1
2016-12-07,45.25
2016-12-08,47.85
2016-12-09,47.9
2016-12-12,47.75
2016-12-13,49.3
2016-12-14,48.35
2016-12-15,47.3
2016-12-16,46.2
2016-12-19,45.3
2016-12-20,45.3
2016-12-21,45.15
2016-12-22,44.4
2016-12-23,45.3
2016-12-26,45.15
2016-12-27,44.65
2016-12-28,44.4
2016-12-29,45.55
2016-12-30,45.0
