Date,IFCI
2016-01-01,28.45
2016-01-04,27.2
2016-01-05,29.25
2016-01-06,28.35
2016-01-07,26.9
2016-01-08,27.3
2016-01-11,27.2
2016-01-12,26.55
2016-01-13,26.3
2016-01-14,25.75
2016-01-15,24.0
2016-01-18,22.0
2016-01-19,22.5
2016-01-20,21.45
2016-01-21,20.8
2016-01-22,21.9
2016-01-25,22.05
2016-01-27,22.15
2016-01-28,22.25
2016-01-29,22.3
2016-02-01,22.2
2016-02-02,22.85
2016-02-03,22.1
2016-02-04,22.7
2016-02-05,23.25
2016-02-08,23.65
2016-02-09,23.45
2016-02-10,22.1
2016-02-11,20.95
2016-02-12,21.15
2016-02-15,22.25
2016-02-16,21.55
2016-02-17,20.6
2016-02-18,20.55
2016-02-19,20.6
2016-02-22,20.75
2016-02-23,20.5
2016-02-24,20.45
2016-02-25,20.35
2016-02-26,21.0
2016-02-29,21.05
2016-03-01,21.75
2016-03-02,23.35
2016-03-03,23.25
2016-03-04,23.4
2016-03-08,23.1
2016-03-09,23.4
2016-03-10,23.2
2016-03-11,23.05
2016-03-14,23.25
2016-03-15,24.15
2016-03-16,24.2
2016-03-17,23.65
2016-03-18,24.2
2016-03-21,24.5
2016-03-22,24.35
2016-03-23,24.15
2016-03-28,23.4
2016-03-29,22.95
2016-03-30,24.15
2016-03-31,24.7
2016-04-01,24.95
2016-04-04,24.5
2016-04-05,24.15
2016-04-06,23.85
2016-04-07,23.7
2016-04-08,23.75
2016-04-11,24.15
2016-04-12,24.2
2016-04-13,24.7
2016-04-18,24.95
2016-04-20,25.15
2016-04-21,24.9
2016-04-22,26.2
2016-04-25,25.65
2016-04-26,25.85
2016-04-27,26.0
2016-04-28,25.4
2016-04-29,25.5
2016-05-02,25.25
2016-05-03,25.15
2016-05-04,24.25
2016-05-05,24.05
2016-05-06,24.1
2016-05-09,25.0
2016-05-10,24.9
2016-05-11,24.55
2016-05-12,24.5
2016-05-13,24.25
2016-05-16,24.25
2016-05-17,24.25
2016-05-18,24.15
2016-05-19,23.6
2016-05-20,23.45
2016-05-23,23.25
2016-05-24,22.85
2016-05-25,23.35
2016-05-26,23.55
2016-05-27,24.4
2016-05-30,24.7
2016-05-31,24.1
2016-06-01,23.9
2016-06-02,23.9
2016-06-03,23.65
2016-06-06,23.9
2016-06-07,24.1
2016-06-08,24.45
2016-06-09,25.35
2016-06-10,25.1
2016-06-13,25.4
2016-06-14,26.0
2016-06-15,25.75
2016-06-16,25.85
2016-06-17,25.7
2016-06-20,25.9
2016-06-21,25.7
2016-06-22,25.4
2016-06-23,25.35
2016-06-24,24.7
2016-06-27,26.2
2016-06-28,25.85
2016-06-29,26.2
2016-06-30,26.75
2016-07-01,26.85
2016-07-04,28.0
2016-07-05,27.7
2016-07-07,27.55
2016-07-08,27.55
2016-07-11,27.95
2016-07-12,28.85
2016-07-13,28.35
2016-07-14,28.9
2016-07-15,28.6
2016-07-18,28.05
2016-07-19,28.6
2016-07-20,28.65
2016-07-21,28.05
2016-07-22,29.15
2016-07-25,30.1
2016-07-26,29.45
2016-07-27,29.45
2016-07-28,29.4
2016-07-29,29.0
2016-08-01,28.65
2016-08-02,28.1
2016-08-03,27.9
2016-08-04,28.0
2016-08-05,28.45
2016-08-08,26.65
2016-08-09,26.8
2016-08-10,26.1
2016-08-11,26.3
2016-08-12,26.5
2016-08-16,26.95
2016-08-17,27.05
2016-08-18,27.35
2016-08-19,28.15
2016-08-22,28.15
2016-08-23,28.3
2016-08-24,28.35
2016-08-25,27.6
2016-08-26,27.25
2016-08-29,27.8
2016-08-30,28.0
2016-08-31,28.35
2016-09-01,27.85
2016-09-02,28.35
2016-09-06,28.7
2016-09-07,29.0
2016-09-08,29.0
2016-09-09,28.75
2016-09-12,27.65
2016-09-14,28.1
2016-09-15,28.15
2016-09-16,28.05
2016-09-19,28.55
2016-09-20,29.6
2016-09-21,29.45
2016-09-22,30.05
2016-09-23,30.45
2016-09-26,28.8
2016-09-27,28.35
2016-09-28,28.4
2016-09-29,25.7
2016-09-30,26.3
2016-10-03,26.7
2016-10-04,26.95
2016-10-05,26.65
2016-10-06,26.25
2016-10-07,27.15
2016-10-10,26.75
2016-10-13,26.15
2016-10-14,26.3
2016-10-17,26.05
2016-10-18,26.45
2016-10-19,26.2
2016-10-20,26.55
2016-10-21,26.5
2016-10-24,26.75
2016-10-25,26.8
2016-10-26,26.6
2016-10-27,25.85
2016-10-28,26.0
2016-10-30,26.0
2016-11-01,25.9
2016-11-02,25.25
2016-11-03,24.9
2016-11-04,24.15
2016-11-07,24.55
2016-11-08,24.65
2016-11-09,23.45
2016-11-10,24.35
2016-11-11,23.45
2016-11-15,22.65
2016-11-16,22.35
2016-11-17,22.3
2016-11-18,22.5
2016-11-21,21.5
2016-11-22,21.65
2016-11-23,22.05
2016-11-24,23.05
2016-11-25,22.55
2016-11-28,23.0
2016-11-29,23.0
2016-11-30,23.35
2016-12-01,23.15
2016-12-02,22.7
2016-12-05,22.9
2016-12-06,23.0
2016-12-07,23.1
2016-12-08,23.4
2016-12-09,27.25
2016-12-12,26.45
2016-12-13,26.3
2016-12-14,26.0
2016-12-15,27.2
2016-12-16,27.85
2016-12-19,27.9
2016-12-20,27.05
2016-12-21,26.8
2016-12-22,26.1
2016-12-23,25.9
2016-12-26,24.45
2016-12-27,24.8
2016-12-28,24.65
2016-12-29,28.05
2016-12-30,27.2
