Date,STRTECH
2016-01-01,97.75
2016-01-04,95.65
2016-01-05,96.95
2016-01-06,95.35
2016-01-07,91.6
2016-01-08,93.1
2016-01-11,94.2
2016-01-12,92.95
2016-01-13,89.0
2016-01-14,87.25
2016-01-15,82.15
2016-01-18,76.45
2016-01-19,80.55
2016-01-20,79.45
2016-01-21,79.3
2016-01-22,80.3
2016-01-25,83.05
2016-01-27,84.7
2016-01-28,83.25
2016-01-29,87.15
2016-02-01,84.4
2016-02-02,82.55
2016-02-03,78.95
2016-02-04,78.9
2016-02-05,80.2
2016-02-08,80.25
2016-02-09,80.1
2016-02-10,78.25
2016-02-11,75.85
2016-02-12,73.05
2016-02-15,76.1
2016-02-16,72.2
2016-02-17,70.3
2016-02-18,74.35
2016-02-19,76.6
2016-02-22,77.65
2016-02-23,76.4
2016-02-24,75.25
2016-02-25,75.3
2016-02-26,74.6
2016-02-29,73.45
2016-03-01,76.25
2016-03-02,79.05
2016-03-03,79.5
2016-03-04,80.15
2016-03-08,81.35
2016-03-09,81.85
2016-03-10,80.4
2016-03-11,81.05
2016-03-14,81.15
2016-03-15,80.55
2016-03-16,79.9
2016-03-17,80.15
2016-03-18,80.45
2016-03-21,82.9
2016-03-22,89.65
2016-03-23,88.25
2016-03-28,86.2
2016-03-29,91.3
2016-03-30,92.5
2016-03-31,90.45
2016-04-01,91.3
2016-04-04,91.25
2016-04-05,88.65
2016-04-06,89.3
2016-04-07,88.1
2016-04-08,90.2
2016-04-11,93.4
2016-04-12,92.55
2016-04-13,91.6
2016-04-18,89.6
2016-04-20,88.6
2016-04-21,88.65
2016-04-22,91.95
2016-04-25,91.05
2016-04-26,91.95
2016-04-27,92.7
2016-04-28,89.7
2016-04-29,88.85
2016-05-02,88.25
2016-05-03,87.35
2016-05-04,85.65
2016-05-05,85.65
2016-05-06,86.5
2016-05-09,86.55
2016-05-10,87.15
2016-05-11,87.6
2016-05-12,88.8
2016-05-13,87.15
2016-05-16,87.9
2016-05-17,87.45
2016-05-18,89.7
2016-05-19,87.8
2016-05-20,87.0
2016-05-23,88.85
2016-05-24,84.6
2016-05-25,86.4
2016-05-26,88.55
2016-05-27,86.95
2016-05-30,91.6
2016-05-31,92.5
2016-06-01,93.6
2016-06-02,91.6
2016-06-03,90.35
2016-06-06,90.15
2016-06-07,94.4
2016-06-08,96.1
2016-06-09,97.15
2016-06-10,96.5
2016-06-13,94.25
2016-06-14,91.85
2016-06-29,87.7
2016-06-30,88.25
2016-07-01,87.6
2016-07-04,87.5
2016-07-05,86.9
2016-07-07,85.45
2016-07-08,86.5
2016-07-11,86.2
2016-07-12,88.7
2016-07-13,89.8
2016-07-14,90.85
2016-07-15,93.6
2016-07-18,90.8
2016-07-19,89.25
2016-07-20,90.85
2016-07-21,88.95
2016-07-22,89.3
2016-07-25,88.6
2016-07-26,89.05
2016-07-27,90.5
2016-07-28,89.0
2016-07-29,88.75
2016-08-01,89.8
2016-08-02,89.0
2016-08-03,87.2
2016-08-04,86.15
2016-08-05,90.55
2016-08-08,88.85
2016-08-09,88.15
2016-08-10,87.4
2016-08-11,87.05
2016-08-12,86.95
2016-08-16,86.75
2016-08-17,88.1
2016-08-18,88.2
2016-08-19,88.8
2016-08-22,90.1
2016-08-23,87.15
2016-08-24,87.45
2016-08-25,87.35
2016-08-26,85.35
2016-08-29,84.35
2016-08-30,84.4
2016-08-31,84.6
2016-09-01,86.0
2016-09-02,85.25
2016-09-06,85.65
2016-09-07,86.95
2016-09-08,86.6
2016-09-09,86.25
2016-09-12,84.45
2016-09-14,86.0
2016-09-15,88.45
2016-09-16,88.95
2016-09-19,87.3
2016-09-20,86.15
2016-09-21,85.5
2016-09-22,85.35
2016-09-23,84.95
2016-09-26,83.95
2016-09-27,81.75
2016-09-28,81.1
2016-09-29,74.75
2016-09-30,79.7
2016-10-03,84.75
2016-10-04,84.05
2016-10-05,86.35
2016-10-06,89.85
2016-10-07,88.8
2016-10-10,89.15
2016-10-13,87.95
2016-10-14,97.35
2016-10-17,99.6
2016-10-18,103.45
2016-10-19,103.5
2016-10-20,107.3
2016-10-21,109.85
2016-10-24,110.85
2016-10-25,107.1
2016-10-26,107.0
2016-10-27,105.5
2016-10-28,102.65
2016-10-30,105.3
2016-11-01,102.75
2016-11-02,97.8
2016-11-03,95.45
2016-11-04,91.7
2016-11-07,98.2
2016-11-08,101.25
2016-11-09,99.95
2016-11-10,99.35
2016-11-11,93.45
2016-11-15,93.75
2016-11-16,93.3
2016-11-17,93.7
2016-11-18,94.2
2016-11-21,92.5
2016-11-22,91.9
2016-11-23,94.5
2016-11-24,94.05
2016-11-25,96.0
2016-11-28,94.6
2016-11-29,95.2
2016-11-30,95.95
2016-12-01,94.75
2016-12-02,94.0
2016-12-05,94.15
2016-12-06,94.0
2016-12-07,94.15
2016-12-08,94.0
2016-12-09,98.15
2016-12-12,98.3
2016-12-13,97.4
2016-12-14,96.15
2016-12-15,96.2
2016-12-16,95.7
2016-12-19,97.6
2016-12-20,96.25
2016-12-21,96.8
2016-12-22,95.3
2016-12-23,95.45
2016-12-26,95.45
2016-12-27,96.2
2016-12-28,94.9
2016-12-29,95.1
2016-12-30,96.25
