Date,SUMMITSEC
2016-01-01,342.3
2016-01-04,336.25
2016-01-05,345.55
2016-01-06,358.65
2016-01-07,356.9
2016-01-08,355.85
2016-01-11,369.15
2016-01-12,368.4
2016-01-13,369.65
2016-01-14,355.1
2016-01-15,353.8
2016-01-18,307.8
2016-01-19,308.8
2016-01-20,286.4
2016-01-21,285.8
2016-01-22,295.05
2016-01-25,295.85
2016-01-27,294.05
2016-01-28,291.25
2016-01-29,297.4
2016-02-01,311.05
2016-02-02,302.2
2016-02-03,288.3
2016-02-04,279.35
2016-02-05,284.95
2016-02-08,287.25
2016-02-09,277.25
2016-02-10,276.85
2016-02-11,241.95
2016-02-12,225.05
2016-02-15,245.05
2016-02-16,235.05
2016-02-17,241.95
2016-02-18,247.45
2016-02-19,249.05
2016-02-22,250.8
2016-02-23,249.75
2016-02-24,255.05
2016-02-25,249.35
2016-02-26,245.35
2016-02-29,254.55
2016-03-01,258.35
2016-03-02,266.65
2016-03-03,264.65
2016-03-04,269.0
2016-03-08,258.3
2016-03-09,255.0
2016-03-10,259.0
2016-03-11,258.8
2016-03-14,262.75
2016-03-15,256.4
2016-03-16,263.5
2016-03-17,270.0
2016-03-18,268.15
2016-03-21,267.35
2016-03-22,265.35
2016-03-23,265.35
2016-03-28,265.0
2016-03-29,300.8
2016-03-30,290.3
2016-03-31,288.05
2016-04-01,282.05
2016-04-04,283.3
2016-04-05,283.85
2016-04-06,293.85
2016-04-07,284.85
2016-04-08,283.0
2016-04-11,286.0
2016-04-12,293.5
2016-04-13,312.15
2016-04-18,300.6
2016-04-20,300.1
2016-04-21,300.95
2016-04-22,297.75
2016-04-25,290.45
2016-04-26,295.1
2016-04-27,296.35
2016-04-28,295.7
2016-04-29,296.1
2016-05-02,290.0
2016-05-03,291.2
2016-05-04,290.0
2016-05-05,295.0
2016-05-06,298.6
2016-05-09,325.4
2016-05-10,328.3
2016-05-11,323.8
2016-05-12,322.45
2016-05-13,320.05
2016-05-16,310.0
2016-05-17,308.45
2016-05-18,312.75
2016-05-19,315.0
2016-05-20,316.85
2016-05-23,318.6
2016-05-24,313.3
2016-05-25,318.05
2016-05-26,320.2
2016-05-27,320.0
2016-05-30,320.05
2016-05-31,320.1
2016-06-01,320.75
2016-06-02,320.0
2016-06-03,320.2
2016-06-06,320.5
2016-06-07,325.05
2016-06-08,325.55
2016-06-09,321.0
2016-06-10,327.0
2016-06-13,325.0
2016-06-14,325.1
2016-06-15,325.55
2016-06-16,325.15
2016-06-17,331.1
2016-06-20,328.5
2016-06-21,325.7
2016-06-22,331.1
2016-06-23,329.55
2016-06-24,319.95
2016-06-27,320.15
2016-06-28,350.45
2016-06-29,346.4
2016-06-30,355.7
2016-07-01,352.0
2016-07-04,358.75
2016-07-05,359.15
2016-07-07,362.45
2016-07-08,366.75
2016-07-11,351.15
2016-07-12,350.05
2016-07-13,357.2
2016-07-14,360.55
2016-07-15,351.2
2016-07-18,341.3
2016-07-19,342.55
2016-07-20,347.65
2016-07-21,353.35
2016-07-22,353.95
2016-07-25,355.0
2016-07-26,357.9
2016-07-27,354.75
2016-07-28,355.7
2016-07-29,355.45
2016-08-01,355.05
2016-08-02,347.8
2016-08-03,342.2
2016-08-04,346.65
2016-08-05,367.2
2016-08-08,364.4
2016-08-09,400.05
2016-08-10,389.8
2016-08-11,393.9
2016-08-12,392.35
2016-08-16,382.65
2016-08-17,391.3
2016-08-18,388.45
2016-08-19,389.85
2016-08-22,395.0
2016-08-23,394.85
2016-08-24,400.9
2016-08-25,410.1
2016-08-26,410.55
2016-08-29,419.45
2016-08-30,429.9
2016-08-31,433.95
2016-09-01,428.55
2016-09-02,437.0
2016-09-06,435.6
2016-09-07,436.8
2016-09-08,430.95
2016-09-09,424.4
2016-09-12,397.4
2016-09-14,394.35
2016-09-15,386.95
2016-09-16,400.05
2016-09-19,405.1
2016-09-20,404.9
2016-09-21,406.05
2016-09-22,409.35
2016-09-23,409.35
2016-09-26,413.45
2016-09-27,435.0
2016-09-28,420.1
2016-09-29,398.3
2016-09-30,421.4
2016-10-03,438.95
2016-10-04,444.1
2016-10-05,460.9
2016-10-06,471.3
2016-10-07,476.55
2016-10-10,481.0
2016-10-13,478.0
2016-10-14,487.4
2016-10-17,491.5
2016-10-18,494.55
2016-10-19,488.8
2016-10-20,478.8
2016-10-21,477.95
2016-10-24,479.05
2016-10-25,466.5
2016-10-26,464.8
2016-10-27,456.0
2016-10-28,457.3
2016-10-30,472.85
2016-11-01,468.55
2016-11-02,451.95
2016-11-03,442.75
2016-11-04,426.15
2016-11-07,447.3
2016-11-08,454.85
2016-11-09,414.2
2016-11-10,439.15
2016-11-11,406.75
2016-11-15,409.95
2016-11-16,385.05
2016-11-17,379.0
2016-11-18,391.85
2016-11-21,362.0
2016-11-22,358.55
2016-11-23,362.25
2016-11-24,379.5
2016-11-25,403.75
2016-11-28,435.65
2016-11-29,415.45
2016-11-30,441.6
2016-12-01,444.4
2016-12-02,431.0
2016-12-05,432.95
2016-12-06,426.9
2016-12-07,415.6
2016-12-08,424.85
2016-12-09,425.55
2016-12-12,429.5
2016-12-13,423.85
2016-12-14,421.8
2016-12-15,424.85
2016-12-16,441.4
2016-12-19,422.3
2016-12-20,420.05
2016-12-21,430.0
2016-12-22,424.4
2016-12-23,425.0
2016-12-26,425.75
2016-12-27,428.3
2016-12-28,430.2
2016-12-29,428.25
2016-12-30,422.55
