Date,HBLPOWER
2016-01-01,45.55
2016-01-04,43.5
2016-01-05,46.1
2016-01-06,45.1
2016-01-07,42.2
2016-01-08,43.25
2016-01-11,45.75
2016-01-12,44.05
2016-01-13,41.85
2016-01-14,41.9
2016-01-15,39.5
2016-01-18,36.95
2016-01-19,38.75
2016-01-20,36.6
2016-01-21,37.75
2016-01-22,38.85
2016-01-25,38.6
2016-01-27,39.6
2016-01-28,38.7
2016-01-29,40.0
2016-02-01,41.15
2016-02-02,39.05
2016-02-03,36.9
2016-02-04,37.4
2016-02-05,39.3
2016-02-08,38.5
2016-02-09,37.75
2016-02-10,36.35
2016-02-11,32.55
2016-02-12,33.35
2016-02-15,34.75
2016-02-16,33.25
2016-02-17,33.05
2016-02-18,32.9
2016-02-19,32.85
2016-02-22,33.1
2016-02-23,31.65
2016-02-24,31.15
2016-02-25,30.75
2016-02-26,29.8
2016-02-29,29.6
2016-03-01,32.15
2016-03-02,34.2
2016-03-03,35.65
2016-03-04,36.35
2016-03-08,35.55
2016-03-09,35.55
2016-03-10,35.45
2016-03-11,35.0
2016-03-14,35.0
2016-03-15,36.05
2016-03-16,36.1
2016-03-17,35.45
2016-03-18,35.75
2016-03-21,35.7
2016-03-22,37.6
2016-03-23,39.45
2016-03-28,37.15
2016-03-29,36.1
2016-03-30,36.85
2016-03-31,36.3
2016-04-01,37.25
2016-04-04,37.45
2016-04-05,37.25
2016-04-06,38.4
2016-04-07,37.0
2016-04-08,37.8
2016-04-11,37.2
2016-04-12,37.6
2016-04-13,37.6
2016-04-18,37.65
2016-04-20,37.55
2016-04-21,36.6
2016-04-22,36.55
2016-04-25,36.3
2016-04-26,35.6
2016-04-27,35.45
2016-04-28,35.25
2016-04-29,34.5
2016-05-02,35.4
2016-05-03,37.35
2016-05-04,36.75
2016-05-05,36.45
2016-05-06,36.1
2016-05-09,35.95
2016-05-10,35.55
2016-05-11,35.7
2016-05-12,35.55
2016-05-13,35.2
2016-05-16,34.7
2016-05-17,34.8
2016-05-18,35.0
2016-05-19,34.15
2016-05-20,33.75
2016-05-23,32.75
2016-05-24,32.3
2016-05-25,33.85
2016-05-26,34.55
2016-05-27,35.95
2016-05-30,35.05
2016-05-31,33.0
2016-06-01,32.95
2016-06-02,32.8
2016-06-03,32.15
2016-06-06,32.3
2016-06-07,32.65
2016-06-08,33.7
2016-06-09,34.05
2016-06-10,34.4
2016-06-13,33.7
2016-06-14,35.65
2016-06-15,36.45
2016-06-16,34.8
2016-06-17,34.35
2016-06-20,34.6
2016-06-21,35.0
2016-06-22,34.2
2016-06-23,34.6
2016-06-24,33.6
2016-06-27,33.6
2016-06-28,33.8
2016-06-29,34.15
2016-06-30,34.2
2016-07-01,35.2
2016-07-04,35.4
2016-07-05,38.3
2016-07-07,38.15
2016-07-08,37.35
2016-07-11,37.7
2016-07-12,37.3
2016-07-13,35.8
2016-07-14,36.2
2016-07-15,35.2
2016-07-18,34.7
2016-07-19,34.85
2016-07-20,35.0
2016-07-21,35.6
2016-07-22,36.3
2016-07-25,35.55
2016-07-26,36.0
2016-07-27,36.3
2016-07-28,36.55
2016-07-29,36.25
2016-08-01,35.5
2016-08-02,34.9
2016-08-03,34.2
2016-08-04,34.0
2016-08-05,34.5
2016-08-08,35.0
2016-08-09,34.3
2016-08-10,33.4
2016-08-11,33.55
2016-08-12,33.35
2016-08-16,33.1
2016-08-17,32.8
2016-08-18,32.8
2016-08-19,33.0
2016-08-22,32.6
2016-08-23,32.3
2016-08-24,33.45
2016-08-25,33.9
2016-08-26,33.55
2016-08-29,33.0
2016-08-30,32.75
2016-08-31,33.2
2016-09-01,34.3
2016-09-02,33.75
2016-09-06,33.95
2016-09-07,33.85
2016-09-08,33.85
2016-09-09,33.5
2016-09-12,33.05
2016-09-14,33.05
2016-09-15,32.75
2016-09-16,33.0
2016-09-19,32.5
2016-09-20,32.1
2016-09-21,31.65
2016-09-22,32.2
2016-09-23,32.15
2016-09-26,31.65
2016-09-27,32.05
2016-09-28,32.25
2016-09-29,30.3
2016-09-30,31.8
2016-10-03,32.05
2016-10-04,32.0
2016-10-05,33.55
2016-10-06,35.1
2016-10-07,36.5
2016-10-10,37.7
2016-10-13,37.8
2016-10-14,42.2
2016-10-17,41.8
2016-10-18,42.9
2016-10-19,43.1
2016-10-20,42.7
2016-10-21,46.1
2016-10-24,46.6
2016-10-25,44.85
2016-10-26,44.5
2016-10-27,44.15
2016-10-28,45.3
2016-10-30,45.15
2016-11-01,44.85
2016-11-02,43.0
2016-11-03,41.85
2016-11-04,42.5
2016-11-07,42.8
2016-11-08,42.7
2016-11-09,40.85
2016-11-10,41.6
2016-11-11,40.5
2016-11-15,37.45
2016-11-16,38.05
2016-11-17,37.05
2016-11-18,37.6
2016-11-21,33.95
2016-11-22,33.5
2016-11-23,34.5
2016-11-24,35.65
2016-11-25,36.2
2016-11-28,37.15
2016-11-29,38.6
2016-11-30,38.2
2016-12-01,38.15
2016-12-02,37.2
2016-12-05,37.0
2016-12-06,37.1
2016-12-07,37.45
2016-12-08,38.5
2016-12-09,40.55
2016-12-12,41.1
2016-12-13,41.25
2016-12-14,39.55
2016-12-15,39.55
2016-12-16,38.75
2016-12-19,38.6
2016-12-20,38.5
2016-12-21,38.0
2016-12-22,36.85
2016-12-23,35.95
2016-12-26,34.95
2016-12-27,35.2
2016-12-28,35.9
2016-12-29,36.0
2016-12-30,36.25
