Date,SHOPERSTOP
2016-01-01,405.0
2016-01-04,405.05
2016-01-05,406.1
2016-01-06,398.7
2016-01-07,390.9
2016-01-08,394.2
2016-01-11,395.65
2016-01-12,394.05
2016-01-13,385.9
2016-01-14,386.35
2016-01-15,373.1
2016-01-18,369.55
2016-01-19,362.5
2016-01-20,368.2
2016-01-21,368.75
2016-01-22,384.05
2016-01-25,378.0
2016-01-27,374.25
2016-01-28,380.2
2016-01-29,397.15
2016-02-01,385.45
2016-02-02,375.8
2016-02-03,377.4
2016-02-04,365.25
2016-02-05,374.75
2016-02-08,376.0
2016-02-09,375.25
2016-02-10,375.2
2016-02-11,361.1
2016-02-12,349.7
2016-02-15,365.05
2016-02-16,359.8
2016-02-17,359.45
2016-02-18,349.8
2016-02-19,345.35
2016-02-22,344.85
2016-02-23,342.9
2016-02-24,347.5
2016-02-25,347.45
2016-02-26,343.9
2016-02-29,342.75
2016-03-01,343.95
2016-03-02,341.1
2016-03-03,341.8
2016-03-04,335.2
2016-03-08,340.45
2016-03-09,349.3
2016-03-10,352.2
2016-03-11,353.55
2016-03-14,351.05
2016-03-15,347.25
2016-03-16,351.6
2016-03-17,350.9
2016-03-18,354.6
2016-03-21,356.7
2016-03-22,355.1
2016-03-23,357.95
2016-03-28,360.45
2016-03-29,359.95
2016-03-30,365.15
2016-03-31,363.25
2016-04-01,363.5
2016-04-04,363.15
2016-04-05,361.55
2016-04-06,360.1
2016-04-07,358.6
2016-04-08,358.75
2016-04-11,359.1
2016-04-12,359.55
2016-04-13,372.65
2016-04-18,376.45
2016-04-20,386.7
2016-04-21,377.1
2016-04-22,385.8
2016-04-25,376.35
2016-04-26,375.0
2016-04-27,381.3
2016-04-28,378.6
2016-04-29,385.0
2016-05-02,394.5
2016-05-03,398.45
2016-05-04,385.95
2016-05-05,388.95
2016-05-06,388.1
2016-05-09,381.6
2016-05-10,373.35
2016-05-11,367.75
2016-05-12,366.0
2016-05-13,361.95
2016-05-16,354.65
2016-05-17,369.25
2016-05-18,375.65
2016-05-19,365.25
2016-05-20,361.35
2016-05-23,364.9
2016-05-24,362.55
2016-05-25,361.9
2016-05-26,366.4
2016-05-27,368.35
2016-05-30,359.85
2016-05-31,351.0
2016-06-01,350.4
2016-06-02,353.25
2016-06-03,355.15
2016-06-06,352.2
2016-06-07,355.35
2016-06-08,355.65
2016-06-09,355.95
2016-06-10,357.6
2016-06-13,352.25
2016-06-14,352.85
2016-06-15,350.75
2016-06-16,361.85
2016-06-17,364.65
2016-06-20,367.0
2016-06-21,368.35
2016-06-22,361.2
2016-06-23,365.55
2016-06-24,360.5
2016-06-27,360.8
2016-06-28,364.45
2016-06-29,379.55
2016-06-30,380.95
2016-07-01,384.25
2016-07-04,385.05
2016-07-05,380.85
2016-07-07,376.65
2016-07-08,382.0
2016-07-11,375.65
2016-07-12,380.0
2016-07-13,372.8
2016-07-14,373.2
2016-07-15,372.2
2016-07-18,373.95
2016-07-19,369.55
2016-07-20,365.5
2016-07-21,369.8
2016-07-22,371.55
2016-07-25,380.35
2016-07-26,375.65
2016-07-27,373.85
2016-07-28,379.4
2016-07-29,376.3
2016-08-01,376.3
2016-08-02,381.55
2016-08-03,364.5
2016-08-04,354.5
2016-08-05,370.55
2016-08-08,386.85
2016-08-09,380.25
2016-08-10,381.15
2016-08-11,384.4
2016-08-12,377.55
2016-08-16,374.5
2016-08-17,372.6
2016-08-18,374.0
2016-08-19,376.85
2016-08-22,373.85
2016-08-23,371.15
2016-08-24,377.2
2016-08-25,374.1
2016-08-26,378.35
2016-08-29,382.2
2016-08-30,385.8
2016-08-31,390.55
2016-09-01,384.25
2016-09-02,385.75
2016-09-06,392.3
2016-09-07,390.3
2016-09-08,387.6
2016-09-09,378.65
2016-09-12,372.2
2016-09-14,375.9
2016-09-15,378.35
2016-09-16,378.4
2016-09-19,380.9
2016-09-20,382.05
2016-09-21,379.55
2016-09-22,379.75
2016-09-23,376.7
2016-09-26,371.3
2016-09-27,371.75
2016-09-28,370.45
2016-09-29,365.6
2016-09-30,367.15
2016-10-03,373.8
2016-10-04,369.75
2016-10-05,370.75
2016-10-06,370.35
2016-10-07,373.75
2016-10-10,371.95
2016-10-13,365.6
2016-10-14,367.4
2016-10-17,372.5
2016-10-18,365.05
2016-10-19,369.25
2016-10-20,365.3
2016-10-21,368.3
2016-10-24,366.65
2016-10-25,373.9
2016-10-26,373.0
2016-10-27,373.9
2016-10-28,369.0
2016-10-30,372.55
2016-11-01,366.8
2016-11-02,362.75
2016-11-03,362.05
2016-11-04,350.65
2016-11-07,350.05
2016-11-08,355.55
2016-11-09,334.75
2016-11-10,346.1
2016-11-11,333.1
2016-11-15,332.0
2016-11-16,328.15
2016-11-17,329.15
2016-11-18,311.75
2016-11-21,296.65
2016-11-22,298.9
2016-11-23,306.85
2016-11-24,294.65
2016-11-25,295.1
2016-11-28,296.25
2016-11-29,294.15
2016-11-30,295.05
2016-12-01,294.15
2016-12-02,297.25
2016-12-05,299.35
2016-12-06,294.65
2016-12-07,293.05
2016-12-08,296.1
2016-12-09,290.95
2016-12-12,290.5
2016-12-13,292.5
2016-12-14,289.4
2016-12-15,290.25
2016-12-16,290.3
2016-12-19,293.25
2016-12-20,295.75
2016-12-21,295.8
2016-12-22,293.8
2016-12-23,296.55
2016-12-26,288.9
2016-12-27,286.9
2016-12-28,273.55
2016-12-29,278.0
2016-12-30,289.15
