Date,MORARJEE
2016-01-01,51.25
2016-01-04,50.05
2016-01-05,49.6
2016-01-06,49.15
2016-01-07,47.5
2016-01-08,47.45
2016-01-11,47.0
2016-01-12,44.8
2016-01-13,43.1
2016-01-14,43.15
2016-01-15,41.2
2016-01-18,38.35
2016-01-19,38.75
2016-01-20,36.65
2016-01-21,37.2
2016-01-22,39.3
2016-01-25,38.6
2016-01-27,38.6
2016-01-28,39.7
2016-01-29,40.45
2016-02-01,39.65
2016-02-02,40.4
2016-02-03,39.3
2016-02-04,39.1
2016-02-05,38.95
2016-02-08,38.4
2016-02-09,38.25
2016-02-10,36.7
2016-02-11,33.6
2016-02-12,31.0
2016-02-15,33.45
2016-02-16,33.4
2016-02-17,33.65
2016-02-18,33.7
2016-02-19,34.0
2016-02-22,33.8
2016-02-23,34.15
2016-02-24,33.1
2016-02-25,33.9
2016-02-26,32.5
2016-02-29,33.25
2016-03-01,33.65
2016-03-02,34.8
2016-03-03,34.4
2016-03-04,35.8
2016-03-08,35.8
2016-03-09,35.15
2016-03-10,35.95
2016-03-11,35.55
2016-03-14,35.2
2016-03-15,35.3
2016-03-16,34.7
2016-03-17,35.05
2016-03-18,35.15
2016-03-21,35.25
2016-03-22,34.85
2016-03-23,35.55
2016-03-28,33.85
2016-03-29,35.25
2016-03-30,34.45
2016-03-31,34.4
2016-04-01,34.2
2016-04-04,34.5
2016-04-05,35.45
2016-04-06,35.8
2016-04-07,36.7
2016-04-08,38.4
2016-04-11,37.1
2016-04-12,38.75
2016-04-13,40.55
2016-04-18,40.7
2016-04-20,40.0
2016-04-21,40.75
2016-04-22,40.05
2016-04-25,39.2
2016-04-26,42.5
2016-04-27,47.7
2016-04-28,45.15
2016-04-29,44.7
2016-05-02,45.7
2016-05-03,44.4
2016-05-04,47.95
2016-05-05,45.7
2016-05-06,44.05
2016-05-09,43.15
2016-05-10,42.1
2016-05-11,41.5
2016-05-12,42.6
2016-05-13,43.15
2016-05-16,42.75
2016-05-17,43.4
2016-05-18,42.05
2016-05-19,42.45
2016-05-20,42.1
2016-05-23,41.65
2016-05-24,40.4
2016-05-25,41.15
2016-05-26,41.45
2016-05-27,41.9
2016-05-30,40.35
2016-05-31,40.85
2016-06-01,41.05
2016-06-02,40.55
2016-06-03,41.0
2016-06-06,41.1
2016-06-07,47.55
2016-06-08,45.1
2016-06-09,44.25
2016-06-10,44.15
2016-06-13,43.3
2016-06-14,46.2
2016-06-15,46.95
2016-06-16,45.95
2016-06-17,44.9
2016-06-20,44.35
2016-06-21,48.15
2016-06-22,47.75
2016-06-23,45.55
2016-06-24,44.85
2016-06-27,45.1
2016-06-28,49.55
2016-06-29,48.75
2016-06-30,47.65
2016-07-01,48.45
2016-07-04,52.4
2016-07-05,49.6
2016-07-07,49.95
2016-07-08,49.85
2016-07-11,50.0
2016-07-12,49.5
2016-07-13,48.4
2016-07-14,48.6
2016-07-15,48.2
2016-07-18,50.2
2016-07-19,48.65
2016-07-20,48.3
2016-07-21,47.0
2016-07-22,47.15
2016-07-25,48.05
2016-07-26,47.9
2016-07-27,47.55
2016-07-28,49.55
2016-07-29,48.1
2016-08-01,47.25
2016-08-02,46.5
2016-08-03,45.2
2016-08-04,45.3
2016-08-05,46.05
2016-08-08,45.75
2016-08-09,45.45
2016-08-10,44.0
2016-08-11,43.2
2016-08-12,43.1
2016-08-16,43.2
2016-08-17,42.85
2016-08-18,43.75
2016-08-19,44.05
2016-08-22,44.2
2016-08-23,44.4
2016-08-24,43.85
2016-08-25,43.55
2016-08-26,43.1
2016-08-29,48.3
2016-08-30,50.6
2016-08-31,50.3
2016-09-01,49.4
2016-09-02,48.65
2016-09-06,47.9
2016-09-07,52.75
2016-09-08,51.45
2016-09-09,50.8
2016-09-12,50.8
2016-09-14,49.7
2016-09-15,49.85
2016-09-16,49.35
2016-09-19,51.05
2016-09-20,53.45
2016-09-21,54.2
2016-09-22,54.5
2016-09-23,53.7
2016-09-26,53.6
2016-09-27,60.45
2016-09-28,60.55
2016-09-29,53.85
2016-09-30,56.05
2016-10-03,56.85
2016-10-04,56.5
2016-10-05,59.15
2016-10-06,65.45
2016-10-07,65.95
2016-10-10,66.65
2016-10-13,65.55
2016-10-14,66.55
2016-10-17,64.35
2016-10-18,65.4
2016-10-19,64.95
2016-10-20,64.25
2016-10-21,64.45
2016-10-24,69.25
2016-10-25,67.7
2016-10-26,66.25
2016-10-27,64.8
2016-10-28,63.25
2016-10-30,66.1
2016-11-01,69.9
2016-11-02,66.05
2016-11-03,65.15
2016-11-04,59.15
2016-11-07,62.35
2016-11-08,62.55
2016-11-09,60.2
2016-11-10,61.2
2016-11-11,61.2
2016-11-15,56.75
2016-11-16,53.3
2016-11-17,52.0
2016-11-18,53.9
2016-11-21,52.5
2016-11-22,51.2
2016-11-23,51.95
2016-11-24,50.1
2016-11-25,52.65
2016-11-28,49.9
2016-11-29,54.85
2016-11-30,54.0
2016-12-01,52.85
2016-12-02,49.75
2016-12-05,50.65
2016-12-06,53.15
2016-12-07,50.5
2016-12-08,51.65
2016-12-09,52.65
2016-12-12,51.55
2016-12-13,52.1
2016-12-14,52.1
2016-12-15,51.7
2016-12-16,51.75
2016-12-19,50.95
2016-12-20,50.85
2016-12-21,50.8
2016-12-22,49.2
2016-12-23,49.7
2016-12-26,46.75
2016-12-27,47.8
2016-12-28,47.65
2016-12-29,48.0
2016-12-30,51.0
