Date,CANDC
2016-01-01,14.95
2016-01-04,14.55
2016-01-05,15.15
2016-01-06,14.75
2016-01-07,14.3
2016-01-08,14.3
2016-01-11,14.45
2016-01-12,14.15
2016-01-13,13.55
2016-01-14,13.4
2016-01-15,13.0
2016-01-18,12.35
2016-01-19,12.5
2016-01-20,11.9
2016-01-21,11.75
2016-01-22,12.3
2016-01-25,12.45
2016-01-27,12.2
2016-01-28,12.3
2016-01-29,12.35
2016-02-01,12.95
2016-02-02,12.7
2016-02-03,12.4
2016-02-04,12.45
2016-02-05,12.25
2016-02-08,12.35
2016-02-09,12.2
2016-02-10,11.5
2016-02-11,10.5
2016-02-12,11.1
2016-02-15,10.3
2016-02-16,10.05
2016-02-17,10.45
2016-02-18,10.65
2016-02-19,10.65
2016-02-22,10.75
2016-02-23,10.6
2016-02-24,10.1
2016-02-25,9.9
2016-02-26,10.05
2016-02-29,9.4
2016-03-01,10.0
2016-03-02,10.2
2016-03-03,10.3
2016-03-04,10.3
2016-03-08,10.4
2016-03-09,10.55
2016-03-10,10.45
2016-03-11,10.4
2016-03-14,10.3
2016-03-15,10.0
2016-03-16,10.05
2016-03-17,9.9
2016-03-18,9.8
2016-03-21,9.8
2016-03-22,9.95
2016-03-23,9.85
2016-03-28,9.95
2016-03-29,9.55
2016-03-30,9.8
2016-03-31,10.25
2016-04-01,10.2
2016-04-04,10.25
2016-04-05,10.3
2016-04-06,10.4
2016-04-07,10.2
2016-04-08,10.35
2016-04-11,10.5
2016-04-12,10.35
2016-04-13,10.15
2016-04-18,9.75
2016-04-20,10.75
2016-04-21,10.2
2016-04-22,10.5
2016-04-25,11.35
2016-04-26,11.1
2016-04-27,10.75
2016-04-28,10.75
2016-04-29,10.45
2016-05-02,10.35
2016-05-03,10.5
2016-05-04,10.25
2016-05-05,10.2
2016-05-06,10.1
2016-05-09,9.9
2016-05-10,10.1
2016-05-11,10.2
2016-05-12,10.1
2016-05-13,10.05
2016-05-16,10.0
2016-05-17,8.95
2016-05-18,8.5
2016-05-19,8.85
2016-05-20,8.8
2016-05-23,8.8
2016-05-24,8.45
2016-05-25,9.3
2016-05-26,9.25
2016-05-27,9.2
2016-05-30,9.2
2016-05-31,8.6
2016-06-01,8.8
2016-06-02,9.0
2016-06-03,8.95
2016-06-06,8.95
2016-06-07,9.2
2016-06-08,9.3
2016-06-09,9.3
2016-06-10,11.05
2016-06-13,11.5
2016-06-14,11.6
2016-06-15,13.9
2016-06-16,15.25
2016-06-17,13.75
2016-06-20,13.65
2016-06-21,14.5
2016-06-22,13.8
2016-06-23,14.55
2016-06-24,14.35
2016-06-27,14.9
2016-06-28,14.55
2016-06-29,14.95
2016-06-30,14.85
2016-07-01,14.85
2016-07-04,16.45
2016-07-05,16.5
2016-07-07,15.85
2016-07-08,15.9
2016-07-11,15.75
2016-07-12,15.6
2016-07-13,15.0
2016-07-14,15.2
2016-07-15,14.9
2016-07-18,15.05
2016-07-19,15.05
2016-07-20,15.2
2016-07-21,14.85
2016-07-22,14.85
2016-07-25,14.95
2016-07-26,14.2
2016-07-27,14.25
2016-07-28,14.0
2016-07-29,13.5
2016-08-01,13.4
2016-08-02,13.1
2016-08-03,13.75
2016-08-04,14.0
2016-08-05,13.85
2016-08-08,14.45
2016-08-09,15.75
2016-08-10,15.3
2016-08-11,15.5
2016-08-12,14.65
2016-08-16,13.4
2016-08-17,13.7
2016-08-18,14.4
2016-08-19,15.1
2016-08-22,15.55
2016-08-23,15.4
2016-08-24,15.8
2016-08-25,15.75
2016-08-26,15.5
2016-08-29,15.0
2016-08-30,14.9
2016-08-31,16.25
2016-09-01,19.3
2016-09-02,21.8
2016-09-06,23.9
2016-09-07,24.85
2016-09-08,27.15
2016-09-09,28.6
2016-09-12,27.2
2016-09-14,25.95
2016-09-15,27.2
2016-09-16,28.3
2016-09-19,28.05
2016-09-20,27.1
2016-09-21,25.75
2016-09-22,26.85
2016-09-23,25.7
2016-09-26,24.95
2016-09-27,24.3
2016-09-28,25.5
2016-09-29,24.25
2016-09-30,23.25
2016-10-03,24.1
2016-10-04,23.6
2016-10-05,24.5
2016-10-06,24.05
2016-10-07,24.2
2016-10-10,25.3
2016-10-13,24.3
2016-10-14,25.15
2016-10-17,24.95
2016-10-18,25.15
2016-10-19,24.75
2016-10-20,24.75
2016-10-21,23.9
2016-10-24,23.55
2016-10-25,23.5
2016-10-26,23.0
2016-10-27,22.65
2016-10-28,23.7
2016-10-30,23.6
2016-11-01,23.5
2016-11-02,22.65
2016-11-03,22.55
2016-11-04,20.85
2016-11-07,22.3
2016-11-08,22.0
2016-11-09,19.75
2016-11-10,21.3
2016-11-11,18.75
2016-11-15,16.05
2016-11-16,15.55
2016-11-17,14.7
2016-11-18,14.75
2016-11-21,14.2
2016-11-22,14.45
2016-11-23,15.25
2016-11-24,15.35
2016-11-25,16.85
2016-11-28,17.35
2016-11-29,17.0
2016-11-30,17.7
2016-12-01,17.95
2016-12-02,16.85
2016-12-05,17.9
2016-12-06,17.8
2016-12-07,17.55
2016-12-08,17.45
2016-12-09,16.3
2016-12-12,16.15
2016-12-13,16.85
2016-12-14,16.55
2016-12-15,16.5
2016-12-16,15.35
2016-12-19,15.4
2016-12-20,15.6
2016-12-21,15.9
2016-12-22,15.45
2016-12-23,15.75
2016-12-26,15.4
2016-12-27,15.2
2016-12-28,15.55
2016-12-29,15.0
2016-12-30,14.5
