Date,ALKALI
2016-01-01,63.15
2016-01-04,62.0
2016-01-05,65.1
2016-01-06,66.0
2016-01-07,63.25
2016-01-08,66.4
2016-01-11,64.2
2016-01-12,63.85
2016-01-13,61.4
2016-01-14,58.9
2016-01-15,56.0
2016-01-18,54.2
2016-01-19,53.55
2016-01-20,51.85
2016-01-21,51.85
2016-01-22,53.65
2016-01-25,51.0
2016-01-27,49.0
2016-01-28,48.55
2016-01-29,50.4
2016-02-01,52.15
2016-02-02,50.65
2016-02-03,48.75
2016-02-04,46.1
2016-02-05,44.5
2016-02-08,45.55
2016-02-09,44.0
2016-02-10,41.8
2016-02-11,39.9
2016-02-12,38.15
2016-02-15,40.05
2016-02-16,39.5
2016-02-17,39.35
2016-02-18,39.7
2016-02-19,40.0
2016-02-22,39.1
2016-02-23,38.25
2016-02-24,36.7
2016-02-25,36.95
2016-02-26,36.8
2016-02-29,36.9
2016-03-01,38.0
2016-03-02,39.9
2016-03-03,40.55
2016-03-04,41.5
2016-03-08,44.0
2016-03-09,44.5
2016-03-10,43.45
2016-03-11,43.55
2016-03-14,43.75
2016-03-15,42.6
2016-03-16,42.0
2016-03-17,42.05
2016-03-18,42.5
2016-03-21,41.75
2016-03-22,41.25
2016-03-23,41.9
2016-03-28,41.0
2016-03-29,40.65
2016-03-30,41.4
2016-03-31,40.6
2016-04-01,41.25
2016-04-04,41.65
2016-04-05,41.0
2016-04-06,43.35
2016-04-07,47.7
2016-04-08,48.25
2016-04-11,48.55
2016-04-12,49.45
2016-04-13,48.4
2016-04-18,47.0
2016-04-20,50.9
2016-04-21,51.1
2016-04-22,51.6
2016-04-25,52.85
2016-04-26,53.75
2016-04-27,54.35
2016-04-28,52.8
2016-04-29,53.7
2016-05-02,52.95
2016-05-03,49.35
2016-05-04,46.15
2016-05-05,44.85
2016-05-06,43.85
2016-05-09,44.9
2016-05-10,45.7
2016-05-11,45.05
2016-05-12,45.4
2016-05-13,44.35
2016-05-16,43.7
2016-05-17,44.5
2016-05-18,43.9
2016-05-19,43.65
2016-05-20,41.95
2016-05-23,42.15
2016-05-24,42.75
2016-05-25,43.05
2016-05-26,43.5
2016-05-27,43.3
2016-05-30,44.0
2016-05-31,42.95
2016-06-01,42.35
2016-06-02,44.35
2016-06-03,47.7
2016-06-06,57.2
2016-06-07,55.75
2016-06-08,53.9
2016-06-09,53.7
2016-06-10,52.3
2016-06-13,52.95
2016-06-14,54.5
2016-06-15,53.5
2016-06-16,53.05
2016-06-17,53.15
2016-06-20,53.25
2016-06-21,54.0
2016-06-22,52.9
2016-06-23,51.5
2016-06-24,53.05
2016-06-27,53.25
2016-06-28,53.3
2016-06-29,53.7
2016-06-30,55.55
2016-07-01,56.45
2016-07-04,57.85
2016-07-05,60.0
2016-07-07,63.9
2016-07-08,64.1
2016-07-11,63.4
2016-07-12,60.95
2016-07-13,61.3
2016-07-14,60.2
2016-07-15,59.15
2016-07-18,59.8
2016-07-19,58.9
2016-07-20,58.9
2016-07-21,57.15
2016-07-22,58.9
2016-07-25,59.65
2016-07-26,59.95
2016-07-27,59.25
2016-07-28,58.55
2016-07-29,59.75
2016-08-01,57.35
2016-08-02,57.25
2016-08-03,56.35
2016-08-04,56.25
2016-08-05,59.45
2016-08-08,58.25
2016-08-09,57.8
2016-08-10,56.7
2016-08-11,58.0
2016-08-12,57.95
2016-08-16,57.8
2016-08-17,56.95
2016-08-18,56.4
2016-08-19,56.65
2016-08-22,56.15
2016-08-23,57.2
2016-08-24,56.55
2016-08-25,57.15
2016-08-26,56.3
2016-08-29,56.05
2016-08-30,56.6
2016-08-31,57.35
2016-09-01,56.7
2016-09-02,56.7
2016-09-06,56.4
2016-09-07,56.35
2016-09-08,56.55
2016-09-09,55.55
2016-09-12,55.4
2016-09-14,56.2
2016-09-15,60.25
2016-09-16,60.75
2016-09-19,59.65
2016-09-20,59.85
2016-09-21,61.15
2016-09-22,59.6
2016-09-23,59.25
2016-09-26,59.45
2016-09-27,59.55
2016-09-28,59.9
2016-09-29,56.35
2016-09-30,57.0
2016-10-03,58.55
2016-10-04,63.15
2016-10-05,75.75
2016-10-06,84.05
2016-10-07,84.85
2016-10-10,93.3
2016-10-13,102.55
2016-10-14,99.65
2016-10-17,97.5
2016-10-18,95.6
2016-10-19,97.1
2016-10-20,95.2
2016-10-21,91.9
2016-10-24,88.75
2016-10-25,90.55
2016-10-26,90.8
2016-10-27,89.0
2016-10-28,80.7
2016-10-30,76.05
2016-11-01,83.65
2016-11-02,81.0
2016-11-03,84.35
2016-11-04,79.45
2016-11-07,78.9
2016-11-08,80.05
2016-11-09,74.9
2016-11-10,78.45
2016-11-11,74.05
2016-11-15,65.1
2016-11-16,64.75
2016-11-17,64.75
2016-11-18,63.45
2016-11-21,61.5
2016-11-22,62.8
2016-11-23,65.35
2016-11-24,66.25
2016-11-25,67.15
2016-11-28,68.95
2016-11-29,69.25
2016-11-30,69.1
2016-12-01,67.25
2016-12-02,68.0
2016-12-05,69.05
2016-12-06,67.75
2016-12-07,67.55
2016-12-08,67.25
2016-12-09,66.85
2016-12-12,67.3
2016-12-13,68.05
2016-12-14,66.65
2016-12-15,65.75
2016-12-16,65.9
2016-12-19,63.45
2016-12-20,76.1
2016-12-21,77.15
2016-12-22,71.6
2016-12-23,70.7
2016-12-26,67.5
2016-12-27,67.1
2016-12-28,67.95
2016-12-29,68.2
2016-12-30,69.45
