Date,M&M
2016-01-01,1265.35
2016-01-04,1242.5
2016-01-05,1249.2
2016-01-06,1226.15
2016-01-07,1197.45
2016-01-08,1198.0
2016-01-11,1162.6
2016-01-12,1181.9
2016-01-13,1205.05
2016-01-14,1188.55
2016-01-15,1177.2
2016-01-18,1165.65
2016-01-19,1152.5
2016-01-20,1150.75
2016-01-21,1138.7
2016-01-22,1198.9
2016-01-25,1178.3
2016-01-27,1176.7
2016-01-28,1204.15
2016-01-29,1233.25
2016-02-01,1226.35
2016-02-02,1206.65
2016-02-03,1203.0
2016-02-04,1204.5
2016-02-05,1219.5
2016-02-08,1201.75
2016-02-09,1183.2
2016-02-10,1182.3
2016-02-11,1126.6
2016-02-12,1165.25
2016-02-15,1226.8
2016-02-16,1206.05
2016-02-17,1200.4
2016-02-18,1213.6
2016-02-19,1230.25
2016-02-22,1237.05
2016-02-23,1208.7
2016-02-24,1218.6
2016-02-25,1229.05
2016-02-26,1230.05
2016-02-29,1228.1
2016-03-01,1268.1
2016-03-02,1199.15
2016-03-03,1215.35
2016-03-04,1216.35
2016-03-08,1219.4
2016-03-09,1235.55
2016-03-10,1226.35
2016-03-11,1220.5
2016-03-14,1212.05
2016-03-15,1205.05
2016-03-16,1212.1
2016-03-17,1198.45
2016-03-18,1222.55
2016-03-21,1227.95
2016-03-22,1253.15
2016-03-23,1249.35
2016-03-28,1243.85
2016-03-29,1232.25
2016-03-30,1219.75
2016-03-31,1210.7
2016-04-01,1195.2
2016-04-04,1245.9
2016-04-05,1215.7
2016-04-06,1220.35
2016-04-07,1212.65
2016-04-08,1232.25
2016-04-11,1236.0
2016-04-12,1239.95
2016-04-13,1332.45
2016-04-18,1340.65
2016-04-20,1326.05
2016-04-21,1308.65
2016-04-22,1326.0
2016-04-25,1326.5
2016-04-26,1353.85
2016-04-27,1384.75
2016-04-28,1344.5
2016-04-29,1330.95
2016-05-02,1336.55
2016-05-03,1325.85
2016-05-04,1321.0
2016-05-05,1320.85
2016-05-06,1330.8
2016-05-09,1349.6
2016-05-10,1349.9
2016-05-11,1348.2
2016-05-12,1334.4
2016-05-13,1312.75
2016-05-16,1316.3
2016-05-17,1341.95
2016-05-18,1326.0
2016-05-19,1311.05
2016-05-20,1293.1
2016-05-23,1284.95
2016-05-24,1294.8
2016-05-25,1311.75
2016-05-26,1339.1
2016-05-27,1333.7
2016-05-30,1330.85
2016-05-31,1322.3
2016-06-01,1333.75
2016-06-02,1333.25
2016-06-03,1354.2
2016-06-06,1369.7
2016-06-07,1377.95
2016-06-08,1386.3
2016-06-09,1373.4
2016-06-10,1375.85
2016-06-13,1357.35
2016-06-14,1355.6
2016-06-15,1355.55
2016-06-16,1343.95
2016-06-17,1344.0
2016-06-20,1350.85
2016-06-21,1366.85
2016-06-22,1359.5
2016-06-23,1374.75
2016-06-24,1388.9
2016-06-27,1391.8
2016-06-28,1408.6
2016-06-29,1417.75
2016-06-30,1429.95
2016-07-01,1463.1
2016-07-04,1465.4
2016-07-05,1459.7
2016-07-07,1456.8
2016-07-08,1453.45
2016-07-11,1471.95
2016-07-12,1475.15
2016-07-13,1464.45
2016-07-14,1447.25
2016-07-15,1464.8
2016-07-18,1468.7
2016-07-19,1456.6
2016-07-20,1461.4
2016-07-21,1434.85
2016-07-22,1440.55
2016-07-25,1463.65
2016-07-26,1448.95
2016-07-27,1453.8
2016-07-28,1452.5
2016-07-29,1466.75
2016-08-01,1470.15
2016-08-02,1457.95
2016-08-03,1446.5
2016-08-04,1435.7
2016-08-05,1484.0
2016-08-08,1497.85
2016-08-09,1480.75
2016-08-10,1449.15
2016-08-11,1421.6
2016-08-12,1450.85
2016-08-16,1443.65
2016-08-17,1450.5
2016-08-18,1460.25
2016-08-19,1458.95
2016-08-22,1443.55
2016-08-23,1442.7
2016-08-24,1434.85
2016-08-25,1413.85
2016-08-26,1424.85
2016-08-29,1422.4
2016-08-30,1436.0
2016-08-31,1436.6
2016-09-01,1453.55
2016-09-02,1473.6
2016-09-06,1489.85
2016-09-07,1488.75
2016-09-08,1492.1
2016-09-09,1472.45
2016-09-12,1425.95
2016-09-14,1411.55
2016-09-15,1406.25
2016-09-16,1406.65
2016-09-19,1417.0
2016-09-20,1409.85
2016-09-21,1406.9
2016-09-22,1413.6
2016-09-23,1410.1
2016-09-26,1380.2
2016-09-27,1371.7
2016-09-28,1376.75
2016-09-29,1364.4
2016-09-30,1405.7
2016-10-03,1443.85
2016-10-04,1415.35
2016-10-05,1399.2
2016-10-06,1372.9
2016-10-07,1374.0
2016-10-10,1376.9
2016-10-13,1369.75
2016-10-14,1357.1
2016-10-17,1313.1
2016-10-18,1333.35
2016-10-19,1327.9
2016-10-20,1327.4
