Date,UTTAMSUGAR
2016-01-01,29.3
2016-01-04,30.05
2016-01-05,30.95
2016-01-06,31.55
2016-01-07,28.75
2016-01-08,32.8
2016-01-11,33.05
2016-01-12,30.75
2016-01-13,29.7
2016-01-14,29.3
2016-01-15,27.7
2016-01-18,26.55
2016-01-19,27.25
2016-01-20,26.05
2016-01-21,25.85
2016-01-22,27.0
2016-01-25,26.3
2016-01-27,25.9
2016-01-28,25.3
2016-01-29,25.75
2016-02-01,26.25
2016-02-02,26.05
2016-02-03,25.6
2016-02-04,24.5
2016-02-05,24.9
2016-02-08,24.75
2016-02-09,24.45
2016-02-10,22.35
2016-02-11,21.15
2016-02-12,19.65
2016-02-15,20.15
2016-02-16,18.3
2016-02-17,18.5
2016-02-18,18.9
2016-02-19,19.35
2016-02-22,19.0
2016-02-23,18.75
2016-02-24,21.9
2016-02-25,22.6
2016-02-26,22.6
2016-02-29,21.35
2016-03-01,22.35
2016-03-02,21.6
2016-03-03,21.8
2016-03-04,24.75
2016-03-08,27.35
2016-03-09,28.35
2016-03-10,26.75
2016-03-11,26.45
2016-03-14,27.5
2016-03-15,32.55
2016-03-16,32.05
2016-03-17,30.4
2016-03-18,31.4
2016-03-21,31.45
2016-03-22,32.4
2016-03-23,31.7
2016-03-28,29.85
2016-03-29,29.35
2016-03-30,32.25
2016-03-31,30.8
2016-04-01,36.95
2016-04-04,41.9
2016-04-05,42.7
2016-04-06,50.75
2016-04-07,53.4
2016-04-08,58.4
2016-04-11,58.45
2016-04-12,54.7
2016-04-13,52.2
2016-04-18,57.4
2016-04-20,54.2
2016-04-21,53.1
2016-04-22,54.9
2016-04-25,53.0
2016-04-26,53.1
2016-04-27,52.3
2016-04-28,48.85
2016-04-29,50.25
2016-05-02,53.85
2016-05-03,52.75
2016-05-04,52.15
2016-05-05,54.1
2016-05-06,55.75
2016-05-09,60.35
2016-05-10,59.9
2016-05-11,61.0
2016-05-12,64.6
2016-05-13,64.25
2016-05-16,64.05
2016-05-17,62.35
2016-05-18,59.7
2016-05-19,55.05
2016-05-20,49.95
2016-05-23,51.35
2016-05-24,49.45
2016-05-25,49.85
2016-05-26,51.5
2016-05-27,50.55
2016-05-30,49.6
2016-05-31,49.4
2016-06-01,52.25
2016-06-02,53.15
2016-06-03,54.85
2016-06-06,60.15
2016-06-07,59.45
2016-06-08,59.35
2016-06-09,57.7
2016-06-10,68.8
2016-06-13,76.7
2016-06-14,85.6
2016-06-15,92.3
2016-06-16,86.05
2016-06-17,77.5
2016-06-20,78.55
2016-06-21,77.85
2016-06-22,74.2
2016-06-23,74.3
2016-06-24,73.0
2016-06-27,76.65
2016-06-28,80.45
2016-06-29,80.45
2016-06-30,80.25
2016-07-01,79.35
2016-07-04,79.55
2016-07-05,77.15
2016-07-07,81.0
2016-07-08,77.4
2016-07-11,77.05
2016-07-12,76.35
2016-07-13,75.55
2016-07-14,76.95
2016-07-15,73.8
2016-07-18,72.95
2016-07-19,72.75
2016-07-20,73.8
2016-07-21,72.3
2016-07-22,71.9
2016-07-25,72.85
2016-07-26,70.9
2016-07-27,71.0
2016-07-28,69.25
2016-07-29,72.7
2016-08-01,72.6
2016-08-02,71.75
2016-08-03,68.85
2016-08-04,70.15
2016-08-05,69.6
2016-08-08,68.35
2016-08-09,62.0
2016-08-10,59.45
2016-08-11,55.3
2016-08-12,52.6
2016-08-16,50.0
2016-08-17,47.5
2016-08-18,49.85
2016-08-19,52.3
2016-08-22,54.8
2016-08-23,55.35
2016-08-24,54.8
2016-08-25,52.15
2016-08-26,52.05
2016-08-29,50.15
2016-08-30,50.35
2016-08-31,52.85
2016-09-01,50.6
2016-09-02,48.55
2016-09-06,49.15
2016-09-07,49.75
2016-09-08,49.35
2016-09-09,52.65
2016-09-12,51.5
2016-09-14,52.15
2016-09-15,52.7
2016-09-16,53.95
2016-09-19,59.3
2016-09-20,62.7
2016-09-21,59.8
2016-09-22,63.0
2016-09-23,61.15
2016-09-26,59.5
2016-09-27,58.75
2016-09-28,59.55
2016-09-29,53.6
2016-09-30,54.05
2016-10-03,55.95
2016-10-04,56.3
2016-10-05,58.2
2016-10-06,58.3
2016-10-07,60.3
2016-10-10,59.45
2016-10-13,58.6
2016-10-14,58.45
2016-10-17,57.15
2016-10-18,57.55
2016-10-19,57.0
2016-10-20,56.45
2016-10-21,57.15
2016-10-24,56.1
2016-10-25,54.65
2016-10-26,53.45
2016-10-27,54.4
2016-10-28,53.8
2016-10-30,55.35
2016-11-01,53.55
2016-11-02,52.5
2016-11-03,53.9
2016-11-04,51.55
2016-11-07,51.75
2016-11-08,51.95
2016-11-09,48.45
2016-11-10,52.95
2016-11-11,50.5
2016-11-15,45.1
2016-11-16,44.7
2016-11-17,40.5
2016-11-18,48.25
2016-11-21,49.65
2016-11-22,48.25
2016-11-23,50.5
2016-11-24,50.05
2016-11-25,50.55
2016-11-28,50.35
2016-11-29,49.85
2016-11-30,50.0
2016-12-01,49.95
2016-12-02,48.75
2016-12-05,48.6
2016-12-06,48.6
2016-12-07,47.7
2016-12-08,47.65
2016-12-09,47.5
2016-12-12,47.15
2016-12-13,47.05
2016-12-14,46.8
2016-12-15,45.55
2016-12-16,46.15
2016-12-19,46.05
2016-12-20,44.55
2016-12-21,45.05
2016-12-22,44.35
2016-12-23,49.55
2016-12-26,47.4
2016-12-27,47.25
2016-12-28,47.7
2016-12-29,48.55
2016-12-30,54.8
