Date,SEQUENT
2016-03-10,179.4
2016-03-11,172.7
2016-03-14,176.05
2016-03-15,172.65
2016-03-16,174.8
2016-03-17,166.8
2016-03-18,165.5
2016-03-21,165.6
2016-03-22,166.05
2016-03-23,163.8
2016-03-28,155.9
2016-03-29,154.0
2016-03-30,147.1
2016-03-31,148.7
2016-04-01,148.7
2016-04-04,173.1
2016-04-05,162.45
2016-04-06,163.5
2016-04-07,166.0
2016-04-08,166.85
2016-04-11,165.15
2016-04-12,164.45
2016-04-13,165.85
2016-04-18,166.6
2016-04-20,165.45
2016-04-21,161.7
2016-04-22,157.1
2016-04-25,156.65
2016-04-26,153.15
2016-04-27,151.9
2016-04-28,151.9
2016-04-29,149.05
2016-05-02,143.65
2016-05-03,159.15
2016-05-04,159.35
2016-05-05,153.95
2016-05-06,150.95
2016-05-09,151.15
2016-05-10,149.15
2016-05-11,148.45
2016-05-12,148.65
2016-05-13,149.2
2016-05-16,148.25
2016-05-17,147.95
2016-05-18,145.1
2016-05-19,139.8
2016-05-20,135.1
2016-05-23,138.95
2016-05-24,135.8
2016-05-25,137.95
2016-05-26,137.05
2016-05-27,140.2
2016-05-30,140.3
2016-05-31,142.2
2016-06-01,138.85
2016-06-02,136.6
2016-06-03,139.3
2016-06-06,140.65
2016-06-07,142.35
2016-06-08,142.7
2016-06-09,141.95
2016-06-10,140.2
2016-06-13,140.5
2016-06-14,142.45
2016-06-15,144.95
2016-06-16,141.2
2016-06-17,141.25
2016-06-20,139.15
2016-06-21,140.0
2016-06-22,139.0
2016-06-23,139.1
2016-06-24,137.6
2016-06-27,138.3
2016-06-28,138.9
2016-06-29,143.35
2016-06-30,143.55
2016-07-01,143.45
2016-07-04,141.85
2016-07-05,142.25
2016-07-07,142.2
2016-07-08,142.05
2016-07-11,143.0
2016-07-12,140.0
2016-07-13,138.0
2016-07-14,139.15
2016-07-15,139.55
2016-07-18,137.95
2016-07-19,135.05
2016-07-20,133.3
2016-07-21,132.75
2016-07-22,129.15
2016-07-25,129.55
2016-07-26,127.15
2016-07-27,127.0
2016-07-28,125.25
2016-07-29,128.7
2016-08-01,127.4
2016-08-02,125.15
2016-08-03,123.75
2016-08-04,120.3
2016-08-05,119.85
2016-08-08,121.4
2016-08-09,118.9
2016-08-10,117.95
2016-08-11,118.3
2016-08-12,115.5
2016-08-16,110.7
2016-08-17,118.85
2016-08-18,118.95
2016-08-19,120.0
2016-08-22,119.8
2016-08-23,120.05
2016-08-24,144.05
2016-08-25,139.45
2016-08-26,136.5
2016-08-29,136.9
2016-08-30,138.35
2016-08-31,136.4
2016-09-01,135.65
2016-09-02,133.85
2016-09-06,137.4
2016-09-07,138.35
2016-09-08,136.05
2016-09-09,140.1
2016-09-12,139.8
2016-09-14,141.85
2016-09-15,141.15
2016-09-16,139.3
2016-09-19,141.6
2016-09-20,140.05
2016-09-21,141.95
2016-09-22,142.55
2016-09-23,140.35
2016-09-26,134.7
2016-09-27,138.7
2016-09-28,135.0
2016-09-29,130.0
2016-09-30,132.5
2016-10-03,130.45
2016-10-04,128.6
2016-10-05,130.25
2016-10-06,127.85
2016-10-07,129.85
2016-10-10,128.65
2016-10-13,128.95
2016-10-14,128.55
2016-10-17,128.5
2016-10-18,127.55
2016-10-19,128.65
2016-10-20,125.5
2016-10-21,127.45
2016-10-24,126.1
2016-10-25,122.8
2016-10-26,124.95
2016-10-27,123.05
2016-10-28,127.3
2016-10-30,128.45
2016-11-01,129.5
2016-11-02,127.3
2016-11-03,126.55
2016-11-04,119.15
2016-11-07,122.05
2016-11-08,122.65
2016-11-09,118.25
2016-11-10,124.4
2016-11-11,118.95
2016-11-15,109.15
2016-11-16,110.3
2016-11-17,114.0
2016-11-18,119.0
2016-11-21,107.85
2016-11-22,112.55
2016-11-23,117.45
2016-11-24,118.6
2016-11-25,118.95
2016-11-28,117.85
2016-11-29,118.25
2016-11-30,113.35
2016-12-01,111.8
2016-12-02,110.95
2016-12-05,107.65
2016-12-06,109.55
2016-12-07,108.75
2016-12-08,107.9
2016-12-09,107.75
2016-12-12,107.75
2016-12-13,108.75
2016-12-14,109.15
2016-12-15,111.05
2016-12-16,112.7
2016-12-19,111.3
2016-12-20,110.15
2016-12-21,109.1
2016-12-22,109.8
2016-12-23,109.4
2016-12-26,109.4
2016-12-27,109.15
2016-12-28,109.95
2016-12-29,109.5
2016-12-30,109.9
