Date,BANARBEADS
2016-01-01,48.6
2016-01-04,49.35
2016-01-05,48.55
2016-01-06,48.8
2016-01-07,46.5
2016-01-08,46.2
2016-01-11,45.1
2016-01-12,45.2
2016-01-13,42.05
2016-01-14,44.65
2016-01-15,43.25
2016-01-18,38.4
2016-01-19,39.75
2016-01-20,39.0
2016-01-21,40.0
2016-01-22,42.95
2016-01-25,44.0
2016-01-27,52.8
2016-01-28,59.0
2016-01-29,55.1
2016-02-01,52.75
2016-02-02,49.2
2016-02-03,47.25
2016-02-04,47.15
2016-02-05,45.8
2016-02-08,44.3
2016-02-09,42.1
2016-02-10,41.0
2016-02-11,38.95
2016-02-12,38.5
2016-02-15,40.0
2016-02-16,38.0
2016-02-17,39.65
2016-02-18,38.0
2016-02-22,39.65
2016-02-23,38.05
2016-02-24,39.8
2016-02-25,38.0
2016-02-26,37.05
2016-02-29,36.5
2016-03-01,38.25
2016-03-02,38.85
2016-03-03,39.0
2016-03-04,41.55
2016-03-08,42.0
2016-03-09,46.2
2016-03-10,50.6
2016-03-11,51.95
2016-03-14,51.95
2016-03-15,51.05
2016-03-16,46.6
2016-03-17,48.25
2016-03-18,46.0
2016-03-21,44.35
2016-03-22,44.25
2016-03-23,42.7
2016-03-28,44.8
2016-03-29,44.4
2016-03-30,46.45
2016-03-31,44.6
2016-04-01,46.0
2016-04-04,45.95
2016-04-05,44.7
2016-04-06,47.45
2016-04-07,49.6
2016-04-08,47.4
2016-04-11,46.85
2016-04-12,46.15
2016-04-13,47.7
2016-04-18,47.95
2016-04-20,48.15
2016-04-21,45.95
2016-04-22,46.05
2016-04-25,46.15
2016-04-26,46.0
2016-04-27,46.1
2016-04-28,46.0
2016-04-29,45.2
2016-05-02,44.55
2016-05-03,44.05
2016-05-04,44.15
2016-05-05,44.1
2016-05-06,43.5
2016-05-09,46.9
2016-05-10,46.9
2016-05-11,47.4
2016-05-12,47.5
2016-05-13,46.05
2016-05-17,48.3
2016-05-19,46.3
2016-05-20,45.8
2016-05-23,45.1
2016-05-24,45.7
2016-05-25,45.85
2016-05-26,46.55
2016-05-27,43.3
2016-05-30,41.75
2016-05-31,42.0
2016-06-01,40.5
2016-06-02,40.0
2016-06-03,40.0
2016-06-06,39.5
2016-06-07,39.95
2016-06-08,38.9
2016-06-09,41.75
2016-06-10,41.6
2016-06-13,40.35
2016-06-14,39.7
2016-06-15,39.7
2016-06-16,38.0
2016-06-17,39.1
2016-06-20,38.9
2016-06-21,38.1
2016-06-22,38.1
2016-06-23,38.0
2016-06-24,39.25
2016-06-27,38.0
2016-06-28,38.75
2016-06-29,39.4
2016-06-30,39.95
2016-07-01,40.4
2016-07-04,40.1
2016-07-05,43.15
2016-07-07,44.0
2016-07-08,43.5
2016-07-11,42.5
2016-07-12,44.45
2016-07-13,44.0
2016-07-14,43.85
2016-07-15,43.5
2016-07-18,42.65
2016-07-19,43.9
2016-07-20,42.4
2016-07-22,42.3
2016-07-25,42.9
2016-07-26,43.75
2016-07-27,43.5
2016-07-28,42.65
2016-07-29,41.4
2016-08-01,41.6
2016-08-02,40.3
2016-08-03,41.25
2016-08-04,40.35
2016-08-05,40.0
2016-08-08,39.65
2016-08-09,42.3
2016-08-10,40.25
2016-08-11,39.85
2016-08-12,40.8
2016-08-16,40.2
2016-08-17,39.75
2016-08-18,39.4
2016-08-19,40.9
2016-08-22,41.0
2016-08-23,40.9
2016-08-24,42.6
2016-08-25,42.65
2016-08-26,42.4
2016-08-29,41.9
2016-08-30,43.2
2016-08-31,42.3
2016-09-01,43.55
2016-09-02,41.6
2016-09-06,41.55
2016-09-07,41.05
2016-09-08,41.15
2016-09-09,41.45
2016-09-12,41.0
2016-09-14,40.35
2016-09-15,41.7
2016-09-16,41.7
2016-09-19,42.0
2016-09-20,40.7
2016-09-21,40.65
2016-09-22,41.5
2016-09-23,43.0
2016-09-26,41.95
2016-09-27,40.75
2016-09-28,42.55
2016-09-29,42.4
2016-09-30,40.7
2016-10-03,42.55
2016-10-04,41.7
2016-10-05,43.65
2016-10-06,43.0
2016-10-07,42.2
2016-10-10,43.45
2016-10-13,42.35
2016-10-14,43.65
2016-10-17,44.5
2016-10-18,52.35
2016-10-19,56.15
2016-10-20,53.8
2016-10-21,50.9
2016-10-24,48.4
2016-10-25,50.0
2016-10-26,49.5
2016-10-27,49.95
2016-10-28,48.85
2016-10-30,50.2
2016-11-01,48.3
2016-11-02,47.1
2016-11-03,47.2
2016-11-04,43.55
2016-11-07,44.75
2016-11-08,44.9
2016-11-09,41.4
2016-11-10,43.65
2016-11-11,41.9
2016-11-15,40.35
2016-11-16,39.8
2016-11-17,39.6
2016-11-18,40.65
2016-11-21,39.9
2016-11-22,40.75
2016-11-23,40.0
2016-11-24,40.8
2016-11-25,40.9
2016-11-28,43.5
2016-11-29,43.6
2016-11-30,44.9
2016-12-01,44.0
2016-12-02,43.3
2016-12-05,43.5
2016-12-06,44.1
2016-12-07,43.45
2016-12-08,50.25
2016-12-09,46.0
2016-12-12,44.35
2016-12-13,44.35
2016-12-14,44.25
2016-12-15,44.85
2016-12-16,45.1
2016-12-19,49.7
2016-12-20,50.5
2016-12-21,51.8
2016-12-22,53.85
2016-12-23,54.8
2016-12-26,58.7
2016-12-27,58.9
2016-12-28,55.75
2016-12-29,56.25
2016-12-30,57.8
