Date,MANUGRAPH
2016-01-01,62.05
2016-01-04,68.25
2016-01-05,66.4
2016-01-06,65.9
2016-01-07,62.95
2016-01-08,64.5
2016-01-11,63.5
2016-01-12,62.2
2016-01-13,58.6
2016-01-14,57.1
2016-01-15,53.0
2016-01-18,48.4
2016-01-19,48.3
2016-01-20,47.95
2016-01-21,48.1
2016-01-22,50.5
2016-01-25,53.0
2016-01-27,55.65
2016-01-28,53.5
2016-01-29,56.15
2016-02-01,58.2
2016-02-02,56.65
2016-02-03,55.0
2016-02-04,52.8
2016-02-05,51.9
2016-02-08,50.75
2016-02-09,49.15
2016-02-10,48.15
2016-02-11,43.75
2016-02-12,43.5
2016-02-15,45.2
2016-02-16,42.15
2016-02-17,41.65
2016-02-18,41.4
2016-02-19,40.9
2016-02-22,43.95
2016-02-23,43.1
2016-02-24,40.8
2016-02-25,40.85
2016-02-26,39.6
2016-02-29,38.7
2016-03-01,41.25
2016-03-02,44.5
2016-03-03,45.2
2016-03-04,45.65
2016-03-08,47.25
2016-03-09,46.7
2016-03-10,46.0
2016-03-11,52.0
2016-03-14,49.25
2016-03-15,46.7
2016-03-16,48.5
2016-03-17,46.95
2016-03-18,45.85
2016-03-21,48.55
2016-03-22,47.75
2016-03-23,47.2
2016-03-28,43.7
2016-03-29,44.95
2016-03-30,46.0
2016-03-31,46.65
2016-04-01,47.3
2016-04-04,47.35
2016-04-05,46.25
2016-04-06,47.05
2016-04-07,46.65
2016-04-08,48.3
2016-04-11,48.9
2016-04-12,50.9
2016-04-13,50.5
2016-04-18,54.4
2016-04-20,53.55
2016-04-21,52.9
2016-04-22,53.5
2016-04-25,52.4
2016-04-26,52.75
2016-04-27,52.25
2016-04-28,51.3
2016-04-29,50.4
2016-05-02,51.0
2016-05-03,50.7
2016-05-04,49.05
2016-05-05,49.65
2016-05-06,49.1
2016-05-09,49.0
2016-05-10,48.4
2016-05-11,49.55
2016-05-12,49.5
2016-05-13,49.4
2016-05-16,49.1
2016-05-17,49.35
2016-05-18,48.75
2016-05-19,50.45
2016-05-20,51.1
2016-05-23,49.55
2016-05-24,48.55
2016-05-25,49.15
2016-05-26,49.1
2016-05-27,50.3
2016-05-30,50.1
2016-05-31,47.5
2016-06-01,52.7
2016-06-02,58.5
2016-06-03,56.1
2016-06-06,56.4
2016-06-07,56.0
2016-06-08,55.7
2016-06-09,60.55
2016-06-10,59.5
2016-06-13,61.1
2016-06-14,59.35
2016-06-15,58.45
2016-06-16,55.95
2016-06-17,56.5
2016-06-20,56.95
2016-06-21,55.6
2016-06-22,54.6
2016-06-23,54.35
2016-06-24,52.15
2016-06-27,55.5
2016-06-28,55.35
2016-06-29,59.65
2016-06-30,57.4
2016-07-01,58.4
2016-07-04,59.7
2016-07-05,57.4
2016-07-07,57.25
2016-07-08,56.9
2016-07-11,56.5
2016-07-12,56.2
2016-07-13,55.05
2016-07-14,56.15
2016-07-15,55.3
2016-07-18,55.4
2016-07-19,56.55
2016-07-20,55.65
2016-07-21,54.8
2016-07-22,54.6
2016-07-25,57.4
2016-07-26,57.1
2016-07-27,56.8
2016-07-28,55.65
2016-07-29,55.7
2016-08-01,56.0
2016-08-02,55.1
2016-08-03,53.75
2016-08-04,51.15
2016-08-05,50.6
2016-08-08,50.85
2016-08-09,50.8
2016-08-10,50.95
2016-08-11,50.9
2016-08-12,50.5
2016-08-16,48.8
2016-08-17,46.9
2016-08-18,48.1
2016-08-19,47.5
2016-08-22,48.05
2016-08-23,47.2
2016-08-24,47.1
2016-08-25,49.95
2016-08-26,50.4
2016-08-29,49.2
2016-08-30,49.5
2016-08-31,48.55
2016-09-01,47.25
2016-09-02,47.6
2016-09-06,47.95
2016-09-07,49.15
2016-09-08,47.9
2016-09-09,47.55
2016-09-12,46.15
2016-09-14,47.0
2016-09-15,46.35
2016-09-16,46.65
2016-09-19,46.95
2016-09-20,46.5
2016-09-21,47.2
2016-09-22,46.95
2016-09-23,46.8
2016-09-26,46.05
2016-09-27,45.8
2016-09-28,46.15
2016-09-29,45.0
2016-09-30,46.0
2016-10-03,48.3
2016-10-04,46.5
2016-10-05,47.95
2016-10-06,48.05
2016-10-07,46.7
2016-10-10,48.35
2016-10-13,47.05
2016-10-14,46.7
2016-10-17,47.75
2016-10-18,49.25
2016-10-19,49.9
2016-10-20,59.85
2016-10-21,57.1
2016-10-24,57.85
2016-10-25,58.45
2016-10-26,56.1
2016-10-27,54.15
2016-10-28,53.25
2016-10-30,53.95
2016-11-01,52.6
2016-11-02,52.7
2016-11-03,50.3
2016-11-04,49.55
2016-11-07,50.55
2016-11-08,49.95
2016-11-09,45.8
2016-11-10,49.2
2016-11-11,47.45
2016-11-15,45.55
2016-11-16,47.3
2016-11-17,44.3
2016-11-18,44.8
2016-11-21,43.1
2016-11-22,43.5
2016-11-23,44.2
2016-11-24,43.4
2016-11-25,46.05
2016-11-28,46.5
2016-11-29,46.7
2016-11-30,48.05
2016-12-01,46.7
2016-12-02,46.1
2016-12-05,46.0
2016-12-06,46.75
2016-12-07,47.45
2016-12-08,47.1
2016-12-09,46.9
2016-12-12,47.45
2016-12-13,47.2
2016-12-14,45.75
2016-12-15,46.0
2016-12-16,45.5
2016-12-19,46.55
2016-12-20,45.3
2016-12-21,45.3
2016-12-22,45.3
2016-12-23,45.25
2016-12-26,45.0
2016-12-27,45.2
2016-12-28,45.0
2016-12-29,44.95
2016-12-30,45.4
