Date,WABAG
2016-01-01,691.35
2016-01-04,680.25
2016-01-05,679.25
2016-01-06,672.45
2016-01-07,667.15
2016-01-08,681.25
2016-01-11,668.15
2016-01-12,666.8
2016-01-13,661.5
2016-01-14,642.4
2016-01-15,610.8
2016-01-18,589.95
2016-01-19,613.95
2016-01-20,588.7
2016-01-21,572.35
2016-01-22,576.3
2016-01-25,591.45
2016-01-27,586.25
2016-01-28,589.9
2016-01-29,590.15
2016-02-01,585.85
2016-02-02,579.45
2016-02-03,560.8
2016-02-04,558.6
2016-02-05,564.45
2016-02-08,576.8
2016-02-09,574.9
2016-02-10,568.5
2016-02-11,550.45
2016-02-12,531.0
2016-02-15,536.15
2016-02-16,525.7
2016-02-17,524.35
2016-02-18,528.75
2016-02-19,519.05
2016-02-22,511.25
2016-02-23,510.4
2016-02-24,498.6
2016-02-25,479.75
2016-02-26,469.75
2016-02-29,449.3
2016-03-01,421.5
2016-03-02,439.85
2016-03-03,434.1
2016-03-04,440.7
2016-03-08,466.85
2016-03-09,488.85
2016-03-10,492.7
2016-03-11,520.15
2016-03-14,526.6
2016-03-15,526.0
2016-03-16,507.6
2016-03-17,514.2
2016-03-18,509.0
2016-03-21,532.45
2016-03-22,544.8
2016-03-23,540.0
2016-03-28,529.6
2016-03-29,526.75
2016-03-30,524.0
2016-03-31,518.35
2016-04-01,518.4
2016-04-04,519.4
2016-04-05,519.95
2016-04-06,519.05
2016-04-07,534.7
2016-04-08,544.9
2016-04-11,551.7
2016-04-12,564.7
2016-04-13,560.75
2016-04-18,578.45
2016-04-20,577.1
2016-04-21,580.1
2016-04-22,562.7
2016-04-25,573.7
2016-04-26,575.1
2016-04-27,576.1
2016-04-28,574.5
2016-04-29,574.85
2016-05-02,589.4
2016-05-03,587.5
2016-05-04,584.6
2016-05-05,578.6
2016-05-06,563.1
2016-05-09,576.7
2016-05-10,575.1
2016-05-11,593.65
2016-05-12,592.25
2016-05-13,584.35
2016-05-16,585.1
2016-05-17,585.85
2016-05-18,588.25
2016-05-19,579.2
2016-05-20,555.7
2016-05-23,570.05
2016-05-24,557.95
2016-05-25,560.1
2016-05-26,559.35
2016-05-27,556.3
2016-05-30,595.3
2016-05-31,577.7
2016-06-01,593.9
2016-06-02,612.1
2016-06-03,607.75
2016-06-06,608.35
2016-06-07,614.95
2016-06-08,618.0
2016-06-09,638.65
2016-06-10,622.15
2016-06-13,602.8
2016-06-14,604.9
2016-06-15,606.65
2016-06-16,596.6
2016-06-17,609.1
2016-06-20,591.75
2016-06-21,579.35
2016-06-22,569.8
2016-06-23,564.35
2016-06-24,553.3
2016-06-27,581.05
2016-06-28,585.65
2016-06-29,595.95
2016-06-30,592.35
2016-07-01,598.1
2016-07-04,607.5
2016-07-05,593.3
2016-07-07,597.3
2016-07-08,591.45
2016-07-11,592.9
2016-07-12,609.85
2016-07-13,608.65
2016-07-14,600.5
2016-07-15,598.6
2016-07-18,592.95
2016-07-19,582.2
2016-07-20,591.55
2016-07-21,587.8
2016-07-22,589.8
2016-07-25,590.8
2016-07-26,580.95
2016-07-27,585.2
2016-07-28,581.6
2016-07-29,578.7
2016-08-01,574.0
2016-08-02,580.6
2016-08-03,576.15
2016-08-04,582.2
2016-08-05,583.25
2016-08-08,586.3
2016-08-09,586.45
2016-08-10,575.85
2016-08-11,584.2
2016-08-12,584.1
2016-08-16,573.45
2016-08-17,584.5
2016-08-18,578.65
2016-08-19,579.7
2016-08-22,571.1
2016-08-23,573.7
2016-08-24,571.7
2016-08-25,573.05
2016-08-26,564.45
2016-08-29,555.35
2016-08-30,554.75
2016-08-31,569.0
2016-09-01,564.8
2016-09-02,564.95
2016-09-06,567.1
2016-09-07,572.65
2016-09-08,573.0
2016-09-09,565.55
2016-09-12,552.7
2016-09-14,558.6
2016-09-15,558.35
2016-09-16,551.65
2016-09-19,552.25
2016-09-20,550.2
2016-09-21,553.55
2016-09-22,557.65
2016-09-23,551.45
2016-09-26,551.9
2016-09-27,550.95
2016-09-28,566.0
2016-09-29,545.3
2016-09-30,549.45
2016-10-03,564.4
2016-10-04,562.8
2016-10-05,556.65
2016-10-06,559.85
2016-10-07,554.45
2016-10-10,565.45
2016-10-13,565.4
2016-10-14,560.1
2016-10-17,553.15
2016-10-18,538.75
2016-10-19,520.65
2016-10-20,496.65
2016-10-21,508.15
2016-10-24,508.9
2016-10-25,504.6
2016-10-26,503.1
2016-10-27,499.6
2016-10-28,495.35
2016-10-30,506.75
2016-11-01,501.0
2016-11-02,488.8
2016-11-03,481.4
2016-11-04,463.6
2016-11-07,467.55
2016-11-08,467.2
2016-11-09,493.9
2016-11-10,524.15
2016-11-11,512.3
2016-11-15,496.9
2016-11-16,488.3
2016-11-17,487.45
2016-11-18,497.1
2016-11-21,475.75
2016-11-22,470.05
2016-11-23,478.05
2016-11-24,495.4
2016-11-25,497.2
2016-11-28,496.15
2016-11-29,499.8
2016-11-30,496.35
2016-12-01,503.25
2016-12-02,494.2
2016-12-05,490.7
2016-12-06,489.9
2016-12-07,485.95
2016-12-08,490.2
2016-12-09,490.9
2016-12-12,482.2
2016-12-13,482.65
2016-12-14,481.4
2016-12-15,477.55
2016-12-16,469.55
2016-12-19,464.45
2016-12-20,469.75
2016-12-21,462.65
2016-12-22,451.6
2016-12-23,452.8
2016-12-26,460.65
2016-12-27,459.85
2016-12-28,464.3
2016-12-29,468.7
2016-12-30,468.85
