Date,BANG
2016-02-09,14.8
2016-02-10,15.45
2016-02-11,15.0
2016-02-12,14.25
2016-02-15,14.85
2016-02-16,14.15
2016-02-17,13.6
2016-02-18,12.95
2016-02-19,12.55
2016-02-22,13.1
2016-02-23,12.55
2016-02-24,12.5
2016-02-29,12.0
2016-03-01,12.0
2016-03-02,12.6
2016-03-03,13.2
2016-03-04,13.75
2016-03-08,13.3
2016-03-09,13.3
2016-03-10,13.95
2016-03-11,13.8
2016-03-14,13.9
2016-03-15,13.75
2016-03-16,13.5
2016-03-17,14.1
2016-03-18,14.2
2016-03-21,14.1
2016-03-22,14.7
2016-03-23,14.7
2016-03-28,14.05
2016-03-30,13.95
2016-03-31,14.2
2016-04-01,14.25
2016-04-04,14.05
2016-04-05,14.25
2016-04-06,15.6
2016-04-07,16.25
2016-04-08,16.0
2016-04-11,16.15
2016-04-12,16.4
2016-04-13,16.95
2016-04-18,17.0
2016-04-20,17.6
2016-04-21,18.15
2016-04-25,16.6
2016-04-27,16.95
2016-04-28,16.65
2016-04-29,17.45
2016-05-02,17.35
2016-05-03,18.8
2016-05-04,16.95
2016-05-05,17.3
2016-05-10,17.3
2016-05-11,16.7
2016-05-12,16.05
2016-05-16,15.35
2016-05-17,16.0
2016-05-18,15.7
2016-05-19,16.0
2016-05-20,16.35
2016-05-23,17.0
2016-05-24,15.7
2016-05-25,15.65
2016-05-26,16.95
2016-05-27,17.0
2016-05-30,15.5
2016-05-31,15.7
2016-06-01,16.0
2016-06-02,16.1
2016-06-03,16.25
2016-06-06,15.65
2016-06-07,15.9
2016-06-09,15.8
2016-06-10,16.0
2016-06-13,15.75
2016-06-14,15.9
2016-06-15,16.0
2016-06-16,15.85
2016-06-17,16.25
2016-06-20,16.0
2016-06-21,16.0
2016-06-22,15.8
2016-06-23,16.0
2016-06-24,16.0
2016-06-28,17.8
2016-06-29,20.75
2016-06-30,24.9
2016-07-01,26.0
2016-07-04,25.95
2016-07-05,25.85
2016-07-07,27.0
2016-07-08,26.25
2016-07-11,25.15
2016-07-12,26.4
2016-07-13,24.8
2016-07-14,24.75
2016-07-15,25.0
2016-07-18,25.1
2016-07-19,23.65
2016-07-20,23.75
2016-07-21,23.95
2016-07-22,23.05
2016-07-25,23.15
2016-07-26,22.75
2016-07-27,22.9
2016-07-28,22.35
2016-07-29,23.0
2016-08-01,21.5
2016-08-02,21.7
2016-08-03,21.75
2016-08-04,21.3
2016-08-05,21.6
2016-08-08,22.4
2016-08-10,21.3
2016-08-11,21.45
2016-08-12,21.45
2016-08-16,23.05
2016-08-17,23.95
2016-08-18,22.9
2016-08-19,23.6
2016-08-22,23.05
2016-08-23,22.8
2016-08-24,23.5
2016-08-25,22.9
2016-08-26,22.75
2016-08-29,23.5
2016-08-30,23.25
2016-08-31,23.0
2016-09-01,22.5
2016-09-02,21.8
2016-09-06,22.0
2016-09-07,22.65
2016-09-08,23.95
2016-09-09,23.0
2016-09-12,22.05
2016-09-14,22.45
2016-09-15,22.5
2016-09-16,22.1
2016-09-19,22.4
2016-09-20,22.45
2016-09-21,22.0
2016-09-22,22.75
2016-09-23,22.7
2016-09-26,23.6
2016-09-27,23.0
2016-09-28,22.4
2016-09-29,19.2
2016-09-30,20.6
2016-10-03,22.1
2016-10-04,23.0
2016-10-05,23.05
2016-10-06,22.4
2016-10-07,22.55
2016-10-10,22.15
2016-10-13,22.3
2016-10-14,22.85
2016-10-17,22.75
2016-10-18,23.4
2016-10-19,22.9
2016-10-20,23.55
2016-10-21,23.3
2016-10-24,24.6
2016-10-25,25.75
2016-10-26,25.15
2016-10-27,25.15
2016-10-28,25.55
2016-10-30,25.4
2016-11-01,26.1
2016-11-02,24.85
2016-11-03,24.75
2016-11-04,24.7
2016-11-07,25.95
2016-11-08,25.6
2016-11-09,24.55
2016-11-10,25.5
2016-11-11,22.6
2016-11-15,24.25
2016-11-16,23.75
2016-11-17,22.7
2016-11-18,22.5
2016-11-21,21.85
2016-11-22,20.85
2016-11-23,22.25
2016-11-24,23.05
2016-11-25,23.9
2016-11-28,26.25
2016-11-29,26.8
2016-11-30,28.9
2016-12-01,31.75
2016-12-02,29.35
2016-12-05,30.35
2016-12-06,30.9
2016-12-07,30.25
2016-12-08,35.55
2016-12-09,35.8
2016-12-12,39.25
2016-12-13,36.65
2016-12-14,35.1
2016-12-15,35.75
2016-12-16,35.25
2016-12-19,33.25
2016-12-20,32.35
2016-12-21,32.25
2016-12-22,29.85
2016-12-23,30.1
2016-12-26,30.25
2016-12-27,28.95
2016-12-28,28.8
2016-12-29,31.0
2016-12-30,32.95
