Date,CTE
2016-02-09,132.1
2016-02-10,129.5
2016-02-11,126.95
2016-02-12,124.45
2016-02-15,122.0
2016-02-16,119.6
2016-02-17,117.25
2016-02-18,114.95
2016-02-19,112.7
2016-02-22,110.45
2016-02-23,108.25
2016-02-24,106.1
2016-02-25,104.0
2016-02-26,101.95
2016-02-29,99.95
2016-03-01,98.0
2016-03-02,99.95
2016-03-03,101.9
2016-03-04,102.0
2016-03-08,100.0
2016-03-09,101.35
2016-03-10,103.35
2016-03-11,105.4
2016-03-14,107.5
2016-03-15,109.65
2016-03-16,111.8
2016-03-17,114.0
2016-03-18,116.25
2016-03-21,118.55
2016-03-22,120.9
2016-03-23,120.9
2016-03-28,121.1
2016-03-29,118.7
2016-03-30,116.35
2016-03-31,117.9
2016-04-01,116.35
2016-04-04,116.25
2016-04-05,113.95
2016-04-06,116.2
2016-04-07,116.6
2016-04-08,114.3
2016-04-11,112.05
2016-04-12,109.85
2016-04-13,107.7
2016-04-18,105.55
2016-04-20,103.45
2016-04-21,105.45
2016-04-22,103.35
2016-04-25,101.3
2016-04-26,100.25
2016-04-27,98.25
2016-04-28,96.3
2016-04-29,94.95
2016-05-02,96.8
2016-05-03,98.7
2016-05-04,97.45
2016-05-05,96.7
2016-05-06,96.05
2016-05-09,95.35
2016-05-10,93.45
2016-05-11,91.6
2016-05-12,89.8
2016-05-13,88.3
2016-05-16,86.55
2016-05-17,84.85
2016-05-18,83.2
2016-05-19,81.55
2016-05-20,79.95
2016-05-23,78.4
2016-05-24,79.95
2016-05-25,81.5
2016-05-26,83.1
2016-05-27,84.75
2016-05-30,86.4
2016-05-31,88.1
2016-06-01,89.85
2016-06-02,91.6
2016-06-03,93.4
2016-06-06,95.25
2016-06-07,97.15
2016-06-08,99.05
2016-06-09,100.6
2016-06-10,98.6
2016-06-13,96.65
2016-06-14,94.75
2016-06-15,93.05
2016-06-16,91.2
2016-06-17,91.1
2016-06-20,89.3
2016-06-21,87.55
2016-06-22,87.75
2016-06-23,86.75
2016-06-24,85.05
2016-06-27,84.55
2016-06-28,84.8
2016-06-29,86.45
2016-06-30,88.15
2016-07-01,89.9
2016-07-04,91.65
2016-07-05,93.2
2016-07-07,91.35
2016-07-08,91.3
2016-07-11,90.85
2016-07-12,92.65
2016-07-13,94.5
2016-07-14,92.95
2016-07-15,93.15
2016-07-18,91.3
2016-07-19,92.6
2016-07-20,94.45
2016-07-21,96.3
2016-07-22,98.2
2016-07-25,100.15
2016-07-26,99.25
2016-07-27,97.3
2016-07-28,95.7
2016-07-29,97.6
2016-08-01,99.55
2016-08-02,101.5
2016-08-03,103.5
2016-08-04,105.55
2016-08-05,107.65
2016-08-08,109.8
2016-08-09,111.95
2016-08-10,114.15
2016-08-11,116.4
2016-08-12,118.7
2016-08-16,121.05
2016-08-17,123.45
2016-08-18,125.9
2016-08-19,128.4
2016-08-22,130.95
2016-08-23,133.55
2016-08-24,136.2
2016-08-25,138.9
2016-08-26,136.15
2016-08-29,133.45
2016-08-30,130.8
2016-08-31,128.2
2016-09-01,125.65
2016-09-02,128.15
2016-09-06,127.15
2016-09-07,125.3
2016-09-08,123.6
2016-09-09,121.15
2016-09-12,118.75
2016-09-14,119.35
2016-09-15,120.0
2016-09-16,119.7
2016-09-19,118.75
2016-09-20,116.4
2016-09-21,114.6
2016-09-22,116.85
2016-09-23,119.15
2016-09-26,121.5
2016-09-27,119.95
2016-09-28,121.9
2016-09-29,119.5
2016-09-30,117.15
2016-10-03,117.0
2016-10-04,114.7
2016-10-05,113.0
2016-10-06,110.75
2016-10-07,112.15
2016-10-10,114.35
2016-10-13,116.15
2016-10-14,113.95
2016-10-17,111.95
2016-10-18,112.1
2016-10-19,110.7
2016-10-20,112.9
2016-10-21,115.15
2016-10-24,116.85
2016-10-25,119.15
2016-10-26,118.7
2016-10-27,116.55
2016-10-28,115.4
2016-10-30,117.7
2016-11-01,120.05
2016-11-02,118.65
2016-11-03,120.6
2016-11-04,118.2
2016-11-07,120.45
2016-11-08,120.4
2016-11-09,118.0
2016-11-10,117.2
2016-11-11,114.9
2016-11-15,112.65
2016-11-16,110.4
2016-11-17,108.2
2016-11-18,106.05
2016-11-21,103.95
2016-11-22,101.9
2016-11-23,99.9
2016-11-24,97.95
2016-11-25,96.0
2016-11-28,97.9
2016-11-29,99.05
2016-11-30,98.95
2016-12-01,99.2
2016-12-02,98.0
2016-12-05,99.2
2016-12-06,100.8
2016-12-07,98.9
2016-12-08,100.5
2016-12-09,99.15
2016-12-12,99.15
2016-12-13,101.1
2016-12-14,103.1
2016-12-15,105.15
2016-12-16,105.65
2016-12-19,103.55
2016-12-20,101.5
2016-12-21,99.5
2016-12-22,97.55
2016-12-23,95.6
2016-12-26,94.0
2016-12-27,95.85
2016-12-28,94.0
2016-12-29,92.15
2016-12-30,90.6
