Date,SJVN
2016-01-01,31.5
2016-01-04,31.55
2016-01-05,31.9
2016-01-06,33.2
2016-01-07,32.25
2016-01-08,32.35
2016-01-11,31.25
2016-01-12,31.9
2016-01-13,30.45
2016-01-14,29.75
2016-01-15,28.25
2016-01-18,28.0
2016-01-19,28.9
2016-01-20,28.8
2016-01-21,28.45
2016-01-22,28.7
2016-01-25,28.75
2016-01-27,29.0
2016-01-28,28.9
2016-01-29,28.8
2016-02-01,29.55
2016-02-02,29.25
2016-02-03,28.8
2016-02-04,28.1
2016-02-05,28.1
2016-02-08,28.1
2016-02-09,27.9
2016-02-10,28.0
2016-02-11,27.7
2016-02-12,27.4
2016-02-15,28.25
2016-02-16,27.4
2016-02-17,28.7
2016-02-18,28.6
2016-02-19,28.6
2016-02-22,28.5
2016-02-23,28.55
2016-02-24,28.35
2016-02-25,28.55
2016-02-26,28.55
2016-02-29,28.4
2016-03-01,28.55
2016-03-02,28.75
2016-03-03,29.0
2016-03-04,28.75
2016-03-08,28.2
2016-03-09,30.1
2016-03-10,29.25
2016-03-11,29.0
2016-03-14,28.25
2016-03-15,28.75
2016-03-16,28.8
2016-03-17,28.75
2016-03-18,29.05
2016-03-21,29.1
2016-03-22,29.9
2016-03-23,29.4
2016-03-28,27.55
2016-03-29,28.0
2016-03-30,28.25
2016-03-31,28.65
2016-04-01,28.85
2016-04-04,29.4
2016-04-05,28.5
2016-04-06,28.5
2016-04-07,28.3
2016-04-08,28.75
2016-04-11,28.55
2016-04-12,28.65
2016-04-13,29.05
2016-04-18,29.45
2016-04-20,29.65
2016-04-21,29.1
2016-04-22,29.7
2016-04-25,29.9
2016-04-26,29.45
2016-04-27,28.9
2016-04-28,28.55
2016-04-29,28.45
2016-05-02,28.0
2016-05-03,27.9
2016-05-04,27.65
2016-05-05,27.65
2016-05-06,27.7
2016-05-09,27.95
2016-05-10,28.0
2016-05-11,27.8
2016-05-12,27.85
2016-05-13,27.9
2016-05-16,28.0
2016-05-17,27.65
2016-05-18,27.65
2016-05-19,27.55
2016-05-20,27.55
2016-05-23,27.55
2016-05-24,28.0
2016-05-25,28.1
2016-05-26,28.85
2016-05-27,28.0
2016-05-30,27.85
2016-05-31,27.7
2016-06-01,27.6
2016-06-02,27.85
2016-06-03,27.8
2016-06-06,27.6
2016-06-07,27.65
2016-06-08,27.6
2016-06-09,27.95
2016-06-10,27.7
2016-06-13,27.65
2016-06-14,27.85
2016-06-15,28.0
2016-06-16,28.6
2016-06-17,28.5
2016-06-20,28.55
2016-06-21,28.55
2016-06-22,28.5
2016-06-23,28.5
2016-06-24,28.55
2016-06-27,28.45
2016-06-28,28.45
2016-06-29,28.55
2016-06-30,28.55
2016-07-01,28.85
2016-07-04,29.0
2016-07-05,28.85
2016-07-07,28.95
2016-07-08,28.75
2016-07-11,28.5
2016-07-12,28.55
2016-07-13,28.45
2016-07-14,28.5
2016-07-15,28.45
2016-07-18,28.7
2016-07-19,28.5
2016-07-20,28.45
2016-07-21,28.35
2016-07-22,28.3
2016-07-25,28.35
2016-07-26,27.85
2016-07-27,28.3
2016-07-28,27.95
2016-07-29,27.85
2016-08-01,27.75
2016-08-02,27.7
2016-08-03,27.9
2016-08-04,27.35
2016-08-05,27.6
2016-08-08,27.5
2016-08-09,28.35
2016-08-10,27.9
2016-08-11,28.0
2016-08-12,27.8
2016-08-16,28.0
2016-08-17,27.8
2016-08-18,27.7
2016-08-19,27.9
2016-08-22,27.9
2016-08-23,28.15
2016-08-24,28.5
2016-08-25,28.5
2016-08-26,28.0
2016-08-29,27.75
2016-08-30,28.0
2016-08-31,28.05
2016-09-01,27.9
2016-09-02,27.85
2016-09-06,28.05
2016-09-07,28.05
2016-09-08,28.15
2016-09-09,28.35
2016-09-12,28.35
2016-09-14,28.25
2016-09-15,28.0
2016-09-16,28.0
2016-09-19,28.25
2016-09-20,28.15
2016-09-21,28.05
2016-09-22,28.3
2016-09-23,28.5
2016-09-26,28.9
2016-09-27,29.35
2016-09-28,29.9
2016-09-29,28.7
2016-09-30,29.0
2016-10-03,29.15
2016-10-04,28.95
2016-10-05,28.9
2016-10-06,28.6
2016-10-07,28.5
2016-10-10,28.95
2016-10-13,29.2
2016-10-14,29.15
2016-10-17,29.0
2016-10-18,29.05
2016-10-19,30.0
2016-10-20,30.9
2016-10-21,31.6
2016-10-24,31.6
2016-10-25,32.45
2016-10-26,32.6
2016-10-27,34.0
2016-10-28,33.35
2016-10-30,33.25
2016-11-01,33.8
2016-11-02,32.9
2016-11-03,31.85
2016-11-04,31.3
2016-11-07,30.5
2016-11-08,29.8
2016-11-09,29.4
2016-11-10,30.1
2016-11-11,29.6
2016-11-15,28.55
2016-11-16,29.3
2016-11-17,28.95
2016-11-18,29.8
2016-11-21,30.2
2016-11-22,30.4
2016-11-23,30.15
2016-11-24,30.2
2016-11-25,30.9
2016-11-28,31.0
2016-11-29,31.65
2016-11-30,31.7
2016-12-01,32.5
2016-12-02,32.65
2016-12-05,33.25
2016-12-06,32.0
2016-12-07,31.35
2016-12-08,31.55
2016-12-09,31.15
2016-12-12,30.95
2016-12-13,30.75
2016-12-14,30.55
2016-12-15,30.35
2016-12-16,30.4
2016-12-19,30.2
2016-12-20,29.95
2016-12-21,29.95
2016-12-22,29.75
2016-12-23,29.7
2016-12-26,30.05
2016-12-27,30.1
2016-12-28,30.15
2016-12-29,30.0
2016-12-30,30.0
