Date,MUTHOOTFIN
2016-01-01,178.75
2016-01-04,178.35
2016-01-05,177.45
2016-01-06,177.2
2016-01-07,178.0
2016-01-08,185.8
2016-01-11,185.85
2016-01-12,189.9
2016-01-13,180.35
2016-01-14,185.0
2016-01-15,182.95
2016-01-18,177.05
2016-01-19,176.3
2016-01-20,177.35
2016-01-21,172.4
2016-01-22,175.05
2016-01-25,179.9
2016-01-27,187.0
2016-01-28,186.5
2016-01-29,192.3
2016-02-01,198.0
2016-02-02,194.95
2016-02-03,186.6
2016-02-04,185.15
2016-02-05,183.8
2016-02-08,184.1
2016-02-09,189.35
2016-02-10,186.9
2016-02-11,182.95
2016-02-12,181.2
2016-02-15,185.0
2016-02-16,184.8
2016-02-17,186.3
2016-02-18,187.8
2016-02-19,187.55
2016-02-22,186.4
2016-02-23,183.85
2016-02-24,179.6
2016-02-25,175.8
2016-02-26,179.4
2016-02-29,173.85
2016-03-01,174.9
2016-03-02,174.9
2016-03-03,173.4
2016-03-04,176.2
2016-03-08,176.35
2016-03-09,176.5
2016-03-10,177.5
2016-03-11,176.95
2016-03-14,177.95
2016-03-15,178.6
2016-03-16,176.8
2016-03-17,177.2
2016-03-18,178.0
2016-03-21,177.55
2016-03-22,177.0
2016-03-23,177.95
2016-03-28,173.95
2016-03-29,173.1
2016-03-30,175.2
2016-03-31,178.75
2016-04-01,180.25
2016-04-04,179.9
2016-04-05,178.55
2016-04-06,179.05
2016-04-07,176.75
2016-04-08,178.75
2016-04-11,176.85
2016-04-12,176.5
2016-04-13,183.95
2016-04-18,186.35
2016-04-20,188.4
2016-04-21,193.95
2016-04-22,195.9
2016-04-25,195.05
2016-04-26,199.1
2016-04-27,209.0
2016-04-28,209.25
2016-04-29,203.1
2016-05-02,199.75
2016-05-03,196.1
2016-05-04,194.0
2016-05-05,190.4
2016-05-06,191.85
2016-05-09,215.0
2016-05-10,206.85
2016-05-11,203.8
2016-05-12,203.45
2016-05-13,211.2
2016-05-16,220.55
2016-05-17,223.1
2016-05-18,217.1
2016-05-19,218.8
2016-05-20,213.85
2016-05-23,217.15
2016-05-24,215.6
2016-05-25,209.8
2016-05-26,217.1
2016-05-27,214.65
2016-05-30,233.95
2016-05-31,232.4
2016-06-01,244.4
2016-06-02,242.15
2016-06-03,251.15
2016-06-06,271.35
2016-06-07,273.1
2016-06-08,273.35
2016-06-09,255.55
2016-06-10,255.8
2016-06-13,260.35
2016-06-14,268.3
2016-06-15,269.0
2016-06-16,266.8
2016-06-17,265.8
2016-06-20,259.95
2016-06-21,268.1
2016-06-22,267.55
2016-06-23,269.7
2016-06-24,282.15
2016-06-27,280.35
2016-06-28,279.2
2016-06-29,287.8
2016-06-30,293.05
2016-07-01,287.4
2016-07-04,287.85
2016-07-05,287.1
2016-07-07,278.25
2016-07-08,279.3
2016-07-11,282.45
2016-07-12,281.3
2016-07-13,272.35
2016-07-14,275.1
2016-07-15,275.2
2016-07-18,278.4
2016-07-19,275.85
2016-07-20,278.3
2016-07-21,275.35
2016-07-22,277.55
2016-07-25,279.1
2016-07-26,285.9
2016-07-27,308.8
2016-07-28,319.1
2016-07-29,331.75
2016-08-01,355.45
2016-08-02,362.35
2016-08-03,347.95
2016-08-04,360.15
2016-08-05,352.65
2016-08-08,399.8
2016-08-09,379.75
2016-08-10,391.45
2016-08-11,368.35
2016-08-12,369.05
2016-08-16,365.5
2016-08-17,358.35
2016-08-18,359.35
2016-08-19,349.9
2016-08-22,342.2
2016-08-23,334.35
2016-08-24,336.6
2016-08-25,325.8
2016-08-26,335.55
2016-08-29,339.45
2016-08-30,354.2
2016-08-31,375.75
2016-09-01,363.4
2016-09-02,360.05
2016-09-06,358.2
2016-09-07,368.2
2016-09-08,374.75
2016-09-09,366.4
2016-09-12,349.0
2016-09-14,335.8
2016-09-15,344.85
2016-09-16,342.8
2016-09-19,349.5
2016-09-20,354.1
2016-09-21,363.35
2016-09-22,385.4
2016-09-23,375.0
2016-09-26,368.2
2016-09-27,373.3
2016-09-28,364.3
2016-09-29,341.85
2016-09-30,348.8
2016-10-03,351.1
2016-10-04,349.55
2016-10-05,345.7
2016-10-06,341.25
2016-10-07,338.85
2016-10-10,343.7
2016-10-13,343.0
2016-10-14,350.1
2016-10-17,347.3
2016-10-18,351.5
2016-10-19,344.6
2016-10-20,349.25
2016-10-21,346.1
2016-10-24,365.65
2016-10-25,369.85
2016-10-26,363.3
2016-10-27,356.7
2016-10-28,358.9
2016-10-30,363.55
2016-11-01,361.75
2016-11-02,352.65
2016-11-03,351.1
2016-11-04,343.6
2016-11-07,353.75
2016-11-08,361.85
2016-11-09,358.55
2016-11-10,354.35
2016-11-11,341.45
2016-11-15,322.5
2016-11-16,309.75
2016-11-17,315.85
2016-11-18,301.75
2016-11-21,289.4
2016-11-22,296.25
2016-11-23,296.3
2016-11-24,288.15
2016-11-25,288.35
2016-11-28,285.5
2016-11-29,308.7
2016-11-30,302.95
2016-12-01,301.9
2016-12-02,295.5
2016-12-05,293.2
2016-12-06,298.15
2016-12-07,298.75
2016-12-08,298.9
2016-12-09,303.65
2016-12-12,297.0
2016-12-13,289.7
2016-12-14,278.3
2016-12-15,270.7
2016-12-16,269.95
2016-12-19,267.05
2016-12-20,266.85
2016-12-21,268.1
2016-12-22,271.95
2016-12-23,275.0
2016-12-26,269.65
2016-12-27,272.3
2016-12-28,274.45
2016-12-29,281.9
2016-12-30,282.7
