Date,BOSCHLTD
2016-01-01,19199.1
2016-01-04,18815.65
2016-01-05,18632.7
2016-01-06,18721.75
2016-01-07,18306.95
2016-01-08,18223.6
2016-01-11,18108.4
2016-01-12,18131.85
2016-01-13,18001.85
2016-01-14,18050.45
2016-01-15,17867.5
2016-01-18,17844.0
2016-01-19,18010.9
2016-01-20,17898.8
2016-01-21,17475.6
2016-01-22,17303.9
2016-01-25,17485.85
2016-01-27,17283.8
2016-01-28,16956.05
2016-01-29,17495.95
2016-02-01,17188.4
2016-02-02,17012.8
2016-02-03,16744.45
2016-02-04,16978.85
2016-02-05,16089.1
2016-02-08,16395.25
2016-02-09,16354.35
2016-02-10,16383.8
2016-02-11,16250.0
2016-02-12,15948.3
2016-02-15,16447.15
2016-02-16,16208.1
2016-02-17,16140.85
2016-02-18,16380.4
2016-02-19,16804.0
2016-02-22,17314.7
2016-02-23,16848.1
2016-02-24,16520.2
2016-02-25,16335.1
2016-02-26,16711.15
2016-02-29,16736.5
2016-03-01,17024.95
2016-03-02,16875.85
2016-03-03,17287.85
2016-03-04,17258.15
2016-03-08,17441.25
2016-03-09,17932.95
2016-03-10,17878.1
2016-03-11,18016.3
2016-03-14,17991.0
2016-03-15,18128.55
2016-03-16,18032.45
2016-03-17,18205.75
2016-03-18,18774.1
2016-03-21,19350.75
2016-03-22,20172.6
2016-03-23,20217.5
2016-03-28,20447.05
2016-03-29,20587.2
2016-03-30,20733.2
2016-03-31,20784.5
2016-04-01,19888.55
2016-04-04,20082.1
2016-04-05,19814.1
2016-04-06,19237.95
2016-04-07,18916.15
2016-04-08,18993.35
2016-04-11,19984.3
2016-04-12,19972.5
2016-04-13,20029.05
2016-04-18,20060.65
2016-04-20,19988.05
2016-04-21,19792.85
2016-04-22,19788.0
2016-04-25,19845.15
2016-04-26,20361.05
2016-04-27,20227.4
2016-04-28,19948.9
2016-04-29,19664.0
2016-05-02,19604.45
2016-05-03,19436.3
2016-05-04,19284.85
2016-05-05,19094.45
2016-05-06,19127.95
2016-05-09,19971.0
2016-05-10,19696.8
2016-05-11,20046.1
