Date,KOPRAN
2016-01-01,75.35
2016-01-04,73.15
2016-01-05,76.55
2016-01-06,75.85
2016-01-07,71.55
2016-01-08,72.35
2016-01-11,71.45
2016-01-12,73.4
2016-01-13,66.6
2016-01-14,63.15
2016-01-15,59.45
2016-01-18,52.0
2016-01-19,55.25
2016-01-20,53.1
2016-01-21,53.55
2016-01-22,56.0
2016-01-25,56.95
2016-01-27,56.7
2016-01-28,57.7
2016-01-29,57.95
2016-02-01,60.0
2016-02-02,58.7
2016-02-03,55.0
2016-02-04,53.05
2016-02-05,54.6
2016-02-08,53.9
2016-02-09,54.65
2016-02-10,50.3
2016-02-11,45.8
2016-02-12,43.6
2016-02-15,47.55
2016-02-16,45.55
2016-02-17,44.6
2016-02-18,44.3
2016-02-19,44.9
2016-02-22,45.6
2016-02-23,43.85
2016-02-24,43.25
2016-02-25,42.4
2016-02-26,42.1
2016-02-29,42.05
2016-03-01,44.95
2016-03-02,47.4
2016-03-03,48.9
2016-03-04,53.6
2016-03-08,52.45
2016-03-09,52.8
2016-03-10,53.5
2016-03-11,52.1
2016-03-14,51.25
2016-03-15,50.7
2016-03-16,52.75
2016-03-17,51.7
2016-03-18,50.85
2016-03-21,52.15
2016-03-22,51.6
2016-03-23,51.4
2016-03-28,49.3
2016-03-29,47.95
2016-03-30,49.3
2016-03-31,49.2
2016-04-01,50.5
2016-04-04,51.5
2016-04-05,51.85
2016-04-06,51.9
2016-04-07,52.55
2016-04-08,53.0
2016-04-11,52.3
2016-04-12,52.5
2016-04-13,52.45
2016-04-18,51.8
2016-04-20,52.65
2016-04-21,54.5
2016-04-22,54.8
2016-04-25,53.6
2016-04-26,54.4
2016-04-27,53.55
2016-04-28,52.7
2016-04-29,51.75
2016-05-02,52.2
2016-05-03,51.7
2016-05-04,51.1
2016-05-05,50.85
2016-05-06,52.9
2016-05-09,52.45
2016-05-10,54.1
2016-05-11,53.2
2016-05-12,53.05
2016-05-13,51.95
2016-05-16,51.55
2016-05-17,51.45
2016-05-18,51.85
2016-05-19,50.9
2016-05-20,50.65
2016-05-23,49.95
2016-05-24,52.0
2016-05-25,50.9
2016-05-26,50.85
2016-05-27,51.0
2016-05-30,50.45
2016-05-31,52.3
2016-06-01,52.1
2016-06-02,53.75
2016-06-03,52.45
2016-06-06,52.2
2016-06-07,51.75
2016-06-08,52.0
2016-06-09,52.55
2016-06-10,53.4
2016-06-13,52.9
2016-06-14,52.7
2016-06-15,53.2
2016-06-16,52.55
2016-06-17,52.15
2016-06-20,52.4
2016-06-21,51.95
2016-06-22,51.1
2016-06-23,50.95
2016-06-24,49.6
2016-06-27,52.8
2016-06-28,52.15
2016-06-29,52.2
2016-06-30,52.0
2016-07-01,52.0
2016-07-04,52.4
2016-07-05,53.15
2016-07-07,52.25
2016-07-08,52.7
2016-07-11,52.95
2016-07-12,52.45
2016-07-13,52.6
2016-07-14,52.45
2016-07-15,51.75
2016-07-18,51.3
2016-07-19,50.8
2016-07-20,52.75
2016-07-21,50.8
2016-07-22,52.55
2016-07-25,53.9
2016-07-26,52.3
2016-07-27,52.05
2016-07-28,52.3
2016-07-29,52.55
2016-08-01,51.6
2016-08-02,51.1
2016-08-03,50.95
2016-08-04,50.7
2016-08-05,51.2
2016-08-08,50.85
2016-08-09,50.8
2016-08-10,47.95
2016-08-11,47.8
2016-08-12,45.65
2016-08-16,43.9
2016-08-17,51.85
2016-08-18,51.9
2016-08-19,51.25
2016-08-22,50.5
2016-08-23,51.05
2016-08-24,50.9
2016-08-25,50.0
2016-08-26,49.1
2016-08-29,48.5
2016-08-30,48.7
2016-08-31,48.8
2016-09-01,48.85
2016-09-02,49.45
2016-09-06,49.05
2016-09-07,48.35
2016-09-08,50.1
2016-09-09,56.95
2016-09-12,53.95
2016-09-14,55.05
2016-09-15,54.4
2016-09-16,54.9
2016-09-19,54.35
2016-09-20,53.9
2016-09-21,54.45
2016-09-22,56.1
2016-09-23,55.95
2016-09-26,55.6
2016-09-27,58.8
2016-09-28,60.75
2016-09-29,52.95
2016-09-30,55.85
2016-10-03,57.9
2016-10-04,57.4
2016-10-05,65.75
2016-10-06,61.85
2016-10-07,61.4
2016-10-10,64.5
2016-10-13,61.65
2016-10-14,62.1
2016-10-17,61.05
2016-10-18,62.75
2016-10-19,63.15
2016-10-20,63.3
2016-10-21,63.15
2016-10-24,62.55
2016-10-25,61.55
2016-10-26,61.25
2016-10-27,60.8
2016-10-28,60.6
2016-10-30,60.4
2016-11-01,60.55
2016-11-02,58.15
2016-11-03,57.95
2016-11-04,54.6
2016-11-07,55.4
2016-11-08,54.75
2016-11-09,55.4
2016-11-10,56.1
2016-11-11,52.95
2016-11-15,49.75
2016-11-16,48.35
2016-11-17,48.05
2016-11-18,47.85
2016-11-21,45.0
2016-11-22,43.7
2016-11-23,45.95
2016-11-24,46.25
2016-11-25,47.75
2016-11-28,49.25
2016-11-29,49.05
2016-11-30,52.55
2016-12-01,53.8
2016-12-02,51.35
2016-12-05,51.7
2016-12-06,52.25
2016-12-07,51.9
2016-12-08,52.0
2016-12-09,54.95
2016-12-12,53.05
2016-12-13,52.95
2016-12-14,53.1
2016-12-15,55.15
2016-12-16,53.95
2016-12-19,52.8
2016-12-20,52.1
2016-12-21,52.9
2016-12-22,51.5
2016-12-23,51.55
2016-12-26,49.7
2016-12-27,49.85
2016-12-28,50.7
2016-12-29,51.6
2016-12-30,52.2
