Date,MOLDTKPAC
2016-01-01,316.65
2016-01-04,321.55
2016-01-05,317.45
2016-01-06,311.6
2016-01-07,299.75
2016-01-08,304.2
2016-01-11,301.15
2016-01-12,312.2
2016-01-13,302.2
2016-01-14,299.2
2016-01-15,283.15
2016-01-18,280.0
2016-01-19,280.8
2016-01-20,279.95
2016-01-21,255.45
2016-01-22,272.4
2016-01-25,280.6
2016-01-27,309.1
2016-01-28,305.3
2016-01-29,297.2
2016-02-01,294.9
2016-02-02,292.6
2016-02-03,277.7
2016-02-04,280.35
2016-02-05,269.05
2016-02-08,275.6
2016-02-09,273.0
2016-02-10,256.6
2016-02-11,244.25
2016-02-12,235.5
2016-02-15,249.55
2016-02-16,237.45
2016-02-17,121.2
2016-02-18,124.25
2016-02-19,120.15
2016-02-22,118.1
2016-02-23,110.1
2016-02-24,108.4
2016-02-25,111.55
2016-02-26,107.0
2016-02-29,113.8
2016-03-01,111.6
2016-03-02,114.9
2016-03-03,117.65
2016-03-04,118.7
2016-03-08,132.7
2016-03-09,135.45
2016-03-10,131.8
2016-03-11,126.6
2016-03-14,129.25
2016-03-15,133.9
2016-03-16,140.05
2016-03-17,145.6
2016-03-18,143.1
2016-03-21,142.0
2016-03-22,142.9
2016-03-23,138.6
2016-03-28,139.2
2016-03-29,138.15
2016-03-30,139.6
2016-03-31,140.25
2016-04-01,141.75
2016-04-04,143.5
2016-04-05,143.25
2016-04-06,140.8
2016-04-07,141.6
2016-04-08,143.2
2016-04-11,145.1
2016-04-12,145.15
2016-04-13,143.4
2016-04-18,144.35
2016-04-20,151.0
2016-04-21,150.55
2016-04-22,150.55
2016-04-25,150.15
2016-04-26,150.15
2016-04-27,149.2
2016-04-28,149.15
2016-04-29,148.15
2016-05-02,149.0
2016-05-03,147.55
2016-05-04,152.0
2016-05-05,152.85
2016-05-06,149.75
2016-05-09,150.7
2016-05-10,153.15
2016-05-11,156.65
2016-05-12,163.05
2016-05-13,164.85
2016-05-16,166.5
2016-05-17,165.7
2016-05-18,166.45
2016-05-19,158.45
2016-05-20,157.6
2016-05-23,156.95
2016-05-24,154.0
2016-05-25,148.75
2016-05-26,149.8
2016-05-27,151.4
2016-05-30,154.65
2016-05-31,155.75
2016-06-01,163.6
2016-06-02,162.45
2016-06-03,160.55
2016-06-06,161.65
2016-06-07,164.35
2016-06-08,166.15
2016-06-09,165.75
2016-06-10,162.1
2016-06-13,157.1
2016-06-14,156.7
2016-06-15,169.35
2016-06-16,168.8
2016-06-17,167.4
2016-06-20,166.5
2016-06-21,165.95
2016-06-22,165.9
2016-06-23,165.6
2016-06-24,160.4
2016-06-27,161.1
2016-06-28,161.85
2016-06-29,165.15
2016-06-30,168.4
2016-07-01,175.65
2016-07-04,188.35
2016-07-05,188.2
2016-07-07,189.25
2016-07-08,191.25
2016-07-11,196.5
2016-07-12,196.6
2016-07-13,194.0
2016-07-14,192.6
2016-07-15,189.6
2016-07-18,190.15
2016-07-19,188.45
2016-07-20,187.75
2016-07-21,189.1
2016-07-22,192.5
2016-07-25,199.3
2016-07-26,198.9
2016-07-27,200.05
2016-07-28,200.45
2016-07-29,207.9
2016-08-01,202.25
2016-08-02,201.75
2016-08-03,201.85
2016-08-04,201.7
2016-08-05,202.8
2016-08-08,204.0
2016-08-09,203.65
2016-08-10,199.7
2016-08-11,200.6
2016-08-12,200.8
2016-08-16,200.05
2016-08-17,200.25
2016-08-18,200.4
2016-08-19,199.9
2016-08-22,201.0
2016-08-23,202.25
2016-08-24,210.55
2016-08-25,208.4
2016-08-26,208.4
2016-08-29,211.95
2016-08-30,211.45
2016-08-31,212.95
2016-09-01,212.7
2016-09-02,208.05
2016-09-06,207.95
2016-09-07,205.45
2016-09-08,205.05
2016-09-09,201.6
2016-09-12,198.7
2016-09-14,198.7
2016-09-15,201.55
2016-09-16,198.65
2016-09-19,204.25
2016-09-20,202.9
2016-09-21,203.6
2016-09-22,202.35
2016-09-23,199.65
2016-09-26,196.2
2016-09-27,194.2
2016-09-28,198.85
2016-09-29,187.1
2016-09-30,192.7
2016-10-03,200.35
2016-10-04,197.15
2016-10-05,216.05
2016-10-06,212.7
2016-10-07,212.3
2016-10-10,218.95
2016-10-13,211.8
2016-10-14,212.55
2016-10-17,212.45
2016-10-18,212.65
2016-10-19,217.75
2016-10-20,216.45
2016-10-21,217.2
2016-10-24,223.7
2016-10-25,226.1
2016-10-26,225.6
2016-10-27,216.45
2016-10-28,217.6
2016-10-30,221.0
2016-11-01,226.15
2016-11-02,229.9
2016-11-03,227.85
2016-11-04,221.4
2016-11-07,224.3
2016-11-08,226.2
2016-11-09,222.35
2016-11-10,227.65
2016-11-11,217.3
2016-11-15,199.6
2016-11-16,198.3
2016-11-17,197.3
2016-11-18,193.35
2016-11-21,183.35
2016-11-22,188.75
2016-11-23,201.1
2016-11-24,197.75
2016-11-25,198.45
2016-11-28,195.5
2016-11-29,199.05
2016-11-30,201.05
2016-12-01,200.9
2016-12-02,195.95
2016-12-05,196.85
2016-12-06,195.85
2016-12-07,195.45
2016-12-08,197.65
2016-12-09,196.95
2016-12-12,196.65
2016-12-13,196.0
2016-12-14,196.7
2016-12-15,194.7
2016-12-16,193.05
2016-12-19,191.45
2016-12-20,194.85
2016-12-21,191.6
2016-12-22,187.75
2016-12-23,190.55
2016-12-26,190.0
2016-12-27,189.2
2016-12-28,188.15
2016-12-29,189.4
2016-12-30,192.05
