Date,ALLCARGO
2016-01-01,202.05
2016-01-04,197.5
2016-01-05,192.95
2016-01-06,192.55
2016-01-07,188.65
2016-01-08,187.9
2016-01-11,181.85
2016-01-12,184.3
2016-01-13,188.8
2016-01-14,189.35
2016-01-15,185.35
2016-01-18,173.85
2016-01-19,175.2
2016-01-20,168.95
2016-01-21,175.45
2016-01-22,180.8
2016-01-25,180.35
2016-01-27,184.85
2016-01-28,186.65
2016-01-29,187.5
2016-02-01,190.1
2016-02-02,185.0
2016-02-03,179.45
2016-02-04,180.65
2016-02-05,184.7
2016-02-08,180.0
2016-02-09,177.5
2016-02-10,171.35
2016-02-11,152.3
2016-02-12,160.8
2016-02-15,159.55
2016-02-16,157.25
2016-02-17,154.75
2016-02-18,158.85
2016-02-19,157.05
2016-02-22,152.9
2016-02-23,147.25
2016-02-24,148.65
2016-02-25,147.1
2016-02-26,142.4
2016-02-29,136.7
2016-03-01,148.65
2016-03-02,155.1
2016-03-03,161.75
2016-03-04,159.0
2016-03-08,157.7
2016-03-09,158.2
2016-03-10,157.35
2016-03-11,156.2
2016-03-14,157.4
2016-03-15,158.3
2016-03-16,158.9
2016-03-17,158.3
2016-03-18,157.6
2016-03-21,157.25
2016-03-22,157.6
2016-03-23,155.9
2016-03-28,153.6
2016-03-29,153.35
2016-03-30,153.95
2016-03-31,153.0
2016-04-01,151.8
2016-04-04,154.5
2016-04-05,154.7
2016-04-06,150.6
2016-04-07,152.25
2016-04-08,151.9
2016-04-11,151.9
2016-04-12,152.5
2016-04-13,155.0
2016-04-18,156.65
2016-04-20,162.0
2016-04-21,162.25
2016-04-22,160.65
2016-04-25,157.7
2016-04-26,157.1
2016-04-27,157.35
2016-04-28,153.05
2016-04-29,154.1
2016-05-02,154.55
2016-05-03,153.6
2016-05-04,151.8
2016-05-05,151.95
2016-05-06,150.45
2016-05-09,151.75
2016-05-10,150.35
2016-05-11,147.05
2016-05-12,147.8
2016-05-13,145.6
2016-05-16,146.65
2016-05-17,147.75
2016-05-18,145.6
2016-05-19,152.7
2016-05-20,157.4
2016-05-23,159.2
2016-05-24,155.5
2016-05-25,157.25
2016-05-26,156.5
2016-05-27,155.95
2016-05-30,159.85
2016-05-31,161.15
2016-06-01,164.25
2016-06-02,163.55
2016-06-03,160.6
2016-06-06,161.8
2016-06-07,163.4
2016-06-08,169.7
2016-06-09,171.85
2016-06-10,174.95
2016-06-13,177.4
2016-06-14,166.95
2016-06-15,169.3
2016-06-16,164.25
2016-06-17,162.8
2016-06-20,159.25
2016-06-21,167.0
2016-06-22,175.15
2016-06-23,173.05
2016-06-24,175.25
2016-06-27,179.45
2016-06-28,179.35
2016-06-29,183.35
2016-06-30,182.4
2016-07-01,180.0
2016-07-04,177.55
2016-07-05,177.0
2016-07-07,180.15
2016-07-08,182.35
2016-07-11,184.2
2016-07-12,183.15
2016-07-13,182.9
2016-07-14,192.2
2016-07-15,184.0
2016-07-18,185.3
2016-07-19,183.85
2016-07-20,187.1
2016-07-21,186.75
2016-07-22,190.15
2016-07-25,192.9
2016-07-26,190.2
2016-07-27,190.8
2016-07-28,203.5
2016-07-29,211.35
2016-08-01,212.6
2016-08-02,205.25
2016-08-03,196.0
2016-08-04,189.9
2016-08-05,186.8
2016-08-08,192.1
2016-08-09,187.55
2016-08-10,187.05
2016-08-11,186.65
2016-08-12,188.8
2016-08-16,182.55
2016-08-17,184.8
2016-08-18,184.15
2016-08-19,191.05
2016-08-22,195.7
2016-08-23,190.15
2016-08-24,189.65
2016-08-25,191.5
2016-08-26,189.85
2016-08-29,185.95
2016-08-30,187.3
2016-08-31,184.8
2016-09-01,181.65
2016-09-02,184.4
2016-09-06,188.25
2016-09-07,186.6
2016-09-08,188.35
2016-09-09,192.7
2016-09-12,187.8
2016-09-14,191.9
2016-09-15,190.1
2016-09-16,194.6
2016-09-19,192.85
2016-09-20,192.7
2016-09-21,193.75
2016-09-22,193.7
2016-09-23,193.25
2016-09-26,191.1
2016-09-27,189.95
2016-09-28,190.7
2016-09-29,177.5
2016-09-30,180.6
2016-10-03,187.45
2016-10-04,185.0
2016-10-05,181.85
2016-10-06,180.55
2016-10-07,177.8
2016-10-10,179.2
2016-10-13,175.75
2016-10-14,173.35
2016-10-17,173.7
2016-10-18,179.15
2016-10-19,183.65
2016-10-20,180.75
2016-10-21,178.15
2016-10-24,181.5
2016-10-25,180.65
2016-10-26,183.5
2016-10-27,181.2
2016-10-28,182.1
2016-10-30,188.9
2016-11-01,194.5
2016-11-02,193.15
2016-11-03,195.3
2016-11-04,192.2
2016-11-07,191.6
2016-11-08,185.75
2016-11-09,185.5
2016-11-10,185.75
2016-11-11,185.2
2016-11-15,175.9
2016-11-16,180.8
2016-11-17,170.5
2016-11-18,169.1
2016-11-21,155.65
2016-11-22,155.55
2016-11-23,164.25
2016-11-24,169.15
2016-11-25,171.65
2016-11-28,172.35
2016-11-29,172.3
2016-11-30,177.6
2016-12-01,173.85
2016-12-02,171.1
2016-12-05,163.75
2016-12-06,164.55
2016-12-07,166.3
2016-12-08,168.3
2016-12-09,166.7
2016-12-12,164.3
2016-12-13,165.85
2016-12-14,164.9
2016-12-15,171.65
2016-12-16,171.1
2016-12-19,171.7
2016-12-20,172.25
2016-12-21,170.9
2016-12-22,173.65
2016-12-23,176.95
2016-12-26,173.7
2016-12-27,174.4
2016-12-28,172.5
2016-12-29,176.4
2016-12-30,179.85
