Date,SWELECTES
2016-01-01,477.05
2016-01-04,467.95
2016-01-05,470.2
2016-01-06,465.0
2016-01-07,452.6
2016-01-08,466.95
2016-01-11,455.5
2016-01-12,451.2
2016-01-13,429.05
2016-01-14,416.1
2016-01-15,409.75
2016-01-18,392.45
2016-01-19,403.25
2016-01-20,385.15
2016-01-21,375.9
2016-01-22,390.9
2016-01-25,393.0
2016-01-27,405.0
2016-01-28,408.85
2016-01-29,446.2
2016-02-01,468.25
2016-02-02,438.45
2016-02-03,421.15
2016-02-04,410.75
2016-02-05,409.6
2016-02-08,422.6
2016-02-09,413.65
2016-02-10,413.8
2016-02-11,392.25
2016-02-12,375.85
2016-02-15,404.2
2016-02-16,394.85
2016-02-17,382.25
2016-02-18,383.7
2016-02-19,386.65
2016-02-22,400.15
2016-02-23,399.55
2016-02-24,383.45
2016-02-25,381.4
2016-02-26,377.9
2016-02-29,371.85
2016-03-01,383.5
2016-03-02,386.75
2016-03-03,381.95
2016-03-04,397.05
2016-03-08,403.4
2016-03-09,403.95
2016-03-10,405.45
2016-03-11,411.7
2016-03-14,400.2
2016-03-15,396.55
2016-03-16,389.6
2016-03-17,398.55
2016-03-18,400.0
2016-03-21,392.15
2016-03-22,397.45
2016-03-23,390.1
2016-03-28,387.45
2016-03-29,377.55
2016-03-30,380.55
2016-03-31,389.7
2016-04-01,382.3
2016-04-04,383.95
2016-04-05,390.4
2016-04-06,394.8
2016-04-07,413.25
2016-04-08,423.2
2016-04-11,420.1
2016-04-12,427.0
2016-04-13,445.3
2016-04-18,438.15
2016-04-20,434.45
2016-04-21,414.25
2016-04-22,409.5
2016-04-25,403.4
2016-04-26,416.25
2016-04-27,409.9
2016-04-28,408.85
2016-04-29,405.85
2016-05-02,403.5
2016-05-03,419.35
2016-05-04,431.45
2016-05-05,427.15
2016-05-06,414.0
2016-05-09,414.15
2016-05-10,425.05
2016-05-11,424.0
2016-05-12,420.65
2016-05-13,413.95
2016-05-16,413.45
2016-05-17,415.2
2016-05-18,428.9
2016-05-19,424.25
2016-05-20,427.25
2016-05-23,414.9
2016-05-24,410.75
2016-05-25,415.25
2016-05-26,413.1
2016-05-27,411.95
2016-05-30,409.35
2016-05-31,408.2
2016-06-01,406.45
2016-06-02,405.25
2016-06-03,400.3
2016-06-06,397.45
2016-06-07,394.65
2016-06-08,407.55
2016-06-09,405.4
2016-06-10,405.5
2016-06-13,394.65
2016-06-14,392.75
2016-06-15,394.05
2016-06-16,395.15
2016-06-17,400.45
2016-06-20,399.65
2016-06-21,396.55
2016-06-22,397.85
2016-06-23,395.7
2016-06-24,384.95
2016-06-27,396.15
2016-06-28,395.35
2016-06-29,397.4
2016-06-30,415.05
2016-07-01,416.7
2016-07-04,417.2
2016-07-05,414.0
2016-07-07,415.8
2016-07-08,410.55
2016-07-11,407.25
2016-07-12,407.05
2016-07-13,409.7
2016-07-14,409.2
2016-07-15,406.0
2016-07-18,404.95
2016-07-19,402.4
2016-07-20,397.6
2016-07-21,394.65
2016-07-22,396.75
2016-07-25,397.2
2016-07-26,395.75
2016-07-27,394.9
2016-07-28,403.25
2016-07-29,397.35
2016-08-01,402.25
2016-08-02,397.55
2016-08-03,394.5
2016-08-04,388.95
2016-08-05,397.9
2016-08-08,384.0
2016-08-09,377.4
2016-08-10,380.0
2016-08-11,375.9
2016-08-12,377.1
2016-08-16,376.4
2016-08-17,378.25
2016-08-18,374.65
2016-08-19,377.15
2016-08-22,378.85
2016-08-23,375.65
2016-08-24,375.0
2016-08-25,369.85
2016-08-26,374.3
2016-08-29,376.1
2016-08-30,372.6
2016-08-31,367.65
2016-09-01,367.65
2016-09-02,380.5
2016-09-06,400.55
2016-09-07,400.35
2016-09-08,374.85
2016-09-09,369.95
2016-09-12,364.65
2016-09-14,364.9
2016-09-15,361.25
2016-09-16,358.6
2016-09-19,357.05
2016-09-20,356.25
2016-09-21,354.15
2016-09-22,348.6
2016-09-23,350.2
2016-09-26,350.1
2016-09-27,342.65
2016-09-28,347.0
2016-09-29,331.75
2016-09-30,342.3
2016-10-03,343.8
2016-10-04,350.6
2016-10-05,353.3
2016-10-06,354.4
2016-10-07,348.45
2016-10-10,352.15
2016-10-13,351.5
2016-10-14,350.95
2016-10-17,352.25
2016-10-18,351.55
2016-10-19,356.75
2016-10-20,353.5
2016-10-21,346.9
2016-10-24,345.1
2016-10-25,349.4
2016-10-26,347.2
2016-10-27,349.0
2016-10-28,349.0
2016-10-30,357.65
2016-11-01,360.2
2016-11-02,352.7
2016-11-03,344.9
2016-11-04,340.45
2016-11-07,344.7
2016-11-08,342.6
2016-11-09,336.0
2016-11-10,340.8
2016-11-11,327.85
2016-11-15,321.9
2016-11-16,314.3
2016-11-17,320.35
2016-11-18,315.2
2016-11-21,311.4
2016-11-22,302.5
2016-11-23,315.2
2016-11-24,308.85
2016-11-25,317.1
2016-11-28,325.15
2016-11-29,322.85
2016-11-30,327.75
2016-12-01,331.4
2016-12-02,328.3
2016-12-05,338.35
2016-12-06,352.95
2016-12-07,345.65
2016-12-08,339.2
2016-12-09,336.45
2016-12-12,329.8
2016-12-13,333.75
2016-12-14,333.35
2016-12-15,334.65
2016-12-16,329.7
2016-12-19,326.9
2016-12-20,316.9
2016-12-21,319.15
2016-12-22,317.75
2016-12-23,315.5
2016-12-26,315.8
2016-12-27,318.25
2016-12-28,314.9
2016-12-29,316.45
2016-12-30,317.45
