Date,WILLAMAGOR
2016-01-01,78.55
2016-01-04,76.35
2016-01-05,76.55
2016-01-06,79.95
2016-01-07,76.05
2016-01-08,78.5
2016-01-11,76.95
2016-01-12,75.35
2016-01-13,71.95
2016-01-14,72.9
2016-01-15,68.55
2016-01-18,62.95
2016-01-19,66.9
2016-01-20,62.75
2016-01-21,62.0
2016-01-22,64.2
2016-01-25,63.8
2016-01-27,61.75
2016-01-28,62.4
2016-01-29,64.6
2016-02-01,63.55
2016-02-02,62.8
2016-02-03,62.3
2016-02-04,61.95
2016-02-05,63.3
2016-02-08,62.2
2016-02-09,61.0
2016-02-10,59.85
2016-02-11,56.95
2016-02-12,53.1
2016-02-15,55.55
2016-02-16,53.7
2016-02-17,54.9
2016-02-18,54.35
2016-02-19,55.0
2016-02-22,55.4
2016-02-23,54.0
2016-02-24,54.0
2016-02-25,52.6
2016-02-26,52.85
2016-02-29,54.9
2016-03-01,52.9
2016-03-02,56.05
2016-03-03,58.0
2016-03-04,58.95
2016-03-08,58.0
2016-03-09,57.0
2016-03-10,58.05
2016-03-11,56.4
2016-03-14,56.15
2016-03-15,55.4
2016-03-16,55.8
2016-03-17,57.75
2016-03-18,55.95
2016-03-21,55.7
2016-03-22,57.8
2016-03-23,57.9
2016-03-28,56.6
2016-03-29,59.2
2016-03-30,58.9
2016-03-31,60.05
2016-04-01,62.25
2016-04-04,61.45
2016-04-05,59.45
2016-04-06,60.45
2016-04-07,59.8
2016-04-08,59.85
2016-04-11,59.9
2016-04-12,60.0
2016-04-13,60.05
2016-04-18,60.85
2016-04-20,61.55
2016-04-21,59.9
2016-04-22,60.8
2016-04-25,60.75
2016-04-26,60.35
2016-04-27,60.4
2016-04-28,59.55
2016-04-29,60.0
2016-05-02,59.45
2016-05-03,59.6
2016-05-04,59.25
2016-05-05,59.75
2016-05-06,59.45
2016-05-09,59.0
2016-05-10,60.0
2016-05-11,59.55
2016-05-12,60.45
2016-05-13,60.0
2016-05-16,59.1
2016-05-17,60.0
2016-05-18,60.35
2016-05-19,60.0
2016-05-20,59.0
2016-05-23,59.1
2016-05-24,60.0
2016-05-25,59.1
2016-05-26,58.45
2016-05-27,58.1
2016-05-30,58.25
2016-05-31,56.5
2016-06-01,56.9
2016-06-02,59.05
2016-06-03,56.25
2016-06-06,56.9
2016-06-07,57.7
2016-06-08,58.05
2016-06-09,58.05
2016-06-10,58.5
2016-06-13,66.25
2016-06-14,65.25
2016-06-15,63.35
2016-06-16,64.25
2016-06-17,62.85
2016-06-20,61.3
2016-06-21,61.2
2016-06-22,63.5
2016-06-23,63.85
2016-06-24,61.95
2016-06-27,62.7
2016-06-28,64.35
2016-06-29,63.6
2016-06-30,62.65
2016-07-01,67.75
2016-07-04,65.55
2016-07-05,64.7
2016-07-07,67.35
2016-07-08,66.15
2016-07-11,66.2
2016-07-12,67.7
2016-07-13,65.4
2016-07-14,66.25
2016-07-15,66.1
2016-07-18,65.4
2016-07-19,66.0
2016-07-20,65.5
2016-07-21,65.85
2016-07-22,64.7
2016-07-25,65.7
2016-07-26,65.7
2016-07-27,64.95
2016-07-28,65.0
2016-07-29,63.75
2016-08-01,63.15
2016-08-02,61.75
2016-08-03,60.55
2016-08-04,60.0
2016-08-05,61.75
2016-08-08,60.7
2016-08-09,61.25
2016-08-10,59.4
2016-08-11,59.65
2016-08-12,58.65
2016-08-16,57.05
2016-08-17,58.7
2016-08-18,59.7
2016-08-19,59.9
2016-08-22,59.3
2016-08-23,58.75
2016-08-24,65.55
2016-08-25,63.45
2016-08-26,63.1
2016-08-29,63.0
2016-08-30,63.85
2016-08-31,63.0
2016-09-01,62.35
2016-09-02,62.1
2016-09-06,61.1
2016-09-07,61.55
2016-09-08,61.45
2016-09-09,64.0
2016-09-12,61.55
2016-09-14,62.8
2016-09-15,61.65
2016-09-16,61.5
2016-09-19,62.15
2016-09-20,61.8
2016-09-21,61.6
2016-09-22,61.4
2016-09-23,60.65
2016-09-26,60.5
2016-09-27,61.35
2016-09-28,60.15
2016-09-29,57.8
2016-09-30,58.15
2016-10-03,59.55
2016-10-04,60.0
2016-10-05,61.7
2016-10-06,61.25
2016-10-07,61.7
2016-10-10,61.0
2016-10-13,59.5
2016-10-14,61.35
2016-10-17,62.55
2016-10-18,61.0
2016-10-19,59.0
2016-10-20,60.9
2016-10-21,60.35
2016-10-24,60.0
2016-10-25,58.65
2016-10-26,58.65
2016-10-27,59.15
2016-10-28,59.95
2016-10-30,59.45
2016-11-01,59.0
2016-11-02,59.2
2016-11-03,58.15
2016-11-04,57.9
2016-11-07,57.5
2016-11-08,59.25
2016-11-09,57.05
2016-11-10,58.05
2016-11-11,56.05
2016-11-15,56.2
2016-11-16,54.95
2016-11-17,52.65
2016-11-18,54.0
2016-11-21,50.8
2016-11-22,51.8
2016-11-23,50.8
2016-11-24,51.35
2016-11-25,52.65
2016-11-28,53.9
2016-11-29,52.75
2016-11-30,55.3
2016-12-01,55.0
2016-12-02,54.0
2016-12-05,54.65
2016-12-06,54.0
2016-12-07,54.3
2016-12-09,54.9
2016-12-12,55.4
2016-12-13,53.7
2016-12-14,52.55
2016-12-15,53.55
2016-12-16,52.1
2016-12-19,53.1
2016-12-20,52.25
2016-12-21,57.4
2016-12-22,54.65
2016-12-23,57.95
2016-12-26,54.5
2016-12-27,53.9
2016-12-28,54.0
2016-12-29,53.85
2016-12-30,54.35
