Date,SAKHTISUG
2016-01-01,34.1
2016-01-04,36.05
2016-01-05,36.7
2016-01-06,37.6
2016-01-07,33.95
2016-01-08,38.25
2016-01-11,39.5
2016-01-12,38.15
2016-01-13,37.25
2016-01-14,37.0
2016-01-15,33.1
2016-01-18,28.5
2016-01-19,31.1
2016-01-20,29.25
2016-01-21,28.8
2016-01-22,29.9
2016-01-25,31.1
2016-01-27,31.05
2016-01-28,30.5
2016-01-29,30.35
2016-02-01,31.8
2016-02-02,30.95
2016-02-03,29.0
2016-02-04,27.75
2016-02-05,28.35
2016-02-08,28.4
2016-02-09,26.85
2016-02-10,23.6
2016-02-11,21.8
2016-02-12,21.7
2016-02-15,23.65
2016-02-16,22.25
2016-02-17,23.45
2016-02-18,23.35
2016-02-19,23.0
2016-02-22,23.7
2016-02-23,23.25
2016-02-24,24.55
2016-02-25,24.65
2016-02-26,25.05
2016-02-29,23.55
2016-03-01,24.7
2016-03-02,24.8
2016-03-03,25.35
2016-03-04,29.4
2016-03-08,31.3
2016-03-09,31.75
2016-03-10,30.6
2016-03-11,29.35
2016-03-14,30.55
2016-03-15,36.35
2016-03-16,34.9
2016-03-17,34.15
2016-03-18,35.0
2016-03-21,34.7
2016-03-22,35.95
2016-03-23,35.3
2016-03-28,33.8
2016-03-29,32.85
2016-03-30,37.4
2016-03-31,36.6
2016-04-01,39.05
2016-04-04,40.75
2016-04-05,40.35
2016-04-06,43.25
2016-04-07,43.2
2016-04-08,42.85
2016-04-11,41.0
2016-04-12,38.4
2016-04-13,38.35
2016-04-18,40.55
2016-04-20,38.4
2016-04-21,39.0
2016-04-22,39.1
2016-04-25,39.0
2016-04-26,38.8
2016-04-27,38.5
2016-04-28,36.55
2016-04-29,39.05
2016-05-02,39.3
2016-05-03,37.1
2016-05-04,35.0
2016-05-05,36.25
2016-05-06,36.95
2016-05-09,37.3
2016-05-10,36.8
2016-05-11,37.55
2016-05-12,37.85
2016-05-13,36.95
2016-05-16,38.9
2016-05-17,36.85
2016-05-18,37.0
2016-05-19,36.1
2016-05-20,34.1
2016-05-23,33.45
2016-05-24,32.05
2016-05-25,32.95
2016-05-26,33.95
2016-05-27,33.95
2016-05-30,34.1
2016-05-31,32.45
2016-06-01,33.6
2016-06-02,34.6
2016-06-03,35.2
2016-06-06,36.5
2016-06-07,35.65
2016-06-08,36.3
2016-06-09,36.0
2016-06-10,38.5
2016-06-13,42.0
2016-06-14,42.7
2016-06-15,51.15
2016-06-16,49.75
2016-06-17,45.05
2016-06-20,45.5
2016-06-21,44.35
2016-06-22,41.75
2016-06-23,42.35
2016-06-24,40.6
2016-06-27,44.65
2016-06-28,47.0
2016-06-29,47.15
2016-06-30,47.45
2016-07-01,47.65
2016-07-04,48.0
2016-07-05,45.9
2016-07-07,51.5
2016-07-08,49.3
2016-07-11,48.2
2016-07-12,48.85
2016-07-13,47.65
2016-07-14,48.8
2016-07-15,47.05
2016-07-18,46.1
2016-07-19,46.25
2016-07-20,47.4
2016-07-21,46.1
2016-07-22,46.2
2016-07-25,46.85
2016-07-26,45.6
2016-07-27,46.2
2016-07-28,45.5
2016-07-29,48.0
2016-08-01,46.9
2016-08-02,46.6
2016-08-03,45.3
2016-08-04,45.15
2016-08-05,43.9
2016-08-08,42.8
2016-08-09,40.65
2016-08-10,39.45
2016-08-11,37.1
2016-08-12,40.65
2016-08-16,38.3
2016-08-17,35.25
2016-08-18,42.05
2016-08-19,42.5
2016-08-22,41.55
2016-08-23,40.6
2016-08-24,40.65
2016-08-25,39.85
2016-08-26,39.75
2016-08-29,38.7
2016-08-30,38.45
2016-08-31,40.1
2016-09-01,39.35
2016-09-02,38.8
2016-09-06,38.95
2016-09-07,39.15
2016-09-08,38.75
2016-09-09,39.95
2016-09-12,38.6
2016-09-14,38.65
2016-09-15,38.8
2016-09-16,40.05
2016-09-19,42.05
2016-09-20,41.4
2016-09-21,40.35
2016-09-22,41.2
2016-09-23,40.1
2016-09-26,38.95
2016-09-27,38.9
2016-09-28,39.05
2016-09-29,35.85
2016-09-30,37.1
2016-10-03,38.1
2016-10-04,38.2
2016-10-05,39.4
2016-10-06,38.85
2016-10-07,39.65
2016-10-10,39.85
2016-10-13,38.8
2016-10-14,38.35
2016-10-17,38.1
2016-10-18,38.15
2016-10-19,38.35
2016-10-20,38.05
2016-10-21,38.0
2016-10-24,37.45
2016-10-25,37.0
2016-10-26,36.1
2016-10-27,36.05
2016-10-28,36.05
2016-10-30,36.25
2016-11-01,36.05
2016-11-02,35.35
2016-11-03,36.5
2016-11-04,34.7
2016-11-07,37.9
2016-11-08,36.85
2016-11-09,35.55
2016-11-10,37.4
2016-11-11,36.65
2016-11-15,32.35
2016-11-16,29.9
2016-11-17,28.8
2016-11-18,31.55
2016-11-21,31.05
2016-11-22,30.5
2016-11-23,33.75
2016-11-24,32.95
2016-11-25,35.4
2016-11-28,36.95
2016-11-29,36.4
2016-11-30,36.4
2016-12-01,36.95
2016-12-02,35.5
2016-12-05,34.85
2016-12-06,34.8
2016-12-07,33.7
2016-12-08,34.1
2016-12-09,34.05
2016-12-12,33.9
2016-12-13,34.25
2016-12-14,33.45
2016-12-15,33.15
2016-12-16,32.55
2016-12-19,32.7
2016-12-20,32.15
2016-12-21,32.0
2016-12-22,30.8
2016-12-23,33.2
2016-12-26,31.9
2016-12-27,32.5
2016-12-28,32.65
2016-12-29,33.05
2016-12-30,35.85
