Date,NHPC
2016-01-01,21.2
2016-01-04,21.5
2016-01-05,22.0
2016-01-06,21.85
2016-01-07,20.6
2016-01-08,21.1
2016-01-11,20.75
2016-01-12,20.6
2016-01-13,20.1
2016-01-14,20.15
2016-01-15,19.5
2016-01-18,19.15
2016-01-19,19.35
2016-01-20,18.8
2016-01-21,19.05
2016-01-22,19.55
2016-01-25,19.45
2016-01-27,19.95
2016-01-28,20.1
2016-01-29,20.95
2016-02-01,20.85
2016-02-02,20.6
2016-02-03,20.0
2016-02-04,20.0
2016-02-05,20.45
2016-02-08,20.6
2016-02-09,20.65
2016-02-10,21.25
2016-02-11,19.9
2016-02-12,19.9
2016-02-15,20.45
2016-02-16,20.15
2016-02-17,20.05
2016-02-18,19.9
2016-02-19,20.05
2016-02-22,20.45
2016-02-23,20.45
2016-02-24,20.15
2016-02-25,19.45
2016-02-26,19.7
2016-02-29,20.1
2016-03-01,20.45
2016-03-02,20.8
2016-03-03,21.05
2016-03-04,20.95
2016-03-08,20.9
2016-03-09,21.45
2016-03-10,21.25
2016-03-11,21.0
2016-03-14,21.25
2016-03-15,21.25
2016-03-16,21.8
2016-03-17,21.5
2016-03-18,22.25
2016-03-21,22.35
2016-03-22,22.15
2016-03-23,22.1
2016-03-28,21.8
2016-03-29,21.9
2016-03-30,22.9
2016-03-31,24.15
2016-04-01,24.05
2016-04-04,24.1
2016-04-05,22.8
2016-04-06,23.2
2016-04-07,23.0
2016-04-08,23.3
2016-04-11,23.8
2016-04-12,23.75
2016-04-13,23.9
2016-04-18,23.8
2016-04-20,23.5
2016-04-21,23.15
2016-04-22,23.05
2016-04-25,22.8
2016-04-26,23.1
2016-04-27,21.55
2016-04-28,21.1
2016-04-29,20.65
2016-05-02,21.05
2016-05-03,20.7
2016-05-04,20.5
2016-05-05,20.85
2016-05-06,21.2
2016-05-09,21.1
2016-05-10,21.2
2016-05-11,21.5
2016-05-12,21.4
2016-05-13,21.35
2016-05-16,21.4
2016-05-17,21.45
2016-05-18,21.65
2016-05-19,21.4
2016-05-20,21.65
2016-05-23,21.8
2016-05-24,22.05
2016-05-25,22.3
2016-05-26,22.65
2016-05-27,23.1
2016-05-30,22.75
2016-05-31,23.3
2016-06-01,24.05
2016-06-02,24.65
2016-06-03,24.7
2016-06-06,23.95
2016-06-07,24.1
2016-06-08,24.45
2016-06-09,24.25
2016-06-10,24.15
2016-06-13,24.2
2016-06-14,24.7
2016-06-15,24.65
2016-06-16,25.05
2016-06-17,25.3
2016-06-20,24.95
2016-06-21,24.9
2016-06-22,24.6
2016-06-23,24.4
2016-06-24,24.05
2016-06-27,24.4
2016-06-28,24.9
2016-06-29,25.0
2016-06-30,25.2
2016-07-01,24.95
2016-07-04,25.75
2016-07-05,25.55
2016-07-07,25.2
2016-07-08,25.1
2016-07-11,25.35
2016-07-12,25.6
2016-07-13,25.25
2016-07-14,25.45
2016-07-15,25.2
2016-07-18,25.3
2016-07-19,25.0
2016-07-20,25.1
2016-07-21,25.15
2016-07-22,25.45
2016-07-25,25.25
2016-07-26,25.35
2016-07-27,25.1
2016-07-28,25.2
2016-07-29,25.3
2016-08-01,25.1
2016-08-02,24.9
2016-08-03,24.45
2016-08-04,24.5
2016-08-05,24.95
2016-08-08,24.95
2016-08-09,25.55
2016-08-10,25.9
2016-08-11,26.4
2016-08-12,26.15
2016-08-16,27.0
2016-08-17,27.25
2016-08-18,27.3
2016-08-19,27.4
2016-08-22,27.4
2016-08-23,27.5
2016-08-24,27.55
2016-08-25,27.7
2016-08-26,27.3
2016-08-29,27.25
2016-08-30,27.75
2016-08-31,28.15
2016-09-01,27.8
2016-09-02,28.0
2016-09-06,27.7
2016-09-07,27.1
2016-09-08,26.7
2016-09-09,26.2
2016-09-12,25.65
2016-09-14,26.75
2016-09-15,26.5
2016-09-16,26.8
2016-09-19,26.95
2016-09-20,26.35
2016-09-21,26.5
2016-09-22,26.85
2016-09-23,26.0
2016-09-26,25.4
2016-09-27,25.55
2016-09-28,25.45
2016-09-29,24.35
2016-09-30,25.0
2016-10-03,25.65
2016-10-04,25.75
2016-10-05,25.85
2016-10-06,25.75
2016-10-07,25.6
2016-10-10,25.4
2016-10-13,25.6
2016-10-14,25.5
2016-10-17,25.05
2016-10-18,25.35
2016-10-19,25.65
2016-10-20,25.7
2016-10-21,25.85
2016-10-24,25.85
2016-10-25,25.9
2016-10-26,25.75
2016-10-27,25.7
2016-10-28,26.8
2016-10-30,26.75
2016-11-01,26.55
2016-11-02,26.35
2016-11-03,26.35
2016-11-04,26.35
2016-11-07,26.2
2016-11-08,26.1
2016-11-09,25.3
2016-11-10,26.45
2016-11-11,25.35
2016-11-15,24.6
2016-11-16,24.35
2016-11-17,25.2
2016-11-18,26.25
2016-11-21,25.6
2016-11-22,25.4
2016-11-23,26.05
2016-11-24,26.35
2016-11-25,27.1
2016-11-28,27.9
2016-11-29,27.55
2016-11-30,28.05
2016-12-01,27.25
2016-12-02,27.5
2016-12-05,27.25
2016-12-06,27.25
2016-12-07,27.25
2016-12-08,27.4
2016-12-09,27.45
2016-12-12,27.3
2016-12-13,27.0
2016-12-14,26.7
2016-12-15,26.85
2016-12-16,27.05
2016-12-19,26.95
2016-12-20,26.95
2016-12-21,27.1
2016-12-22,26.1
2016-12-23,26.2
2016-12-26,25.9
2016-12-27,26.35
2016-12-28,26.35
2016-12-29,26.55
2016-12-30,26.45
