Date,RELCNX100
2016-01-01,82.0
2016-01-04,82.33
2016-01-05,81.19
2016-01-06,78.5
2016-01-08,78.0
2016-01-11,78.8
2016-01-12,78.8
2016-01-13,78.81
2016-01-15,78.61
2016-01-18,74.89
2016-01-19,75.91
2016-01-20,75.35
2016-01-21,74.15
2016-01-22,76.95
2016-01-25,77.68
2016-01-27,77.35
2016-01-29,74.48
2016-02-01,76.7
2016-02-02,75.9
2016-02-03,75.14
2016-02-04,75.52
2016-02-09,75.5
2016-02-10,75.21
2016-02-11,77.75
2016-02-12,72.42
2016-02-15,74.43
2016-02-17,71.05
2016-02-18,74.6
2016-02-19,74.41
2016-02-22,74.91
2016-02-25,72.7
2016-03-01,73.53
2016-03-03,76.88
2016-03-04,77.6
2016-03-08,76.0
2016-03-09,78.16
2016-03-10,77.8
2016-03-14,76.63
2016-03-15,77.99
2016-03-16,76.8
2016-03-18,78.15
2016-03-21,79.88
2016-03-22,80.0
2016-03-23,79.9
2016-03-28,77.41
2016-03-29,78.85
2016-03-30,78.61
2016-03-31,80.5
2016-04-04,82.0
2016-04-07,78.83
2016-04-08,78.36
2016-04-11,78.23
2016-04-12,78.59
2016-04-13,80.03
2016-04-18,81.89
2016-04-20,80.75
2016-04-21,80.48
2016-04-22,80.63
2016-04-25,80.1
2016-04-26,81.94
2016-04-27,81.67
2016-04-28,81.24
2016-04-29,79.0
2016-05-02,80.27
2016-05-03,80.72
2016-05-06,79.23
2016-05-09,81.39
2016-05-10,81.25
2016-05-11,81.24
2016-05-12,81.04
2016-05-16,80.11
2016-05-17,81.32
2016-05-18,80.77
2016-05-19,81.01
2016-05-23,79.63
2016-05-24,79.34
2016-05-25,81.07
2016-05-27,83.4
2016-05-30,84.14
2016-05-31,83.59
2016-06-01,83.98
2016-06-03,84.45
2016-06-06,84.81
2016-06-07,84.82
2016-06-08,84.65
2016-06-09,84.1
2016-06-10,84.65
2016-06-13,83.22
2016-06-14,83.22
2016-06-15,83.9
2016-06-16,83.38
2016-06-20,84.47
2016-06-21,84.37
2016-06-22,84.5
2016-06-23,84.94
2016-06-24,83.04
2016-06-27,83.51
2016-06-28,83.62
2016-06-29,84.91
2016-06-30,85.49
2016-07-01,86.43
2016-07-04,86.41
2016-07-05,86.54
2016-07-07,86.13
2016-07-08,85.9
2016-07-11,87.32
2016-07-12,87.8
2016-07-13,87.72
2016-07-14,88.41
2016-07-15,88.37
2016-07-18,87.86
2016-07-19,88.56
2016-07-20,88.85
2016-07-21,88.34
2016-07-22,88.52
2016-07-25,89.15
2016-07-26,89.55
2016-07-27,89.55
2016-07-28,89.44
2016-07-29,89.81
2016-08-01,89.61
2016-08-02,89.5
2016-08-03,89.5
2016-08-04,89.12
2016-08-05,89.7
2016-08-08,90.49
2016-08-09,90.11
2016-08-10,89.35
2016-08-12,90.02
2016-08-16,89.54
2016-08-17,90.0
2016-08-18,90.06
2016-08-19,90.11
2016-08-22,89.46
2016-08-23,89.23
2016-08-24,89.11
2016-08-25,88.34
2016-08-26,88.84
2016-08-29,90.65
2016-08-30,90.17
2016-08-31,91.17
2016-09-01,91.07
2016-09-02,91.05
2016-09-06,92.78
2016-09-07,92.38
2016-09-08,93.15
2016-09-09,92.16
2016-09-12,90.76
2016-09-14,90.97
2016-09-15,90.63
2016-09-16,91.75
2016-09-19,91.38
2016-09-20,91.84
2016-09-21,91.55
2016-09-23,91.82
2016-09-26,90.81
2016-09-27,91.39
2016-09-28,90.77
2016-09-29,89.77
2016-09-30,89.33
2016-10-03,91.15
2016-10-04,91.75
2016-10-05,91.47
2016-10-06,92.37
2016-10-07,90.88
2016-10-10,91.03
2016-10-13,89.5
2016-10-14,90.21
2016-10-17,89.31
2016-10-18,91.35
2016-10-19,90.77
2016-10-20,91.68
2016-10-25,90.8
2016-10-26,90.3
2016-10-27,90.8
2016-10-28,91.06
2016-10-30,87.21
2016-11-01,90.28
2016-11-02,89.39
2016-11-03,89.02
2016-11-04,88.0
2016-11-07,89.03
2016-11-08,89.45
2016-11-09,86.87
2016-11-10,89.99
2016-11-11,86.35
2016-11-15,85.14
2016-11-16,85.18
2016-11-17,84.57
2016-11-21,84.14
2016-11-22,83.35
2016-11-23,83.59
2016-11-25,84.26
2016-11-28,84.75
2016-11-29,85.97
2016-11-30,86.03
2016-12-01,86.54
2016-12-05,85.1
2016-12-06,86.03
2016-12-07,85.28
2016-12-12,85.64
2016-12-14,85.5
2016-12-15,86.28
2016-12-16,84.92
2016-12-20,85.11
2016-12-21,84.5
2016-12-22,83.94
2016-12-26,82.74
2016-12-28,84.07
2016-12-29,84.36
2016-12-30,84.97
