Date,SHAKTIPUMP
2016-01-01,162.15
2016-01-04,159.0
2016-01-05,164.1
2016-01-06,165.85
2016-01-07,164.1
2016-01-08,162.75
2016-01-11,161.65
2016-01-12,155.7
2016-01-13,151.35
2016-01-14,152.45
2016-01-15,145.6
2016-01-18,144.95
2016-01-19,148.9
2016-01-20,146.5
2016-01-21,147.65
2016-01-22,145.4
2016-01-25,146.4
2016-01-27,143.1
2016-01-28,140.55
2016-01-29,138.9
2016-02-01,138.0
2016-02-02,138.25
2016-02-03,134.1
2016-02-04,133.95
2016-02-05,128.5
2016-02-08,131.65
2016-02-09,128.65
2016-02-10,123.8
2016-02-11,116.6
2016-02-12,115.35
2016-02-15,109.7
2016-02-16,102.55
2016-02-17,100.1
2016-02-18,102.95
2016-02-19,100.25
2016-02-22,105.2
2016-02-23,102.2
2016-02-24,98.1
2016-02-25,96.55
2016-02-26,96.45
2016-02-29,108.45
2016-03-01,126.45
2016-03-02,151.4
2016-03-03,147.2
2016-03-04,153.7
2016-03-08,149.55
2016-03-09,146.6
2016-03-10,145.9
2016-03-11,148.05
2016-03-14,145.95
2016-03-15,140.95
2016-03-16,139.5
2016-03-17,140.95
2016-03-18,135.55
2016-03-21,133.25
2016-03-22,138.0
2016-03-23,136.9
2016-03-28,137.7
2016-03-29,142.45
2016-03-30,146.45
2016-03-31,147.3
2016-04-01,148.4
2016-04-04,148.9
2016-04-05,147.75
2016-04-06,164.1
2016-04-07,166.65
2016-04-08,169.55
2016-04-11,170.4
2016-04-12,176.05
2016-04-13,176.4
2016-04-18,173.1
2016-04-20,172.5
2016-04-21,163.55
2016-04-22,163.95
2016-04-25,161.9
2016-04-26,172.6
2016-04-27,174.2
2016-04-28,170.35
2016-04-29,166.45
2016-05-02,164.75
2016-05-03,172.6
2016-05-04,166.95
2016-05-05,162.95
2016-05-06,161.5
2016-05-09,161.1
2016-05-10,169.7
2016-05-11,167.9
2016-05-12,168.45
2016-05-13,165.05
2016-05-16,166.55
2016-05-17,163.65
2016-05-18,162.7
2016-05-19,160.55
2016-05-20,157.3
2016-05-23,156.8
2016-05-24,156.6
2016-05-25,157.75
2016-05-26,158.3
2016-05-27,157.35
2016-05-30,161.55
2016-05-31,157.6
2016-06-01,160.05
2016-06-02,157.9
2016-06-03,156.0
2016-06-06,154.15
2016-06-07,153.35
2016-06-08,157.85
2016-06-09,157.0
2016-06-10,154.65
2016-06-13,156.2
2016-06-14,159.2
2016-06-15,158.6
2016-06-16,158.4
2016-06-17,155.3
2016-06-20,156.25
2016-06-21,156.55
2016-06-22,154.45
2016-06-23,153.65
2016-06-24,149.85
2016-06-27,151.85
2016-06-28,150.55
2016-06-29,153.25
2016-06-30,160.65
2016-07-01,159.35
2016-07-04,167.55
2016-07-05,162.25
2016-07-07,160.4
2016-07-08,162.2
2016-07-11,160.15
2016-07-12,157.7
2016-07-13,155.9
2016-07-14,157.35
2016-07-15,154.65
2016-07-18,153.95
2016-07-19,152.7
2016-07-20,154.7
2016-07-21,152.85
2016-07-22,154.1
2016-07-25,156.15
2016-07-26,152.6
2016-07-27,149.1
2016-07-28,146.65
2016-07-29,140.6
2016-08-01,137.05
2016-08-02,136.9
2016-08-03,133.95
2016-08-04,137.6
2016-08-05,135.4
2016-08-08,133.8
2016-08-09,133.0
2016-08-10,131.45
2016-08-11,128.35
2016-08-12,131.65
2016-08-16,132.4
2016-08-17,140.0
2016-08-18,141.1
2016-08-19,141.95
2016-08-22,139.4
2016-08-23,139.1
2016-08-24,141.6
2016-08-25,139.6
2016-08-26,138.65
2016-08-29,142.2
2016-08-30,140.8
2016-08-31,139.0
2016-09-01,141.0
2016-09-02,141.05
2016-09-06,139.75
2016-09-07,138.2
2016-09-08,138.3
2016-09-09,138.2
2016-09-12,136.0
2016-09-14,135.85
2016-09-15,135.95
2016-09-16,130.7
2016-09-19,131.6
2016-09-20,131.1
2016-09-21,130.9
2016-09-22,134.1
2016-09-23,131.45
2016-09-26,129.15
2016-09-27,127.8
2016-09-28,129.95
2016-09-29,124.95
2016-09-30,127.05
2016-10-03,128.55
2016-10-04,128.4
2016-10-05,131.9
2016-10-06,130.95
2016-10-07,130.55
2016-10-10,128.8
2016-10-13,126.5
2016-10-14,125.95
2016-10-17,123.8
2016-10-18,126.4
2016-10-19,128.25
2016-10-20,133.2
2016-10-21,133.15
2016-10-24,134.5
2016-10-25,134.7
2016-10-26,143.0
2016-10-27,144.75
2016-10-28,139.25
2016-10-30,141.95
2016-11-01,136.6
2016-11-02,133.5
2016-11-03,131.85
2016-11-04,129.2
2016-11-07,130.65
2016-11-08,129.65
2016-11-09,129.75
2016-11-10,133.15
2016-11-11,128.6
2016-11-15,121.2
2016-11-16,118.05
2016-11-17,123.15
2016-11-18,128.3
2016-11-21,125.45
2016-11-22,127.0
2016-11-23,129.65
2016-11-24,126.15
2016-11-25,126.0
2016-11-28,127.15
2016-11-29,130.15
2016-11-30,129.6
2016-12-01,128.1
2016-12-02,125.55
2016-12-05,124.8
2016-12-06,130.9
2016-12-07,144.3
2016-12-08,142.25
2016-12-09,137.8
2016-12-12,136.1
2016-12-13,136.5
2016-12-14,133.6
2016-12-15,136.3
2016-12-16,146.9
2016-12-19,141.75
2016-12-20,138.45
2016-12-21,135.6
2016-12-22,133.95
2016-12-23,133.2
2016-12-26,130.75
2016-12-27,134.35
2016-12-28,137.65
2016-12-29,139.0
2016-12-30,139.45
