Date,GAIL
2016-01-01,369.75
2016-01-04,359.8
2016-01-05,372.25
2016-01-06,372.7
2016-01-07,370.6
2016-01-08,373.2
2016-01-11,369.3
2016-01-12,365.85
2016-01-13,362.9
2016-01-14,357.55
2016-01-15,335.85
2016-01-18,339.45
2016-01-19,342.95
2016-01-20,338.7
2016-01-21,340.5
2016-01-22,366.95
2016-01-25,356.7
2016-01-27,358.3
2016-01-28,361.0
2016-01-29,368.6
2016-02-01,368.15
2016-02-02,361.7
2016-02-03,360.1
2016-02-04,355.0
2016-02-05,342.55
2016-02-08,343.55
2016-02-09,348.6
2016-02-10,346.05
2016-02-11,332.1
2016-02-12,324.95
2016-02-15,334.15
2016-02-16,322.55
2016-02-17,324.15
2016-02-18,323.4
2016-02-19,325.85
2016-02-22,321.4
2016-02-23,317.0
2016-02-24,313.75
2016-02-25,305.05
2016-02-26,304.1
2016-02-29,305.15
2016-03-01,321.1
2016-03-02,324.4
2016-03-03,339.75
2016-03-04,341.0
2016-03-08,349.6
2016-03-09,349.55
2016-03-10,341.65
2016-03-11,339.45
2016-03-14,343.15
2016-03-15,340.65
2016-03-16,339.7
2016-03-17,353.3
2016-03-18,364.35
2016-03-21,363.4
2016-03-22,361.05
2016-03-23,356.1
2016-03-28,357.75
2016-03-29,347.8
2016-03-30,359.45
2016-03-31,356.4
2016-04-01,347.7
2016-04-04,348.2
2016-04-05,339.55
2016-04-06,341.4
2016-04-07,341.05
2016-04-08,347.35
2016-04-11,351.95
2016-04-12,366.35
2016-04-13,369.55
2016-04-18,359.45
2016-04-20,367.65
2016-04-21,369.4
2016-04-22,366.7
2016-04-25,360.15
2016-04-26,363.0
2016-04-27,373.2
2016-04-28,363.2
2016-04-29,360.35
2016-05-02,367.6
2016-05-03,364.3
2016-05-04,365.95
2016-05-05,365.75
2016-05-06,383.85
2016-05-09,385.95
2016-05-10,391.5
2016-05-11,387.0
2016-05-12,387.85
2016-05-13,379.6
2016-05-16,377.35
2016-05-17,383.9
2016-05-18,382.35
2016-05-19,372.4
2016-05-20,371.55
2016-05-23,370.75
2016-05-24,370.9
2016-05-25,381.55
2016-05-26,380.2
2016-05-27,379.3
2016-05-30,379.85
2016-05-31,370.45
2016-06-01,372.5
2016-06-02,375.7
2016-06-03,370.25
2016-06-06,374.45
2016-06-07,374.45
2016-06-08,374.7
2016-06-09,375.95
2016-06-10,368.95
2016-06-13,371.45
2016-06-14,373.1
2016-06-15,377.25
2016-06-16,382.35
2016-06-17,387.25
2016-06-20,386.05
2016-06-21,382.55
2016-06-22,374.8
2016-06-23,375.55
2016-06-24,377.15
2016-06-27,379.95
2016-06-28,376.9
2016-06-29,385.25
2016-06-30,385.15
2016-07-01,395.35
2016-07-04,396.8
2016-07-05,386.55
2016-07-07,384.8
2016-07-08,375.5
2016-07-11,378.65
2016-07-12,378.25
2016-07-13,391.85
2016-07-14,396.1
2016-07-15,393.75
2016-07-18,386.15
2016-07-19,385.75
2016-07-20,395.4
2016-07-21,390.8
2016-07-22,394.75
2016-07-25,391.65
2016-07-26,385.6
2016-07-27,384.85
2016-07-28,383.8
2016-07-29,381.75
2016-08-01,380.0
2016-08-02,376.25
2016-08-03,372.4
2016-08-04,373.9
2016-08-05,382.55
2016-08-08,381.95
2016-08-09,379.25
2016-08-10,373.95
2016-08-11,370.9
2016-08-12,374.15
2016-08-16,371.5
2016-08-17,368.1
2016-08-18,365.5
2016-08-19,363.85
2016-08-22,364.3
2016-08-23,366.95
2016-08-24,365.55
2016-08-25,373.1
2016-08-26,378.6
2016-08-29,378.2
2016-08-30,386.7
2016-08-31,383.9
2016-09-01,391.75
2016-09-02,395.75
2016-09-06,403.2
2016-09-07,395.95
2016-09-08,388.75
2016-09-09,395.0
2016-09-12,386.5
2016-09-14,386.0
2016-09-15,385.45
2016-09-16,388.4
2016-09-19,388.45
2016-09-20,385.05
2016-09-21,387.2
2016-09-22,390.05
2016-09-23,386.1
2016-09-26,376.75
2016-09-27,373.05
2016-09-28,375.45
2016-09-29,363.45
2016-09-30,374.65
2016-10-03,385.85
2016-10-04,402.45
2016-10-05,400.4
2016-10-06,414.45
2016-10-07,414.05
2016-10-10,419.1
2016-10-13,413.7
2016-10-14,430.4
2016-10-17,427.85
2016-10-18,429.0
2016-10-19,436.05
2016-10-20,439.35
2016-10-21,439.95
2016-10-24,444.05
2016-10-25,435.05
2016-10-26,432.5
2016-10-27,435.4
2016-10-28,433.4
2016-10-30,431.9
2016-11-01,432.35
2016-11-02,427.95
2016-11-03,428.05
2016-11-04,424.0
2016-11-07,426.35
2016-11-08,439.1
2016-11-09,446.5
2016-11-10,449.25
2016-11-11,438.25
2016-11-15,435.9
2016-11-16,428.3
2016-11-17,434.95
2016-11-18,427.0
2016-11-21,420.85
2016-11-22,414.55
2016-11-23,412.35
2016-11-24,402.55
2016-11-25,417.2
2016-11-28,417.5
2016-11-29,428.0
2016-11-30,424.75
2016-12-01,439.65
2016-12-02,432.9
2016-12-05,427.45
2016-12-06,431.4
2016-12-07,427.55
2016-12-08,429.9
2016-12-09,429.35
2016-12-12,429.1
2016-12-13,424.9
2016-12-14,419.1
2016-12-15,416.95
2016-12-16,415.1
2016-12-19,425.85
2016-12-20,429.85
2016-12-21,430.15
2016-12-22,425.95
2016-12-23,431.55
2016-12-26,428.5
2016-12-27,424.05
2016-12-28,424.65
2016-12-29,425.55
2016-12-30,439.2
