Date,ELECTHERM
2016-01-01,51.6
2016-01-04,50.9
2016-01-05,54.05
2016-01-06,51.35
2016-01-07,48.3
2016-01-08,50.15
2016-01-11,50.45
2016-01-12,47.9
2016-01-13,45.15
2016-01-14,45.55
2016-01-15,44.1
2016-01-18,38.6
2016-01-19,41.0
2016-01-20,40.4
2016-01-21,41.05
2016-01-22,42.1
2016-01-25,44.05
2016-01-27,44.55
2016-01-28,45.05
2016-01-29,46.25
2016-02-01,47.1
2016-02-02,45.5
2016-02-03,45.4
2016-02-04,45.2
2016-02-05,47.0
2016-02-08,45.25
2016-02-09,45.25
2016-02-10,45.7
2016-02-11,44.15
2016-02-12,43.35
2016-02-15,48.0
2016-02-16,48.25
2016-02-17,46.55
2016-02-18,45.2
2016-02-19,47.5
2016-02-22,45.7
2016-02-23,45.25
2016-02-24,43.2
2016-02-25,46.3
2016-02-26,47.0
2016-02-29,47.25
2016-03-01,48.3
2016-03-02,49.0
2016-03-03,47.55
2016-03-04,45.45
2016-03-08,45.05
2016-03-09,45.45
2016-03-10,46.7
2016-03-11,46.5
2016-03-14,48.0
2016-03-15,46.35
2016-03-16,47.0
2016-03-17,46.9
2016-03-18,46.95
2016-03-21,47.55
2016-03-22,47.1
2016-03-23,46.95
2016-03-28,48.0
2016-03-29,46.0
2016-03-30,47.3
2016-03-31,47.2
2016-04-01,47.4
2016-04-04,49.0
2016-04-05,50.15
2016-04-06,49.1
2016-04-07,51.75
2016-04-08,52.5
2016-04-11,63.0
2016-04-12,75.6
2016-04-13,74.6
2016-04-18,82.05
2016-04-20,90.25
2016-04-21,87.35
2016-04-22,84.3
2016-04-25,80.9
2016-04-26,78.65
2016-04-27,76.85
2016-04-28,73.15
2016-04-29,69.0
2016-05-02,72.25
2016-05-03,79.45
2016-05-04,81.45
2016-05-05,77.4
2016-05-06,78.8
2016-05-09,76.95
2016-05-10,73.35
2016-05-11,68.6
2016-05-12,68.3
2016-05-13,66.65
2016-05-16,64.25
2016-05-17,63.5
2016-05-18,66.65
2016-05-19,63.15
2016-05-20,61.7
2016-05-23,59.3
2016-05-24,58.35
2016-05-25,58.8
2016-05-26,58.55
2016-05-27,58.8
2016-05-30,58.25
2016-05-31,54.3
2016-06-01,58.15
2016-06-02,56.0
2016-06-03,55.25
2016-06-06,54.2
2016-06-07,54.0
2016-06-08,53.3
2016-06-09,63.95
2016-06-10,76.7
2016-06-13,82.65
2016-06-14,85.25
2016-06-15,93.55
2016-06-16,84.35
2016-06-17,78.65
2016-06-20,79.2
2016-06-21,78.45
2016-06-22,73.85
2016-06-23,75.6
2016-06-24,72.5
2016-06-27,71.65
2016-06-28,72.25
2016-06-29,75.85
2016-06-30,78.7
2016-07-01,77.0
2016-07-04,73.25
2016-07-05,76.9
2016-07-07,80.7
2016-07-08,76.7
2016-07-11,76.7
2016-07-12,73.8
2016-07-13,73.2
2016-07-14,71.7
2016-07-15,71.55
2016-07-18,72.45
2016-07-19,73.4
2016-07-20,72.95
2016-07-21,72.8
2016-07-22,73.25
2016-07-25,75.55
2016-07-26,75.5
2016-07-27,74.05
2016-07-28,76.55
2016-07-29,75.45
2016-08-01,76.9
2016-08-02,77.35
2016-08-03,77.5
2016-08-04,75.95
2016-08-05,83.5
2016-08-08,91.85
2016-08-09,101.0
2016-08-10,105.05
2016-08-11,110.25
2016-08-12,113.2
2016-08-16,109.7
2016-08-17,109.35
2016-08-18,106.65
2016-08-19,105.25
2016-08-22,105.3
2016-08-23,105.1
2016-08-24,110.35
2016-08-25,115.85
2016-08-26,121.6
2016-08-29,127.65
2016-08-30,134.0
2016-08-31,140.7
2016-09-01,147.7
2016-09-02,155.05
2016-09-06,162.8
2016-09-07,170.9
2016-09-08,179.4
2016-09-09,170.45
2016-09-12,161.95
2016-09-14,153.9
2016-09-15,146.25
2016-09-16,153.55
2016-09-19,161.2
2016-09-20,168.3
2016-09-21,172.05
2016-09-22,175.3
2016-09-23,171.6
2016-09-26,165.0
2016-09-27,160.6
2016-09-28,165.15
2016-09-29,156.9
2016-09-30,155.9
2016-10-03,161.6
2016-10-04,159.4
2016-10-05,167.35
2016-10-06,175.7
2016-10-07,180.1
2016-10-10,181.0
2016-10-13,179.55
2016-10-14,182.7
2016-10-17,183.55
2016-10-18,185.65
2016-10-19,183.75
2016-10-20,184.45
2016-10-21,192.35
2016-10-24,211.55
2016-10-25,232.7
2016-10-26,244.3
2016-10-27,241.75
2016-10-28,233.1
2016-10-30,237.05
2016-11-01,240.45
2016-11-02,234.8
2016-11-03,229.55
2016-11-04,218.1
2016-11-07,207.85
2016-11-08,209.0
2016-11-09,198.65
2016-11-10,208.55
2016-11-11,198.15
2016-11-15,188.25
2016-11-16,179.8
2016-11-17,170.85
2016-11-18,162.9
2016-11-21,154.8
2016-11-22,147.1
2016-11-23,154.4
2016-11-24,161.45
2016-11-25,169.5
2016-11-28,177.95
2016-11-29,186.8
2016-11-30,196.1
2016-12-01,190.6
2016-12-02,182.05
2016-12-05,178.35
2016-12-06,187.25
2016-12-07,189.4
2016-12-08,190.15
2016-12-09,185.7
2016-12-12,179.1
2016-12-13,182.9
2016-12-14,186.5
2016-12-15,187.95
2016-12-16,185.75
2016-12-19,184.5
2016-12-20,182.0
2016-12-21,184.7
2016-12-22,182.6
2016-12-23,180.25
2016-12-26,179.8
2016-12-27,188.2
2016-12-28,192.85
2016-12-29,188.15
2016-12-30,197.55
