Date,RELCAPITAL
2016-01-01,463.25
2016-01-04,451.7
2016-01-05,461.3
2016-01-06,450.1
2016-01-07,418.25
2016-01-08,425.85
2016-01-11,429.85
2016-01-12,423.3
2016-01-13,415.05
2016-01-14,410.9
2016-01-15,373.25
2016-01-18,346.85
2016-01-19,371.55
2016-01-20,366.55
2016-01-21,362.4
2016-01-22,379.2
2016-01-25,372.3
2016-01-27,377.3
2016-01-28,375.7
2016-01-29,384.45
2016-02-01,371.75
2016-02-02,357.85
2016-02-03,343.2
2016-02-04,331.3
2016-02-05,351.85
2016-02-08,348.8
2016-02-09,343.9
2016-02-10,340.85
2016-02-11,315.1
2016-02-12,321.15
2016-02-15,340.45
2016-02-16,325.95
2016-02-17,334.85
2016-02-18,333.4
2016-02-19,336.5
2016-02-22,339.15
2016-02-23,327.55
2016-02-24,323.6
2016-02-25,322.5
2016-02-26,325.35
2016-02-29,322.0
2016-03-01,334.55
2016-03-02,348.75
2016-03-03,364.7
2016-03-04,364.1
2016-03-08,360.1
2016-03-09,376.75
2016-03-10,371.3
2016-03-11,369.15
2016-03-14,366.35
2016-03-15,367.95
2016-03-16,363.15
2016-03-17,364.1
2016-03-18,367.35
2016-03-21,373.45
2016-03-22,378.3
2016-03-23,376.05
2016-03-28,360.55
2016-03-29,360.9
2016-03-30,369.85
2016-03-31,368.35
2016-04-01,377.6
2016-04-04,384.55
2016-04-05,365.8
2016-04-06,368.25
2016-04-07,367.1
2016-04-08,373.15
2016-04-11,385.5
2016-04-12,391.0
2016-04-13,392.05
2016-04-18,386.45
2016-04-20,383.1
2016-04-21,389.85
2016-04-22,400.85
2016-04-25,401.35
2016-04-26,408.2
2016-04-27,403.9
2016-04-28,394.55
2016-04-29,404.55
2016-05-02,402.55
2016-05-03,396.65
2016-05-04,380.8
2016-05-05,382.55
2016-05-06,383.95
2016-05-09,409.6
2016-05-10,410.0
2016-05-11,405.9
2016-05-12,408.2
2016-05-13,394.95
2016-05-16,404.6
2016-05-17,405.65
2016-05-18,405.7
2016-05-19,392.75
2016-05-20,389.9
2016-05-23,387.95
2016-05-24,385.45
2016-05-25,396.45
2016-05-26,401.55
2016-05-27,414.0
2016-05-30,414.3
2016-05-31,410.9
2016-06-01,402.6
2016-06-02,404.75
2016-06-03,401.5
2016-06-06,405.5
2016-06-07,411.25
2016-06-08,410.2
2016-06-09,406.8
2016-06-10,403.5
2016-06-13,393.95
2016-06-14,398.15
2016-06-15,400.05
2016-06-16,394.2
2016-06-17,395.7
2016-06-20,402.15
2016-06-21,399.5
2016-06-22,393.25
2016-06-23,394.1
2016-06-24,376.45
2016-06-27,382.45
2016-06-28,386.25
2016-06-29,391.2
2016-06-30,399.75
2016-07-01,398.25
2016-07-04,401.8
2016-07-05,409.85
2016-07-07,407.7
2016-07-08,403.45
2016-07-11,412.4
2016-07-12,416.9
2016-07-13,410.05
2016-07-14,414.25
2016-07-15,406.35
2016-07-18,405.1
2016-07-19,402.9
2016-07-20,405.7
2016-07-21,399.95
2016-07-22,408.4
2016-07-25,424.5
2016-07-26,428.55
2016-07-27,431.45
2016-07-28,439.3
2016-07-29,448.1
2016-08-01,446.85
2016-08-02,435.6
2016-08-03,429.0
2016-08-04,433.5
2016-08-05,440.0
2016-08-08,442.6
2016-08-09,438.45
2016-08-10,423.4
2016-08-11,435.8
2016-08-12,437.25
2016-08-16,459.25
2016-08-17,456.15
2016-08-18,465.95
2016-08-19,468.0
2016-08-22,467.0
2016-08-23,473.65
2016-08-24,488.3
2016-08-25,492.3
2016-08-26,502.85
2016-08-29,530.25
2016-08-30,528.5
2016-08-31,531.8
2016-09-01,525.55
2016-09-02,544.65
2016-09-06,559.45
2016-09-07,560.75
2016-09-08,561.25
2016-09-09,563.95
2016-09-12,533.4
2016-09-14,579.7
2016-09-15,562.25
2016-09-16,553.95
2016-09-19,569.75
2016-09-20,560.4
2016-09-21,556.05
2016-09-22,575.7
2016-09-23,581.7
2016-09-26,565.55
2016-09-27,556.7
2016-09-28,565.85
2016-09-29,530.8
2016-09-30,546.9
2016-10-03,570.7
2016-10-04,567.25
2016-10-05,577.8
2016-10-06,570.55
2016-10-07,576.8
2016-10-10,579.15
2016-10-13,553.5
2016-10-14,553.2
2016-10-17,539.45
2016-10-18,551.1
2016-10-19,543.35
2016-10-20,544.75
2016-10-21,543.9
2016-10-24,547.7
2016-10-25,541.25
2016-10-26,525.5
2016-10-27,516.7
2016-10-28,519.75
2016-10-30,518.2
2016-11-01,520.7
2016-11-02,507.2
2016-11-03,504.0
2016-11-04,494.95
2016-11-07,507.3
2016-11-08,506.95
2016-11-09,477.55
2016-11-10,498.65
2016-11-11,468.35
2016-11-15,443.5
2016-11-16,436.55
2016-11-17,434.35
2016-11-18,435.15
2016-11-21,416.35
2016-11-22,419.9
2016-11-23,438.35
2016-11-24,423.15
2016-11-25,430.1
2016-11-28,427.7
2016-11-29,430.0
2016-11-30,439.35
2016-12-01,433.45
2016-12-02,422.15
2016-12-05,427.4
2016-12-06,429.0
2016-12-07,424.2
2016-12-08,436.85
2016-12-09,442.0
2016-12-12,433.4
2016-12-13,435.7
2016-12-14,430.8
2016-12-15,444.8
2016-12-16,443.65
2016-12-19,456.9
2016-12-20,450.1
2016-12-21,455.15
2016-12-22,440.85
2016-12-23,437.55
2016-12-26,411.2
2016-12-27,418.8
2016-12-28,416.9
2016-12-29,424.4
2016-12-30,431.15
