Date,KAYA
2016-01-01,1156.4
2016-01-04,1131.55
2016-01-05,1157.3
2016-01-06,1180.0
2016-01-07,1117.1
2016-01-08,1140.25
2016-01-11,1144.15
2016-01-12,1120.5
2016-01-13,1099.05
2016-01-14,1060.85
2016-01-15,1040.45
2016-01-18,1049.3
2016-01-19,1014.05
2016-01-20,953.85
2016-01-21,955.05
2016-01-22,992.4
2016-01-25,1019.75
2016-01-27,1016.9
2016-01-28,1009.2
2016-01-29,1000.85
2016-02-01,1007.35
2016-02-02,994.05
2016-02-03,981.9
2016-02-04,989.45
2016-02-05,972.75
2016-02-08,969.75
2016-02-09,931.15
2016-02-10,889.3
2016-02-11,859.1
2016-02-12,813.2
2016-02-15,834.6
2016-02-16,824.75
2016-02-17,804.1
2016-02-18,815.2
2016-02-19,820.35
2016-02-22,816.4
2016-02-23,815.2
2016-02-24,806.9
2016-02-25,810.2
2016-02-26,805.05
2016-02-29,803.15
2016-03-01,840.2
2016-03-02,860.0
2016-03-03,869.8
2016-03-04,863.25
2016-03-08,843.0
2016-03-09,849.05
2016-03-10,835.6
2016-03-11,825.85
2016-03-14,832.5
2016-03-15,834.75
2016-03-16,848.65
2016-03-17,899.7
2016-03-18,905.8
2016-03-21,921.9
2016-03-22,913.85
2016-03-23,896.85
2016-03-28,853.55
2016-03-29,833.85
2016-03-30,858.1
2016-03-31,860.05
2016-04-01,859.15
2016-04-04,856.25
2016-04-05,872.45
2016-04-06,852.45
2016-04-07,850.6
2016-04-08,867.25
2016-04-11,857.35
2016-04-12,869.3
2016-04-13,868.3
2016-04-18,925.7
2016-04-20,925.2
2016-04-21,903.7
2016-04-22,894.35
2016-04-25,911.9
2016-04-26,911.35
2016-04-27,909.05
2016-04-28,876.4
2016-04-29,868.25
2016-05-02,887.25
2016-05-03,875.6
2016-05-04,850.15
2016-05-05,831.6
2016-05-06,833.15
2016-05-09,831.25
2016-05-10,843.05
2016-05-11,829.3
2016-05-12,843.35
2016-05-13,830.05
2016-05-16,838.4
2016-05-17,865.9
2016-05-18,984.35
2016-05-19,920.9
2016-05-20,909.05
2016-05-23,921.0
2016-05-24,918.9
2016-05-25,917.8
2016-05-26,889.35
2016-05-27,847.3
2016-05-30,845.65
2016-05-31,832.95
2016-06-01,830.45
2016-06-02,832.6
2016-06-03,804.95
2016-06-06,822.95
2016-06-07,832.4
2016-06-08,827.5
2016-06-09,820.55
2016-06-10,815.1
2016-06-13,813.35
2016-06-14,813.65
2016-06-15,806.7
2016-06-16,828.65
2016-06-17,840.25
2016-06-20,844.25
2016-06-21,867.1
2016-06-22,860.5
2016-06-23,854.5
2016-06-24,844.9
2016-06-27,836.95
2016-06-28,856.7
2016-06-29,867.25
2016-06-30,871.65
2016-07-01,878.05
2016-07-04,870.35
2016-07-05,888.1
2016-07-07,875.45
2016-07-08,859.7
2016-07-11,860.0
2016-07-12,877.5
2016-07-13,862.25
2016-07-14,858.6
2016-07-15,842.5
2016-07-18,845.95
2016-07-19,837.95
2016-07-20,840.8
2016-07-21,832.8
2016-07-22,855.65
2016-07-25,828.3
2016-07-26,837.15
2016-07-27,835.95
2016-07-28,836.55
2016-07-29,813.6
2016-08-01,812.65
2016-08-02,797.9
2016-08-03,792.35
2016-08-04,784.4
2016-08-05,776.65
2016-08-08,786.7
2016-08-09,759.55
2016-08-10,748.85
2016-08-11,726.3
2016-08-12,711.45
2016-08-16,713.3
2016-08-17,710.45
2016-08-18,731.45
2016-08-19,737.6
2016-08-22,736.6
2016-08-23,747.4
2016-08-24,711.1
2016-08-25,712.1
2016-08-26,721.9
2016-08-29,711.35
2016-08-30,712.45
2016-08-31,730.75
2016-09-01,731.0
2016-09-02,727.4
2016-09-06,717.4
2016-09-07,710.45
2016-09-08,710.95
2016-09-09,759.0
2016-09-12,730.4
2016-09-14,771.15
2016-09-15,788.55
2016-09-16,803.05
2016-09-19,796.0
2016-09-20,805.2
2016-09-21,800.25
2016-09-22,799.95
2016-09-23,802.05
2016-09-26,816.0
2016-09-27,820.7
2016-09-28,820.45
2016-09-29,794.95
2016-09-30,819.45
2016-10-03,828.3
2016-10-04,837.1
2016-10-05,832.85
2016-10-06,830.55
2016-10-07,852.8
2016-10-10,862.45
2016-10-13,851.6
2016-10-14,871.4
2016-10-17,878.1
2016-10-18,869.1
2016-10-19,879.6
2016-10-20,885.4
2016-10-21,909.35
2016-10-24,911.35
2016-10-25,904.05
2016-10-26,891.65
2016-10-27,889.35
2016-10-28,868.0
2016-10-30,876.95
2016-11-01,858.25
2016-11-02,850.3
2016-11-03,845.15
2016-11-04,819.55
2016-11-07,831.3
2016-11-08,820.95
2016-11-09,794.9
2016-11-10,806.25
2016-11-11,782.1
2016-11-15,722.7
2016-11-16,742.75
2016-11-17,743.3
2016-11-18,749.8
2016-11-21,720.1
2016-11-22,702.65
2016-11-23,709.7
2016-11-24,716.65
2016-11-25,727.2
2016-11-28,731.25
2016-11-29,732.5
2016-11-30,731.4
2016-12-01,718.15
2016-12-02,708.0
2016-12-05,714.3
2016-12-06,714.1
2016-12-07,710.05
2016-12-08,702.1
2016-12-09,720.85
2016-12-12,713.7
2016-12-13,708.65
2016-12-14,700.55
2016-12-15,700.85
2016-12-16,693.25
2016-12-19,667.7
2016-12-20,668.2
2016-12-21,661.1
2016-12-22,665.7
2016-12-23,675.45
2016-12-26,663.45
2016-12-27,679.05
2016-12-28,721.85
2016-12-29,707.55
2016-12-30,707.5
