Date,V2RETAIL
2016-01-01,68.25
2016-01-04,66.75
2016-01-05,67.0
2016-01-06,66.75
2016-01-07,63.3
2016-01-08,63.7
2016-01-11,63.3
2016-01-12,61.0
2016-01-13,57.25
2016-01-14,57.0
2016-01-15,53.15
2016-01-18,48.45
2016-01-19,48.05
2016-01-20,45.6
2016-01-21,45.1
2016-01-22,51.65
2016-01-25,52.95
2016-01-27,59.45
2016-01-28,60.5
2016-01-29,59.05
2016-02-01,58.0
2016-02-02,55.55
2016-02-03,52.6
2016-02-04,54.7
2016-02-05,51.8
2016-02-08,58.9
2016-02-09,57.55
2016-02-10,54.4
2016-02-11,49.1
2016-02-12,48.45
2016-02-15,51.45
2016-02-16,47.25
2016-02-17,46.55
2016-02-18,48.5
2016-02-19,46.6
2016-02-22,46.65
2016-02-23,46.75
2016-02-24,44.75
2016-02-25,44.25
2016-02-26,43.7
2016-02-29,42.3
2016-03-01,44.85
2016-03-02,49.4
2016-03-03,51.55
2016-03-04,51.05
2016-03-08,50.15
2016-03-09,50.1
2016-03-10,50.75
2016-03-11,49.05
2016-03-14,50.2
2016-03-15,47.65
2016-03-16,47.8
2016-03-17,47.25
2016-03-18,47.0
2016-03-21,46.6
2016-03-22,46.3
2016-03-23,45.35
2016-03-28,43.35
2016-03-29,48.6
2016-03-30,47.4
2016-03-31,48.05
2016-04-01,50.35
2016-04-04,50.15
2016-04-05,47.05
2016-04-06,49.1
2016-04-07,48.55
2016-04-08,49.35
2016-04-11,52.15
2016-04-12,52.75
2016-04-13,52.75
2016-04-18,52.65
2016-04-20,52.05
2016-04-21,51.45
2016-04-22,50.2
2016-04-25,53.65
2016-04-26,52.35
2016-04-27,52.1
2016-04-28,51.45
2016-04-29,50.2
2016-05-02,51.35
2016-05-03,51.1
2016-05-04,50.8
2016-05-05,51.15
2016-05-06,50.3
2016-05-09,47.8
2016-05-10,47.65
2016-05-11,48.15
2016-05-12,47.95
2016-05-13,53.4
2016-05-16,63.05
2016-05-17,60.15
2016-05-18,64.75
2016-05-19,70.65
2016-05-20,66.35
2016-05-23,69.8
2016-05-24,68.0
2016-05-25,66.6
2016-05-26,62.0
2016-05-27,62.9
2016-05-30,56.65
2016-05-31,53.2
2016-06-01,55.2
2016-06-02,52.95
2016-06-03,53.2
2016-06-06,52.0
2016-06-07,53.35
2016-06-08,53.25
2016-06-09,52.2
2016-06-10,51.4
2016-06-13,50.7
2016-06-14,52.15
2016-06-15,51.35
2016-06-16,50.9
2016-06-17,51.85
2016-06-20,54.2
2016-06-21,56.1
2016-06-22,55.0
2016-06-23,55.4
2016-06-24,53.65
2016-06-27,54.95
2016-06-28,55.7
2016-06-29,58.45
2016-06-30,56.55
2016-07-01,62.2
2016-07-04,65.25
2016-07-05,62.5
2016-07-07,63.95
2016-07-08,62.65
2016-07-11,61.6
2016-07-12,61.2
2016-07-13,60.7
2016-07-14,62.8
2016-07-15,61.25
2016-07-18,60.55
2016-07-19,60.15
2016-07-20,60.05
2016-07-21,60.0
2016-07-22,60.2
2016-07-25,60.4
2016-07-26,63.0
2016-07-27,62.35
2016-07-28,63.55
2016-07-29,62.15
2016-08-01,61.1
2016-08-02,61.65
2016-08-03,59.05
2016-08-04,59.0
2016-08-05,63.65
2016-08-08,63.45
2016-08-09,64.05
2016-08-10,66.5
2016-08-11,66.1
2016-08-12,66.35
2016-08-16,63.2
2016-08-17,64.1
2016-08-18,63.65
2016-08-19,63.3
2016-08-22,62.9
2016-08-23,67.9
2016-08-24,70.9
2016-08-25,84.6
2016-08-26,95.15
2016-08-29,86.35
2016-08-30,91.9
2016-08-31,88.2
2016-09-01,91.75
2016-09-02,96.45
2016-09-06,101.25
2016-09-07,99.3
2016-09-08,99.35
2016-09-09,94.95
2016-09-12,91.9
2016-09-14,93.2
2016-09-15,94.35
2016-09-16,98.4
2016-09-19,98.15
2016-09-20,96.4
2016-09-21,95.65
2016-09-22,97.5
2016-09-23,107.2
2016-09-26,117.9
2016-09-27,120.7
2016-09-28,119.0
2016-09-29,113.05
2016-09-30,117.55
2016-10-03,120.95
2016-10-04,125.55
2016-10-05,129.9
2016-10-06,129.55
2016-10-07,132.95
2016-10-10,134.9
2016-10-13,131.0
2016-10-14,129.6
2016-10-17,136.05
2016-10-18,142.85
2016-10-19,142.85
2016-10-20,142.5
2016-10-21,140.0
2016-10-24,141.7
2016-10-25,140.8
2016-10-26,139.95
2016-10-27,139.5
2016-10-28,139.95
2016-10-30,141.6
2016-11-01,141.35
2016-11-02,142.0
2016-11-03,148.9
2016-11-04,149.1
2016-11-07,154.4
2016-11-08,154.9
2016-11-09,143.45
2016-11-10,145.8
2016-11-11,131.25
2016-11-15,118.15
2016-11-16,112.25
2016-11-17,106.65
2016-11-18,103.45
2016-11-21,99.25
2016-11-22,101.55
2016-11-23,106.6
2016-11-24,111.9
2016-11-25,117.45
2016-11-28,118.45
2016-11-29,117.55
2016-11-30,118.85
2016-12-01,118.55
2016-12-02,114.4
2016-12-05,116.4
2016-12-06,118.6
2016-12-07,116.45
2016-12-08,117.95
2016-12-09,116.1
2016-12-12,113.5
2016-12-13,114.8
2016-12-14,112.95
2016-12-15,110.35
2016-12-16,109.45
2016-12-19,106.95
2016-12-20,106.2
2016-12-21,104.6
2016-12-22,103.6
2016-12-23,105.2
2016-12-26,100.45
2016-12-27,105.45
2016-12-28,107.9
2016-12-29,107.6
2016-12-30,111.65
