Date,UTINIFTETF
2016-01-01,794.05
2016-01-04,785.62
2016-01-05,784.75
2016-01-06,779.3
2016-01-07,763.6
2016-01-08,765.8
2016-01-11,760.35
2016-01-12,757.1
2016-01-13,758.5
2016-01-14,758.5
2016-01-15,749.0
2016-01-18,741.03
2016-01-19,748.15
2016-01-20,735.95
2016-01-21,736.0
2016-01-22,748.7
2016-01-25,744.5
2016-01-29,759.16
2016-02-01,758.3
2016-02-02,755.0
2016-02-03,746.8
2016-02-04,742.0
2016-02-05,755.93
2016-02-08,744.6
2016-02-09,737.0
2016-02-10,730.0
2016-02-11,704.0
2016-02-12,704.0
2016-02-15,719.45
2016-02-16,720.0
2016-02-17,704.0
2016-02-18,720.35
2016-02-19,722.0
2016-02-22,723.0
2016-02-23,718.05
2016-02-24,705.1
2016-02-25,704.35
2016-02-26,705.01
2016-02-29,703.25
2016-03-01,723.0
2016-03-02,738.45
2016-03-03,750.0
2016-03-04,751.0
2016-03-08,746.3
2016-03-09,757.8
2016-03-10,755.0
2016-03-11,751.0
2016-03-14,756.85
2016-03-15,749.8
2016-03-16,757.7
2016-03-17,764.0
2016-03-18,767.15
2016-03-21,776.31
2016-03-22,767.3
2016-03-23,773.0
2016-03-29,764.75
2016-03-30,781.6
2016-03-31,784.65
2016-04-01,781.15
2016-04-04,778.86
2016-04-05,766.76
2016-04-06,772.1
2016-04-07,764.0
2016-04-08,759.25
2016-04-11,772.95
2016-04-12,780.5
2016-04-13,792.55
2016-04-18,799.47
2016-04-20,792.85
2016-04-21,800.6
2016-04-22,793.5
2016-04-25,791.9
2016-04-26,800.87
2016-04-27,805.0
2016-04-28,793.98
2016-04-29,790.15
2016-05-02,783.55
2016-05-03,782.1
2016-05-04,781.05
2016-05-05,780.9
2016-05-06,775.2
2016-05-09,789.0
2016-05-10,791.35
2016-05-11,794.75
2016-05-12,798.35
2016-05-13,788.8
2016-05-16,782.1
2016-05-17,794.05
2016-05-18,795.5
2016-05-19,781.0
2016-05-20,783.3
2016-05-23,785.05
2016-05-24,777.95
2016-05-25,788.7
2016-05-26,810.0
2016-05-27,818.9
2016-05-30,822.25
2016-05-31,821.05
2016-06-01,821.8
2016-06-02,821.05
2016-06-03,828.15
2016-06-06,824.85
2016-06-07,831.35
2016-06-08,831.8
2016-06-09,828.35
2016-06-10,822.15
2016-06-13,818.0
2016-06-14,817.57
2016-06-15,819.0
2016-06-16,818.0
2016-06-17,822.8
2016-06-20,826.85
2016-06-21,826.85
2016-06-22,828.05
2016-06-23,832.1
2016-06-24,816.0
2016-06-27,817.6
2016-06-28,825.05
2016-06-29,834.8
2016-06-30,844.8
2016-07-01,840.0
2016-07-04,852.95
2016-07-05,845.15
2016-07-07,845.7
2016-07-08,845.2
2016-07-11,858.29
2016-07-12,862.6
2016-07-13,863.05
2016-07-14,866.85
2016-07-15,866.42
2016-07-18,863.0
2016-07-19,862.8
2016-07-20,869.9
2016-07-21,867.0
2016-07-22,865.15
2016-07-25,872.0
2016-07-26,874.0
2016-07-27,872.6
2016-07-28,875.18
2016-07-29,880.0
2016-08-01,873.95
2016-08-02,873.0
2016-08-03,867.0
2016-08-04,870.45
2016-08-05,876.0
2016-08-08,883.05
2016-08-09,880.0
2016-08-10,871.05
2016-08-11,868.6
2016-08-12,880.0
2016-08-16,878.0
2016-08-17,886.0
2016-08-18,879.1
2016-08-19,884.45
2016-08-22,876.8
2016-08-23,875.7
2016-08-24,877.45
2016-08-25,872.95
2016-08-26,872.0
2016-08-29,872.0
2016-08-30,890.0
2016-08-31,897.25
2016-09-01,893.55
2016-09-02,897.18
2016-09-06,904.58
2016-09-07,908.0
2016-09-08,906.0
2016-09-09,909.7
2016-09-12,884.84
2016-09-14,885.0
2016-09-15,884.9
2016-09-16,891.2
2016-09-20,889.4
2016-09-21,892.0
2016-09-22,898.1
2016-09-23,899.8
2016-09-26,885.4
2016-09-27,888.0
2016-09-28,887.0
2016-09-29,873.0
2016-09-30,878.85
2016-10-03,886.55
2016-10-04,888.75
2016-10-05,888.6
2016-10-07,883.0
2016-10-10,884.0
2016-10-13,868.0
2016-10-14,873.0
2016-10-17,876.85
2016-10-18,872.0
2016-10-19,878.4
2016-10-20,881.95
2016-10-21,886.65
2016-10-24,885.65
2016-10-25,883.0
2016-10-26,877.0
2016-10-27,877.45
2016-10-28,879.65
2016-11-01,876.05
2016-11-02,868.0
2016-11-04,861.45
2016-11-07,869.85
2016-11-08,871.85
2016-11-09,856.75
2016-11-10,871.4
2016-11-15,825.0
2016-11-16,824.31
2016-11-17,830.0
2016-11-18,820.7
2016-11-21,808.05
2016-11-22,812.25
2016-11-23,821.0
2016-11-24,810.0
2016-11-25,820.8
2016-11-28,829.2
2016-11-29,832.0
2016-11-30,839.6
2016-12-01,839.05
2016-12-02,824.5
2016-12-05,825.0
2016-12-06,831.35
2016-12-07,827.3
2016-12-08,837.0
2016-12-09,839.7
2016-12-12,834.4
2016-12-13,836.4
2016-12-14,834.55
2016-12-15,832.35
2016-12-16,828.0
2016-12-19,825.75
2016-12-20,826.29
2016-12-21,828.95
2016-12-22,818.45
2016-12-23,813.0
2016-12-26,808.0
2016-12-27,818.66
2016-12-28,822.7
2016-12-29,826.9
2016-12-30,831.0
