Date,JISLJALEQS
2016-01-01,71.0
2016-01-04,74.4
2016-01-05,75.2
2016-01-06,74.75
2016-01-07,71.1
2016-01-08,72.7
2016-01-11,72.3
2016-01-12,71.25
2016-01-13,69.0
2016-01-14,65.45
2016-01-15,61.5
2016-01-18,59.0
2016-01-19,58.8
2016-01-20,56.35
2016-01-21,58.05
2016-01-22,60.9
2016-01-25,61.5
2016-01-27,62.1
2016-01-28,62.55
2016-01-29,63.9
2016-02-01,65.35
2016-02-02,62.6
2016-02-03,59.85
2016-02-04,60.05
2016-02-05,61.85
2016-02-08,61.8
2016-02-09,59.25
2016-02-10,58.5
2016-02-11,54.4
2016-02-12,52.75
2016-02-15,53.4
2016-02-16,50.65
2016-02-17,47.9
2016-02-18,52.4
2016-02-19,53.5
2016-02-22,54.95
2016-02-23,54.35
2016-02-24,54.9
2016-02-25,54.75
2016-02-26,56.05
2016-02-29,54.55
2016-03-01,55.3
2016-03-02,55.9
2016-03-03,56.35
2016-03-04,56.25
2016-03-08,57.6
2016-03-09,58.45
2016-03-10,57.9
2016-03-11,57.85
2016-03-14,56.05
2016-03-15,55.7
2016-03-16,54.9
2016-03-17,55.7
2016-03-18,56.6
2016-03-21,56.5
2016-03-22,56.55
2016-03-23,56.3
2016-03-28,57.25
2016-03-29,56.85
2016-03-30,58.65
2016-03-31,60.3
2016-04-01,60.35
2016-04-04,59.65
2016-04-05,58.1
2016-04-06,59.7
2016-04-07,59.05
2016-04-08,58.9
2016-04-11,59.5
2016-04-12,63.1
2016-04-13,63.65
2016-04-18,64.8
2016-04-20,66.4
2016-04-21,65.15
2016-04-22,64.8
2016-04-25,63.05
2016-04-26,63.85
2016-04-27,63.6
2016-04-28,61.65
2016-04-29,61.1
2016-05-02,62.15
2016-05-03,63.45
2016-05-04,63.7
2016-05-05,62.75
2016-05-06,65.9
2016-05-09,66.7
2016-05-10,67.8
2016-05-11,67.25
2016-05-12,67.3
2016-05-13,66.5
2016-05-16,65.8
2016-05-17,66.95
2016-05-18,66.45
2016-05-19,65.15
2016-05-20,63.9
2016-05-23,63.05
2016-05-24,64.1
2016-05-25,65.1
2016-05-26,66.3
2016-05-27,67.1
2016-05-30,67.5
2016-05-31,64.55
2016-06-01,64.25
2016-06-02,65.05
2016-06-03,64.75
2016-06-06,65.55
2016-06-07,66.4
2016-06-08,68.35
2016-06-09,67.9
2016-06-10,66.45
2016-06-13,67.65
2016-06-14,67.25
2016-06-15,68.2
2016-06-16,67.7
2016-06-17,67.95
2016-06-20,68.15
2016-06-21,67.4
2016-06-22,67.0
2016-06-23,70.5
2016-06-24,70.05
2016-06-27,72.1
2016-06-28,73.45
2016-06-29,73.95
2016-06-30,74.5
2016-07-01,75.05
2016-07-04,74.8
2016-07-05,74.05
2016-07-07,73.7
2016-07-08,72.9
2016-07-11,73.7
2016-07-12,74.2
2016-07-13,72.75
2016-07-14,73.3
2016-07-15,72.2
2016-07-18,69.95
2016-07-19,70.0
2016-07-20,71.2
2016-07-21,70.2
2016-07-22,70.1
2016-07-25,70.55
2016-07-26,69.95
2016-07-27,73.2
2016-07-28,71.85
2016-07-29,70.9
2016-08-01,70.2
2016-08-02,72.95
2016-08-03,73.05
2016-08-04,74.05
2016-08-05,74.05
2016-08-08,74.55
2016-08-09,77.35
2016-08-10,74.55
2016-08-11,73.1
2016-08-12,74.05
2016-08-16,78.0
2016-08-17,81.3
2016-08-18,80.15
2016-08-19,81.2
2016-08-22,83.7
2016-08-23,83.65
2016-08-24,83.2
2016-08-25,85.4
2016-08-26,86.0
2016-08-29,84.55
2016-08-30,83.5
2016-08-31,84.2
2016-09-01,87.15
2016-09-02,88.35
2016-09-06,89.4
2016-09-07,96.4
2016-09-08,94.85
2016-09-09,92.55
2016-09-12,87.3
2016-09-14,94.8
2016-09-15,98.3
2016-09-16,97.9
2016-09-19,98.35
2016-09-20,97.1
2016-09-21,93.95
2016-09-22,96.5
2016-09-23,96.6
2016-09-26,94.7
2016-09-27,92.2
2016-09-28,94.7
2016-09-29,85.0
2016-09-30,89.55
2016-10-03,95.75
2016-10-04,96.65
2016-10-05,95.75
2016-10-06,93.85
2016-10-07,95.8
2016-10-10,97.2
2016-10-13,92.95
2016-10-14,94.7
2016-10-17,92.2
2016-10-18,95.95
2016-10-19,95.8
2016-10-20,101.85
2016-10-21,104.35
2016-10-24,106.2
2016-10-25,105.0
2016-10-26,104.0
2016-10-27,106.65
2016-10-28,107.5
2016-10-30,107.25
2016-11-01,104.05
2016-11-02,101.55
2016-11-03,100.5
2016-11-04,98.65
2016-11-07,101.2
2016-11-08,102.2
2016-11-09,98.2
2016-11-10,99.6
2016-11-11,98.05
2016-11-15,86.45
2016-11-16,88.35
2016-11-17,88.5
2016-11-18,89.35
2016-11-21,83.8
2016-11-22,85.6
2016-11-23,85.2
2016-11-24,83.9
2016-11-25,85.6
2016-11-28,89.85
2016-11-29,88.45
2016-11-30,89.85
2016-12-01,88.2
2016-12-02,87.35
2016-12-05,87.55
2016-12-06,86.95
2016-12-07,86.05
2016-12-08,90.05
2016-12-09,89.8
2016-12-12,87.45
2016-12-13,87.1
2016-12-14,85.65
2016-12-15,86.6
2016-12-16,85.4
2016-12-19,84.2
2016-12-20,81.05
2016-12-21,81.9
2016-12-22,82.6
2016-12-23,84.85
2016-12-26,81.75
2016-12-27,83.05
2016-12-28,84.85
2016-12-29,86.15
2016-12-30,88.1
